,node_loc,technology,year_act,mode,time,value,unit
190,R12_MEA,gas_piped_exp_afr,1994,M1,year,0.0,GWa
191,R12_MEA,LNG_shipped_exp_eeu,1994,M1,year,0.0,GWa
192,R12_MEA,gas_piped_exp_eeu,1994,M1,year,0.40461340799999995,GWa
193,R12_MEA,gas_piped_exp_fsu,1994,M1,year,0.15903567999999998,GWa
194,R12_MEA,LNG_shipped_exp_lam,1994,M1,year,0.0,GWa
195,R12_MEA,gas_piped_exp_lam,1994,M1,year,0.0,GWa
198,R12_MEA,LNG_shipped_exp_nam,1994,M1,year,1.7363905599999998,GWa
199,R12_MEA,LNG_shipped_exp_pao,1994,M1,year,6.0308296,GWa
200,R12_MEA,LNG_shipped_exp_rcpa,1994,M1,year,0.0,GWa
201,R12_MEA,gas_piped_exp_rcpa,1994,M1,year,0.0,GWa
202,R12_MEA,LNG_shipped_exp_weu,1994,M1,year,23.91275072,GWa
203,R12_MEA,gas_piped_exp_weu,1994,M1,year,13.92933744,GWa
204,R12_NAM,LNG_shipped_exp_afr,1994,M1,year,0.0,GWa
205,R12_NAM,gas_piped_exp_afr,1994,M1,year,0.0,GWa
206,R12_NAM,LNG_shipped_exp_eeu,1994,M1,year,0.0,GWa
207,R12_NAM,gas_piped_exp_eeu,1994,M1,year,0.0,GWa
208,R12_NAM,LNG_shipped_exp_lam,1994,M1,year,0.0,GWa
209,R12_NAM,gas_piped_exp_lam,1994,M1,year,1.5786720645966654,GWa
210,R12_NAM,LNG_shipped_exp_mea,1994,M1,year,0.0,GWa
211,R12_NAM,gas_piped_exp_mea,1994,M1,year,0.0,GWa
213,R12_NAM,LNG_shipped_exp_pao,1994,M1,year,2.0575849296273456,GWa
214,R12_NAM,LNG_shipped_exp_rcpa,1994,M1,year,0.0,GWa
215,R12_NAM,gas_piped_exp_rcpa,1994,M1,year,0.0,GWa
216,R12_PAO,LNG_shipped_exp_afr,1994,M1,year,0.0,GWa
217,R12_PAO,gas_piped_exp_afr,1994,M1,year,0.0,GWa
218,R12_PAO,LNG_shipped_exp_eeu,1994,M1,year,0.0,GWa
219,R12_PAO,gas_piped_exp_eeu,1994,M1,year,0.0,GWa
220,R12_PAO,LNG_shipped_exp_lam,1994,M1,year,0.0,GWa
221,R12_PAO,gas_piped_exp_lam,1994,M1,year,0.0,GWa
222,R12_PAO,LNG_shipped_exp_mea,1994,M1,year,0.0,GWa
223,R12_PAO,gas_piped_exp_mea,1994,M1,year,0.0,GWa
225,R12_PAO,LNG_shipped_exp_rcpa,1994,M1,year,0.0,GWa
226,R12_PAO,gas_piped_exp_rcpa,1994,M1,year,0.0,GWa
227,R12_PAO,LNG_shipped_exp_weu,1994,M1,year,0.49854435199999997,GWa
228,R12_PAS,LNG_shipped_exp_afr,1994,M1,year,0.0,GWa
229,R12_PAS,gas_piped_exp_afr,1994,M1,year,0.0,GWa
230,R12_PAS,LNG_shipped_exp_eeu,1994,M1,year,0.0,GWa
231,R12_PAS,gas_piped_exp_eeu,1994,M1,year,0.0,GWa
232,R12_PAS,LNG_shipped_exp_lam,1994,M1,year,0.0,GWa
233,R12_PAS,gas_piped_exp_lam,1994,M1,year,0.0,GWa
234,R12_PAS,LNG_shipped_exp_mea,1994,M1,year,0.0,GWa
235,R12_PAS,gas_piped_exp_mea,1994,M1,year,0.0,GWa
236,R12_PAS,LNG_shipped_exp_pao,1994,M1,year,57.299782566547314,GWa
239,R12_PAS,LNG_shipped_exp_rcpa,1994,M1,year,0.0,GWa
240,R12_PAS,gas_piped_exp_rcpa,1994,M1,year,0.0,GWa
241,R12_RCPA,LNG_shipped_exp_afr,1994,M1,year,0.0,GWa
242,R12_RCPA,gas_piped_exp_afr,1994,M1,year,0.0,GWa
243,R12_RCPA,LNG_shipped_exp_eeu,1994,M1,year,0.0,GWa
244,R12_RCPA,gas_piped_exp_eeu,1994,M1,year,0.0,GWa
245,R12_RCPA,LNG_shipped_exp_lam,1994,M1,year,0.0,GWa
246,R12_RCPA,gas_piped_exp_lam,1994,M1,year,0.0,GWa
247,R12_RCPA,LNG_shipped_exp_mea,1994,M1,year,0.0,GWa
248,R12_RCPA,gas_piped_exp_mea,1994,M1,year,0.0,GWa
251,R12_SAS,LNG_shipped_exp_afr,1994,M1,year,0.0,GWa
252,R12_SAS,gas_piped_exp_afr,1994,M1,year,0.0,GWa
253,R12_SAS,LNG_shipped_exp_eeu,1994,M1,year,0.0,GWa
254,R12_SAS,gas_piped_exp_eeu,1994,M1,year,0.0,GWa
255,R12_SAS,LNG_shipped_exp_lam,1994,M1,year,0.0,GWa
256,R12_SAS,gas_piped_exp_lam,1994,M1,year,0.0,GWa
257,R12_SAS,LNG_shipped_exp_mea,1994,M1,year,0.0,GWa
258,R12_SAS,gas_piped_exp_mea,1994,M1,year,0.0,GWa
259,R12_SAS,LNG_shipped_exp_rcpa,1994,M1,year,0.0,GWa
260,R12_SAS,gas_piped_exp_rcpa,1994,M1,year,0.0,GWa
261,R12_WEU,LNG_shipped_exp_afr,1994,M1,year,0.0,GWa
262,R12_WEU,gas_piped_exp_afr,1994,M1,year,0.0,GWa
263,R12_WEU,LNG_shipped_exp_eeu,1994,M1,year,0.0,GWa
264,R12_WEU,gas_piped_exp_eeu,1994,M1,year,0.05502605732956462,GWa
265,R12_WEU,LNG_shipped_exp_lam,1994,M1,year,0.0,GWa
266,R12_WEU,gas_piped_exp_lam,1994,M1,year,0.0,GWa
267,R12_WEU,LNG_shipped_exp_mea,1994,M1,year,0.0,GWa
268,R12_WEU,gas_piped_exp_mea,1994,M1,year,0.0,GWa
269,R12_WEU,LNG_shipped_exp_rcpa,1994,M1,year,0.0,GWa
270,R12_WEU,gas_piped_exp_rcpa,1994,M1,year,0.0,GWa
274,R12_AFR,LNG_shipped_exp_eeu,1995,M1,year,0.0,GWa
275,R12_AFR,gas_piped_exp_eeu,1995,M1,year,0.0,GWa
276,R12_AFR,LNG_shipped_exp_lam,1995,M1,year,0.0,GWa
277,R12_AFR,gas_piped_exp_lam,1995,M1,year,0.0,GWa
278,R12_AFR,LNG_shipped_exp_mea,1995,M1,year,0.0,GWa
279,R12_AFR,gas_piped_exp_mea,1995,M1,year,0.0,GWa
280,R12_CHN,LNG_shipped_exp_afr,1995,M1,year,0.0,GWa
281,R12_CHN,gas_piped_exp_afr,1995,M1,year,0.0,GWa
283,R12_CHN,LNG_shipped_exp_eeu,1995,M1,year,0.0,GWa
284,R12_CHN,gas_piped_exp_eeu,1995,M1,year,0.0,GWa
285,R12_CHN,LNG_shipped_exp_lam,1995,M1,year,0.0,GWa
286,R12_CHN,gas_piped_exp_lam,1995,M1,year,0.0,GWa
287,R12_CHN,LNG_shipped_exp_mea,1995,M1,year,0.0,GWa
288,R12_CHN,gas_piped_exp_mea,1995,M1,year,0.0,GWa
289,R12_EEU,LNG_shipped_exp_afr,1995,M1,year,0.0,GWa
290,R12_EEU,gas_piped_exp_afr,1995,M1,year,0.0,GWa
293,R12_EEU,LNG_shipped_exp_lam,1995,M1,year,0.0,GWa
294,R12_EEU,gas_piped_exp_lam,1995,M1,year,0.0,GWa
295,R12_EEU,LNG_shipped_exp_mea,1995,M1,year,0.0,GWa
296,R12_EEU,gas_piped_exp_mea,1995,M1,year,0.0,GWa
297,R12_FSU,LNG_shipped_exp_afr,1995,M1,year,0.0,GWa
298,R12_FSU,gas_piped_exp_afr,1995,M1,year,0.0,GWa
299,R12_FSU,LNG_shipped_exp_eeu,1995,M1,year,0.0,GWa
300,R12_FSU,gas_piped_exp_eeu,1995,M1,year,54.17697107199999,GWa
302,R12_FSU,LNG_shipped_exp_lam,1995,M1,year,0.0,GWa
303,R12_FSU,gas_piped_exp_lam,1995,M1,year,0.0,GWa
304,R12_FSU,LNG_shipped_exp_mea,1995,M1,year,0.0,GWa
305,R12_FSU,gas_piped_exp_mea,1995,M1,year,0.0,GWa
306,R12_FSU,gas_piped_exp_weu,1995,M1,year,88.800132672,GWa
307,R12_LAM,LNG_shipped_exp_afr,1995,M1,year,0.0,GWa
308,R12_LAM,gas_piped_exp_afr,1995,M1,year,0.0,GWa
309,R12_LAM,LNG_shipped_exp_eeu,1995,M1,year,0.0,GWa
310,R12_LAM,gas_piped_exp_eeu,1995,M1,year,0.0,GWa
313,R12_LAM,LNG_shipped_exp_mea,1995,M1,year,0.0,GWa
314,R12_LAM,gas_piped_exp_mea,1995,M1,year,0.0,GWa
315,R12_LAM,gas_piped_exp_nam,1995,M1,year,0.250112544,GWa
316,R12_MEA,LNG_shipped_exp_afr,1995,M1,year,0.0,GWa
317,R12_MEA,gas_piped_exp_afr,1995,M1,year,0.0,GWa
318,R12_MEA,LNG_shipped_exp_eeu,1995,M1,year,0.0,GWa
319,R12_MEA,gas_piped_exp_eeu,1995,M1,year,0.441209056,GWa
320,R12_MEA,LNG_shipped_exp_lam,1995,M1,year,0.0,GWa
321,R12_MEA,gas_piped_exp_lam,1995,M1,year,0.0,GWa
324,R12_MEA,LNG_shipped_exp_nam,1995,M1,year,0.612105024,GWa
325,R12_MEA,LNG_shipped_exp_pao,1995,M1,year,7.085697568,GWa
326,R12_MEA,LNG_shipped_exp_weu,1995,M1,year,25.847309568,GWa
327,R12_MEA,gas_piped_exp_weu,1995,M1,year,21.067930624,GWa
328,R12_NAM,LNG_shipped_exp_afr,1995,M1,year,0.0,GWa
329,R12_NAM,gas_piped_exp_afr,1995,M1,year,0.0,GWa
330,R12_NAM,LNG_shipped_exp_eeu,1995,M1,year,0.0,GWa
331,R12_NAM,gas_piped_exp_eeu,1995,M1,year,0.0,GWa
332,R12_NAM,LNG_shipped_exp_lam,1995,M1,year,0.0,GWa
333,R12_NAM,gas_piped_exp_lam,1995,M1,year,2.1515006399999996,GWa
334,R12_NAM,LNG_shipped_exp_mea,1995,M1,year,0.0,GWa
335,R12_NAM,gas_piped_exp_mea,1995,M1,year,0.0,GWa
337,R12_NAM,LNG_shipped_exp_pao,1995,M1,year,2.11075072,GWa
338,R12_PAO,LNG_shipped_exp_afr,1995,M1,year,0.0,GWa
339,R12_PAO,gas_piped_exp_afr,1995,M1,year,0.0,GWa
340,R12_PAO,LNG_shipped_exp_eeu,1995,M1,year,0.0,GWa
341,R12_PAO,gas_piped_exp_eeu,1995,M1,year,0.0,GWa
342,R12_PAO,LNG_shipped_exp_lam,1995,M1,year,0.0,GWa
343,R12_PAO,gas_piped_exp_lam,1995,M1,year,0.0,GWa
344,R12_PAO,LNG_shipped_exp_mea,1995,M1,year,0.0,GWa
345,R12_PAO,gas_piped_exp_mea,1995,M1,year,0.0,GWa
347,R12_PAO,LNG_shipped_exp_pas,1995,M1,year,0.19750233599999997,GWa
348,R12_PAO,LNG_shipped_exp_weu,1995,M1,year,0.648859232,GWa
349,R12_PAS,LNG_shipped_exp_afr,1995,M1,year,0.0,GWa
350,R12_PAS,gas_piped_exp_afr,1995,M1,year,0.0,GWa
351,R12_PAS,LNG_shipped_exp_eeu,1995,M1,year,0.0,GWa
352,R12_PAS,gas_piped_exp_eeu,1995,M1,year,0.0,GWa
353,R12_PAS,LNG_shipped_exp_lam,1995,M1,year,0.0,GWa
354,R12_PAS,gas_piped_exp_lam,1995,M1,year,0.0,GWa
355,R12_PAS,LNG_shipped_exp_mea,1995,M1,year,0.0,GWa
356,R12_PAS,gas_piped_exp_mea,1995,M1,year,0.0,GWa
357,R12_PAS,LNG_shipped_exp_pao,1995,M1,year,57.32865980396021,GWa
