"code","msg_reg","xval","avgIC"
"IPSL-CM5A-LR_2p6_2071-2100","WEU",47.9008,23825.6398541288
"IPSL-CM5A-LR_2p6_2071-2100","WEU",48.8784,34251.2597743893
"IPSL-CM5A-LR_6p0_2030-2070","WEU",0,1516.60883174192
"IPSL-CM5A-LR_6p0_2030-2070","WEU",18.075,1516.60883174192
"IPSL-CM5A-LR_6p0_2030-2070","WEU",30.5884,3452.17115842301
"IPSL-CM5A-LR_6p0_2030-2070","WEU",35.2231,6033.5912763422
"IPSL-CM5A-LR_6p0_2030-2070","WEU",40.3211,9074.41286585063
"IPSL-CM5A-LR_6p0_2030-2070","WEU",43.1019,13067.6708147061
"IPSL-CM5A-LR_6p0_2030-2070","WEU",44.9558,18585.9089632864
"IPSL-CM5A-LR_6p0_2030-2070","WEU",45.4192,25681.9085769213
"IPSL-CM5A-LR_6p0_2030-2070","WEU",46.3461,31507.2481511542
"IPSL-CM5A-LR_6p0_2071-2100","WEU",0,1721.06537078487
"IPSL-CM5A-LR_6p0_2071-2100","WEU",18.1918,1721.06537078487
"IPSL-CM5A-LR_6p0_2071-2100","WEU",28.2984,4236.97491357151
"IPSL-CM5A-LR_6p0_2071-2100","WEU",31.1283,7266.47845506384
"IPSL-CM5A-LR_6p0_2071-2100","WEU",33.5539,9523.0558002892
"IPSL-CM5A-LR_6p0_2071-2100","WEU",36.788,12781.937172287
"IPSL-CM5A-LR_6p0_2071-2100","WEU",38.405,18240.1011509867
"IPSL-CM5A-LR_6p0_2071-2100","WEU",39.6178,25632.155556805
"IPSL-CM5A-LR_6p0_2071-2100","WEU",40.4263,43534.9812026405
"IPSL-CM5A-LR_hist_historical","WEU",0,1461.61966805456
"IPSL-CM5A-LR_hist_historical","WEU",16.4538,1461.61966805456
"IPSL-CM5A-LR_hist_historical","WEU",28.9054,3402.88119850673
"IPSL-CM5A-LR_hist_historical","WEU",33.7971,6005.12488691952
"IPSL-CM5A-LR_hist_historical","WEU",37.3547,8774.84980695173
"IPSL-CM5A-LR_hist_historical","WEU",40.0229,11923.2627856424
"IPSL-CM5A-LR_hist_historical","WEU",41.8017,15477.9672797669
"IPSL-CM5A-LR_hist_historical","WEU",43.5805,21278.737714851
"IPSL-CM5A-LR_hist_historical","WEU",44.4699,34483.9549130671
"MIROC5_2p6_2030-2070","WEU",0,1646.93354803053
"MIROC5_2p6_2030-2070","WEU",18.315,1646.93354803053
"MIROC5_2p6_2030-2070","WEU",28.9633,3963.65378845068
"MIROC5_2p6_2030-2070","WEU",33.6485,6988.65030711446
"MIROC5_2p6_2030-2070","WEU",37.4819,10191.2777101413
"MIROC5_2p6_2030-2070","WEU",39.6115,14670.9097458329
"MIROC5_2p6_2030-2070","WEU",40.8893,19645.0650354381
"MIROC5_2p6_2030-2070","WEU",41.7412,24939.0101083562
"MIROC5_2p6_2030-2070","WEU",42.593,33991.5159493913
"MIROC5_2p6_2071-2100","WEU",0,1589.10170741459
"MIROC5_2p6_2071-2100","WEU",16.3023,1589.10170741459
"MIROC5_2p6_2071-2100","WEU",26.8988,3777.14608937372
"MIROC5_2p6_2071-2100","WEU",32.6046,7164.34360764419
"MIROC5_2p6_2071-2100","WEU",36.2727,11354.5607423242
"MIROC5_2p6_2071-2100","WEU",38.3104,16251.3558220113
"MIROC5_2p6_2071-2100","WEU",39.1256,21675.2146929951
"MIROC5_2p6_2071-2100","WEU",39.9407,26503.7263429905
"MIROC5_2p6_2071-2100","WEU",40.7558,39492.8925453911
"MIROC5_6p0_2030-2070","WEU",0,1548.99210122589
