# Expected baseline material demand of power sector
# pre-computed from a SSP2_v6.5/baseline derivative with power sector materials build
# by: `input_cap_new` x `CAP_NEW` and grouped by [`node`, `commodity`]
node,commodity,level,year,time,value,unit
R12_NAM,aluminum,demand,2025,year,0.39426,t
R12_NAM,aluminum,demand,2030,year,0.20184,t
R12_NAM,aluminum,demand,2035,year,0.0466,t
R12_NAM,aluminum,demand,2040,year,0.08579,t
R12_NAM,aluminum,demand,2045,year,0.37987,t
R12_NAM,aluminum,demand,2050,year,0.41136,t
R12_NAM,aluminum,demand,2055,year,0.4168,t
R12_NAM,aluminum,demand,2060,year,0.25789,t
R12_NAM,aluminum,demand,2070,year,0.297,t
R12_NAM,aluminum,demand,2080,year,0.5728,t
R12_NAM,aluminum,demand,2090,year,0.46153,t
R12_NAM,aluminum,demand,2100,year,0.4794,t
R12_NAM,aluminum,demand,2110,year,0.70145,t
R12_NAM,cement,demand,2020,year,1.27116,t
R12_NAM,cement,demand,2025,year,3.45085,t
R12_NAM,cement,demand,2030,year,5.90078,t
R12_NAM,cement,demand,2035,year,6.69734,t
R12_NAM,cement,demand,2040,year,4.002,t
R12_NAM,cement,demand,2045,year,2.67336,t
R12_NAM,cement,demand,2050,year,1.65883,t
R12_NAM,cement,demand,2055,year,1.79866,t
R12_NAM,cement,demand,2060,year,1.14583,t
R12_NAM,cement,demand,2070,year,0.66113,t
R12_NAM,cement,demand,2080,year,2.07616,t
R12_NAM,cement,demand,2090,year,2.15145,t
R12_NAM,cement,demand,2100,year,3.09734,t
R12_NAM,cement,demand,2110,year,2.96352,t
R12_NAM,steel,demand,2020,year,2.5517,t
R12_NAM,steel,demand,2025,year,3.03202,t
R12_NAM,steel,demand,2030,year,3.16741,t
R12_NAM,steel,demand,2035,year,1.96355,t
R12_NAM,steel,demand,2040,year,3.26075,t
R12_NAM,steel,demand,2045,year,4.43672,t
R12_NAM,steel,demand,2050,year,4.20142,t
R12_NAM,steel,demand,2055,year,4.39657,t
R12_NAM,steel,demand,2060,year,3.41375,t
R12_NAM,steel,demand,2070,year,1.65921,t
R12_NAM,steel,demand,2080,year,5.99501,t
R12_NAM,steel,demand,2090,year,5.12938,t
R12_NAM,steel,demand,2100,year,6.09344,t
R12_NAM,steel,demand,2110,year,7.54293,t
R12_PAO,aluminum,demand,2020,year,0.18171,t
R12_PAO,aluminum,demand,2025,year,0.15613,t
R12_PAO,aluminum,demand,2030,year,0.0542,t
R12_PAO,aluminum,demand,2035,year,0.00779,t
R12_PAO,aluminum,demand,2040,year,0.02521,t
R12_PAO,aluminum,demand,2045,year,0.11377,t
R12_PAO,aluminum,demand,2050,year,0.15493,t
R12_PAO,aluminum,demand,2055,year,0.11743,t
R12_PAO,aluminum,demand,2060,year,0.04577,t
R12_PAO,aluminum,demand,2070,year,0.00902,t
R12_PAO,aluminum,demand,2080,year,0.12347,t
R12_PAO,aluminum,demand,2090,year,0.11551,t
R12_PAO,aluminum,demand,2100,year,0.05635,t
R12_PAO,aluminum,demand,2110,year,0.16364,t
R12_PAO,cement,demand,2020,year,0.36165,t
R12_PAO,cement,demand,2025,year,0.57404,t
R12_PAO,cement,demand,2030,year,1.36078,t
R12_PAO,cement,demand,2035,year,1.34621,t
R12_PAO,cement,demand,2040,year,0.60209,t
R12_PAO,cement,demand,2045,year,0.49395,t
R12_PAO,cement,demand,2050,year,0.39199,t
R12_PAO,cement,demand,2055,year,0.39046,t
R12_PAO,cement,demand,2060,year,0.27714,t
R12_PAO,cement,demand,2070,year,0.16284,t
R12_PAO,cement,demand,2080,year,0.19356,t
R12_PAO,cement,demand,2090,year,0.35296,t
R12_PAO,cement,demand,2100,year,0.52817,t
R12_PAO,cement,demand,2110,year,0.438,t
R12_PAO,steel,demand,2020,year,0.87017,t
R12_PAO,steel,demand,2025,year,0.80259,t
R12_PAO,steel,demand,2030,year,0.77418,t
R12_PAO,steel,demand,2035,year,0.3079,t
R12_PAO,steel,demand,2040,year,0.43947,t
R12_PAO,steel,demand,2045,year,0.74014,t
R12_PAO,steel,demand,2050,year,1.00036,t
R12_PAO,steel,demand,2055,year,0.94276,t
R12_PAO,steel,demand,2060,year,0.75717,t
R12_PAO,steel,demand,2070,year,0.29058,t
R12_PAO,steel,demand,2080,year,0.57882,t
R12_PAO,steel,demand,2090,year,0.90924,t
R12_PAO,steel,demand,2100,year,1.11545,t
R12_PAO,steel,demand,2110,year,1.06279,t
R12_PAS,aluminum,demand,2020,year,0.08152,t
R12_PAS,aluminum,demand,2025,year,0.07162,t
R12_PAS,aluminum,demand,2030,year,0.4082,t
R12_PAS,aluminum,demand,2035,year,0.02781,t
R12_PAS,aluminum,demand,2040,year,0.07073,t
R12_PAS,aluminum,demand,2045,year,0.38906,t
R12_PAS,aluminum,demand,2050,year,0.41024,t
R12_PAS,aluminum,demand,2055,year,0.22558,t
R12_PAS,aluminum,demand,2060,year,0.37779,t
R12_PAS,aluminum,demand,2070,year,0.18019,t
R12_PAS,aluminum,demand,2080,year,0.43311,t
R12_PAS,aluminum,demand,2090,year,0.44326,t
R12_PAS,aluminum,demand,2100,year,0.29068,t
R12_PAS,aluminum,demand,2110,year,0.47354,t
R12_PAS,cement,demand,2020,year,0.58724,t
R12_PAS,cement,demand,2025,year,0.6939,t
R12_PAS,cement,demand,2030,year,0.58245,t
R12_PAS,cement,demand,2035,year,0.21758,t
R12_PAS,cement,demand,2040,year,0.22304,t
R12_PAS,cement,demand,2045,year,0.89605,t
R12_PAS,cement,demand,2050,year,0.81293,t
R12_PAS,cement,demand,2055,year,0.45006,t
R12_PAS,cement,demand,2060,year,0.58957,t
R12_PAS,cement,demand,2070,year,0.8545,t
R12_PAS,cement,demand,2080,year,0.90811,t
R12_PAS,cement,demand,2090,year,0.79744,t
R12_PAS,cement,demand,2100,year,0.95891,t
R12_PAS,cement,demand,2110,year,0.97744,t
R12_PAS,steel,demand,2020,year,0.84345,t
R12_PAS,steel,demand,2025,year,0.86978,t
R12_PAS,steel,demand,2030,year,1.51786,t
R12_PAS,steel,demand,2035,year,0.44666,t
R12_PAS,steel,demand,2040,year,0.52974,t
R12_PAS,steel,demand,2045,year,2.13199,t
R12_PAS,steel,demand,2050,year,2.28863,t
R12_PAS,steel,demand,2055,year,1.14067,t
R12_PAS,steel,demand,2060,year,1.61276,t
R12_PAS,steel,demand,2070,year,2.57575,t
R12_PAS,steel,demand,2080,year,2.58239,t
R12_PAS,steel,demand,2090,year,2.33517,t
R12_PAS,steel,demand,2100,year,3.18379,t
R12_PAS,steel,demand,2110,year,2.77403,t
R12_RCPA,aluminum,demand,2020,year,0.06984,t
R12_RCPA,aluminum,demand,2025,year,0.01975,t
R12_RCPA,aluminum,demand,2030,year,0.1026,t
R12_RCPA,aluminum,demand,2035,year,0.01546,t
R12_RCPA,aluminum,demand,2040,year,0.06664,t
R12_RCPA,aluminum,demand,2045,year,0.14491,t
R12_RCPA,aluminum,demand,2050,year,0.11553,t
R12_RCPA,aluminum,demand,2055,year,0.06865,t
R12_RCPA,aluminum,demand,2060,year,0.11491,t
R12_RCPA,aluminum,demand,2070,year,0.05463,t
R12_RCPA,aluminum,demand,2080,year,0.14131,t
R12_RCPA,aluminum,demand,2090,year,0.13873,t
R12_RCPA,aluminum,demand,2100,year,0.07534,t
R12_RCPA,aluminum,demand,2110,year,0.12789,t
R12_RCPA,cement,demand,2020,year,1.46848,t
R12_RCPA,cement,demand,2025,year,2.51687,t
R12_RCPA,cement,demand,2030,year,0.14302,t
R12_RCPA,cement,demand,2035,year,0.05485,t
R12_RCPA,cement,demand,2040,year,0.10262,t
R12_RCPA,cement,demand,2045,year,0.19679,t
R12_RCPA,cement,demand,2050,year,0.292,t
R12_RCPA,cement,demand,2055,year,0.26209,t
R12_RCPA,cement,demand,2060,year,0.23956,t
R12_RCPA,cement,demand,2070,year,0.26794,t
R12_RCPA,cement,demand,2080,year,0.65003,t
R12_RCPA,cement,demand,2090,year,0.7187,t
R12_RCPA,cement,demand,2100,year,0.2927,t
R12_RCPA,cement,demand,2110,year,0.21697,t
R12_RCPA,steel,demand,2020,year,0.38343,t
R12_RCPA,steel,demand,2025,year,0.41609,t
R12_RCPA,steel,demand,2030,year,0.46229,t
R12_RCPA,steel,demand,2035,year,0.14189,t
R12_RCPA,steel,demand,2040,year,0.31717,t
R12_RCPA,steel,demand,2045,year,0.66161,t
R12_RCPA,steel,demand,2050,year,0.76451,t
R12_RCPA,steel,demand,2055,year,0.64407,t
R12_RCPA,steel,demand,2060,year,0.6611,t
R12_RCPA,steel,demand,2070,year,0.71381,t
R12_RCPA,steel,demand,2080,year,1.33044,t
R12_RCPA,steel,demand,2090,year,1.50895,t
R12_RCPA,steel,demand,2100,year,0.95093,t
R12_RCPA,steel,demand,2110,year,0.68362,t
R12_SAS,aluminum,demand,2020,year,0.19511,t
R12_SAS,aluminum,demand,2025,year,0.20685,t
R12_SAS,aluminum,demand,2030,year,1.00868,t
R12_SAS,aluminum,demand,2035,year,0.52508,t
R12_SAS,aluminum,demand,2040,year,0.1942,t
R12_SAS,aluminum,demand,2045,year,0.28361,t
R12_SAS,aluminum,demand,2050,year,0.47715,t
R12_SAS,aluminum,demand,2055,year,0.61931,t
R12_SAS,aluminum,demand,2060,year,1.20087,t
R12_SAS,aluminum,demand,2070,year,1.19889,t
R12_SAS,aluminum,demand,2080,year,0.90318,t
R12_SAS,aluminum,demand,2090,year,1.19827,t
R12_SAS,aluminum,demand,2100,year,1.75823,t
R12_SAS,aluminum,demand,2110,year,1.34448,t
R12_SAS,cement,demand,2020,year,1.85095,t
R12_SAS,cement,demand,2025,year,1.84881,t
R12_SAS,cement,demand,2030,year,1.91287,t
R12_SAS,cement,demand,2035,year,1.00118,t
R12_SAS,cement,demand,2040,year,0.60863,t
R12_SAS,cement,demand,2045,year,1.19261,t
R12_SAS,cement,demand,2050,year,1.96349,t
R12_SAS,cement,demand,2055,year,1.65308,t
R12_SAS,cement,demand,2060,year,2.75601,t
R12_SAS,cement,demand,2070,year,3.43664,t
R12_SAS,cement,demand,2080,year,2.92951,t
R12_SAS,cement,demand,2090,year,3.32598,t
R12_SAS,cement,demand,2100,year,4.30897,t
R12_SAS,cement,demand,2110,year,3.84401,t
R12_SAS,steel,demand,2020,year,1.52512,t
R12_SAS,steel,demand,2025,year,1.21337,t
R12_SAS,steel,demand,2030,year,4.33071,t
R12_SAS,steel,demand,2035,year,2.18636,t
R12_SAS,steel,demand,2040,year,1.31052,t
R12_SAS,steel,demand,2045,year,2.23595,t
R12_SAS,steel,demand,2050,year,4.88963,t
R12_SAS,steel,demand,2055,year,3.7108,t
R12_SAS,steel,demand,2060,year,6.2291,t
R12_SAS,steel,demand,2070,year,8.42529,t
R12_SAS,steel,demand,2080,year,7.06139,t
R12_SAS,steel,demand,2090,year,7.95348,t
R12_SAS,steel,demand,2100,year,10.72029,t
R12_SAS,steel,demand,2110,year,9.4758,t
R12_WEU,aluminum,demand,2020,year,0.28046,t
R12_WEU,aluminum,demand,2025,year,0.47933,t
R12_WEU,aluminum,demand,2030,year,1.34187,t
R12_WEU,aluminum,demand,2035,year,0.04806,t
R12_WEU,aluminum,demand,2040,year,0.1041,t
R12_WEU,aluminum,demand,2045,year,0.21188,t
R12_WEU,aluminum,demand,2050,year,0.30017,t
R12_WEU,aluminum,demand,2055,year,0.39362,t
R12_WEU,aluminum,demand,2060,year,1.12502,t
R12_WEU,aluminum,demand,2070,year,0.06667,t
R12_WEU,aluminum,demand,2080,year,0.249,t
R12_WEU,aluminum,demand,2090,year,0.62081,t
R12_WEU,aluminum,demand,2100,year,0.46839,t
R12_WEU,aluminum,demand,2110,year,0.34515,t
R12_WEU,cement,demand,2020,year,2.92095,t
R12_WEU,cement,demand,2025,year,2.66213,t
R12_WEU,cement,demand,2030,year,9.18627,t
R12_WEU,cement,demand,2035,year,6.45633,t
R12_WEU,cement,demand,2040,year,3.1342,t
R12_WEU,cement,demand,2045,year,2.32711,t
R12_WEU,cement,demand,2050,year,1.45449,t
R12_WEU,cement,demand,2055,year,1.56724,t
R12_WEU,cement,demand,2060,year,2.31371,t
R12_WEU,cement,demand,2070,year,0.55367,t
R12_WEU,cement,demand,2080,year,1.43437,t
R12_WEU,cement,demand,2090,year,2.3897,t
R12_WEU,cement,demand,2100,year,3.04485,t
R12_WEU,cement,demand,2110,year,1.95112,t
R12_WEU,steel,demand,2020,year,3.37752,t
R12_WEU,steel,demand,2025,year,4.32537,t
R12_WEU,steel,demand,2030,year,6.69867,t
R12_WEU,steel,demand,2035,year,2.60965,t
R12_WEU,steel,demand,2040,year,3.3381,t
R12_WEU,steel,demand,2045,year,4.12074,t
R12_WEU,steel,demand,2050,year,3.5002,t
R12_WEU,steel,demand,2055,year,4.39237,t
R12_WEU,steel,demand,2060,year,6.86769,t
R12_WEU,steel,demand,2070,year,1.64713,t
R12_WEU,steel,demand,2080,year,3.61517,t
R12_WEU,steel,demand,2090,year,6.09145,t
R12_WEU,steel,demand,2100,year,6.37491,t
R12_WEU,steel,demand,2110,year,4.81331,t
