Type of Technology,Description,Type ,Input ,Output,Vintage Tracking,Sector,LCA mapping
elec_t/d,Grid technology cost converted to 2005$,Final,Electrcity Secondary,Electricity Final,yes,Electricity,
elec_trp,Electricity-based transport,Useful,Electricity Final,Transport Useful,,Transport,
enre_con,joint diffusion constraint for enteric fermentation mitigation technologies,Dummy,-,Dummy Agriculture Primary ,,Non-CO2,
ent_red1,Mitigation for CH4 emissions from animals directly,Dummy,-,Dummy Agriculture Primary ,,Non-CO2,
ent_red2,Mitigation for CH4 emissions from animals directly,Dummy,-,Dummy Agriculture Primary ,,Non-CO2,
ent_red3,Mitigation for CH4 emissions from animals directly,Dummy,-,Dummy Agriculture Primary ,,Non-CO2,
eth_bal,Link technology to stabilize ethanol production,Secondary,Ethanol Primary,Ethanol Secondary,,Liquids,
eth_bio,Ethanol synthesis via biomass gasification,Primary,Biomass Primary,Ethanol Primary,yes,Liquids,
eth_bio_ccs,Ethanol synthesis via biomass gasification with carbon capture and storage,Primary,Biomass Primary,Ethanol Primary,yes,Liquids,
eth_exp,Exports of ethanol (no accounting of CO2 transferred),Exports,Ethanol Primary,Ethanol Exports,,Liquids,
eth_fc_trp,Ethanol (without net C) fuel cell-based transport,Useful,Ethanol Final,Transport Useful,,Transport,
eth_i,Ethanol (without C) replacement for use as liquid fuel in industry,Useful,Ethanol Final,Industry TH Useful,yes,Industry,
eth_ic_trp,Ethanol (without net C) ic-engine-based transport,Useful,Ethanol Final,Transport Useful,,Transport,
eth_imp,Imports of ethanol (no accounting of CO2 transferred),Secondary,Ethanol Exports ,Ethanol Secondary,,Liquids,
eth_rc,Ethanol (without C) replacement for use as liquid fuel in residential/commercial,Useful,Ethanol Final,Residential Commercial  TH Useful,,Residential/Commercial,
eth_t/d,Transmission/Distribution of methanol without net C (just linking technology),Final,Ethanol Secondary,Ethanol Final,,Liquids,
ethanol_fs,Ethanol as feedstock,Useful,Ethanol Final,Industry FS Useful,,Feedstock,
exp_total,Used in balance equation for exported energy supply and in the equation for constraining net imports,Secondary,-,Exports Secondary,,Dummy,
Feeds_1,conservation cost curve step for feedstock demand,Useful,-,Industry FS Useful,,Feedstock,
Feeds_2,conservation cost curve step for feedstock demand,Useful,-,Industry FS Useful,,Feedstock,
Feeds_3,conservation cost curve step for feedstock demand,Useful,-,Industry FS Useful,,Feedstock,
Feeds_4,conservation cost curve step for feedstock demand,Useful,-,Industry FS Useful,,Feedstock,
Feeds_5,conservation cost curve step for feedstock demand,Useful,-,Industry FS Useful,,Feedstock,
Feeds_con,joint diffusion constraint for feedstock conservation cost curve steps,Primary,-,Dummy Agriculture Primary,,Feedstock,
flaring_CO2,Co2 emissions from gas flaring,Exports,-,Exports CO2,,Extraction,
foil_exp,Net exports of crude oil at 95% of oil price,Exports,Fuel Oil Secondary,Fuel Oil Exports,,Liquids,
foil_hpl,Fuel oil heating plant,Secondary,Fuel Oil Secondary,D_Heat Secondary,yes,Heat,
foil_i,Fuel oil for thermal uses in industry,Useful,Fuel Oil Final,Industry Th Useful,yes,Industry,
foil_imp,Net imports of residual oil at 95% of oil price,Secondary,Fuel Oil Imports,Fuel Oil Secondary,,Liquids,
foil_ppl,"New standard oil power plant, Rankine cycle",Secondary,Fuel Oil Secondary,Electricity Secondary,yes,Electricity,Gas|w/o CCS
foil_rc,Fuel oil heating in residential/commercial sector,Useful,Fuel Final ,RC Thermal Useful,,Residential/Commercial,
foil_t/d,Transmission/Distribution of fueloil  (just linking technology),Final,Fuel Oil Secondary,Fuel Oil Final ,,Liquids,
foil_trp,Fueloil-based transport,Useful,Fuel Oil Final ,Transport Useful,,Transport,
forest_CO2,Co2 emissions from forests,Secondary,-,Exports Secondary,,Land,
g_ppl_co2scr,CO2 scrubber for natural gas power plant,Secondary,-,Exports Secondary,yes,Gas,
gas_bal,Link technology to stabilize gas production,Secondary,Gas Primary,Gas Secondary,,Gas,
gas_bio,Synthesis gas production from biomass,Secondary,Biomass Primary,Gas Secondary,yes,Gas,
gas_cc,Gas combined cycle power-plant,Secondary,Gas Secondary,Electricity Secondary,yes,Electricity,Gas|w/o CCS
gas_cc_ccs,Gas combined cycle power-plant with carbon capture and storage,Secondary,Gas Secondary,Electricity Secondary,yes,Electricity,Gas|w/ CCS
gas_ct,Gas combustion-turbine power plant,Secondary,Gas Secondary,Electricity Secondary,yes,Electricity,Gas|w/o CCS
gas_extr_1,"Natural gas extraction, Cat I = Master et al.14.WPC ""Identified Reserves""",Primary,Grade/ Resource  ,Primary,,Extraction,
gas_extr_2,"Natural gas extraction, Cat II = Master et al.14.WPC ""Mode"" undiscovered natural gas",Primary,Grade/ Resource  ,Primary,,Extraction,
gas_extr_3,"Natural gas extraction, Cat III = Masters  et al.14.WPC Difference between ""Mode and 5%""  undiscovered natural gas",Primary,Grade/ Resource  ,Primary,,Extraction,
gas_extr_4,"Natural gas extraction, Cat IV = Estimated enhanced Recovery (30% of Resources I+II+III)  plus 15% of historical production",Primary,Grade/ Resource  ,Primary,,Extraction,
gas_extr_5,"Natural gas extraction, Cat V = Non-conventional reserves (20% of Coal bed; 15% of fractured Shale; 15% of Tight formation)",Primary,Grade/ Resource  ,Primary,,Extraction,
gas_extr_6,"Natural gas extraction, Cat VI -VII= Non-conventional resources. Rest of Coal bed (80%), fractured Shale (85%) and  Tight formation (85%)  were aggregated and then distributed to VI    (40%) nd VII (60%)",Primary,Grade/ Resource  ,Primary,,Extraction,
gas_extr_mpen,Common Market penetration for all gas extraction technologies,Secondary,-,Exports Secondary,,Extraction,
gas_fs,Gas as feedstock,Useful,Gas Final ,Industry FS Useful,,Feedstock,
gas_hpl,Natural gas heating plant,Secondary,Gas Secondary,D_Heat Secondary,yes,Heat,
gas_htfc,High temperature fuel cell powered with natural gas,Secondary,Gas Secondary,Electricity Secondary,yes,Electricity,Gas|w/o CCS
gas_i,Gas for thermal uses in industry,Useful,Gas Final ,Industry TH Useful,yes,Industry,
gas_imp,Piped Gas imports,Secondary,Gas Exports,Gas Secondary,,Gas,
gas_ppl,"Gas power plant, Rankine cycle",Secondary,Gas Secondary,Electricity Secondary,yes,Electricity,Gas|w/o CCS
gas_rc,Gas heating in residential/commercial sector,Final,Gas Secondary,Gas Final,,Gas,
gas_t/d,Transmission/Distribution of gas,Final,Gas Secondary,Gas Final,yes,Gas,
gas_t/d_ch4,Transmission/Distribution of gas with CH4 mitigation,Final,Gas Secondary,Gas Final,yes,Gas,
gas_trp,gas-based transport,Useful,Gas Final ,Transport Useful,,Transport,
geo_hpl,Geothermal heat plant,Secondary,-,D_Heat Secondary,yes,Heat,
geo_ppl,Geothermal power plant,Secondary,-,Electricity Secondary,yes,Electricity,
gfc_co2scr,New co2 scrubber for gas fuel cells,Secondary,-,Exports Secondary,yes,Gas,
glb_coal_exp,Global net export of coal,Imports,-,Coal Imports,,Solids,
glb_coal_imp,Global net import of coal,Exports,Electricity Exports,Total Exports,,Solids,
glb_elec_exp,Global net export of electricity,Imports,-,Electricity Imports,,Electricity,
glb_elec_imp,Global net import of electricity,Exports,Electricity Exports,Total Exports,,Electricity,
glb_eth_imp,Global net import of ethanol,Exports,Ethanol Exports ,Total Exports,,Liquids,
glb_foil_exp,Global net export of fuel oil,Imports,-,Fuel Oil Imports,,Liquids,
glb_foil_imp,Global net import of fuel oil,Exports,Fuel Oil Exports,Total Exports,,Liquids,
glb_gas_exp,Global net export of gas,Exports,-,Gas Exports,,Gas,
glb_lh2_imp,Global net import of liquid hydrogen,Exports,Liquid Hydrogen Exports,Total Exports,,Hydrogen,
glb_LNG_exp,Global net export of liquified natural gas,Imports,-,LNG Imports,,Gas,
glb_loil_exp,Global net export of light oil,Imports,-,Loil Imports ,,Liquids,
glb_loil_imp,Global net import of light oil,Exports,Loil Exports,Total Exports,,Liquids,
glb_meth_imp,Global net import of methanol,Exports,Methanol Exports,Total Exports,,Liquids,
glb_oil_exp,Global net export of crude oil,Imports,-,Oil Imports,,Liquids,
glb_oil_imp,Global net import of crude oil,Exports,Oil Exports,Total Exports,,Liquids,
h2_bio,Hydrogen production from biomass with C (via gasification),Secondary,Biomass Primary ,Hydrogen Secondary,yes,Hydrogen,
h2_bio_ccs,Hydrogen production from biomass with C (via gasification) with carbon capture and storage,Secondary,Biomass Primary ,Hydrogen Secondary,yes,Hydrogen,
h2_co2_scrub,CO2 scrubber for h2 production from coal and gas,Exports,Electricity Secondary,Exports Secondary,yes,Hydrogen,
h2_coal,Hydrogen production via coal gasification,Secondary,Coal Secondary,Hydrogen Secondary,yes,Hydrogen,
h2_coal_ccs,Hydrogen production via coal gasification with carbon capture and storage,Secondary,Coal Secondary,Hydrogen Secondary,yes,Hydrogen,
h2_elec,Hydrogen production via electrolysis,Secondary,Electricity Secondary,Hydrogen Secondary,yes,Hydrogen,
h2_fc_I,Hydrogen fuel cell cogeneration system for industry,Useful,Hydrogen Final ,Industry Useful,yes,Industry,
h2_fc_RC,Hydrogen fuel cell cogeneration system for res/comm,Useful,Hydrogen Final ,RC Useful,yes,Residential/Commercial,
h2_fc_trp,Hydrogen fuel cell-based transport (plus off-hours electricity generation),Useful,Liquid Hydrogen Final ,Transport Useful,yes,Transport,
h2_i,Gaseous hydrogen in industry thermal,Useful,Hydrogen Final,Industry Thermal Useful,yes,Industry,
h2_liq,Hydrogen liquefaction,Primary,Hydrogen Primary ,Liquid Hydrogen Primary,yes,Hydrogen,
h2_mix,Hydrogen injection into the natural gas system,Secondary,Hydrogen Secondary,Gas Secondary,,Gas,
h2_rc,Hydrogen (gaseous) catalytic heating in,Secondary,Hydrogen Final ,RC Thermal Useful,,Residential/Commercial,
h2_smr,Hydrogen production via steam-methane reforming of natural gas,Secondary,Gas Secondary ,Hydrogen Secondary,yes,Hydrogen,
h2_smr_ccs,Hydrogen production via steam-methane reforming of natural gas with carbon capture and storage,Secondary,Gas Secondary ,Hydrogen Secondary,yes,Hydrogen,
h2_t/d,Transmission/Distribution of gaseous hydrogen (just linking technology),Final ,Hydrogen Secondary,Hydrogen Final,yes,Hydrogen,
h2b_co2_scrub,CO2 scrubber for h2 production from biomass,Secondary,Electricity Secondary,Exports Secondary,yes,Hydrogen,
heat_i,District heating for thermal uses in industry,Useful,D_heat Final ,Industry Thermal Useful,yes,Industry,
heat_rc,District heating in residential/commercial sector,Useful,D_Heat Final ,RC_Thermal Useful,,Residential/Commercial,
heat_t/d,Transmission/Distribution of district heat,Final ,D_Heat Secondary,D_Heat Final ,yes,Heat,
HFC_TCE,HFC total carbon equivalent emissions,Primary,-,Dummy Primary,,Dummy,
HFCo_TCE,"Dummy technology converting HFC equiv emissions from solvents, fire extinguishers, aerosols MDI, aerosols non-MDI to total carbon eqivalent emissions (TCE)",Primary,-,Dummy Primary,,Dummy,
hp_el_i,Eectric heat pump in industry thermal,Useful,Electricity Final ,Industry Thermal Useful,yes,Industry,
hp_el_rc,Electric heat pump in residential/commercial sector,Useful,Electricity Final ,RC_Thermal Useful,,Residential/Commercial,
hp_gas_i,Natural gas heat pump in industry thermal,Useful,Gas Final ,Industry Thermal Useful,yes,Industry,
hp_gas_rc,Natural gas heat pump in residential/commercial sector,Useful,Gas Final ,RC_Thermal Useful,,Residential/Commercial,
hydro_hc,High cost hydro power plant,Secondary,-,Electricity Secondary,yes,Electricity,Hydro
hydro_lc,Low cost hydro power plant,Secondary,-,Electricity Secondary,yes,Electricity,Hydro
igcc,Integrated gasification combined cycle (IGCC) power plant,Secondary,Coal Secondary,Electricity Secondary,yes,Electricity,Coal|w/o CCS
igcc_ccs,Integrated gasification combined cycle (IGCC) power plant with carbon capture and storage,Secondary,Coal Secondary,Electricity Secondary,yes,Electricity,Coal|w/ CCS
igcc_co2scr,New coal scrubber for igcc plants,Exports,-,Exports Secondary,yes,Electricity,
imp_total,Used in balance equation for imported energy supply ,Exports,-,Exports Secondary,,Dummy,
Ispec_1,conservation cost curve step for industry specific demand,Useful,-,Industry Useful,,Industry,
Ispec_2,conservation cost curve step for industry specific demand,Useful,-,Industry Useful,,Industry,
Ispec_3,conservation cost curve step for industry specific demand,Useful,-,Industry Useful,,Industry,
Ispec_4,conservation cost curve step for industry specific demand,Useful,-,Industry Useful,,Industry,
Ispec_5,conservation cost curve step for industry specific demand,Useful,-,Industry Useful,,Industry,
Ispec_con,joint diffusion constraint for industry specific conservation cost curve steps,Primary,-,Dummy Agriculture Primary,,Industry,
Itherm_1,conservation cost curve step for industry thermal demand,Useful,-,Industry Thermal Useful,,Industry,
Itherm_2,conservation cost curve step for industry thermal demand,Useful,-,Industry Thermal Useful,,Industry,
Itherm_3,conservation cost curve step for industry thermal demand,Useful,-,Industry Thermal Useful,,Industry,
Itherm_4,conservation cost curve step for industry thermal demand,Useful,-,Industry Thermal Useful,,Industry,
Itherm_5,conservation cost curve step for industry thermal demand,Useful,-,Industry Thermal Useful,,Industry,
Itherm_con,joint diffusion constraint for industry thermal conservation cost curve steps,Dummy,-,Dummy Agriculture Primary,,Industry,
landfill_compost1,Landfill mitigation technology (composting) technology 1 for CH4 mitigation,Dummy,-,Dummy Primary,yes,Non-CO2,
landfill_compost2,Landfill mitigation technology (composting) technology 2 for CH4 mitigation,Dummy,-,Dummy Primary,yes,Non-CO2,
landfill_direct1,Landfill mitigaiton technology (direct) 1 for CH4 mitigation,Dummy,-,Dummy Primary,yes,Non-CO2,
landfill_direct2,Landfill mitigaiton technology (direct) 1 for CH4 mitigation,Dummy,-,Dummy Primary,yes,Non-CO2,
landfill_ele,Landfill mitigaiton technology (ele) 1 for CH4 mitigation,Dummy,-,Dummy Primary,yes,Non-CO2,
landfill_flaring,Landfill mitigaiton technology (flaring) 1 for CH4 mitigation,Dummy,-,Dummy Primary,yes,Non-CO2,
landfill_heatprdn,Landfill mitigaiton technology (heat production) 1 for CH4 mitigation,Dummy,-,Dummy Primary,yes,Non-CO2,
landfill_oxdn,Landfill mitigaiton technology (oxidation) 1 for CH4 mitigation,Dummy,-,Dummy Primary,yes,Non-CO2,
leak_repair,"Leak-repairs, HFC-134a from refrigeration & AC(SR)",Dummy,-,Dummy Primary,,Non-CO2,
leak_repairsf6,Recycling gas carts for SF6 recovery during assembly of gas insulated equipment,Dummy,-,Dummy Primary,,Non-CO2,
lfil_con,joint diffusion constraint for lanfill mitigation technologies,Dummy,-,Dummy Agriculture Primary,,Non-CO2,
lh2_bal,Link technology to stabilize liquid hydrogen production,Secondary,Liquid Hydrogen Primary,Liquid Hydrogen Secondary,,Hydrogen,
lh2_exp,Exports of liquid hydrogen,Exports,Liquid Hydrogen Primary,Liquid Hydrogen Exports,,Hydrogen,
lh2_imp,Imports of liquid hydrogen,Secondary,Liquid Hydrogen Exports,Liquid Hydrogen Secondary,,Hydrogen,
lh2_regas,Regasification of liquid hydrogen,Secondary,Liquid Hydrogen Secondary,Hydrogen Secondary,yes,Hydrogen,
lh2_t/d,Transmission/Distribution of liquid hydrogen,Final ,Liquid Hydrogen Secondary,Liquid Hydrogen Final,yes,Hydrogen,
lignite_extr,"Lignite extraction, world average grade A",Primary,Lignite Resource ,Coal Primary ,,Extraction,
liq_bio,Second Generation Ethanol Production based on Biomass to FTL,Primary,Biomass Primary,Ethanol Primary,yes,Liquids,
liq_bio_ccs,Second Generation Ethanol Production with carbon capture and storage based on Biomass to FTL,Primary,Biomass Primary,Ethanol Primary,yes,Liquids,
LNG_bal,Link technology to stabilize liquified natural gas production,Secondary,LNG Primary,LNG Secondary,,Gas,
LNG_imp,LNG Imports,Imports,LNG Imports ,LNG Secondary,,Gas,
LNG_regas,LNG regasification (just link; losses are in trade),Secondary,LNG Secondary,Gas Secondary,yes,Gas,
loil_cc,Light oil combined cycle,Secondary,Light Oil Secondary,Electricity Secondary,yes,Electricity,Gas|w/o CCS
loil_exp,Net exports of crude oil at 15% above oil price,Exports,Light Oil Secondary,Light Oil Exports,,Liquids,
loil_fs,Lightoil as feedstock,Useful,Light Oil Final,Industry FS Useful,,Feedstock,
loil_i,Lightoil for thermal uses in industry,Useful,Light Oil Final ,Industry TH Useful,yes,Industry,
loil_imp,Net imports of light oil at 15% above crude price,Secondary,Light Oil Imports,Light Oil Secondary,,Liquids,
loil_ppl,Existing light oil power-plant,Secondary,Light Oil Secondary,Electricity Secondary,yes,Electricity,Gas|w/o CCS
loil_rc,Lightoil heating in residential/commercial sector,Useful,Light Oil Final,RC_Thermal Useful,,Residential/Commercial,
loil_std,Standard light oil power-plant,Secondary,-,Light Oil Secondary,yes,Liquids,
loil_t/d,Transmission/Distribution of lightoil (just linking technology),Final ,Light Oil Secondary,Light Oil Final,,Liquids,
loil_trp,Lightoil-based transport,Useful,Light Oil Final ,Transport Useful,,Transport,
manu_con,joint diffusion constraint for manure management+B249 mitigation technologies,Primary,-,Dummy Agriculture Primary,,Non-CO2,
meth_bal,Link technology to stabilize methanol production,Primary,Methanol Primary,Methanol Secondary,,Non-CO2,
meth_coal,Methanol synthesis via coal gasification,Primary,Coal Secondary/ Electricity Secondary,Methanol Primary,yes,Liquids,
meth_coal_ccs,Methanol synthesis via coal gasification with carbon capture and storage,Primary,Coal Secondary,Methanol Primary,yes,Liquids,
meth_exp,Exports of methanol (no accounting of CO2 transferred),Exports,Methanol Primary,Methanol Exports,,Liquids,
meth_fc_trp,Methanol (with C) fuel cell-based transport,Useful,Methanol Final ,Transport Useful,,Transport,
meth_i,Methanol (with C) replacement for use as liquid fuel in industry,Useful,Methanol Final ,Industry Useful,yes,Industry,
meth_ic_trp,Methanol (with C) ic-engine-based transport,Useful,Methanol Final ,Transport Useful,,Transport,
meth_imp,Imports of methanol (no accounting of CO2 transferred),Secondary,Methanol Exports,Methanol Secondary,,Liquids,
meth_ng,Methanol synthesis via natural gas,Primary,Gas Secondary,Methanol Primary,yes,Liquids,
meth_ng_ccs,Methanol synthesis via natural gas with carbon capture and storage,Primary,Gas Secondary,Methanol Primary,yes,Liquids,
meth_rc,Methanol (with C) replacement for use as liquid fuel in residential/commercial,Useful,Methanol Final ,RC_Thermal Useful,,Residential/Commercial,
meth_t/d,Transmission/Distribution of methanol with C,Final ,Methanol Secondary,Methanol Final,,Liquids,
methanol_fs,Methanol as feedstock,Useful,Methanol Final ,Industry FS Useful,,Feedstock,
mvac_co2,Transcritical vapor cycle CO2 systems for mobile vehicle air conditioners,Dummy,-,Dummy  Agricultute,,Non-CO2,
N2O_TCE,N2O total carbon equivalent emissions,Dummy,-,Dummy  Agricultute,,Dummy,
N2OG_TCE,N2O soil emissions total carbon equivalent emissions,Dummy,-,Dummy  Agricultute,,Dummy,
N2On_TCE,N2O adipic acid total carbon equivalent emissions,Dummy,-,Dummy  Agricultute,,Dummy,
N2Oo_TCE,"Dummy technology converting N2O emissions from Manure Management, Human Sewage, Other Agricultural sources, Other Non Ag Sources to total carbon eqivalent emissions (TCE)",Dummy,-,Dummy  Agricultute,,Dummy,
nica_con,,Dummy,-,Dummy  Agricultute,,Dummy,
nitric_catalytic1,Mitigation technology (catalytic converter) category 2 for N2O emissions,Dummy,-,Dummy Primary,,Dummy,
nitric_catalytic2,Mitigation technology (catalytic converter) category 1 for N2O emissions,Dummy,-,Dummy Primary,,Dummy,
nitric_catalytic3,Mitigation technology (catalytic converter) category 3 for N2O emissions,Dummy,-,Dummy Primary,,Dummy,
nitric_catalytic4,Mitigation technology (catalytic converter) category 4 for N2O emissions,Dummy,-,Dummy Primary,,Dummy,
nitric_catalytic5,Mitigation technology (catalytic converter) category 5 for N2O emissions,Dummy,-,Dummy Primary,,Dummy,
nitric_catalytic6,Mitigation technology (catalytic converter) category 6 for N2O emissions,Dummy,-,Dummy Primary,,Dummy,
nitric_catalytic7,Mitigation technology (catalytic converter) category 7 for N2O emissions,Dummy,-,Dummy Primary,,Dummy,
nuc_hc,"Nuclear power plant (~GEN III+), high cost",Secondary,U5 Stocks,Electricity Secondary,yes,Electricity,Nuclear
nuc_lc,"Nuclear power plant (~GEN II), low cost",Secondary,U5 Stocks,Electricity Secondary,yes,Electricity,Nuclear
oil_bal,Link technology to stabilize crude oil production,Secondary,Crude Oil Primary,Crude Oil Secondary,,Liquids,
oil_exp,Net exports of crude oil at 100% of oil price,Exports,Crude Oil Primary,Oil Exports,,Liquids,
oil_extr_1,"Crude oil extraction, Cat I = Masters 14 WPC conv. oil reserves",Primary,Crude 1 Resource Primary,Crude Oil Primary,,Extraction,
oil_extr_1_ch4,Describes efforts in CH4-reduction from oil extraction of Cat I,Primary,Crude 1 Resource Primary,Crude Oil Primary,,Extraction,
oil_extr_2,"Crude oil extraction,Cat II = Masters mode undiscovered conv. oil (incl. NGL)",Primary,Crude 2 Resource Primary,Crude Oil Primary,,Extraction,
oil_extr_2_ch4,Describes efforts in CH4-reduction from oil extraction of Cat II ,Primary,Crude 2 Resource Primary,Crude Oil Primary,,Extraction,
oil_extr_3,"Crude oil extraction, Cat III = Masters 5% - Masters 50%",Primary,Crude 3 Resource Primary,Crude Oil Primary,,Extraction,
oil_extr_3_ch4,Describes efforts in CH4-reduction from oil extraction of Cat III ,Primary,Crude 3 Resource Primary,Crude Oil Primary,,Extraction,
oil_extr_4,"Crude oil extraction, Cat IV = Recoverable ""reserves"" non-conventional oil",Primary,Crude 4 Resource Primary,Crude Oil Primary,,Extraction,
oil_extr_4_ch4,Describes efforts in CH4-reduction from oil extraction of Cat IV ,Primary,Crude  4 Resource Primary,Crude Oil Primary,,Extraction,
