parameter,technology,mode,commodity,level,time,time_origin,value,unit,node_loc,time_dest,emission
input,gas_NH3,M1,freshwater_supply,water_supply,year,year,2.104529616724739,-,default,,
output,gas_NH3,M1,NH3,secondary_material,year,,1.0,-,default,year,
output,gas_NH3,M1,wastewater,wastewater,year,,2.045296167247387,-,default,year,
output,gas_NH3,M1,d_heat,secondary,year,,0.122679,-,default,year,
input,gas_NH3_ccs,M1,gas,secondary,year,year,1.1095467239451804,-,default,,
input,gas_NH3_ccs,M1,electr,secondary,year,year,0.009354393949999998,-,default,,
input,gas_NH3_ccs,M1,freshwater_supply,water_supply,year,year,2.104529616724739,-,default,,
output,gas_NH3_ccs,M1,NH3,secondary_material,year,,1.0,-,default,year,
output,gas_NH3_ccs,M1,wastewater,wastewater,year,,2.045296167247387,-,default,year,
output,gas_NH3_ccs,M1,d_heat,secondary,year,,0.122679,-,default,year,
input,import_NFert,M1,Fertilizer Use|Nitrogen,import,year,year,1.0,-,default,,
output,import_NFert,M1,Fertilizer Use|Nitrogen,final_material,year,,1.0,-,default,year,
input,import_NH3,M1,NH3,import,year,year,1.0,-,default,,
output,import_NH3,M1,NH3,secondary_material,year,,1.0,-,default,year,
input,NH3_to_N_fertil,M1,NH3,secondary_material,year,year,1.214285714285714,-,default,,
input,NH3_to_N_fertil,M1,electr,secondary,year,year,0.0,-,default,,
input,NH3_to_N_fertil,M1,freshwater_supply,water_supply,year,year,0.0,-,default,,
output,NH3_to_N_fertil,M1,Fertilizer Use|Nitrogen,final_material,year,,1.0,-,default,year,
output,NH3_to_N_fertil,M1,wastewater,wastewater,year,,0.0,-,default,year,
output,NH3_to_N_fertil,M1,d_heat,secondary,year,,0.0,-,default,year,
input,trade_NFert,M1,Fertilizer Use|Nitrogen,export,year,year,1.0,-,R12_GLB,,
output,trade_NFert,M1,Fertilizer Use|Nitrogen,import,year,,1.0,-,R12_GLB,year,
input,trade_NH3,M1,NH3,export,year,year,1.0,-,R12_GLB,,
output,trade_NH3,M1,NH3,import,year,,1.0,-,R12_GLB,year,
inv_cost,NH3_to_N_fertil,,,,,,2537.625418060201,-,default,,
inv_cost,biomass_NH3,,,,,,3209.322451379023,-,R12_AFR,,
inv_cost,biomass_NH3,,,,,,1531.722079067261,-,R12_RCPA,,
inv_cost,biomass_NH3,,,,,,3501.079037868025,-,R12_EEU,,
inv_cost,biomass_NH3,,,,,,3501.079037868025,-,R12_FSU,,
inv_cost,biomass_NH3,,,,,,2954.035438201146,-,R12_LAM,,
inv_cost,biomass_NH3,,,,,,2954.035438201146,-,R12_MEA,,
inv_cost,biomass_NH3,,,,,,3646.957331112526,-,R12_NAM,,
inv_cost,biomass_NH3,,,,,,4084.59221084603,-,R12_PAO,,
inv_cost,biomass_NH3,,,,,,2370.522265223142,-,R12_PAS,,
inv_cost,biomass_NH3,,,,,,2370.522265223142,-,R12_SAS,,
inv_cost,biomass_NH3,,,,,,3501.079037868025,-,R12_WEU,,
inv_cost,biomass_NH3,,,,,,1531.722079067261,-,R12_CHN,,
inv_cost,biomass_NH3_ccs,,,,,,3178.877850806111,-,R12_AFR,,
inv_cost,biomass_NH3_ccs,,,,,,2364.774986575278,-,R12_RCPA,,
inv_cost,biomass_NH3_ccs,,,,,,3566.545881392223,-,R12_EEU,,
inv_cost,biomass_NH3_ccs,,,,,,3566.545881392223,-,R12_FSU,,
inv_cost,biomass_NH3_ccs,,,,,,3101.344244688889,-,R12_LAM,,
inv_cost,biomass_NH3_ccs,,,,,,3101.344244688889,-,R12_MEA,,
inv_cost,biomass_NH3_ccs,,,,,,3876.680305861112,-,R12_NAM,,
inv_cost,biomass_NH3_ccs,,,,,,4070.514321154168,-,R12_PAO,,
inv_cost,biomass_NH3_ccs,,,,,,2713.676214102778,-,R12_PAS,,
inv_cost,biomass_NH3_ccs,,,,,,2713.676214102778,-,R12_SAS,,
inv_cost,biomass_NH3_ccs,,,,,,3799.146699743889,-,R12_WEU,,
inv_cost,biomass_NH3_ccs,,,,,,2364.774986575278,-,R12_CHN,,
inv_cost,coal_NH3,,,,,,2567.457961103219,-,R12_AFR,,
inv_cost,coal_NH3,,,,,,1225.377663253809,-,R12_RCPA,,
inv_cost,coal_NH3,,,,,,2800.86323029442,-,R12_EEU,,
inv_cost,coal_NH3,,,,,,2800.86323029442,-,R12_FSU,,
inv_cost,coal_NH3,,,,,,2363.228350560918,-,R12_LAM,,
inv_cost,coal_NH3,,,,,,2363.228350560918,-,R12_MEA,,
inv_cost,coal_NH3,,,,,,2917.565864890021,-,R12_NAM,,
inv_cost,coal_NH3,,,,,,3267.673768676824,-,R12_PAO,,
inv_cost,coal_NH3,,,,,,1896.417812178514,-,R12_PAS,,
inv_cost,coal_NH3,,,,,,1896.417812178514,-,R12_SAS,,
inv_cost,coal_NH3,,,,,,2800.86323029442,-,R12_WEU,,
inv_cost,coal_NH3,,,,,,1225.377663253809,-,R12_CHN,,
inv_cost,coal_NH3_ccs,,,,,,2531.445407825986,-,R12_AFR,,
inv_cost,coal_NH3_ccs,,,,,,1883.148413138844,-,R12_RCPA,,
inv_cost,coal_NH3_ccs,,,,,,2840.158262438912,-,R12_EEU,,
inv_cost,coal_NH3_ccs,,,,,,2840.158262438912,-,R12_FSU,,
inv_cost,coal_NH3_ccs,,,,,,2469.702836903401,-,R12_LAM,,
inv_cost,coal_NH3_ccs,,,,,,2469.702836903401,-,R12_MEA,,
inv_cost,coal_NH3_ccs,,,,,,3087.128546129252,-,R12_NAM,,
inv_cost,coal_NH3_ccs,,,,,,3241.484973435714,-,R12_PAO,,
inv_cost,coal_NH3_ccs,,,,,,2160.989982290476,-,R12_PAS,,
inv_cost,coal_NH3_ccs,,,,,,2160.989982290476,-,R12_SAS,,
inv_cost,coal_NH3_ccs,,,,,,3025.385975206667,-,R12_WEU,,
inv_cost,coal_NH3_ccs,,,,,,1883.148413138844,-,R12_CHN,,
inv_cost,electr_NH3,,,,,,3824.857688727772,-,default,,
inv_cost,export_NFert,,,,,,500.0,-,default,,
inv_cost,export_NH3,,,,,,500.0,-,default,,
inv_cost,fueloil_NH3,,,,,,2888.390206241121,-,R12_AFR,,
inv_cost,fueloil_NH3,,,,,,1378.549871160535,-,R12_RCPA,,
inv_cost,fueloil_NH3,,,,,,3150.971134081223,-,R12_EEU,,
inv_cost,fueloil_NH3,,,,,,3150.971134081223,-,R12_FSU,,
inv_cost,fueloil_NH3,,,,,,2658.631894381032,-,R12_LAM,,
inv_cost,fueloil_NH3,,,,,,2658.631894381032,-,R12_MEA,,
inv_cost,fueloil_NH3,,,,,,3282.261598001274,-,R12_NAM,,
inv_cost,fueloil_NH3,,,,,,3676.132989761427,-,R12_PAO,,
inv_cost,fueloil_NH3,,,,,,2133.470038700828,-,R12_PAS,,
inv_cost,fueloil_NH3,,,,,,2133.470038700828,-,R12_SAS,,
inv_cost,fueloil_NH3,,,,,,3150.971134081223,-,R12_WEU,,
inv_cost,fueloil_NH3,,,,,,1378.549871160535,-,R12_CHN,,
inv_cost,fueloil_NH3_ccs,,,,,,2847.876083804235,-,R12_AFR,,
inv_cost,fueloil_NH3_ccs,,,,,,2118.541964781199,-,R12_RCPA,,
inv_cost,fueloil_NH3_ccs,,,,,,3195.178045243776,-,R12_EEU,,
inv_cost,fueloil_NH3_ccs,,,,,,3195.178045243776,-,R12_FSU,,
inv_cost,fueloil_NH3_ccs,,,,,,2778.415691516327,-,R12_LAM,,
inv_cost,fueloil_NH3_ccs,,,,,,2778.415691516327,-,R12_MEA,,
inv_cost,fueloil_NH3_ccs,,,,,,3473.019614395409,-,R12_NAM,,
inv_cost,fueloil_NH3_ccs,,,,,,3646.670595115179,-,R12_PAO,,
inv_cost,fueloil_NH3_ccs,,,,,,2431.113730076786,-,R12_PAS,,
inv_cost,fueloil_NH3_ccs,,,,,,2431.113730076786,-,R12_SAS,,
inv_cost,fueloil_NH3_ccs,,,,,,3403.5592221075,-,R12_WEU,,
inv_cost,fueloil_NH3_ccs,,,,,,2118.541964781199,-,R12_CHN,,
inv_cost,gas_NH3,,,,,,1925.593470827414,-,R12_AFR,,
inv_cost,gas_NH3,,,,,,919.0332474403565,-,R12_RCPA,,
inv_cost,gas_NH3,,,,,,2100.647422720815,-,R12_EEU,,
inv_cost,gas_NH3,,,,,,2100.647422720815,-,R12_FSU,,
inv_cost,gas_NH3,,,,,,1772.421262920688,-,R12_LAM,,
inv_cost,gas_NH3,,,,,,1772.421262920688,-,R12_MEA,,
inv_cost,gas_NH3,,,,,,2188.174398667516,-,R12_NAM,,
inv_cost,gas_NH3,,,,,,2450.755326507618,-,R12_PAO,,
inv_cost,gas_NH3,,,,,,1422.313359133885,-,R12_PAS,,
inv_cost,gas_NH3,,,,,,1422.313359133885,-,R12_SAS,,
inv_cost,gas_NH3,,,,,,2100.647422720815,-,R12_WEU,,
inv_cost,gas_NH3,,,,,,919.0332474403565,-,R12_CHN,,
inv_cost,gas_NH3_ccs,,,,,,2407.493414836345,-,R12_AFR,,
inv_cost,gas_NH3_ccs,,,,,,1790.940223231915,-,R12_RCPA,,
inv_cost,gas_NH3_ccs,,,,,,2701.090172743216,-,R12_EEU,,
inv_cost,gas_NH3_ccs,,,,,,2701.090172743216,-,R12_FSU,,
inv_cost,gas_NH3_ccs,,,,,,2348.77406325497,-,R12_LAM,,
inv_cost,gas_NH3_ccs,,,,,,2348.77406325497,-,R12_MEA,,
inv_cost,gas_NH3_ccs,,,,,,2935.967579068713,-,R12_NAM,,
inv_cost,gas_NH3_ccs,,,,,,3082.765958022149,-,R12_PAO,,
inv_cost,gas_NH3_ccs,,,,,,2055.177305348099,-,R12_PAS,,
inv_cost,gas_NH3_ccs,,,,,,2055.177305348099,-,R12_SAS,,
inv_cost,gas_NH3_ccs,,,,,,2877.248227487339,-,R12_WEU,,
inv_cost,gas_NH3_ccs,,,,,,1790.940223231915,-,R12_CHN,,
fix_cost,NH3_to_N_fertil,,,,,,101.505016722408,-,default,,
fix_cost,biomass_NH3,,,,,,128.3728980551609,-,R12_AFR,,
fix_cost,biomass_NH3,,,,,,61.26888316269044,-,R12_RCPA,,
fix_cost,biomass_NH3,,,,,,140.043161514721,-,R12_EEU,,
fix_cost,biomass_NH3,,,,,,140.043161514721,-,R12_FSU,,
fix_cost,biomass_NH3,,,,,,118.1614175280459,-,R12_LAM,,
fix_cost,biomass_NH3,,,,,,118.1614175280459,-,R12_MEA,,
fix_cost,biomass_NH3,,,,,,145.8782932445011,-,R12_NAM,,
fix_cost,biomass_NH3,,,,,,163.3836884338412,-,R12_PAO,,
fix_cost,biomass_NH3,,,,,,94.8208906089257,-,R12_PAS,,
fix_cost,biomass_NH3,,,,,,94.8208906089257,-,R12_SAS,,
fix_cost,biomass_NH3,,,,,,140.043161514721,-,R12_WEU,,
fix_cost,biomass_NH3,,,,,,61.26888316269044,-,R12_CHN,,
fix_cost,biomass_NH3_ccs,,,,,,127.1551140322445,-,R12_AFR,,
fix_cost,biomass_NH3_ccs,,,,,,94.59099946301113,-,R12_RCPA,,
fix_cost,biomass_NH3_ccs,,,,,,142.6618352556889,-,R12_EEU,,
fix_cost,biomass_NH3_ccs,,,,,,142.6618352556889,-,R12_FSU,,
fix_cost,biomass_NH3_ccs,,,,,,124.0537697875556,-,R12_LAM,,
fix_cost,biomass_NH3_ccs,,,,,,124.0537697875556,-,R12_MEA,,
fix_cost,biomass_NH3_ccs,,,,,,155.0672122344445,-,R12_NAM,,
fix_cost,biomass_NH3_ccs,,,,,,162.8205728461667,-,R12_PAO,,
fix_cost,biomass_NH3_ccs,,,,,,108.5470485641111,-,R12_PAS,,
fix_cost,biomass_NH3_ccs,,,,,,108.5470485641111,-,R12_SAS,,
fix_cost,biomass_NH3_ccs,,,,,,151.9658679897556,-,R12_WEU,,
fix_cost,biomass_NH3_ccs,,,,,,94.59099946301113,-,R12_CHN,,
fix_cost,coal_NH3,,,,,,102.6983184441288,-,R12_AFR,,
fix_cost,coal_NH3,,,,,,49.01510653015236,-,R12_RCPA,,
fix_cost,coal_NH3,,,,,,112.0345292117768,-,R12_EEU,,
fix_cost,coal_NH3,,,,,,112.0345292117768,-,R12_FSU,,
fix_cost,coal_NH3,,,,,,94.5291340224367,-,R12_LAM,,
fix_cost,coal_NH3,,,,,,94.5291340224367,-,R12_MEA,,
fix_cost,coal_NH3,,,,,,116.7026345956009,-,R12_NAM,,
fix_cost,coal_NH3,,,,,,130.706950747073,-,R12_PAO,,
fix_cost,coal_NH3,,,,,,75.85671248714056,-,R12_PAS,,
fix_cost,coal_NH3,,,,,,75.85671248714056,-,R12_SAS,,
fix_cost,coal_NH3,,,,,,112.0345292117768,-,R12_WEU,,
fix_cost,coal_NH3,,,,,,49.01510653015236,-,R12_CHN,,
fix_cost,coal_NH3_ccs,,,,,,101.2578163130395,-,R12_AFR,,
fix_cost,coal_NH3_ccs,,,,,,75.32593652555374,-,R12_RCPA,,
fix_cost,coal_NH3_ccs,,,,,,113.6063304975565,-,R12_EEU,,
fix_cost,coal_NH3_ccs,,,,,,113.6063304975565,-,R12_FSU,,
fix_cost,coal_NH3_ccs,,,,,,98.78811347613606,-,R12_LAM,,
fix_cost,coal_NH3_ccs,,,,,,98.78811347613606,-,R12_MEA,,
fix_cost,coal_NH3_ccs,,,,,,123.4851418451701,-,R12_NAM,,
fix_cost,coal_NH3_ccs,,,,,,129.6593989374286,-,R12_PAO,,
fix_cost,coal_NH3_ccs,,,,,,86.43959929161905,-,R12_PAS,,
fix_cost,coal_NH3_ccs,,,,,,86.43959929161905,-,R12_SAS,,
fix_cost,coal_NH3_ccs,,,,,,121.0154390082667,-,R12_WEU,,
fix_cost,coal_NH3_ccs,,,,,,75.32593652555374,-,R12_CHN,,
fix_cost,electr_NH3,,,,,,152.9943075491109,-,default,,
fix_cost,fueloil_NH3,,,,,,115.5356082496449,-,R12_AFR,,
fix_cost,fueloil_NH3,,,,,,55.1419948464214,-,R12_RCPA,,
fix_cost,fueloil_NH3,,,,,,126.0388453632489,-,R12_EEU,,
fix_cost,fueloil_NH3,,,,,,126.0388453632489,-,R12_FSU,,
fix_cost,fueloil_NH3,,,,,,106.3452757752413,-,R12_LAM,,
fix_cost,fueloil_NH3,,,,,,106.3452757752413,-,R12_MEA,,
fix_cost,fueloil_NH3,,,,,,131.290463920051,-,R12_NAM,,
fix_cost,fueloil_NH3,,,,,,147.0453195904571,-,R12_PAO,,
fix_cost,fueloil_NH3,,,,,,85.33880154803313,-,R12_PAS,,
fix_cost,fueloil_NH3,,,,,,85.33880154803313,-,R12_SAS,,
fix_cost,fueloil_NH3,,,,,,126.0388453632489,-,R12_WEU,,
fix_cost,fueloil_NH3,,,,,,55.1419948464214,-,R12_CHN,,
fix_cost,fueloil_NH3_ccs,,,,,,113.9150433521694,-,R12_AFR,,
fix_cost,fueloil_NH3_ccs,,,,,,84.74167859124798,-,R12_RCPA,,
fix_cost,fueloil_NH3_ccs,,,,,,127.8071218097511,-,R12_EEU,,
fix_cost,fueloil_NH3_ccs,,,,,,127.8071218097511,-,R12_FSU,,
fix_cost,fueloil_NH3_ccs,,,,,,111.1366276606531,-,R12_LAM,,
fix_cost,fueloil_NH3_ccs,,,,,,111.1366276606531,-,R12_MEA,,
fix_cost,fueloil_NH3_ccs,,,,,,138.9207845758164,-,R12_NAM,,
fix_cost,fueloil_NH3_ccs,,,,,,145.8668238046072,-,R12_PAO,,
fix_cost,fueloil_NH3_ccs,,,,,,97.24454920307144,-,R12_PAS,,
fix_cost,fueloil_NH3_ccs,,,,,,97.24454920307144,-,R12_SAS,,
fix_cost,fueloil_NH3_ccs,,,,,,136.1423688843,-,R12_WEU,,
fix_cost,fueloil_NH3_ccs,,,,,,84.74167859124798,-,R12_CHN,,
fix_cost,gas_NH3,,,,,,77.02373883309656,-,R12_AFR,,
fix_cost,gas_NH3,,,,,,36.76132989761426,-,R12_RCPA,,
fix_cost,gas_NH3,,,,,,84.0258969088326,-,R12_EEU,,
fix_cost,gas_NH3,,,,,,84.0258969088326,-,R12_FSU,,
fix_cost,gas_NH3,,,,,,70.89685051682751,-,R12_LAM,,
fix_cost,gas_NH3,,,,,,70.89685051682751,-,R12_MEA,,
fix_cost,gas_NH3,,,,,,87.52697594670063,-,R12_NAM,,
fix_cost,gas_NH3,,,,,,98.03021306030472,-,R12_PAO,,
fix_cost,gas_NH3,,,,,,56.89253436535541,-,R12_PAS,,
fix_cost,gas_NH3,,,,,,56.89253436535541,-,R12_SAS,,
fix_cost,gas_NH3,,,,,,84.0258969088326,-,R12_WEU,,
fix_cost,gas_NH3,,,,,,36.76132989761426,-,R12_CHN,,
fix_cost,gas_NH3_ccs,,,,,,96.29973659345379,-,R12_AFR,,
fix_cost,gas_NH3_ccs,,,,,,71.6376089292766,-,R12_RCPA,,
fix_cost,gas_NH3_ccs,,,,,,108.0436069097287,-,R12_EEU,,
fix_cost,gas_NH3_ccs,,,,,,108.0436069097287,-,R12_FSU,,
fix_cost,gas_NH3_ccs,,,,,,93.95096253019882,-,R12_LAM,,
fix_cost,gas_NH3_ccs,,,,,,93.95096253019882,-,R12_MEA,,
fix_cost,gas_NH3_ccs,,,,,,117.4387031627485,-,R12_NAM,,
fix_cost,gas_NH3_ccs,,,,,,123.310638320886,-,R12_PAO,,
fix_cost,gas_NH3_ccs,,,,,,82.20709221392396,-,R12_PAS,,
fix_cost,gas_NH3_ccs,,,,,,82.20709221392396,-,R12_SAS,,
fix_cost,gas_NH3_ccs,,,,,,115.0899290994935,-,R12_WEU,,
fix_cost,gas_NH3_ccs,,,,,,71.6376089292766,-,R12_CHN,,
var_cost,NH3_to_N_fertil,M1,,,year,,317.3913043478261,-,default,,
var_cost,biomass_NH3,M1,,,year,,0.0,-,default,,
var_cost,biomass_NH3_ccs,M1,,,year,,0.0,-,default,,
var_cost,coal_NH3,M1,,,year,,0.0,-,default,,
var_cost,coal_NH3_ccs,M1,,,year,,0.0,-,default,,
var_cost,electr_NH3,M1,,,year,,0.0,-,default,,
var_cost,fueloil_NH3,M1,,,year,,0.0,-,default,,
var_cost,fueloil_NH3_ccs,M1,,,year,,0.0,-,default,,
var_cost,gas_NH3,M1,,,year,,0.0,-,default,,
var_cost,gas_NH3_ccs,M1,,,year,,0.0,-,default,,
var_cost,trade_NFert,M1,,,year,,30.0,-,R12_GLB,,
var_cost,trade_NH3,M1,,,year,,30.0,-,R12_GLB,,
technical_lifetime,NH3_to_N_fertil,,,,,,30.0,-,default,,
technical_lifetime,biomass_NH3,,,,,,30.0,-,default,,
technical_lifetime,biomass_NH3_ccs,,,,,,30.0,-,default,,
technical_lifetime,coal_NH3,,,,,,30.0,-,default,,
technical_lifetime,coal_NH3_ccs,,,,,,30.0,-,default,,
technical_lifetime,electr_NH3,,,,,,30.0,-,default,,
technical_lifetime,export_NFert,,,,,,30.0,-,default,,
technical_lifetime,export_NH3,,,,,,30.0,-,default,,
technical_lifetime,fueloil_NH3,,,,,,30.0,-,default,,
technical_lifetime,fueloil_NH3_ccs,,,,,,30.0,-,default,,
technical_lifetime,gas_NH3,,,,,,30.0,-,default,,
technical_lifetime,gas_NH3_ccs,,,,,,30.0,-,default,,
emission_factor,biomass_NH3,M1,,,,,0.0,-,default,,CO2_industry
emission_factor,biomass_NH3_ccs,M1,,,,,-0.34799,-,default,,CO2
emission_factor,biomass_NH3_ccs,M1,,,,,0.0,-,default,,CO2_industry
emission_factor,coal_NH3,M1,,,,,1.39081,-,default,,CO2_industry
emission_factor,coal_NH3_ccs,M1,,,,,-0.319795,-,default,,CO2
emission_factor,coal_NH3_ccs,M1,,,,,0.0341343,-,default,,CO2_industry
emission_factor,electr_NH3,M1,,,,,0.0,-,default,,CO2_industry
emission_factor,fueloil_NH3,M1,,,,,0.885187,-,default,,CO2_industry
emission_factor,fueloil_NH3_ccs,M1,,,,,-0.214834,-,default,,CO2
emission_factor,fueloil_NH3_ccs,M1,,,,,0.022931,-,default,,CO2_industry
emission_factor,gas_NH3,M1,,,,,0.534804,-,default,,CO2_industry
emission_factor,gas_NH3_ccs,M1,,,,,-0.127766,-,default,,CO2
emission_factor,gas_NH3_ccs,M1,,,,,0.0168113,-,default,,CO2_industry
capacity_factor,NH3_to_N_fertil,,,,year,,0.91324200913242,-,default,,
capacity_factor,biomass_NH3,,,,year,,0.91324200913242,-,default,,
capacity_factor,biomass_NH3_ccs,,,,year,,0.91324200913242,-,default,,
capacity_factor,coal_NH3,,,,year,,0.91324200913242,-,default,,
capacity_factor,coal_NH3_ccs,,,,year,,0.91324200913242,-,default,,
capacity_factor,electr_NH3,,,,year,,0.91324200913242,-,default,,
capacity_factor,fueloil_NH3,,,,year,,0.91324200913242,-,default,,
capacity_factor,fueloil_NH3_ccs,,,,year,,0.91324200913242,-,default,,
capacity_factor,gas_NH3,,,,year,,0.91324200913242,-,default,,
capacity_factor,gas_NH3_ccs,,,,year,,0.91324200913242,-,default,,
growth_activity_up,biomass_NH3,,,,year,,0.1,%,R12_AFR,,
growth_activity_up,biomass_NH3,,,,year,,0.1,%,R12_RCPA,,
growth_activity_up,biomass_NH3,,,,year,,0.1,%,R12_RCPA,,
growth_activity_up,biomass_NH3,,,,year,,0.1,%,R12_EEU,,
growth_activity_up,biomass_NH3,,,,year,,0.1,%,R12_FSU,,
growth_activity_up,biomass_NH3,,,,year,,0.1,%,R12_LAM,,
growth_activity_up,biomass_NH3,,,,year,,0.1,%,R12_MEA,,
growth_activity_up,biomass_NH3,,,,year,,0.1,%,R12_NAM,,
growth_activity_up,biomass_NH3,,,,year,,0.1,%,R12_PAO,,
growth_activity_up,biomass_NH3,,,,year,,0.1,%,R12_PAS,,
growth_activity_up,biomass_NH3,,,,year,,0.1,%,R12_SAS,,
growth_activity_up,biomass_NH3,,,,year,,0.1,%,R12_WEU,,
growth_activity_up,biomass_NH3,,,,year,,0.1,%,R12_CHN,,
growth_activity_up,biomass_NH3_ccs,,,,year,,0.1,%,R12_AFR,,
growth_activity_up,biomass_NH3_ccs,,,,year,,0.1,%,R12_RCPA,,
growth_activity_up,biomass_NH3_ccs,,,,year,,0.1,%,R12_RCPA,,
growth_activity_up,biomass_NH3_ccs,,,,year,,0.1,%,R12_EEU,,
growth_activity_up,biomass_NH3_ccs,,,,year,,0.1,%,R12_FSU,,
growth_activity_up,biomass_NH3_ccs,,,,year,,0.1,%,R12_LAM,,
growth_activity_up,biomass_NH3_ccs,,,,year,,0.1,%,R12_MEA,,
growth_activity_up,biomass_NH3_ccs,,,,year,,0.1,%,R12_NAM,,
growth_activity_up,biomass_NH3_ccs,,,,year,,0.1,%,R12_PAO,,
growth_activity_up,biomass_NH3_ccs,,,,year,,0.1,%,R12_PAS,,
growth_activity_up,biomass_NH3_ccs,,,,year,,0.1,%,R12_SAS,,
growth_activity_up,biomass_NH3_ccs,,,,year,,0.1,%,R12_WEU,,
growth_activity_up,biomass_NH3_ccs,,,,year,,0.1,%,R12_CHN,,
growth_activity_up,coal_NH3,,,,year,,0.1,%,R12_AFR,,
growth_activity_up,coal_NH3,,,,year,,0.1,%,R12_RCPA,,
growth_activity_up,coal_NH3,,,,year,,0.1,%,R12_RCPA,,
growth_activity_up,coal_NH3,,,,year,,0.1,%,R12_EEU,,
growth_activity_up,coal_NH3,,,,year,,0.1,%,R12_FSU,,
growth_activity_up,coal_NH3,,,,year,,0.1,%,R12_LAM,,
growth_activity_up,coal_NH3,,,,year,,0.1,%,R12_MEA,,
growth_activity_up,coal_NH3,,,,year,,0.1,%,R12_NAM,,
growth_activity_up,coal_NH3,,,,year,,0.1,%,R12_PAO,,
growth_activity_up,coal_NH3,,,,year,,0.1,%,R12_PAS,,
growth_activity_up,coal_NH3,,,,year,,0.1,%,R12_SAS,,
