Unnamed: 0,node,commodity,level,year,time,value,unit
808,R12_PAS,i_feed,useful,2060,year,83.92800000000001,GWa
809,R12_PAS,i_feed,useful,2070,year,84.29400000000001,GWa
810,R12_PAS,i_feed,useful,2080,year,82.77300000000002,GWa
811,R12_PAS,i_feed,useful,2090,year,80.89800000000002,GWa
812,R12_PAS,i_feed,useful,2100,year,76.07700000000001,GWa
813,R12_PAS,i_feed,useful,2110,year,71.61300000000001,GWa
814,R12_PAS,i_feed,useful,2025,year,60.01500000000001,GWa
815,R12_PAS,i_feed,useful,2035,year,71.53500000000001,GWa
816,R12_PAS,i_feed,useful,2045,year,78.67200000000001,GWa
817,R12_PAS,i_feed,useful,2055,year,82.596,GWa
902,R12_SAS,i_feed,useful,2020,year,25.599,GWa
903,R12_SAS,i_feed,useful,2030,year,38.637,GWa
904,R12_SAS,i_feed,useful,2040,year,54.63300000000001,GWa
905,R12_SAS,i_feed,useful,2050,year,71.99700000000001,GWa
906,R12_SAS,i_feed,useful,2060,year,88.54200000000002,GWa
907,R12_SAS,i_feed,useful,2070,year,104.205,GWa
908,R12_SAS,i_feed,useful,2080,year,120.444,GWa
909,R12_SAS,i_feed,useful,2090,year,137.265,GWa
910,R12_SAS,i_feed,useful,2100,year,154.062,GWa
911,R12_SAS,i_feed,useful,2110,year,172.875,GWa
912,R12_SAS,i_feed,useful,2025,year,32.118,GWa
913,R12_SAS,i_feed,useful,2035,year,46.63500000000001,GWa
914,R12_SAS,i_feed,useful,2045,year,63.31500000000001,GWa
915,R12_SAS,i_feed,useful,2055,year,80.27100000000002,GWa
1000,R12_WEU,i_feed,useful,2020,year,37.25700000000001,GWa
1001,R12_WEU,i_feed,useful,2030,year,39.879,GWa
1002,R12_WEU,i_feed,useful,2040,year,42.67200000000001,GWa
1003,R12_WEU,i_feed,useful,2050,year,45.66,GWa
1004,R12_WEU,i_feed,useful,2060,year,48.76500000000001,GWa
1005,R12_WEU,i_feed,useful,2070,year,52.035,GWa
1006,R12_WEU,i_feed,useful,2080,year,55.02300000000001,GWa
1007,R12_WEU,i_feed,useful,2090,year,57.99600000000001,GWa
1008,R12_WEU,i_feed,useful,2100,year,60.74400000000001,GWa
1009,R12_WEU,i_feed,useful,2110,year,63.57300000000001,GWa
1010,R12_WEU,i_feed,useful,2025,year,38.568,GWa
1011,R12_WEU,i_feed,useful,2035,year,41.27400000000001,GWa
1012,R12_WEU,i_feed,useful,2045,year,44.166,GWa
1013,R12_WEU,i_feed,useful,2055,year,47.21400000000001,GWa
1098,R12_AFR,i_feed,useful,1990,year,2.12304,GWa
1099,R12_AFR,i_feed,useful,1995,year,2.640690000000001,GWa
1100,R12_AFR,i_feed,useful,2000,year,2.67651,GWa
1101,R12_AFR,i_feed,useful,2005,year,2.05227,GWa
1102,R12_AFR,i_feed,useful,2010,year,2.65698,GWa
1103,R12_AFR,i_feed,useful,2015,year,2.961,???
1140,R12_RCPA,i_feed,useful,1990,year,1.564503,GWa
1141,R12_RCPA,i_feed,useful,1995,year,1.551057,GWa
1142,R12_RCPA,i_feed,useful,2000,year,2.133726,GWa
1143,R12_RCPA,i_feed,useful,2005,year,3.142308000000001,GWa
1144,R12_RCPA,i_feed,useful,2010,year,4.101230999999998,GWa
1145,R12_RCPA,i_feed,useful,2015,year,5.415299999999998,???
1182,R12_EEU,i_feed,useful,1990,year,5.576580000000001,GWa
1183,R12_EEU,i_feed,useful,1995,year,4.982730000000001,GWa
1184,R12_EEU,i_feed,useful,2000,year,5.408460000000001,GWa
1185,R12_EEU,i_feed,useful,2005,year,6.455970000000001,GWa
1186,R12_EEU,i_feed,useful,2010,year,6.003150000000001,GWa
1187,R12_EEU,i_feed,useful,2015,year,5.901000000000002,???
1224,R12_FSU,i_feed,useful,1990,year,24.3351,GWa
1225,R12_FSU,i_feed,useful,1995,year,17.28837,GWa
1226,R12_FSU,i_feed,useful,2000,year,17.49639,GWa
1227,R12_FSU,i_feed,useful,2005,year,23.65887,GWa
1228,R12_FSU,i_feed,useful,2010,year,30.75447,GWa
1229,R12_FSU,i_feed,useful,2015,year,35.124,???
1266,R12_LAM,i_feed,useful,1990,year,10.0596,GWa
1267,R12_LAM,i_feed,useful,1995,year,12.29811,GWa
1268,R12_LAM,i_feed,useful,2000,year,15.04248,GWa
1269,R12_LAM,i_feed,useful,2005,year,15.70281,GWa
1270,R12_LAM,i_feed,useful,2010,year,17.24949,GWa
1271,R12_LAM,i_feed,useful,2015,year,15.006,???
1308,R12_MEA,i_feed,useful,1990,year,9.305040000000002,GWa
1309,R12_MEA,i_feed,useful,1995,year,12.36528,GWa
1310,R12_MEA,i_feed,useful,2000,year,16.27773,GWa
1311,R12_MEA,i_feed,useful,2005,year,21.21672,GWa
1312,R12_MEA,i_feed,useful,2010,year,27.5874,GWa
1313,R12_MEA,i_feed,useful,2015,year,31.63500000000001,???
1350,R12_NAM,i_feed,useful,1990,year,51.06657000000001,GWa
1351,R12_NAM,i_feed,useful,1995,year,60.87642000000001,GWa
1352,R12_NAM,i_feed,useful,2000,year,66.34383000000001,GWa
1353,R12_NAM,i_feed,useful,2005,year,70.11921000000001,GWa
1354,R12_NAM,i_feed,useful,2010,year,60.28239000000001,GWa
1355,R12_NAM,i_feed,useful,2015,year,51.318,???
1392,R12_PAO,i_feed,useful,1990,year,14.37771,GWa
1393,R12_PAO,i_feed,useful,1995,year,16.80936,GWa
1394,R12_PAO,i_feed,useful,2000,year,17.56839,GWa
1395,R12_PAO,i_feed,useful,2005,year,17.79948,GWa
1396,R12_PAO,i_feed,useful,2010,year,17.16015,GWa
1397,R12_PAO,i_feed,useful,2015,year,17.163,???
1434,R12_PAS,i_feed,useful,1990,year,7.737450000000001,GWa
1435,R12_PAS,i_feed,useful,1995,year,14.47821,GWa
1436,R12_PAS,i_feed,useful,2000,year,20.26053,GWa
1437,R12_PAS,i_feed,useful,2005,year,29.34087,GWa
1438,R12_PAS,i_feed,useful,2010,year,37.22061000000001,GWa
1439,R12_PAS,i_feed,useful,2015,year,43.95000000000001,???
1476,R12_SAS,i_feed,useful,1990,year,6.739080000000001,GWa
1477,R12_SAS,i_feed,useful,1995,year,9.276330000000002,GWa
1478,R12_SAS,i_feed,useful,2000,year,12.8019,GWa
1479,R12_SAS,i_feed,useful,2005,year,13.88319,GWa
1480,R12_SAS,i_feed,useful,2010,year,15.73209,GWa
1481,R12_SAS,i_feed,useful,2015,year,20.415,???
1518,R12_WEU,i_feed,useful,1990,year,34.19958,GWa
1519,R12_WEU,i_feed,useful,1995,year,37.88382000000001,GWa
1520,R12_WEU,i_feed,useful,2000,year,39.20805000000001,GWa
1521,R12_WEU,i_feed,useful,2005,year,40.13367,GWa
1522,R12_WEU,i_feed,useful,2010,year,38.3625,GWa
1523,R12_WEU,i_feed,useful,2015,year,34.812,???
1560,R12_CHN,i_feed,useful,2020,year,54.72630000000001,GWa
1561,R12_CHN,i_feed,useful,2030,year,66.43350000000001,GWa
1562,R12_CHN,i_feed,useful,2040,year,73.5156,GWa
1563,R12_CHN,i_feed,useful,2050,year,79.1208,GWa
1564,R12_CHN,i_feed,useful,2060,year,81.58590000000001,GWa
1565,R12_CHN,i_feed,useful,2070,year,81.57780000000001,GWa
1566,R12_CHN,i_feed,useful,2080,year,81.16200000000002,GWa
1567,R12_CHN,i_feed,useful,2090,year,79.67160000000001,GWa
1568,R12_CHN,i_feed,useful,2100,year,77.10390000000001,GWa
1569,R12_CHN,i_feed,useful,2110,year,74.65230000000001,GWa
1570,R12_CHN,i_feed,useful,2025,year,60.57990000000001,GWa
1571,R12_CHN,i_feed,useful,2035,year,69.97590000000001,GWa
1572,R12_CHN,i_feed,useful,2045,year,76.31820000000002,GWa
1573,R12_CHN,i_feed,useful,2055,year,80.35470000000001,GWa
1658,R12_CHN,i_feed,useful,1990,year,14.080527,GWa
1659,R12_CHN,i_feed,useful,1995,year,13.959513,GWa
1660,R12_CHN,i_feed,useful,2000,year,19.203534,GWa
1661,R12_CHN,i_feed,useful,2005,year,28.280772,GWa
1662,R12_CHN,i_feed,useful,2010,year,36.91107900000001,GWa
1663,R12_CHN,i_feed,useful,2015,year,48.73770000000001,???
