parameter,node_loc,technology,year_act,mode,time,value,unit,year_vtg
bound_activity_up,R12_SAS,export_NH3,2020.0,M1,year,0.029141,t,
bound_activity_up,R12_CHN,export_NH3,2020.0,M1,year,0.00439,t,
bound_activity_up,R12_RCPA,export_NH3,2020.0,M1,year,5e-06,t,
bound_activity_lo,R12_FSU,export_NH3,2020.0,M1,year,3.1400578,t,
bound_activity_lo,R12_MEA,export_NH3,2020.0,M1,year,2.7319948,t,
bound_activity_lo,R12_LAM,export_NH3,2020.0,M1,year,1.9063526499999999,t,
bound_activity_lo,R12_PAS,export_NH3,2020.0,M1,year,0.7531923,t,
bound_activity_lo,R12_NAM,export_NH3,2020.0,M1,year,0.32074565,t,
bound_activity_lo,R12_WEU,export_NH3,2020.0,M1,year,0.24476085,t,
bound_activity_lo,R12_PAO,export_NH3,2020.0,M1,year,0.12167694999999999,t,
bound_activity_lo,R12_EEU,export_NH3,2020.0,M1,year,0.0635683,t,
bound_activity_lo,R12_SAS,export_NH3,2020.0,M1,year,0.02768395,t,
bound_activity_lo,R12_CHN,export_NH3,2020.0,M1,year,0.0041705,t,
bound_activity_lo,R12_RCPA,export_NH3,2020.0,M1,year,4.75e-06,t,
bound_activity_up,R12_FSU,import_NH3,2020.0,M1,year,2.8e-05,t,
bound_activity_up,R12_RCPA,import_NH3,2020.0,M1,year,0.087075,t,
bound_activity_up,R12_AFR,import_NH3,2020.0,M1,year,0.10524,t,
bound_activity_up,R12_PAO,import_NH3,2020.0,M1,year,0.227595,t,
bound_activity_up,R12_LAM,import_NH3,2020.0,M1,year,0.272597,t,
bound_activity_up,R12_PAS,import_NH3,2020.0,M1,year,0.777249,t,
bound_activity_up,R12_CHN,import_NH3,2020.0,M1,year,0.806098,t,
bound_activity_up,R12_NAM,import_NH3,2020.0,M1,year,0.95113,t,
bound_activity_up,R12_EEU,import_NH3,2020.0,M1,year,1.003177,t,
bound_activity_up,R12_MEA,import_NH3,2020.0,M1,year,1.276563,t,
bound_activity_up,R12_SAS,import_NH3,2020.0,M1,year,1.860923,t,
bound_activity_up,R12_WEU,import_NH3,2020.0,M1,year,2.436755,t,
bound_activity_lo,R12_FSU,import_NH3,2020.0,M1,year,2.66e-05,t,
bound_activity_lo,R12_RCPA,import_NH3,2020.0,M1,year,0.08272125,t,
bound_activity_lo,R12_AFR,import_NH3,2020.0,M1,year,0.099978,t,
bound_activity_lo,R12_PAO,import_NH3,2020.0,M1,year,0.21621524999999997,t,
bound_activity_lo,R12_LAM,import_NH3,2020.0,M1,year,0.25896715,t,
bound_activity_lo,R12_PAS,import_NH3,2020.0,M1,year,0.73838655,t,
bound_activity_lo,R12_CHN,import_NH3,2020.0,M1,year,0.7657930999999999,t,
bound_activity_lo,R12_NAM,import_NH3,2020.0,M1,year,0.9035735,t,
bound_activity_lo,R12_EEU,import_NH3,2020.0,M1,year,0.9530181499999999,t,
bound_activity_lo,R12_MEA,import_NH3,2020.0,M1,year,1.21273485,t,
bound_activity_lo,R12_SAS,import_NH3,2020.0,M1,year,1.76787685,t,
bound_activity_lo,R12_WEU,import_NH3,2020.0,M1,year,2.3149172499999997,t,
bound_activity_up,R12_AFR,import_NFert,2020.0,M1,year,1.792796,t,
bound_activity_up,R12_CHN,import_NFert,2020.0,M1,year,0.007405,t,
bound_activity_up,R12_EEU,import_NFert,2020.0,M1,year,1.261696,t,
bound_activity_up,R12_FSU,import_NFert,2020.0,M1,year,0.126773,t,
bound_activity_up,R12_LAM,import_NFert,2020.0,M1,year,7.340794,t,
bound_activity_up,R12_MEA,import_NFert,2020.0,M1,year,0.395868,t,
bound_activity_up,R12_NAM,import_NFert,2020.0,M1,year,2.020778,t,
bound_activity_up,R12_PAO,import_NFert,2020.0,M1,year,1.709009,t,
bound_activity_up,R12_PAS,import_NFert,2020.0,M1,year,2.174106,t,
bound_activity_up,R12_RCPA,import_NFert,2020.0,M1,year,0.365283,t,
bound_activity_up,R12_SAS,import_NFert,2020.0,M1,year,5.838874,t,
bound_activity_up,R12_WEU,import_NFert,2020.0,M1,year,3.666543,t,
bound_activity_lo,R12_AFR,import_NFert,2020.0,M1,year,1.7031562,t,
bound_activity_lo,R12_CHN,import_NFert,2020.0,M1,year,0.00703475,t,
bound_activity_lo,R12_EEU,import_NFert,2020.0,M1,year,1.1986111999999998,t,
bound_activity_lo,R12_FSU,import_NFert,2020.0,M1,year,0.12043435,t,
bound_activity_lo,R12_LAM,import_NFert,2020.0,M1,year,6.9737542999999995,t,
bound_activity_lo,R12_MEA,import_NFert,2020.0,M1,year,0.3760746,t,
bound_activity_lo,R12_NAM,import_NFert,2020.0,M1,year,1.9197391,t,
bound_activity_lo,R12_PAO,import_NFert,2020.0,M1,year,1.6235585499999998,t,
bound_activity_lo,R12_PAS,import_NFert,2020.0,M1,year,2.0654007,t,
bound_activity_lo,R12_RCPA,import_NFert,2020.0,M1,year,0.34701885,t,
bound_activity_lo,R12_SAS,import_NFert,2020.0,M1,year,5.5469303,t,
bound_activity_lo,R12_WEU,import_NFert,2020.0,M1,year,3.4832158499999997,t,
historical_new_capacity,R12_AFR,coal_NH3,,,,0.015153705000000002,t,2010.0
historical_new_capacity,R12_CHN,coal_NH3,,,,3.2538297300000005,t,2010.0
historical_new_capacity,R12_NAM,coal_NH3,,,,0.024161175000000003,t,2010.0
historical_new_capacity,R12_RCPA,coal_NH3,,,,0.0,t,2010.0
historical_new_capacity,R12_AFR,coal_NH3,,,,0.015153705000000002,t,2000.0
historical_new_capacity,R12_CHN,coal_NH3,,,,3.2538297300000005,t,2000.0
historical_new_capacity,R12_NAM,coal_NH3,,,,0.024161175000000003,t,2000.0
historical_new_capacity,R12_RCPA,coal_NH3,,,,0.0,t,2000.0
historical_new_capacity,R12_AFR,coal_NH3,,,,0.015153705000000002,t,2005.0
historical_new_capacity,R12_CHN,coal_NH3,,,,3.2538297300000005,t,2005.0
historical_new_capacity,R12_NAM,coal_NH3,,,,0.024161175000000003,t,2005.0
historical_new_capacity,R12_RCPA,coal_NH3,,,,0.0,t,2005.0
historical_new_capacity,R12_AFR,coal_NH3,,,,0.0,t,2015.0
historical_new_capacity,R12_CHN,coal_NH3,,,,0.89001819,t,2015.0
historical_new_capacity,R12_NAM,coal_NH3,,,,0.009496935000000001,t,2015.0
historical_new_capacity,R12_RCPA,coal_NH3,,,,0.182701845,t,2015.0
historical_activity,R12_AFR,coal_NH3,2015.0,M1,year,0.177246,t,
historical_activity,R12_RCPA,coal_NH3,2015.0,M1,year,0.834254,t,
historical_activity,R12_NAM,coal_NH3,2015.0,M1,year,0.374341,t,
historical_activity,R12_CHN,coal_NH3,2015.0,M1,year,48.637017,t,
historical_new_capacity,R12_AFR,gas_NH3,,,,0.447023895,t,2010.0
historical_new_capacity,R12_CHN,gas_NH3,,,,0.6464562449999999,t,2010.0
historical_new_capacity,R12_EEU,gas_NH3,,,,0.35954215500000003,t,2010.0
historical_new_capacity,R12_FSU,gas_NH3,,,,1.532970435,t,2010.0
historical_new_capacity,R12_LAM,gas_NH3,,,,0.6840935850000002,t,2010.0
historical_new_capacity,R12_MEA,gas_NH3,,,,0.9270489000000001,t,2010.0
historical_new_capacity,R12_NAM,gas_NH3,,,,1.02383595,t,2010.0
historical_new_capacity,R12_PAO,gas_NH3,,,,0.139926765,t,2010.0
historical_new_capacity,R12_PAS,gas_NH3,,,,0.293207055,t,2010.0
historical_new_capacity,R12_RCPA,gas_NH3,,,,0.0,t,2010.0
historical_new_capacity,R12_SAS,gas_NH3,,,,1.180347585,t,2010.0
historical_new_capacity,R12_WEU,gas_NH3,,,,0.771533715,t,2010.0
historical_new_capacity,R12_AFR,gas_NH3,,,,0.447023895,t,2000.0
