Model,Scenario,Region,Variable,Unit,Note,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2060,2070,2080,2090,2100,Description,Source
MESSAGEix-GLOBIOM_1.0,,WEU,Emission Factor|Ammonia|Coal|Mode1|CO2,tCO2/tNH3,,,4.75838,,,,,,,,,,,,,,carbon emissions calculated from feedstock,own calculation
MESSAGEix-GLOBIOM_1.0,,WEU,Capacity Factor|Ammonia|Coal|Mode1,-,,,0.91324200913242,,,,,,,,,,,,,,8000 hours per year,"Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
MESSAGEix-GLOBIOM_1.0,,WEU,Capital Cost|Ammonia|Oil,USD2005/tNH3/yr,China and India only,,3282.261598001274,,,,,,,,,,,,,,"50 MW biomass gasification plant, original data provided in 2011 prices corrected with World Bank GDP deflator for USA to 2005 USD (https://data.worldbank.org/indicator/NY.GDP.DEFL.ZS.AD?locations=US)",
MESSAGEix-GLOBIOM_1.0,,WEU,OM Cost|Fixed|Ammonia|Oil,USD2005/(tNH3/yr)/yr,,,131.29046392005097,,,,,,,,,,,,,,4% of capital costs,own calculation
MESSAGEix-GLOBIOM_1.0,,WEU,OM Cost|Variable|Ammonia|Oil,USD2005/tNH3,,,0.0,,,,,,,,,,,,,,,own calculation
MESSAGEix-GLOBIOM_1.0,,WEU,Lifetime|Ammonia|Oil,year,,,15.0,,,,,,,,,,,,,,"50 MW biomass gasification plant, economic lifetime","Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
MESSAGEix-GLOBIOM_1.0,,WEU,Input|Ammonia|Oil|Mode1|Oil,GJ/tNH3,,,41.3,,,,,,,,,,,,,,average efficiency of oil-based fertilizer production in China and India,"IEA (2007), Table 4.15, https://www.iea.org/publications/freepublications/publication/tracking_emissions.pdf"
MESSAGEix-GLOBIOM_1.0,,WEU,Input|Ammonia|Oil|Mode1|Electricity,GJ/tNH3,,,0.7,,,,,,,,,,,,,,best practice energy use,http://ietd.iipnetwork.org/content/ammonia#benchmarks
MESSAGEix-GLOBIOM_1.0,,WEU,Input|Ammonia|Oil|Mode1|Water,t/tNH3,,,2.1045296167247387,,,,,,,,,,,,,,50 MW biomass gasification plant,"Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
MESSAGEix-GLOBIOM_1.0,,WEU,Output|Ammonia|Oil|Mode1|Ammonia,tNH3,,,1.0,,,,,,,,,,,,,,,
MESSAGEix-GLOBIOM_1.0,,WEU,Output|Ammonia|Oil|Mode1|Wastewater,t/tNH3,,,2.0452961672473866,,,,,,,,,,,,,,50 MW biomass gasification plant,"Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
MESSAGEix-GLOBIOM_1.0,,WEU,Output|Ammonia|Oil|Mode1|Heat,GJ/tNH3,,,1.5,,,,,,,,,,,,,,best practice energy use,http://ietd.iipnetwork.org/content/ammonia#benchmarks
MESSAGEix-GLOBIOM_1.0,,WEU,Emission Factor|Ammonia|Oil|Mode1|CO2,tCO2/tNH3,,,3.19662,,,,,,,,,,,,,,carbon emissions calculated from feedstock,own calculation
MESSAGEix-GLOBIOM_1.0,,WEU,Capacity Factor|Ammonia|Oil|Mode1,-,,,0.91324200913242,,,,,,,,,,,,,,8000 hours per year,
MESSAGEix-GLOBIOM_1.0,,WEU,Capital Cost|N-fertilizer,USD2005/tN/yr,,,2537.625418060201,,,,,,,,,,,,,,Latrobe fertilizer LTD,http://www.latrobefertilisers.com.au/capital-cost-estimate/
MESSAGEix-GLOBIOM_1.0,,WEU,OM Cost|Fixed|N-fertilizer,USD2005/(tN/yr)/yr,,,101.50501672240804,,,,,,,,,,,,,,4% of capital costs,own calculation
MESSAGEix-GLOBIOM_1.0,,WEU,OM Cost|Variable|N-fertilizer,USD2005/tN,,,317.39130434782606,,,,,,,,,,,,,,146 USD/mt Urea (1 Urea = 0.46 N),Yara PDF
MESSAGEix-GLOBIOM_1.0,,WEU,Lifetime|N-fertilizer,year,,,15.0,,,,,,,,,,,,,,"50 MW biomass gasification plant, economic lifetime",
MESSAGEix-GLOBIOM_1.0,,WEU,Input|N-fertilizer|Mode1|Ammonia,tNH3/tN,,,1.2142857142857142,,,,,,,,,,,,,,average efficiency of coal-based fertilizer production in China,"IEA (2007), Table 4.15, https://www.iea.org/publications/freepublications/publication/tracking_emissions.pdf"
MESSAGEix-GLOBIOM_1.0,,WEU,Input|N-fertilizer|Mode1|Electricity,GJ/tN,,,0.0,,,,,,,,,,,,,,best practice energy use,http://ietd.iipnetwork.org/content/ammonia#benchmarks
MESSAGEix-GLOBIOM_1.0,,WEU,Input|N-fertilizer|Mode1|Water,t/tNH3,,,0.0,,,,,,,,,,,,,,50 MW biomass gasification plant,"Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
MESSAGEix-GLOBIOM_1.0,,WEU,Output|N-fertilizer|Mode1|Nitrogen,tN,,,1.0,,,,,,,,,,,,,,,
MESSAGEix-GLOBIOM_1.0,,WEU,Output|N-fertilizer|Mode1|Wastewater,t/tNH3,,,0.0,,,,,,,,,,,,,,50 MW biomass gasification plant,"Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
MESSAGEix-GLOBIOM_1.0,,WEU,Output|N-fertilizer|Mode1|Heat,GJ/tN,,,0.0,,,,,,,,,,,,,,best practice energy use,http://ietd.iipnetwork.org/content/ammonia#benchmarks
MESSAGEix-GLOBIOM_1.0,,WEU,Emission Factor|N-fertilizer|Mode1|CO2,tCO2/tN,,,-1.5942028985507244,,,,,,,,,,,,,,carbon emissions calculated from feedstock,own calculation
MESSAGEix-GLOBIOM_1.0,,WEU,Capacity Factor|N-fertilizer|Mode1,-,,,0.91324200913242,,,,,,,,,,,,,,8000 hours per year,"Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
