R12,Year,MESSAGEix,Flow,Statistical Yearbook
R12_SAS,2024,,Import,17.117
R12_SAS,2025,14.363282184000001,Export,
R12_SAS,2025,36.227708672,Import,
R12_WEU,2005,57.165182812,Export,
R12_WEU,2005,75.07111243,Import,
R12_WEU,2010,72.426677282,Export,
R12_WEU,2010,72.742866623,Import,
R12_WEU,2015,67.605126411,Export,134.678
R12_WEU,2015,86.573664272,Import,131.913
R12_WEU,2020,65.348600367,Export,121.429
R12_WEU,2020,69.605501408,Import,113.577
R12_WEU,2024,,Export,117.952
R12_WEU,2024,,Import,125.818
R12_WEU,2025,61.36259766,Export,
R12_WEU,2025,81.196430273,Import,
