"","reg_no","region","year","consumption","pop","gdp.pcap","cons.pcap","del.t"
"95",3,"Mexico (3)","1978",8060,65.64747,8935.027,122.777008771244,-32
"96",3,"Mexico (3)","1979",8840,67.30379,9560.348,131.344757850932,-31
"97",3,"Mexico (3)","1980",10317,68.87221,10205.26,149.799171538128,-30
"98",3,"Mexico (3)","1981",11369,70.33874,10869.09,161.632124772209,-29
"99",3,"Mexico (3)","1982",8181,71.71709,10593.25,114.073228570763,-28
"100",3,"Mexico (3)","1983",6296,73.04627,9964.059,86.1919438186234,-27
"101",3,"Mexico (3)","1984",7331,74.38186,10138.41,98.5589766106951,-26
"102",3,"Mexico (3)","1985",7693,75.76497,10211.46,101.537689515353,-25
"103",3,"Mexico (3)","1986",6608,77.20679,9644.588,85.5883271406569,-24
"104",3,"Mexico (3)","1987",6485,78.69822,9637.398,82.4033885391563,-23
"105",3,"Mexico (3)","1988",6969,80.23514,9570.521,86.8572049603204,-22
"106",3,"Mexico (3)","1989",7256,81.80685,9780.728,88.6967289414028,-21
"107",3,"Mexico (3)","1990",8804,83.40398,10079.66,105.558511716108,-20
"108",3,"Mexico (3)","1991",10392,85.02397,10305.09,122.224356260946,-19
"109",3,"Mexico (3)","1992",11314,86.66608,10476.68,130.547037549177,-18
"110",3,"Mexico (3)","1993",10095,88.32349,10480.6,114.295755296807,-17
"111",3,"Mexico (3)","1994",13223,89.98788,10745.36,146.942010412958,-16
"112",3,"Mexico (3)","1995",7602,91.64993,9894.47,82.946053532174,-15
"113",3,"Mexico (3)","1996",10588,93.31045,10217.9,113.47067772152,-14
"114",3,"Mexico (3)","1997",12473,94.96079,10720.61,131.348949392691,-13
"115",3,"Mexico (3)","1998",13009,96.57095,11059.1,134.709247449673,-12
"116",3,"Mexico (3)","1999",11929,98.10286,11308.07,121.596862721433,-11
"117",3,"Mexico (3)","2000",19800,99.53062,11881.7,198.933755260441,-10
"118",3,"Mexico (3)","2001",18800,100.8404,11708.96,186.433215258964,-9
"119",3,"Mexico (3)","2002",19800,102.0425,11666.68,194.036798392827,-8
"120",3,"Mexico (3)","2003",21000,103.1652,11695.68,203.557013411499,-7
"121",3,"Mexico (3)","2004",22298,104.2505,12038.26,213.888662404497,-6
"122",3,"Mexico (3)","2005",22403,105.3296,12296.23,212.694247391047,-5
"123",3,"Mexico (3)","2006",25476,106.4108,12757.33,239.411789028933,-4
"124",3,"Mexico (3)","2007",25111,107.4868,13034.13,233.619383961566,-3
"125",3,"Mexico (3)","2008",25984,108.5555,13084.07,239.361432631235,-2
"126",3,"Mexico (3)","2009",17098,109.6099,11916.03,155.98955933725,-1
"127",3,"Mexico (3)","2010",20034,110.6451,12121.01,181.065406421071,0
"128",3,"Mexico (3)","2011",20869,111.6633,12483.56,186.892201824592,1
"129",3,"Mexico (3)","2012",24059,112.6668,13052.16,213.541167406902,2
"130",4,"Rest Central America (4)","1970",434,41.86008,5032.14566151399,10.3678731622109,-40
"131",4,"Rest Central America (4)","1971",441,44.06901,5135.072,10.0070321525262,-39
"132",4,"Rest Central America (4)","1972",557,45.03952,5338.452,12.3669168765564,-38
"133",4,"Rest Central America (4)","1973",728,46.01947,5395.166,15.8193912272349,-37
"134",4,"Rest Central America (4)","1974",925,47.00089,5357.973,19.6804783909411,-36
"135",4,"Rest Central America (4)","1975",1086,47.9782,5451.598,22.6352801897528,-35
"136",4,"Rest Central America (4)","1976",1008,48.94946,5626.064,20.5926684380175,-34
"137",4,"Rest Central America (4)","1977",1000,49.91717,5897.804,20.033186977547,-33
"138",4,"Rest Central America (4)","1978",1000,50.88577,6102.653,19.6518594491151,-32
"139",4,"Rest Central America (4)","1979",1000,51.86187,6092.561,19.2819888677365,-31
"140",4,"Rest Central America (4)","1980",1726,52.8503,6013.287,32.6582819775858,-30
"141",4,"Rest Central America (4)","1981",1444,53.8526,6111.062,26.813932846325,-29
"142",4,"Rest Central America (4)","1982",1347,54.8676,6097.064,24.5500076547908,-28
"143",4,"Rest Central America (4)","1983",1408,55.8943,6153.557,25.1904040304646,-27
"144",4,"Rest Central America (4)","1984",1570,56.93069,6230.195,27.577392791129,-26
"145",4,"Rest Central America (4)","1985",1676,57.97546,6246.894,28.9087831299657,-25
"146",4,"Rest Central America (4)","1986",1736,59.02685,6258.291,29.4103446143577,-24
"147",4,"Rest Central America (4)","1987",1654,60.08547,6322.337,27.5274538087161,-23
"148",4,"Rest Central America (4)","1988",1679,61.15466,6374.894,27.4549805362339,-22
"149",4,"Rest Central America (4)","1989",1697,62.23912,6447.625,27.2658096708308,-21
"150",4,"Rest Central America (4)","1990",1673,63.34122,6380.926,26.4125004223158,-20
"151",4,"Rest Central America (4)","1991",1303,64.46304,6276.783,20.2131329828689,-19
"152",4,"Rest Central America (4)","1992",1574,65.60065,6233.968,23.9936646969199,-18
"153",4,"Rest Central America (4)","1993",1432,66.74309,6199.818,21.4554045969403,-17
"154",4,"Rest Central America (4)","1994",1665,67.8755,6284.081,24.5302060389979,-16
"155",4,"Rest Central America (4)","1995",1617,68.98741,6387.906,23.4390593877926,-15
"156",4,"Rest Central America (4)","1996",1822,70.07453,6565.691,26.0008879117705,-14
"157",4,"Rest Central America (4)","1997",2024,71.13991,6767.845,28.4509777985381,-13
"158",4,"Rest Central America (4)","1998",1884,72.18943,6963.645,26.0980035442862,-12
"159",4,"Rest Central America (4)","1999",1963,73.23238,7150.771,26.8050826697152,-11
"160",4,"Rest Central America (4)","2000",3536,74.27577,7374.437,47.6063728454111,-10
"161",4,"Rest Central America (4)","2001",3019,75.32159,7391.297,40.0814693370121,-9
"162",4,"Rest Central America (4)","2002",3016,76.36828,7440.828,39.4928365546533,-8
"163",4,"Rest Central America (4)","2003",2529,77.41533,7585.463,32.6679483249635,-7
"164",4,"Rest Central America (4)","2004",2632,78.46117,7714.614,33.5452555703668,-6
"165",4,"Rest Central America (4)","2005",2708,79.50519,7961.29,34.0606694984315,-5
"166",4,"Rest Central America (4)","2006",2773,80.54659,8289.141,34.4272799134017,-4
"167",4,"Rest Central America (4)","2007",2895,81.58723,8549.562,35.4834941693694,-3
"168",4,"Rest Central America (4)","2008",3297,82.63269,8741.552,39.8994635174046,-2
"169",4,"Rest Central America (4)","2009",2212,83.6889,8566.153,26.4312232566087,-1
"170",4,"Rest Central America (4)","2010",2599,84.76005,8589.175,30.6630305196847,0
"171",4,"Rest Central America (4)","2011",2566,85.848,8815.172,29.8900382070636,1
"172",4,"Rest Central America (4)","2012",3210,86.94998,9076.81,36.9177773243881,2
"173",5,"Brazil (5)","1970",6088,95.98846,4246.81244601682,63.424290794956,-40
"174",5,"Brazil (5)","1971",7386,98.3547,4627.022,75.095547035373,-39
"175",5,"Brazil (5)","1972",7662,100.7355,5062.171,76.0605744747383,-38
"176",5,"Brazil (5)","1973",9513,103.1473,5634.889,92.2273292660108,-37
"177",5,"Brazil (5)","1974",12799,105.607,6001.288,121.194617781018,-36
"178",5,"Brazil (5)","1975",11241,108.1272,6166.741,103.960890506737,-35
"179",5,"Brazil (5)","1976",10715,110.7081,6612.648,96.7860526917181,-34
"180",5,"Brazil (5)","1977",11976,113.3463,6756.245,105.658499659892,-33
"181",5,"Brazil (5)","1978",11932,116.0439,6812.455,102.823155719516,-32
"182",5,"Brazil (5)","1979",12760,118.8022,7104.538,107.405418418177,-31
"183",5,"Brazil (5)","1980",14303,121.6184,7572.326,117.605559685048,-30
"184",5,"Brazil (5)","1981",12063,124.494,7072.421,96.896235963179,-29
"185",5,"Brazil (5)","1982",10612,127.4183,6950.202,83.284740104051,-28
"186",5,"Brazil (5)","1983",8580,130.3607,6561.69,65.8173820791082,-27
"187",5,"Brazil (5)","1984",10673,133.2812,6756.077,80.0788108150287,-26
"188",5,"Brazil (5)","1985",11995,136.1494,7139.268,88.1017470514009,-25
"189",5,"Brazil (5)","1986",14528,138.9564,7553.835,104.550779956879,-24
"190",5,"Brazil (5)","1987",14980,141.7046,7673.975,105.712870294966,-23
"191",5,"Brazil (5)","1988",11720,144.3898,7523.531,81.1691684592679,-22
"192",5,"Brazil (5)","1989",12462,147.0111,7631.713,84.7691092713407,-21
"193",5,"Brazil (5)","1990",11048,149.5705,7178.574,73.8648329717424,-20
"194",5,"Brazil (5)","1991",11245,152.0602,7167.804,73.950974679765,-19
"195",5,"Brazil (5)","1992",10712,154.4847,7022.369,69.3402000327541,-18
"196",5,"Brazil (5)","1993",12658,156.8735,7238.053,80.6892177455083,-17
"197",5,"Brazil (5)","1994",13472,159.2665,7509.604,84.5877821136272,-16
"198",5,"Brazil (5)","1995",14639,161.692,7723.665,90.5363283279321,-15
"199",5,"Brazil (5)","1996",15793,164.1566,7771.271,96.2069146168963,-14
"200",5,"Brazil (5)","1997",18730,166.6499,7913.353,112.39130656544,-13
"201",5,"Brazil (5)","1998",17700,169.1618,7798.799,104.633552019428,-12
"202",5,"Brazil (5)","1999",16302,171.6753,7703.894,94.958331221789,-11
"203",5,"Brazil (5)","2000",17500,174.1745,7920.493,100.473949975456,-10
"204",5,"Brazil (5)","2001",18500,176.6591,7911.419,104.721466372239,-9
"205",5,"Brazil (5)","2002",17437,179.1234,8009.999,97.346298696876,-8
"206",5,"Brazil (5)","2003",17283,181.5374,7994.121,95.2035228002604,-7
"207",5,"Brazil (5)","2004",20351,183.8635,8344.161,110.685372572588,-6
"208",5,"Brazil (5)","2005",18680,186.0746,8505.417,100.389843643356,-5
"209",5,"Brazil (5)","2006",20592,188.1584,8745.075,109.43970611995,-4
"210",5,"Brazil (5)","2007",24556,190.12,9145.536,129.160530191458,-3
"211",5,"Brazil (5)","2008",26720,191.9714,9517.1,139.18739978976,-2
"212",5,"Brazil (5)","2009",20640,193.7337,9368.056,106.537995196499,-1
"213",5,"Brazil (5)","2010",29004,195.4232,9608.739,148.416359981824,0
"214",5,"Brazil (5)","2011",27813,197.0412,9864.866,141.153220747742,1
"215",5,"Brazil (5)","2012",27979,198.5855,10132.95,140.891454814173,2
"216",6,"Rest South America (6)","1970",7530,96.40464,6420.1296626765,78.1082736266636,-40
"217",6,"Rest South America (6)","1971",8192,97.62685,6490.836,83.9113420129811,-39
"218",6,"Rest South America (6)","1972",8651,99.84344,6497.796,86.6456524334498,-38
"219",6,"Rest South America (6)","1973",9260,102.0981,6636.509,90.6970844707198,-37
"220",6,"Rest South America (6)","1974",11024,104.4029,6804.255,105.590936650227,-36
"221",6,"Rest South America (6)","1975",10182,106.7655,6732.178,95.3678856934122,-35
"222",6,"Rest South America (6)","1976",9474,109.1912,6781.431,86.7652338283671,-34
"223",6,"Rest South America (6)","1977",11054,111.6749,6982.911,98.9837465715215,-33
"224",6,"Rest South America (6)","1978",10553,114.201,6943.699,92.4072468717437,-32
"225",6,"Rest South America (6)","1979",11003,116.7471,7185.399,94.2464523744059,-31
"226",6,"Rest South America (6)","1980",9579,119.2977,7190.426,80.2949260547353,-30
"227",6,"Rest South America (6)","1981",8534,121.845,7047.316,70.0398046698675,-29
"228",6,"Rest South America (6)","1982",8777,124.3942,6683.035,70.557952058858,-28
"229",6,"Rest South America (6)","1983",7322,126.9583,6425.478,57.6724798614978,-27
"230",6,"Rest South America (6)","1984",8336,129.5569,6485.092,64.3423854692417,-26
"231",6,"Rest South America (6)","1985",7397,132.2033,6324.582,55.9517046851327,-25
"232",6,"Rest South America (6)","1986",8537,134.8992,6619.767,63.2842893063858,-24
"233",6,"Rest South America (6)","1987",10036,137.6364,6768.011,72.9167574856651,-23
"234",6,"Rest South America (6)","1988",10468,140.4059,6733.679,74.5552715377345,-22
"235",6,"Rest South America (6)","1989",9049,143.1948,6376.971,63.1936355230777,-21
"236",6,"Rest South America (6)","1990",7717,145.9918,6390.963,52.8591331841925,-20
"237",6,"Rest South America (6)","1991",9158,148.7932,6732.243,61.5485116255313,-19
"238",6,"Rest South America (6)","1992",11131,151.5962,7080.655,73.4253233260464,-18
"239",6,"Rest South America (6)","1993",11151,154.3925,7195.21,72.2250109299351,-17
"240",6,"Rest South America (6)","1994",11543,157.1728,7386.602,73.4414606089603,-16
"241",6,"Rest South America (6)","1995",13276,159.9293,7507.502,83.0116807864475,-15
"242",6,"Rest South America (6)","1996",13529,162.6594,7628.711,83.1737975180039,-14
"243",6,"Rest South America (6)","1997",14629,165.3608,7964.193,88.4671578753852,-13
"244",6,"Rest South America (6)","1998",14820,168.0274,7983.648,88.1999007304761,-12
"245",6,"Rest South America (6)","1999",11116,170.6525,7600.39,65.1382194811093,-11
"246",6,"Rest South America (6)","2000",12463,173.2326,7644.868,71.9437334543267,-10
"247",6,"Rest South America (6)","2001",12119,175.7636,7586.33,68.9505676943349,-9
"248",6,"Rest South America (6)","2002",10858,178.249,7237.485,60.9147877407447,-8
"249",6,"Rest South America (6)","2003",12058,180.7024,7342.196,66.7284994554582,-7
"250",6,"Rest South America (6)","2004",14313,183.1424,7874.344,78.1523011601901,-6
"251",6,"Rest South America (6)","2005",15034,185.5829,8358.868,81.0096188819121,-5
"252",6,"Rest South America (6)","2006",18067,188.0279,8862.133,96.086804139173,-4
"253",6,"Rest South America (6)","2007",19758,190.4744,9389.734,103.730475066466,-3
"254",6,"Rest South America (6)","2008",19704,192.9207,9785.698,102.135229656538,-2
"255",6,"Rest South America (6)","2009",15322,195.3631,9543.877,78.4283214179136,-1
"256",6,"Rest South America (6)","2010",18668,197.798,9644.25,94.3791140456425,0
"257",6,"Rest South America (6)","2011",21212,200.2255,9827.167,105.940552027589,1
"258",6,"Rest South America (6)","2012",22053,202.6449,10055.4,108.825832774474,2
"259",7,"Northern Africa (7)","1970",2572,71.53033,2614.15184141864,35.9567752588308,-40
"260",7,"Northern Africa (7)","1971",2470,73.61912,2693.479,33.5510666250833,-39
"261",7,"Northern Africa (7)","1972",2896,75.41985,2964.886,38.3983792065352,-38
"262",7,"Northern Africa (7)","1973",3199,77.25272,2966.555,41.4095451914185,-37
"263",7,"Northern Africa (7)","1974",4221,79.14845,3170.684,53.3301662887902,-36
"264",7,"Northern Africa (7)","1975",4579,81.13089,3279.306,56.439661884641,-35
"265",7,"Northern Africa (7)","1976",4326,83.20176,3621.714,51.9940924326601,-34
"266",7,"Northern Africa (7)","1977",4800,85.35855,3794.459,56.2333825961195,-33
"267",7,"Northern Africa (7)","1978",5086,87.61505,3907.863,58.0493876337456,-32
"268",7,"Northern Africa (7)","1979",5621,89.98675,4075.367,62.4647517551195,-31
"269",7,"Northern Africa (7)","1980",6452,92.48152,4095.043,69.7652893248294,-30
"270",7,"Northern Africa (7)","1981",7006,95.10136,3853.739,73.6687677231955,-29
"271",7,"Northern Africa (7)","1982",6707,97.83386,3984.952,68.55499721671,-28
"272",7,"Northern Africa (7)","1983",7065,100.653,3995.509,70.191648535066,-27
"273",7,"Northern Africa (7)","1984",6668,103.5235,4019.197,64.4104961675368,-26
"274",7,"Northern Africa (7)","1985",8322,106.4149,4133.836,78.2033343075077,-25
"275",7,"Northern Africa (7)","1986",10142,109.3194,4022.011,92.7740181523133,-24
"276",7,"Northern Africa (7)","1987",8271,112.229,3838.14,73.69752915913,-23
"277",7,"Northern Africa (7)","1988",8953,115.1134,3884.93,77.7754805261594,-22
"278",7,"Northern Africa (7)","1989",9002,117.9373,3957.57,76.3286932972011,-21
"279",7,"Northern Africa (7)","1990",8051,120.6754,4004.541,66.7161658465603,-20
"280",7,"Northern Africa (7)","1991",8367,123.3155,4053.06,67.8503513345849,-19
"281",7,"Northern Africa (7)","1992",8259,125.8616,4021.332,65.6196965555817,-18
"282",7,"Northern Africa (7)","1993",8359,128.3269,3965.028,65.1383303111039,-17
"283",7,"Northern Africa (7)","1994",9684,130.7339,4006.419,74.0741307342625,-16
"284",7,"Northern Africa (7)","1995",8949,133.1018,3971.964,67.2342522790826,-15
"285",7,"Northern Africa (7)","1996",8464,135.4332,4127.618,62.4957543645133,-14
"286",7,"Northern Africa (7)","1997",9022,137.7305,4164.798,65.5047356976124,-13
"287",7,"Northern Africa (7)","1998",10913,140.0129,4257.673,77.9428181260441,-12
"288",7,"Northern Africa (7)","1999",9557,142.3036,4331.432,67.1592285788975,-11
"289",7,"Northern Africa (7)","2000",8706,144.6207,4392.518,60.1988512017989,-10
"290",7,"Northern Africa (7)","2001",9037,146.9718,4505.486,61.4879861306727,-9
"291",7,"Northern Africa (7)","2002",9303,149.3582,4580.779,62.2865031849607,-8
"292",7,"Northern Africa (7)","2003",9926,151.7827,4702.743,65.3961222194624,-7
"293",7,"Northern Africa (7)","2004",11452,154.2455,4853.247,74.2452778200985,-6
"294",7,"Northern Africa (7)","2005",14699,156.7456,4994.974,93.7761570340731,-5
"295",7,"Northern Africa (7)","2006",15271,159.2843,5169.681,95.8726001244316,-4
"296",7,"Northern Africa (7)","2007",16197,161.8604,5336.363,100.067712670919,-3
"297",7,"Northern Africa (7)","2008",18892,164.4664,5541.492,114.868447293794,-2
"298",7,"Northern Africa (7)","2009",23483,167.0921,5643.445,140.539259486235,-1
"299",7,"Northern Africa (7)","2010",19208,169.7283,5783.958,113.169106153776,0
"300",7,"Northern Africa (7)","2011",16512,172.3709,5968.287,95.793431489886,1
"301",7,"Northern Africa (7)","2012",19798,175.0158,6195.265,113.121215341701,2
"302",8,"Western Africa (8)","1970",650,131.74,1363.06138638973,4.9339608319417,-40
"303",8,"Western Africa (8)","1971",540,144.355,1385.493,3.74077794326487,-39
"304",8,"Western Africa (8)","1972",571,148.0385,1391.376,3.85710473964543,-38
"305",8,"Western Africa (8)","1973",710,151.873,1412.128,4.67495868258347,-37
"306",8,"Western Africa (8)","1974",884,155.9128,1502.656,5.66983595958767,-36
"307",8,"Western Africa (8)","1975",1380,160.195,1452.761,8.61450107681264,-35
"308",8,"Western Africa (8)","1976",1327,164.7402,1515.54,8.05510737512763,-34
"309",8,"Western Africa (8)","1977",1799,169.534,1525.414,10.6114407729423,-33
"310",8,"Western Africa (8)","1978",1380,174.5343,1461.469,7.90675529108032,-32
"311",8,"Western Africa (8)","1979",1025,179.6796,1479.4,5.70459863000586,-31
"312",8,"Western Africa (8)","1980",1573,184.9263,1452.905,8.50609134557929,-30
"313",8,"Western Africa (8)","1981",1362,190.2622,1362.24,7.15854226430683,-29
"314",8,"Western Africa (8)","1982",1462,195.7041,1341.225,7.470461783887,-28
"315",8,"Western Africa (8)","1983",859,201.2735,1282.053,4.26782462668955,-27
"316",8,"Western Africa (8)","1984",1085,207.0039,1248.601,5.24144714181713,-26
"317",8,"Western Africa (8)","1985",728,212.9206,1284.188,3.41911491889465,-25
"318",8,"Western Africa (8)","1986",622,219.0201,1285.169,2.83992199802666,-24
"319",8,"Western Africa (8)","1987",831,225.2956,1240.093,3.68848748044791,-23
"320",8,"Western Africa (8)","1988",568,231.7652,1261,2.45075619635735,-22
"321",8,"Western Africa (8)","1989",653,238.4503,1274.071,2.73851616039066,-21
"322",8,"Western Africa (8)","1990",953,245.3616,1265.348,3.88406335791746,-20
"323",8,"Western Africa (8)","1991",1251,252.5202,1257.347,4.95405912081489,-19
"324",8,"Western Africa (8)","1992",1568,259.9104,1227.554,6.03284824308685,-18
"325",8,"Western Africa (8)","1993",1061,267.4611,1194.141,3.96693201366479,-17
"326",8,"Western Africa (8)","1994",775,275.0754,1166.051,2.81740933576758,-16
"327",8,"Western Africa (8)","1995",801,282.6889,1174.865,2.8335035440019,-15
"328",8,"Western Africa (8)","1996",770,290.269,1195.513,2.65271179492126,-14
"329",8,"Western Africa (8)","1997",1047,297.85,1207.545,3.51519221084438,-13
"330",8,"Western Africa (8)","1998",1092,305.5169,1215.845,3.57427035951203,-12
"331",8,"Western Africa (8)","1999",1347,313.3915,1205.784,4.29813827114009,-11
"332",8,"Western Africa (8)","2000",1518,321.5615,1211.977,4.7207143890049,-10
"333",8,"Western Africa (8)","2001",2339,330.0531,1229.888,7.08673846723452,-9
"334",8,"Western Africa (8)","2002",2126,338.8388,1228.412,6.27436999540785,-8
"335",8,"Western Africa (8)","2003",2364,347.8856,1279.238,6.79533731778493,-7
"336",8,"Western Africa (8)","2004",2024,357.1391,1350.488,5.6672596195712,-6
"337",8,"Western Africa (8)","2005",2696,366.5572,1382.886,7.35492305157285,-5
"338",8,"Western Africa (8)","2006",2226,376.1295,1412.682,5.9181744585309,-4
"339",8,"Western Africa (8)","2007",2221,385.8629,1453.617,5.75593040947964,-3
"340",8,"Western Africa (8)","2008",3009,395.5942,1486.149,7.60627936405539,-2
"341",8,"Western Africa (8)","2009",3200,405.4698,1485.888,7.89207975538499,-1
