,region,year,demand_tot
144,R12_WEU,2060,122.81830022223443
145,R12_WEU,2070,113.75349534251511
146,R12_WEU,2080,101.81332563580659
147,R12_WEU,2090,89.27031547599216
148,R12_WEU,2100,77.063602427992
149,R12_WEU,2110,67.6225683348376
150,R12_WEU,2025,125.1237476362547
151,R12_WEU,2035,117.66324410727594
152,R12_WEU,2045,122.9205302368698
153,R12_WEU,2055,125.05560444747039
154,R12_CHN,2020,980.0222801614153
155,R12_CHN,2030,1001.4609871493232
156,R12_CHN,2040,800.5457549597199
157,R12_CHN,2050,529.9754390454182
158,R12_CHN,2060,347.84878232110503
159,R12_CHN,2070,245.4545548524445
160,R12_CHN,2080,183.53591980394089
161,R12_CHN,2090,141.4025994708472
162,R12_CHN,2100,111.14151358670107
163,R12_CHN,2110,96.04023895047844
164,R12_CHN,2025,1018.0011269229914
165,R12_CHN,2035,923.2456827811212
166,R12_CHN,2045,656.686817017973
167,R12_CHN,2055,425.50848820008673
