Exporter,Year,Value,Unit,Source
R12_FSU,2017,135.912,Mt,Steel Statistical Yearbook 2025
R12_LAM,2017,37.178,Mt,Steel Statistical Yearbook 2025
R12_MEA,2017,16.505,Mt,Steel Statistical Yearbook 2025
R12_NAM,2017,24.888,Mt,Steel Statistical Yearbook 2025
R12_PAO,2017,0.129,Mt,Steel Statistical Yearbook 2025
R12_PAS,2017,13.371,Mt,Steel Statistical Yearbook 2025
R12_RCPA,2017,1.213,Mt,Steel Statistical Yearbook 2025
R12_SAS,2017,-1.264,Mt,Steel Statistical Yearbook 2025
R12_WEU,2017,311.24,Mt,Steel Statistical Yearbook 2025
R12_AFR,2018,2.866,Mt,Steel Statistical Yearbook 2025
R12_CHN,2018,-17.798,Mt,Steel Statistical Yearbook 2025
R12_EEU,2018,47.922,Mt,Steel Statistical Yearbook 2025
R12_FSU,2018,140.824,Mt,Steel Statistical Yearbook 2025
R12_LAM,2018,34.384,Mt,Steel Statistical Yearbook 2025
R12_MEA,2018,19.374,Mt,Steel Statistical Yearbook 2025
R12_NAM,2018,21.518,Mt,Steel Statistical Yearbook 2025
R12_PAO,2018,-0.112,Mt,Steel Statistical Yearbook 2025
R12_PAS,2018,10.3,Mt,Steel Statistical Yearbook 2025
R12_RCPA,2018,1.623,Mt,Steel Statistical Yearbook 2025
R12_SAS,2018,-1.742,Mt,Steel Statistical Yearbook 2025
R12_WEU,2018,311.064,Mt,Steel Statistical Yearbook 2025
R12_AFR,2019,2.656,Mt,Steel Statistical Yearbook 2025
R12_CHN,2019,-16.52,Mt,Steel Statistical Yearbook 2025
R12_EEU,2019,45.318,Mt,Steel Statistical Yearbook 2025
R12_FSU,2019,131.723,Mt,Steel Statistical Yearbook 2025
R12_LAM,2019,31.223,Mt,Steel Statistical Yearbook 2025
R12_MEA,2019,25.297,Mt,Steel Statistical Yearbook 2025
R12_NAM,2019,18.45,Mt,Steel Statistical Yearbook 2025
R12_PAO,2019,-0.304,Mt,Steel Statistical Yearbook 2025
R12_PAS,2019,9.651,Mt,Steel Statistical Yearbook 2025
R12_RCPA,2019,1.52,Mt,Steel Statistical Yearbook 2025
R12_SAS,2019,3.851,Mt,Steel Statistical Yearbook 2025
R12_WEU,2019,301.691,Mt,Steel Statistical Yearbook 2025
R12_AFR,2020,1.506,Mt,Steel Statistical Yearbook 2025
R12_CHN,2020,-6.022,Mt,Steel Statistical Yearbook 2025
R12_EEU,2020,40.954,Mt,Steel Statistical Yearbook 2025
R12_FSU,2020,130.953,Mt,Steel Statistical Yearbook 2025
R12_LAM,2020,28.802,Mt,Steel Statistical Yearbook 2025
R12_MEA,2020,13.598,Mt,Steel Statistical Yearbook 2025
R12_NAM,2020,19.442,Mt,Steel Statistical Yearbook 2025
R12_PAO,2020,-0.304,Mt,Steel Statistical Yearbook 2025
R12_PAS,2020,9.64,Mt,Steel Statistical Yearbook 2025
R12_RCPA,2020,1.541,Mt,Steel Statistical Yearbook 2025
R12_SAS,2020,7.522,Mt,Steel Statistical Yearbook 2025
R12_WEU,2020,263.955,Mt,Steel Statistical Yearbook 2025
R12_AFR,2021,1.539,Mt,Steel Statistical Yearbook 2025
R12_CHN,2021,-2.116,Mt,Steel Statistical Yearbook 2025
R12_EEU,2021,50.188,Mt,Steel Statistical Yearbook 2025
R12_FSU,2021,131.687,Mt,Steel Statistical Yearbook 2025
R12_LAM,2021,31.103,Mt,Steel Statistical Yearbook 2025
R12_MEA,2021,17.411,Mt,Steel Statistical Yearbook 2025
R12_NAM,2021,25.93,Mt,Steel Statistical Yearbook 2025
R12_PAO,2021,-0.347,Mt,Steel Statistical Yearbook 2025
R12_PAS,2021,9.121,Mt,Steel Statistical Yearbook 2025
R12_RCPA,2021,1.763,Mt,Steel Statistical Yearbook 2025
R12_SAS,2021,5.973,Mt,Steel Statistical Yearbook 2025
R12_WEU,2021,294.972,Mt,Steel Statistical Yearbook 2025
R12_AFR,2022,1.511,Mt,Steel Statistical Yearbook 2025
R12_CHN,2022,-0.714,Mt,Steel Statistical Yearbook 2025
R12_EEU,2022,44.962,Mt,Steel Statistical Yearbook 2025
R12_FSU,2022,54.969,Mt,Steel Statistical Yearbook 2025
R12_LAM,2022,32.483,Mt,Steel Statistical Yearbook 2025
R12_MEA,2022,13.7,Mt,Steel Statistical Yearbook 2025
R12_NAM,2022,22.172,Mt,Steel Statistical Yearbook 2025
R12_PAO,2022,0.28,Mt,Steel Statistical Yearbook 2025
R12_PAS,2022,9.994,Mt,Steel Statistical Yearbook 2025
R12_RCPA,2022,1.446,Mt,Steel Statistical Yearbook 2025
R12_SAS,2022,6.778,Mt,Steel Statistical Yearbook 2025
R12_WEU,2022,274.116,Mt,Steel Statistical Yearbook 2025
R12_AFR,2023,1.531,Mt,Steel Statistical Yearbook 2025
R12_CHN,2023,-13.596,Mt,Steel Statistical Yearbook 2025
R12_EEU,2023,41.424,Mt,Steel Statistical Yearbook 2025
R12_FSU,2023,30.357,Mt,Steel Statistical Yearbook 2025
R12_LAM,2023,27.43,Mt,Steel Statistical Yearbook 2025
R12_MEA,2023,30.909,Mt,Steel Statistical Yearbook 2025
R12_NAM,2023,24.424,Mt,Steel Statistical Yearbook 2025
R12_PAO,2023,0.148,Mt,Steel Statistical Yearbook 2025
R12_PAS,2023,10.395,Mt,Steel Statistical Yearbook 2025
R12_RCPA,2023,1.376,Mt,Steel Statistical Yearbook 2025
R12_SAS,2023,7.571,Mt,Steel Statistical Yearbook 2025
R12_WEU,2023,268.483,Mt,Steel Statistical Yearbook 2025
R12_AFR,2024,2.412,Mt,Steel Statistical Yearbook 2025
R12_CHN,2024,-22.662,Mt,Steel Statistical Yearbook 2025
R12_EEU,2024,38.824,Mt,Steel Statistical Yearbook 2025
R12_FSU,2024,33.232,Mt,Steel Statistical Yearbook 2025
R12_LAM,2024,23.01,Mt,Steel Statistical Yearbook 2025
R12_MEA,2024,26.172,Mt,Steel Statistical Yearbook 2025
R12_NAM,2024,23.628,Mt,Steel Statistical Yearbook 2025
R12_PAO,2024,0.238,Mt,Steel Statistical Yearbook 2025
R12_PAS,2024,10.071,Mt,Steel Statistical Yearbook 2025
R12_RCPA,2024,1.446,Mt,Steel Statistical Yearbook 2025
R12_SAS,2024,7.266,Mt,Steel Statistical Yearbook 2025
R12_WEU,2024,261.838,Mt,Steel Statistical Yearbook 2025
