index,IMPORTER,technology,YEAR,LEVEL
228170,R12_WEU,gas_imp,2010,0.0
228171,R12_WEU,gas_imp,2015,0.0
228172,R12_WEU,gas_imp,2020,0.0
228173,R12_WEU,gas_imp,2025,0.0
228174,R12_WEU,gas_imp,2030,143.40387914906248
228175,R12_WEU,gas_imp,2035,143.40387914906248
228176,R12_WEU,gas_imp,2040,112.81546558483898
228177,R12_WEU,gas_imp,2045,109.86986632663331
228178,R12_WEU,gas_imp,2050,75.96644566922201
228179,R12_WEU,gas_imp,2055,49.73262504847342
228180,R12_WEU,gas_imp,2060,29.433394734343743
228181,R12_WEU,gas_imp,2070,1.5723382441711493
228182,R12_WEU,gas_imp,2080,0.0
228183,R12_WEU,gas_imp,2090,0.0
228184,R12_WEU,gas_imp,2100,0.0
228185,R12_WEU,gas_imp,2110,0.0
291975,R12_PAO,gas_imp,2010,0.0
291976,R12_PAO,gas_imp,2015,0.0
291977,R12_PAO,gas_imp,2020,0.0
291978,R12_PAO,gas_imp,2025,0.0
291979,R12_PAO,gas_imp,2030,0.0
291980,R12_PAO,gas_imp,2035,0.0
291981,R12_PAO,gas_imp,2040,0.0
291982,R12_PAO,gas_imp,2045,0.0
291983,R12_PAO,gas_imp,2050,0.0
291984,R12_PAO,gas_imp,2055,0.0
291985,R12_PAO,gas_imp,2060,0.0
291986,R12_PAO,gas_imp,2070,0.0
291987,R12_PAO,gas_imp,2080,0.0
291988,R12_PAO,gas_imp,2090,0.0
291989,R12_PAO,gas_imp,2100,0.0
291990,R12_PAO,gas_imp,2110,0.0
355038,R12_CHN,gas_imp,2010,0.0
355039,R12_CHN,gas_imp,2015,0.0
355040,R12_CHN,gas_imp,2020,0.0
355041,R12_CHN,gas_imp,2025,0.0
355042,R12_CHN,gas_imp,2030,91.50052213878126
355043,R12_CHN,gas_imp,2035,127.83169186484962
355044,R12_CHN,gas_imp,2040,174.20049393028884
355045,R12_CHN,gas_imp,2045,233.38014108162085
355046,R12_CHN,gas_imp,2050,308.9100336161215
355047,R12_CHN,gas_imp,2055,405.30744287551113
355048,R12_CHN,gas_imp,2060,528.337678986037
355049,R12_CHN,gas_imp,2070,774.6558404786348
355050,R12_CHN,gas_imp,2080,989.3401285267034
355051,R12_CHN,gas_imp,2090,916.8551622803118
355052,R12_CHN,gas_imp,2100,721.1776886984092
355053,R12_CHN,gas_imp,2110,778.1198200293485
386241,R12_RCPA,gas_imp,2010,0.0
386242,R12_RCPA,gas_imp,2015,0.0
386243,R12_RCPA,gas_imp,2020,0.0
386244,R12_RCPA,gas_imp,2025,0.0
386245,R12_RCPA,gas_imp,2030,0.0
386246,R12_RCPA,gas_imp,2035,0.0
386247,R12_RCPA,gas_imp,2040,0.0
386248,R12_RCPA,gas_imp,2045,0.0
386249,R12_RCPA,gas_imp,2050,0.0
386250,R12_RCPA,gas_imp,2055,11.051262500000005
386251,R12_RCPA,gas_imp,2060,25.155785071097668
386252,R12_RCPA,gas_imp,2070,30.889120140196827
386253,R12_RCPA,gas_imp,2080,30.889120140196827
386254,R12_RCPA,gas_imp,2090,30.889120140196827
386255,R12_RCPA,gas_imp,2100,12.78559635464799
386256,R12_RCPA,gas_imp,2110,16.423183396240532
