region,year,en_sav_ren,shr_acc,eff,shr_floor,f_hours
MEA,2100,0.0,0.7841353819833333,5.0,0.93,0.5
NAM,2015,0.0,0.5720378707555556,3.0,1.03,0.5
NAM,2020,0.0,0.5790081198777778,3.117647059,1.03,0.5
NAM,2025,0.0,0.5849622223666666,3.235294118,1.03,0.5
NAM,2030,0.0,0.5937056343111111,3.352941176,1.03,0.5
NAM,2035,0.0,0.6053468898666666,3.470588235,1.03,0.5
NAM,2040,0.0,0.6091809762444444,3.588235294,1.03,0.5
NAM,2045,0.0,0.6127724299222221,3.705882353,1.03,0.5
NAM,2050,0.0,0.6170362792333334,3.823529412,1.03,0.5
NAM,2055,0.0,0.6181006439777778,3.941176471,1.03,0.5
NAM,2060,0.0,0.6198400517888889,4.058823529,1.03,0.5
NAM,2065,0.0,0.6202743558333333,4.176470588,1.03,0.5
NAM,2070,0.0,0.6221072285,4.294117647,1.03,0.5
NAM,2075,0.0,0.6232140018888889,4.411764706,1.03,0.5
NAM,2080,0.0,0.6246906486222222,4.529411765,1.03,0.5
NAM,2085,0.0,0.6257963280777777,4.647058824,1.03,0.5
NAM,2090,0.0,0.6266605826444445,4.764705882,1.03,0.5
NAM,2095,0.0,0.6266844872555555,4.882352941,1.03,0.5
NAM,2100,0.0,0.6278116253444445,5.0,1.03,0.5
PAO,2015,0.0,0.6115369454166666,3.0,0.75,0.3333333333333333
PAO,2020,0.0,0.6187013455,3.117647059,0.75,0.3333333333333333
PAO,2025,0.0,0.6255144067777778,3.235294118,0.75,0.3333333333333333
PAO,2030,0.0,0.6304695869722222,3.352941176,0.75,0.3333333333333333
PAO,2035,0.0,0.6347670893888888,3.470588235,0.75,0.3333333333333333
PAO,2040,0.0,0.6388592507777777,3.588235294,0.75,0.3333333333333333
PAO,2045,0.0,0.6435849740555555,3.705882353,0.75,0.3333333333333333
PAO,2050,0.0,0.6485079549444444,3.823529412,0.75,0.3333333333333333
PAO,2055,0.0,0.6519418357222223,3.941176471,0.75,0.3333333333333333
PAO,2060,0.0,0.6570039061388889,4.058823529,0.75,0.3333333333333333
PAO,2065,0.0,0.6613126771111112,4.176470588,0.75,0.3333333333333333
PAO,2070,0.0,0.6645712110833333,4.294117647,0.75,0.3333333333333333
PAO,2075,0.0,0.66755146,4.411764706,0.75,0.3333333333333333
PAO,2080,0.0,0.6696395496388888,4.529411765,0.75,0.3333333333333333
PAO,2085,0.0,0.6706584338888889,4.647058824,0.75,0.3333333333333333
PAO,2090,0.0,0.67191232,4.764705882,0.75,0.3333333333333333
PAO,2095,0.0,0.6720677190277777,4.882352941,0.75,0.3333333333333333
PAO,2100,0.0,0.6719079994444445,5.0,0.75,0.3333333333333333
PAS,2015,0.0,0.22868002251515152,2.9,0.45,0.16666666666666666
PAS,2020,0.0,0.2744737786363637,3.023529412,0.45,0.16666666666666666
PAS,2025,0.0,0.3158295657272727,3.147058824,0.45,0.16666666666666666
PAS,2030,0.0,0.35813370177272724,3.270588235,0.45,0.16666666666666666
PAS,2035,0.0,0.4013548844090909,3.394117647,0.45,0.16666666666666666
PAS,2040,0.0,0.44408840499999996,3.517647059,0.45,0.16666666666666666
PAS,2045,0.0,0.48597917339393937,3.641176471,0.45,0.16666666666666666
PAS,2050,0.0,0.5270124827878788,3.764705882,0.45,0.16666666666666666
PAS,2055,0.0,0.562243377878788,3.888235294,0.45,0.16666666666666666
PAS,2060,0.0,0.601162421590909,4.011764706,0.45,0.16666666666666666
