# METADATA: Residential/Commercial shares of the calibrated buildings component in aggregate rc_spec/rc_therm
# Sources: WP - RC demands/Output/ssp_baseline/rc_calibrated_GWa_SSP1.csv, _staging/rc_demands/SSP_SSP1_v6.5_CID__baseline__rc_{spec,therm}.csv
# Formula: frac_resid_X = resid_X_GWa / rc_aggregate_GWa; frac_comm_X = comm_X_GWa / rc_aggregate_GWa
# Scope: cooling = resid_cool_electr + comm_cool_electr; heating = resid_heat_* + comm_heat_* (excludes cooking and hotwater)
# Years: from first nonzero buildings component to 2100
# Generated: 2026-05-04
node,year,frac_resid_cool,frac_comm_cool,frac_resid_heat,frac_comm_heat
R12_LAM,2025,0.19682567477889706,0.17485258639466697,0.1658190798199776,0.02971163197184297
R12_LAM,2030,0.2862725446167766,0.22573820712451548,0.17609901703852565,0.028605539840142413
R12_LAM,2040,0.27779217449737686,0.384329130930342,0.16728679237134145,0.033556171124243875
R12_LAM,2050,0.2246278151649254,0.41192503953659754,0.1553946526712542,0.037039233106962326
R12_LAM,2060,0.23234015001504965,0.43254549535361103,0.15602979123026187,0.037452287144689685
R12_LAM,2070,0.2382845148073034,0.4295036480668353,0.15026007784183423,0.035874369077694125
R12_LAM,2080,0.23884284536043965,0.41337890229994384,0.14470299581079218,0.03407883509247391
R12_LAM,2090,0.23404538564329272,0.39102561853437495,0.13820969228126015,0.032175813072145405
R12_LAM,2100,0.22298228493462727,0.36611470885594083,0.13327345666993293,0.03046994865348216
R12_MEA,2020,0.42259957302309814,0.16717221374761052,0.3582347088047158,0.11192712602878761
R12_MEA,2025,0.4808321167113557,0.16700011361739547,0.37072512769656074,0.12114766392297065
R12_MEA,2030,0.5674336790141153,0.1679381945751115,0.403856799258025,0.11859654905348434
R12_MEA,2040,0.587073184334695,0.17341042721258612,0.4064850668175206,0.10805160330510255
R12_MEA,2050,0.5853224157102536,0.16104672064290207,0.39743688909691555,0.09628090537826549
R12_MEA,2060,0.576014992288019,0.14064706533326823,0.38454215624177707,0.08310483798961435
R12_MEA,2070,0.5178377172815382,0.1304626579906786,0.3555614745715863,0.07464035555416866
R12_MEA,2080,0.4885717688588268,0.12399304414122041,0.33424355566051167,0.07056213770803689
R12_MEA,2090,0.4690210159565985,0.1178972831777784,0.31713909458534206,0.06876328153235375
R12_MEA,2100,0.43713096087927306,0.10905933262375447,0.2986143793935049,0.06719997718459689
R12_NAM,2020,0.13508614757379064,0.17458238633511622,0.4830781033431388,0.3034455234402962
R12_NAM,2025,0.13782737605740292,0.19395368174717437,0.45613685010079486,0.30189715831924485
R12_NAM,2030,0.1362954085593758,0.21572986624433813,0.4037023511186508,0.29493665631884874
R12_NAM,2040,0.13112209228824423,0.20097005118171643,0.3633761277267804,0.26080848983059396
R12_NAM,2050,0.1257039653920622,0.18107325411836986,0.3454363378625042,0.2256007230552388
R12_NAM,2060,0.12404516262901039,0.167847427402515,0.3687258510623942,0.21485064004864465
R12_NAM,2070,0.12071265769043615,0.1560567795882852,0.39809613181165254,0.20993206264718792
R12_NAM,2080,0.1159117677790826,0.14547932449068887,0.3834131089741752,0.1879309019231595
R12_NAM,2090,0.1100328843861526,0.1339188603607946,0.35710114540969534,0.16552121133068454
R12_NAM,2100,0.10454161726031591,0.12259522869416871,0.34363103823864216,0.15381054381049192
R12_PAO,2020,0.05338241852516269,0.16408415989998887,0.18366734404464344,0.21898353793291936
R12_PAO,2025,0.05320135694821245,0.21606910169743915,0.17766319479605852,0.21401046638484286
R12_PAO,2030,0.057343841243796344,0.2944252093266796,0.1572635730901637,0.20944120862311394
R12_PAO,2040,0.059063169052047566,0.3102644058457303,0.16548068335279126,0.19093339909412949
R12_PAO,2050,0.06412647495584617,0.3010597389512281,0.16393163458148152,0.15023860048020757
R12_PAO,2060,0.07318955729066784,0.294272546274089,0.16825176601168543,0.11564899458892924
R12_PAO,2070,0.07493778327595399,0.2596492613639227,0.17290784158805592,0.08542008251744516
R12_PAO,2080,0.07395654936727815,0.2227128139449878,0.17464734022890954,0.0655587451679652
R12_PAO,2090,0.07304516608420557,0.18634562753944162,0.17611893745555862,0.054278283440445725
R12_PAO,2100,0.07280566880070455,0.14617039142177368,0.17966701477487626,0.04381782382916792
R12_PAS,2020,0.0528915177535148,0.12497293068807476,0.28534067709220173,0.06705397199571683
R12_PAS,2025,0.08661861761144017,0.15551978808121578,0.27810856588484206,0.05232184367702349
R12_PAS,2030,0.1458610991417145,0.18356151386174713,0.27254520821859785,0.04606185892524389
R12_PAS,2040,0.18195755089369103,0.24107407104217568,0.24475410297437422,0.042820854022054156
