node,commodity,level,year,time,value,unit
R12_PAO,i_spec,useful,2060,year,15.0361,GWa
R12_PAO,i_spec,useful,2065,year,15.2577,GWa
R12_PAO,i_spec,useful,2070,year,15.7184,GWa
R12_PAO,i_spec,useful,2075,year,16.4023,GWa
R12_PAO,i_spec,useful,2080,year,17.3162,GWa
R12_PAO,i_spec,useful,2085,year,18.4691,GWa
R12_PAO,i_spec,useful,2090,year,19.8648,GWa
R12_PAO,i_spec,useful,2095,year,21.4972,GWa
R12_PAO,i_spec,useful,2100,year,23.3321,GWa
R12_PAO,i_spec,useful,2110,year,28.6072,GWa
R12_PAS,i_spec,useful,2020,year,59.5681,GWa
R12_PAS,i_spec,useful,2025,year,69.9041,GWa
R12_PAS,i_spec,useful,2030,year,80.8608,GWa
R12_PAS,i_spec,useful,2035,year,91.6936,GWa
R12_PAS,i_spec,useful,2040,year,101.7559,GWa
R12_PAS,i_spec,useful,2045,year,110.6186,GWa
R12_PAS,i_spec,useful,2050,year,117.5053,GWa
R12_PAS,i_spec,useful,2055,year,122.8796,GWa
R12_PAS,i_spec,useful,2060,year,127.1306,GWa
R12_PAS,i_spec,useful,2065,year,130.4327,GWa
R12_PAS,i_spec,useful,2070,year,132.6217,GWa
R12_PAS,i_spec,useful,2075,year,133.7187,GWa
R12_PAS,i_spec,useful,2080,year,133.7764,GWa
R12_PAS,i_spec,useful,2085,year,132.935,GWa
R12_PAS,i_spec,useful,2090,year,131.2686,GWa
R12_PAS,i_spec,useful,2095,year,128.8397,GWa
R12_PAS,i_spec,useful,2100,year,125.7085,GWa
R12_PAS,i_spec,useful,2110,year,121.4372,GWa
R12_RCPA,i_spec,useful,2020,year,10.9681,GWa
R12_RCPA,i_spec,useful,2025,year,14.5718,GWa
R12_RCPA,i_spec,useful,2030,year,20.8857,GWa
R12_RCPA,i_spec,useful,2035,year,28.5511,GWa
R12_RCPA,i_spec,useful,2040,year,35.9309,GWa
R12_RCPA,i_spec,useful,2045,year,42.316,GWa
R12_RCPA,i_spec,useful,2050,year,47.1875,GWa
R12_RCPA,i_spec,useful,2055,year,50.8644,GWa
R12_RCPA,i_spec,useful,2060,year,53.656,GWa
R12_RCPA,i_spec,useful,2065,year,55.698,GWa
R12_RCPA,i_spec,useful,2070,year,56.892,GWa
R12_RCPA,i_spec,useful,2075,year,57.0478,GWa
R12_RCPA,i_spec,useful,2080,year,56.2532,GWa
R12_RCPA,i_spec,useful,2085,year,54.715,GWa
R12_RCPA,i_spec,useful,2090,year,52.6338,GWa
R12_RCPA,i_spec,useful,2095,year,50.164,GWa
R12_RCPA,i_spec,useful,2100,year,47.4059,GWa
R12_RCPA,i_spec,useful,2110,year,42.5368,GWa
R12_SAS,i_spec,useful,2020,year,43.9548,GWa
R12_SAS,i_spec,useful,2025,year,55.0818,GWa
R12_SAS,i_spec,useful,2030,year,68.2833,GWa
R12_SAS,i_spec,useful,2035,year,83.2796,GWa
R12_SAS,i_spec,useful,2040,year,100.5327,GWa
R12_SAS,i_spec,useful,2045,year,119.8397,GWa
R12_SAS,i_spec,useful,2050,year,140.1064,GWa
R12_SAS,i_spec,useful,2055,year,161.2849,GWa
R12_SAS,i_spec,useful,2060,year,183.6525,GWa
