"avgLF","xval","code","msg_reg","commodity","x.interval"
0.539019494401695,56036.3329,"ensemble_6p0_2030-2070","AFR","hydro_c7",571.799299999999
0.600370245378231,57179.9316,"ensemble_6p0_2030-2070","AFR","hydro_c8",1143.5987
0.62876626848911,0,"ensemble_6p0_2071-2100","AFR","hydro_cNA",NA
0.62876626848911,6481.6588,"ensemble_6p0_2071-2100","AFR","hydro_c1",6481.6588
0.619387014833639,18266.493,"ensemble_6p0_2071-2100","AFR","hydro_c1",11784.8342
0.585142861022285,19444.9764,"ensemble_6p0_2071-2100","AFR","hydro_c1",1178.4834
0.565927564945579,23569.6684,"ensemble_6p0_2071-2100","AFR","hydro_c1",4124.692
0.569988160101296,26515.8769,"ensemble_6p0_2071-2100","AFR","hydro_c2",2946.2085
0.554596649158624,32408.294,"ensemble_6p0_2071-2100","AFR","hydro_c2",5892.4171
0.542464845491558,35354.5025,"ensemble_6p0_2071-2100","AFR","hydro_c2",2946.2085
0.526601602703952,37122.2277,"ensemble_6p0_2071-2100","AFR","hydro_c2",1767.7252
0.586753193182875,40657.6779,"ensemble_6p0_2071-2100","AFR","hydro_c3",3535.4502
0.558767957999885,43603.8865,"ensemble_6p0_2071-2100","AFR","hydro_c3",2946.2086
0.545959439871548,48317.8202,"ensemble_6p0_2071-2100","AFR","hydro_c3",4713.9337
0.528768994437966,48907.0619,"ensemble_6p0_2071-2100","AFR","hydro_c3",589.241699999999
0.575707712381222,50085.5453,"ensemble_6p0_2071-2100","AFR","hydro_c4",1178.4834
0.55222868857563,50674.787,"ensemble_6p0_2071-2100","AFR","hydro_c4",589.241699999999
0.542217145793006,52442.5121,"ensemble_6p0_2071-2100","AFR","hydro_c4",1767.7251
0.536943233129266,54210.2372,"ensemble_6p0_2071-2100","AFR","hydro_c4",1767.7251
0.558319987192861,54799.479,"ensemble_6p0_2071-2100","AFR","hydro_c5",589.241799999996
0.5195938540598,55388.7207,"ensemble_6p0_2071-2100","AFR","hydro_c5",589.241699999999
0.51880887410577,55977.9624,"ensemble_6p0_2071-2100","AFR","hydro_c5",589.241699999999
0.537036449065237,56567.2041,"ensemble_6p0_2071-2100","AFR","hydro_c6",589.241700000006
0.534379103880216,57156.4458,"ensemble_6p0_2071-2100","AFR","hydro_c6",589.241699999999
