"code","msg_reg","xval","avgIC"
"ensemble_6p0_2071-2100","LAM",86758.4481,19966.8228226211
"ensemble_6p0_2071-2100","LAM",88529.0286,71982.122668193
"ensemble_hist_historical","LAM",0,867.745665200582
"ensemble_hist_historical","LAM",39141.5681,867.745665200582
"ensemble_hist_historical","LAM",59147.2584,1912.59436839923
"ensemble_hist_historical","LAM",73934.073,4324.13319049165
"ensemble_hist_historical","LAM",80022.7614,8617.70077198423
"ensemble_hist_historical","LAM",82632.1992,12900.7219082172
"ensemble_hist_historical","LAM",84371.8245,16584.5380524737
"ensemble_hist_historical","LAM",85241.6371,21804.883045283
"ensemble_hist_historical","LAM",86981.2624,55853.8148329404
"GFDL-ESM2M_2p6_2030-2070","LAM",0,838.493074029691
"GFDL-ESM2M_2p6_2030-2070","LAM",38704.8775,838.493074029691
"GFDL-ESM2M_2p6_2030-2070","LAM",61575.9415,1923.32566549099
"GFDL-ESM2M_2p6_2030-2070","LAM",72131.8172,3983.88529630242
"GFDL-ESM2M_2p6_2030-2070","LAM",78289.4114,6297.0576697439
"GFDL-ESM2M_2p6_2030-2070","LAM",82687.6929,10542.1866494442
"GFDL-ESM2M_2p6_2030-2070","LAM",85326.6619,14915.0893413191
"GFDL-ESM2M_2p6_2030-2070","LAM",86206.3182,23217.2762005783
"GFDL-ESM2M_2p6_2030-2070","LAM",87965.6308,70293.2134210655
"GFDL-ESM2M_2p6_2071-2100","LAM",0,818.845504673086
"GFDL-ESM2M_2p6_2071-2100","LAM",40443.4392,818.845504673086
"GFDL-ESM2M_2p6_2071-2100","LAM",63957.0667,1798.0240978901
"GFDL-ESM2M_2p6_2071-2100","LAM",76184.153,3567.09321750059
"GFDL-ESM2M_2p6_2071-2100","LAM",80886.8785,5783.35384619754
"GFDL-ESM2M_2p6_2071-2100","LAM",88411.2393,9506.19505064629
"GFDL-ESM2M_2p6_2071-2100","LAM",91232.8745,13723.9423707659
"GFDL-ESM2M_2p6_2071-2100","LAM",92173.4196,18745.0616886206
"GFDL-ESM2M_2p6_2071-2100","LAM",94054.5098,51785.0678777053
"GFDL-ESM2M_6p0_2030-2070","LAM",0,888.276341776473
"GFDL-ESM2M_6p0_2030-2070","LAM",41163.3789,888.276341776473
"GFDL-ESM2M_6p0_2030-2070","LAM",60887.4979,2134.68418659968
"GFDL-ESM2M_6p0_2030-2070","LAM",74608.6242,4887.24122378028
"GFDL-ESM2M_6p0_2030-2070","LAM",78038.9058,8870.64947758264
"GFDL-ESM2M_6p0_2030-2070","LAM",81469.1874,12056.3839316154
"GFDL-ESM2M_6p0_2030-2070","LAM",82326.7578,14148.0999568143
