"code","msg_reg","xval","avgIC"
"HadGEM2-ES_6p0_2030-2070","RCPA",1730.666,2085.53069805247
"HadGEM2-ES_6p0_2030-2070","RCPA",2574.8933,3684.27694848181
"HadGEM2-ES_6p0_2030-2070","RCPA",2828.1614,5258.20922249791
"HadGEM2-ES_6p0_2030-2070","RCPA",3292.4865,7572.69447978449
"HadGEM2-ES_6p0_2030-2070","RCPA",3756.8115,11176.6462009075
"HadGEM2-ES_6p0_2030-2070","RCPA",4010.0797,15594.6147101578
"HadGEM2-ES_6p0_2030-2070","RCPA",4136.7138,20374.1818521013
"HadGEM2-ES_6p0_2030-2070","RCPA",4221.1365,107548.842137359
"HadGEM2-ES_6p0_2071-2100","RCPA",0,1642.9012112008
"HadGEM2-ES_6p0_2071-2100","RCPA",999.8518,1642.9012112008
"HadGEM2-ES_6p0_2071-2100","RCPA",2457.9689,3024.83820036285
"HadGEM2-ES_6p0_2071-2100","RCPA",2916.2343,5327.2491192034
"HadGEM2-ES_6p0_2071-2100","RCPA",3416.1601,8167.57152890036
"HadGEM2-ES_6p0_2071-2100","RCPA",3791.1046,11901.9996823404
"HadGEM2-ES_6p0_2071-2100","RCPA",3999.407,16250.2080393649
"HadGEM2-ES_6p0_2071-2100","RCPA",4082.728,19564.9687885353
"HadGEM2-ES_6p0_2071-2100","RCPA",4166.049,32497.2368178744
"HadGEM2-ES_hist_historical","RCPA",0,1807.6895876799
"HadGEM2-ES_hist_historical","RCPA",1571.6682,1807.6895876799
"HadGEM2-ES_hist_historical","RCPA",2667.0734,3004.41502742491
"HadGEM2-ES_hist_historical","RCPA",3143.3365,4631.38685300408
"HadGEM2-ES_hist_historical","RCPA",3762.4785,6859.86350340922
"HadGEM2-ES_hist_historical","RCPA",4238.7416,10136.2221138185
"HadGEM2-ES_hist_historical","RCPA",4572.1258,14022.0320059265
"HadGEM2-ES_hist_historical","RCPA",4667.3784,18420.7443088573
"HadGEM2-ES_hist_historical","RCPA",4762.631,25885.9708434819
"IPSL-CM5A-LR_2p6_2030-2070","RCPA",0,2051.84964533589
"IPSL-CM5A-LR_2p6_2030-2070","RCPA",1890.385,2051.84964533589
"IPSL-CM5A-LR_2p6_2030-2070","RCPA",2769.6339,3834.4321766429
"IPSL-CM5A-LR_2p6_2030-2070","RCPA",3341.1457,6435.97941995104
"IPSL-CM5A-LR_2p6_2030-2070","RCPA",3692.8452,8991.57858130796
"IPSL-CM5A-LR_2p6_2030-2070","RCPA",4088.5072,12864.3662746623
"IPSL-CM5A-LR_2p6_2030-2070","RCPA",4264.357,16863.302106951
"IPSL-CM5A-LR_2p6_2030-2070","RCPA",4308.3194,20986.8666434409
"IPSL-CM5A-LR_2p6_2030-2070","RCPA",4396.2443,26822.0895446476
"IPSL-CM5A-LR_2p6_2071-2100","RCPA",0,1970.50278969897
"IPSL-CM5A-LR_2p6_2071-2100","RCPA",1247.2088,1970.50278969897
"IPSL-CM5A-LR_2p6_2071-2100","RCPA",2338.5166,3514.59103167572
"IPSL-CM5A-LR_2p6_2071-2100","RCPA",2767.2446,6111.06386703467
"IPSL-CM5A-LR_2p6_2071-2100","RCPA",3234.9479,8677.21699271361
"IPSL-CM5A-LR_2p6_2071-2100","RCPA",3585.7254,12861.8148180612
"IPSL-CM5A-LR_2p6_2071-2100","RCPA",3702.6512,17079.4373913343
"IPSL-CM5A-LR_2p6_2071-2100","RCPA",3819.577,21117.5920798719
"IPSL-CM5A-LR_2p6_2071-2100","RCPA",3897.5276,32590.8240998448
"IPSL-CM5A-LR_6p0_2030-2070","RCPA",0,2120.34706998203
"IPSL-CM5A-LR_6p0_2030-2070","RCPA",2030.2656,2120.34706998203
"IPSL-CM5A-LR_6p0_2030-2070","RCPA",2692.3088,3926.44727611489
"IPSL-CM5A-LR_6p0_2030-2070","RCPA",3221.9433,6057.89687119513
"IPSL-CM5A-LR_6p0_2030-2070","RCPA",3530.8968,7869.9645981439
"IPSL-CM5A-LR_6p0_2030-2070","RCPA",4016.3951,11199.670683188
"IPSL-CM5A-LR_6p0_2030-2070","RCPA",4281.2123,15820.0003603288
"IPSL-CM5A-LR_6p0_2030-2070","RCPA",4325.3485,21316.039577609
"IPSL-CM5A-LR_6p0_2030-2070","RCPA",4413.6209,27961.2286155615
"IPSL-CM5A-LR_6p0_2071-2100","RCPA",0,1773.79794682243
"IPSL-CM5A-LR_6p0_2071-2100","RCPA",1745.3886,1773.79794682243
"IPSL-CM5A-LR_6p0_2071-2100","RCPA",2715.0489,3084.49280593811
"IPSL-CM5A-LR_6p0_2071-2100","RCPA",3296.8451,4973.33181331583
"IPSL-CM5A-LR_6p0_2071-2100","RCPA",3927.1243,7169.73824785115
"IPSL-CM5A-LR_6p0_2071-2100","RCPA",4314.9884,10137.4988226965
"IPSL-CM5A-LR_6p0_2071-2100","RCPA",4654.3696,13836.6871968163
"IPSL-CM5A-LR_6p0_2071-2100","RCPA",4751.3356,17540.0274887964
"IPSL-CM5A-LR_6p0_2071-2100","RCPA",4848.3016,24335.3819489641
"IPSL-CM5A-LR_hist_historical","RCPA",0,1913.09647742446
"IPSL-CM5A-LR_hist_historical","RCPA",2036.5198,1913.09647742446
"IPSL-CM5A-LR_hist_historical","RCPA",2812.3368,3273.62008331713
"IPSL-CM5A-LR_hist_historical","RCPA",3297.2225,4941.79628884013
"IPSL-CM5A-LR_hist_historical","RCPA",3733.6195,6921.85959825821
"IPSL-CM5A-LR_hist_historical","RCPA",4073.0395,9068.36812136732
"IPSL-CM5A-LR_hist_historical","RCPA",4412.4595,11505.4309383531
"IPSL-CM5A-LR_hist_historical","RCPA",4703.3909,14792.8805704361
"IPSL-CM5A-LR_hist_historical","RCPA",4848.8565,23215.2063857274
"MIROC5_2p6_2030-2070","RCPA",0,1950.26425704734
"MIROC5_2p6_2030-2070","RCPA",2191.2003,1950.26425704734
"MIROC5_2p6_2030-2070","RCPA",2953.3569,3614.65713238867
"MIROC5_2p6_2030-2070","RCPA",3429.7048,5841.18549204854
"MIROC5_2p6_2030-2070","RCPA",3858.4179,7583.33610413353
"MIROC5_2p6_2030-2070","RCPA",4239.4962,10523.425441443
"MIROC5_2p6_2030-2070","RCPA",4572.9397,14382.849374924
"MIROC5_2p6_2030-2070","RCPA",4668.2093,18130.1544921392
"MIROC5_2p6_2030-2070","RCPA",4763.4789,25443.2643450021
"MIROC5_2p6_2071-2100","RCPA",0,1904.94429499977
"MIROC5_2p6_2071-2100","RCPA",1904.2874,1904.94429499977
"MIROC5_2p6_2071-2100","RCPA",2856.4311,3314.08220075154
"MIROC5_2p6_2071-2100","RCPA",3284.8958,5262.75513026176
"MIROC5_2p6_2071-2100","RCPA",3808.5748,7092.33369181535
"MIROC5_2p6_2071-2100","RCPA",4237.0395,10008.1172367298
"MIROC5_2p6_2071-2100","RCPA",4522.6826,13603.4665125172
"MIROC5_2p6_2071-2100","RCPA",4665.5042,17886.0041183006
"MIROC5_2p6_2071-2100","RCPA",4760.7185,23919.0847632581
"MIROC5_6p0_2030-2070","RCPA",0,1775.91736505756
"MIROC5_6p0_2030-2070","RCPA",1588.9585,1775.91736505756
"MIROC5_6p0_2030-2070","RCPA",2985.3159,3168.31871299016
"MIROC5_6p0_2030-2070","RCPA",3563.119,5901.89881731224
"MIROC5_6p0_2030-2070","RCPA",3852.0206,7663.96496147279
"MIROC5_6p0_2030-2070","RCPA",4429.8236,10711.5145779469
"MIROC5_6p0_2030-2070","RCPA",4574.2744,14734.3190743084
"MIROC5_6p0_2030-2070","RCPA",4718.7252,18359.6615636265
"MIROC5_6p0_2030-2070","RCPA",4815.0257,24578.8475715812
"MIROC5_6p0_2071-2100","RCPA",0,1813.64975314881
"MIROC5_6p0_2071-2100","RCPA",2088.4483,1813.64975314881
"MIROC5_6p0_2071-2100","RCPA",3056.2658,3181.25604520951
"MIROC5_6p0_2071-2100","RCPA",3616.5812,5414.24691793667
"MIROC5_6p0_2071-2100","RCPA",4176.8966,7488.31458485966
"MIROC5_6p0_2071-2100","RCPA",4533.4609,10082.3436569052
"MIROC5_6p0_2071-2100","RCPA",4788.1497,12733.782281457
"MIROC5_6p0_2071-2100","RCPA",4991.9008,16555.696193617
"MIROC5_6p0_2071-2100","RCPA",5093.7763,23340.1947319167
"MIROC5_hist_historical","RCPA",0,1877.95838218987
"MIROC5_hist_historical","RCPA",1491.2347,1877.95838218987
"MIROC5_hist_historical","RCPA",2756.5247,3249.93055827647
"MIROC5_hist_historical","RCPA",2982.4693,5109.02220059846
"MIROC5_hist_historical","RCPA",3660.3033,7276.51959649133
"MIROC5_hist_historical","RCPA",4067.0036,11253.241610485
"MIROC5_hist_historical","RCPA",4247.7593,14873.8609420823
"MIROC5_hist_historical","RCPA",4428.5151,18763.4662627315
"MIROC5_hist_historical","RCPA",4518.8929,27205.8079576118
