message_technology,SSP1,SSP2,SSP3,SSP4,SSP5,LED
syn_liq_ccs,very_low,medium,high,medium,medium,very_low
wind_ref_hist_2000,high,medium,low_medium,high,medium,very_high
wind_ref_hist_2005,high,medium,low_medium,high,medium,very_high
wind_ref_hist_2010,high,medium,low_medium,high,medium,very_high
wind_ref_hist_2015,high,medium,low_medium,high,medium,very_high
wind_ref_hist_2020,high,medium,low_medium,high,medium,very_high
wind_ref_hist_2025,high,medium,low_medium,high,medium,very_high
wind_ref1,high,medium,low_medium,high,medium,very_high
wind_ref2,high,medium,low_medium,high,medium,very_high
wind_ref3,high,medium,low_medium,high,medium,very_high
wind_ref4,high,medium,low_medium,high,medium,very_high
wind_ref5,high,medium,low_medium,high,medium,very_high
wind_res_hist_2000,high,medium,low_medium,high,medium,very_high
wind_res_hist_2005,high,medium,low_medium,high,medium,very_high
wind_res_hist_2010,high,medium,low_medium,high,medium,very_high
wind_res_hist_2015,high,medium,low_medium,high,medium,very_high
wind_res_hist_2020,high,medium,low_medium,high,medium,very_high
wind_res_hist_2025,high,medium,low_medium,high,medium,very_high
wind_res1,high,medium,low_medium,high,medium,very_high
wind_res2,high,medium,low_medium,high,medium,very_high
wind_res3,high,medium,low_medium,high,medium,very_high
wind_res4,high,medium,low_medium,high,medium,very_high
