MODEL,SCENARIO,YEAR,IMPORTER,MESSAGETEC,LEVEL,UNITS,COMMODITY
NP_SSP2_6.2,pipelines_LNG,2080,R12_PAS,LNG_shipped_imp,1.0138886250569672,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2090,R12_PAS,LNG_shipped_imp,26.807302804603722,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2100,R12_PAS,LNG_shipped_imp,0.0,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2110,R12_PAS,LNG_shipped_imp,25.15578507109766,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2030,R12_RCPA,LNG_shipped_imp,11.051262500000005,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2035,R12_RCPA,LNG_shipped_imp,25.155785071097668,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2040,R12_RCPA,LNG_shipped_imp,12.345269858588686,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2045,R12_RCPA,LNG_shipped_imp,26.80730280460373,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2050,R12_RCPA,LNG_shipped_imp,11.69421739599265,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2055,R12_RCPA,LNG_shipped_imp,0.0,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2060,R12_RCPA,LNG_shipped_imp,11.051262500000005,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2070,R12_RCPA,LNG_shipped_imp,28.500681914211825,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2080,R12_RCPA,LNG_shipped_imp,1.0138886250569668,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2090,R12_RCPA,LNG_shipped_imp,26.807302804603722,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2100,R12_RCPA,LNG_shipped_imp,0.0,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2110,R12_RCPA,LNG_shipped_imp,25.15578507109766,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2030,R12_SAS,LNG_shipped_imp,11.051262500000005,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2035,R12_SAS,LNG_shipped_imp,25.155785071097668,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2040,R12_SAS,LNG_shipped_imp,43.157127176454715,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2045,R12_SAS,LNG_shipped_imp,45.46945124584352,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2050,R12_SAS,LNG_shipped_imp,69.08308478206276,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2055,R12_SAS,LNG_shipped_imp,67.44736339569059,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2060,R12_SAS,LNG_shipped_imp,94.02560516927048,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2070,R12_SAS,LNG_shipped_imp,178.31358811081958,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2080,R12_SAS,LNG_shipped_imp,240.47984822276285,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2090,R12_SAS,LNG_shipped_imp,316.59561826242003,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2100,R12_SAS,LNG_shipped_imp,408.691234325769,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2110,R12_SAS,LNG_shipped_imp,690.8707406753831,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2030,R12_WEU,LNG_shipped_imp,11.051262500000005,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2035,R12_WEU,LNG_shipped_imp,25.155785071097668,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2040,R12_WEU,LNG_shipped_imp,43.157127176454715,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2045,R12_WEU,LNG_shipped_imp,66.13190820577685,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2050,R12_WEU,LNG_shipped_imp,42.12284743012996,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2055,R12_WEU,LNG_shipped_imp,23.54509387465542,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2060,R12_WEU,LNG_shipped_imp,9.169982311856378,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2070,R12_WEU,LNG_shipped_imp,28.500681914211825,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2080,R12_WEU,LNG_shipped_imp,1.0138886250569668,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2090,R12_WEU,LNG_shipped_imp,26.807302804603722,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2100,R12_WEU,LNG_shipped_imp,0.0,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2110,R12_WEU,LNG_shipped_imp,25.15578507109766,GWa,LNG (GWa)
