message_technology,reg_diff_source,reg_diff_technology,base_year_reference_region_cost,fix_ratio,first_year_original
scrap_recovery_steel,"","",,,
secondary_aluminum,"","",,,
sinter_steel,"","",19.05,0.1,1990
soderberg_aluminum,"","",3060.96,0.157,1985
solar_aluminum,energy,solar_i,415.68,0.055,2030
solar_cement,energy,solar_i,415.68,0.055,2030
solar_petro,energy,solar_i,415.68,0.055,2030
solar_refining,energy,solar_i,415.68,0.055,2030
solar_resins,energy,solar_i,415.68,0.055,2030
solar_steel,energy,solar_i,415.68,0.055,2030
steam_cracker_petro,"","",1003.41,0.025,1980
total_EOL_aluminum,"","",,,
total_EOL_cement,"","",,,
total_EOL_steel,"","",,,
trade_NFert,"","",,,
trade_NH3,"","",,,
trade_aluminum,"","",,,
trade_petro,"","",,,
trade_steel,"","",,,
vacuum_distillation_ref,"","",21.99636,0.02,1980
visbreaker_ref,"","",55.47582857,0.021,1980
