# Load factor (occupancy) of LDVs
#
# Source: Constructed by @r-aneeque
#
# Units: passenger / vehicle
#
node,     year, value
R12_LAM,2085,1.7647499
R12_LAM,2090,1.7671593
R12_LAM,2095,1.7706912
R12_LAM,2100,1.7747117
R12_LAM,2110,1.7747117
R12_MEA,2020,1.467754
R12_MEA,2025,1.4470459
R12_MEA,2030,1.4680423
R12_MEA,2035,1.4698291
R12_MEA,2040,1.4729253
R12_MEA,2045,1.4861627
R12_MEA,2050,1.4937073
R12_MEA,2055,1.5023258
R12_MEA,2060,1.5133688
R12_MEA,2065,1.503988
R12_MEA,2070,1.5042851
R12_MEA,2075,1.506973
R12_MEA,2080,1.501862
R12_MEA,2085,1.512656
R12_MEA,2090,1.5652813
R12_MEA,2095,1.7602857
R12_MEA,2100,2.0083427
R12_MEA,2110,2.0083427
R12_NAM,2020,1.66258
R12_NAM,2025,1.796165
R12_NAM,2030,1.8242185
R12_NAM,2035,1.7999619
R12_NAM,2040,1.8052804
R12_NAM,2045,1.8048851
R12_NAM,2050,1.805456
R12_NAM,2055,1.7994409
R12_NAM,2060,1.7735083
R12_NAM,2065,1.7845216
R12_NAM,2070,1.7783837
R12_NAM,2075,1.7773715
R12_NAM,2080,1.777154
R12_NAM,2085,1.7780843
R12_NAM,2090,1.8043654
R12_NAM,2095,1.829753
R12_NAM,2100,1.8561819
R12_NAM,2110,1.8561819
R12_PAO,2020,1.4668211
R12_PAO,2025,1.4647906
R12_PAO,2030,1.4456062
R12_PAO,2035,1.4445753
R12_PAO,2040,1.4554335
R12_PAO,2045,1.4739245
R12_PAO,2050,1.482348
R12_PAO,2055,1.4965675
R12_PAO,2060,1.5052611
R12_PAO,2065,1.5104638
R12_PAO,2070,1.5157046
R12_PAO,2075,1.5205001
R12_PAO,2080,1.5254689
R12_PAO,2085,1.5305701
R12_PAO,2090,1.5355624
R12_PAO,2095,1.5403531
R12_PAO,2100,1.5450103
R12_PAO,2110,1.5450103
R12_PAS,2020,1.7412788
R12_PAS,2025,1.7895485
R12_PAS,2030,1.8127892
R12_PAS,2035,1.8284072
R12_PAS,2040,1.845239
R12_PAS,2045,1.85142
R12_PAS,2050,1.8698945
R12_PAS,2055,1.8958385
R12_PAS,2060,1.9182038
R12_PAS,2065,1.927055
R12_PAS,2070,1.934623
R12_PAS,2075,1.9424239
R12_PAS,2080,1.9509245
R12_PAS,2085,1.959034
R12_PAS,2090,1.9670897
R12_PAS,2095,1.9748272
R12_PAS,2100,1.9782943
R12_PAS,2110,1.9782943
R12_RCPA,2020,1.8862308
R12_RCPA,2025,1.9257691
R12_RCPA,2030,1.9446644
R12_RCPA,2035,1.9599626
R12_RCPA,2040,1.9632733
R12_RCPA,2045,1.966934
R12_RCPA,2050,1.9696213
R12_RCPA,2055,1.9730833
R12_RCPA,2060,1.9756069
R12_RCPA,2065,1.977802
R12_RCPA,2070,1.9800552
R12_RCPA,2075,1.9832219
R12_RCPA,2080,1.9870303
R12_RCPA,2085,1.9915576
R12_RCPA,2090,1.9933552
R12_RCPA,2095,1.9965994
R12_RCPA,2100,1.9999752
R12_RCPA,2110,1.9999752
R12_SAS,2020,3.2736797
R12_SAS,2025,3.2935767
R12_SAS,2030,3.2179208
R12_SAS,2035,3.1631265
R12_SAS,2040,3.1307857
R12_SAS,2045,3.1082788
R12_SAS,2050,3.0850725
R12_SAS,2055,3.1292975
R12_SAS,2060,3.1759331
R12_SAS,2065,3.1753988
R12_SAS,2070,3.1718743
R12_SAS,2075,3.1671281
R12_SAS,2080,3.1622336
R12_SAS,2085,3.1588752
R12_SAS,2090,3.1480699
R12_SAS,2095,3.1341374
R12_SAS,2100,3.1169751
R12_SAS,2110,3.1169751
R12_WEU,2020,1.3887933
R12_WEU,2025,1.4030718
R12_WEU,2030,1.4136881
R12_WEU,2035,1.4185591
R12_WEU,2040,1.424885
R12_WEU,2045,1.431301
R12_WEU,2050,1.4370733
R12_WEU,2055,1.4403876
R12_WEU,2060,1.4425213
R12_WEU,2065,1.4414206
R12_WEU,2070,1.4408718
R12_WEU,2075,1.4405909
R12_WEU,2080,1.4405364
R12_WEU,2085,1.4404331
R12_WEU,2090,1.4408584
R12_WEU,2095,1.4413133
R12_WEU,2100,1.4419519
R12_WEU,2110,1.4419519
