Model,Scenario,Sensitivity,Region,Variable,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGE-buildings,LED,max,AFR,Energy Service|Residential|Floor Space,bn m2/yr,14.10026172,15.77582268,19.61442872,23.9106142,28.6452682,33.78188529,39.26416708,45.04534151,47.6512289,50.03592656,52.23512021,54.30117396,56.07235937,57.61269059,58.91379344,59.97072867,60.80725539,61.43771357
MESSAGE-buildings,LED,max,EEU,Energy Service|Residential|Floor Space,bn m2/yr,2.84197427,2.82974866,2.89007445,2.94155507,2.98224904,3.01606475,3.04583113,3.07128742,3.02669323,2.96900479,2.90050981,2.8221405,2.73960375,2.65764156,2.57911671,2.5049415,2.43429331,2.3654419
MESSAGE-buildings,LED,max,FSU,Energy Service|Residential|Floor Space,bn m2/yr,7.06335722,7.08501619,7.31358072,7.52319889,7.72675221,7.93633714,8.13905125,8.32664511,8.27940865,8.21675045,8.13627907,8.04356201,7.93721979,7.81632573,7.68497335,7.54899609,7.40981337,7.2635227
MESSAGE-buildings,LED,max,LAM,Energy Service|Residential|Floor Space,bn m2/yr,16.63850642,17.41330218,18.41082391,19.3339129,20.16916218,20.91381791,21.56028229,22.09653571,22.17912506,22.15652761,22.05879563,21.92480072,21.70161211,21.42470928,21.10213012,20.74819764,20.37656425,19.99420962
MESSAGE-buildings,LED,max,MEA,Energy Service|Residential|Floor Space,bn m2/yr,7.93049572,8.6076596,10.42457263,12.35360131,14.38585645,16.50529431,18.67228758,20.84398877,21.44486972,21.92358638,22.28646569,22.56981519,22.71839936,22.77455594,22.75187241,22.6668056,22.53093384,22.34576509
MESSAGE-buildings,LED,max,NAM,Energy Service|Residential|Floor Space,bn m2/yr,12.4901945,12.99897552,13.32009121,13.60206936,13.83878392,14.0331995,14.18653647,14.31034385,14.64465833,15.059349,15.37285465,15.65126525,15.88562536,16.06943772,16.20346343,16.29369194,16.34208323,16.34624469
MESSAGE-buildings,LED,max,PAO,Energy Service|Residential|Floor Space,bn m2/yr,5.36146955,5.3890073,5.27465192,5.14047155,4.99424062,4.84237777,4.68714962,4.53098877,4.48707486,4.44469519,4.39623297,4.32423163,4.24543849,4.16191121,4.06862147,3.96831895,3.86176605,3.7499621
MESSAGE-buildings,LED,max,PAS,Energy Service|Residential|Floor Space,bn m2/yr,9.29427679,9.70622568,11.1188566,12.54000391,13.94509548,15.30687261,16.60179191,17.81020655,17.83349142,17.75278988,17.59496237,17.37812373,17.10938166,16.80165136,16.46435705,16.10463672,15.72927055,15.34059956
MESSAGE-buildings,LED,max,SAS,Energy Service|Residential|Floor Space,bn m2/yr,34.14570958,36.39292224,41.63177351,47.00283023,52.50899664,58.08143756,63.65760273,69.08783634,70.42441159,71.28967183,71.73506471,71.9468539,71.71608378,71.1666272,70.32943442,69.26370399,68.00490082,66.63408542
MESSAGE-buildings,LED,max,WEU,Energy Service|Residential|Floor Space,bn m2/yr,15.48728351,15.8374523,16.06560029,16.25899052,16.41925793,16.54838059,16.64045515,16.68856144,16.79594476,16.88759442,16.91352745,16.90822404,16.87668413,16.81730902,16.72920854,16.60673384,16.44974675,16.24960444
MESSAGE-buildings,LED,ref,AFR,Final Energy|Residential|Space Conditioning,EJ/yr,0.50136,0.44765,0.44667,0.43953,0.42752,0.41195,0.39388,0.37445,0.33111,0.29324,0.26074,0.24186,0.24207,0.24129,0.23959,0.23702,0.23374,0.22986
MESSAGE-buildings,LED,ref,EEU,Final Energy|Residential|Space Conditioning,EJ/yr,1.63723,1.33053,1.09418,0.87989,0.68619,0.51238,0.35796,0.2226,0.1263,0.10612,0.09146,0.08865,0.08563,0.08257,0.07958,0.07667,0.07383,0.07103
MESSAGE-buildings,LED,ref,FSU,Final Energy|Residential|Space Conditioning,EJ/yr,4.23607,3.673,3.26869,2.88639,2.52745,2.19394,1.88699,1.60802,1.37038,1.19706,1.05137,0.92394,0.81369,0.71922,0.63906,0.57164,0.51508,0.46737
MESSAGE-buildings,LED,ref,LAM,Final Energy|Residential|Space Conditioning,EJ/yr,1.40448,1.24821,1.11846,0.99257,0.87155,0.75662,0.64866,0.54839,0.44949,0.36204,0.28594,0.25537,0.2454,0.23541,0.22549,0.21575,0.20638,0.19737
MESSAGE-buildings,LED,ref,MEA,Final Energy|Residential|Space Conditioning,EJ/yr,1.34713,1.20359,1.19936,1.16636,1.10874,1.03101,0.93757,0.83278,0.67262,0.53035,0.40594,0.34652,0.33871,0.32998,0.32062,0.31091,0.30103,0.291
MESSAGE-buildings,LED,ref,NAM,Final Energy|Residential|Space Conditioning,EJ/yr,4.50682,3.75335,3.05858,2.46319,1.95038,1.50498,1.11619,0.776,0.4863,0.31838,0.31482,0.31081,0.30617,0.30086,0.29495,0.28858,0.28183,0.2747
MESSAGE-buildings,LED,ref,PAO,Final Energy|Residential|Space Conditioning,EJ/yr,1.37436,1.13009,0.89977,0.70731,0.54714,0.41433,0.30452,0.21408,0.14349,0.09078,0.06451,0.06178,0.05912,0.05655,0.05398,0.05145,0.04899,0.04657
MESSAGE-buildings,LED,ref,PAS,Final Energy|Residential|Space Conditioning,EJ/yr,0.49862,0.42743,0.39388,0.34916,0.29688,0.24067,0.18398,0.12972,0.08561,0.0806,0.07753,0.07437,0.07117,0.06798,0.06484,0.06178,0.05881,0.05593
MESSAGE-buildings,LED,ref,SAS,Final Energy|Residential|Space Conditioning,EJ/yr,2.22125,1.95706,1.85236,1.73043,1.59654,1.45508,1.31028,1.16509,0.96984,0.79845,0.64991,0.56846,0.55096,0.53202,0.51198,0.49134,0.4704,0.44972
MESSAGE-buildings,LED,ref,WEU,Final Energy|Residential|Space Conditioning,EJ/yr,7.99299,6.5641,5.29298,4.19363,3.23739,2.40372,1.67876,1.05222,0.51998,0.4178,0.40915,0.4003,0.39134,0.38213,0.37267,0.36282,0.35251,0.34162
MESSAGE-buildings,LED,min,AFR,Final Energy|Residential|Space Conditioning,EJ/yr,0.50136,0.44765,0.44667,0.43953,0.42752,0.41195,0.39388,0.37445,0.33111,0.29324,0.26074,0.24186,0.24207,0.24129,0.23959,0.23702,0.23374,0.22986
MESSAGE-buildings,LED,min,EEU,Final Energy|Residential|Space Conditioning,EJ/yr,1.63723,1.33053,1.09418,0.87989,0.68619,0.51238,0.35796,0.2226,0.1263,0.10612,0.09146,0.08865,0.08563,0.08257,0.07958,0.07667,0.07383,0.07103
MESSAGE-buildings,LED,min,FSU,Final Energy|Residential|Space Conditioning,EJ/yr,4.23607,3.673,3.26869,2.88639,2.52745,2.19394,1.88699,1.60802,1.37038,1.19706,1.05137,0.92394,0.81369,0.71922,0.63906,0.57164,0.51508,0.46737
MESSAGE-buildings,LED,min,LAM,Final Energy|Residential|Space Conditioning,EJ/yr,1.40448,1.24821,1.11846,0.99257,0.87155,0.75662,0.64866,0.54839,0.44949,0.36204,0.28594,0.25537,0.2454,0.23541,0.22549,0.21575,0.20638,0.19737
MESSAGE-buildings,LED,min,MEA,Final Energy|Residential|Space Conditioning,EJ/yr,1.34713,1.20359,1.19936,1.16636,1.10874,1.03101,0.93757,0.83278,0.67262,0.53035,0.40594,0.34652,0.33871,0.32998,0.32062,0.31091,0.30103,0.291
MESSAGE-buildings,LED,min,NAM,Final Energy|Residential|Space Conditioning,EJ/yr,4.50682,3.75335,3.05858,2.46319,1.95038,1.50498,1.11619,0.776,0.4863,0.31838,0.31482,0.31081,0.30617,0.30086,0.29495,0.28858,0.28183,0.2747
MESSAGE-buildings,LED,min,PAO,Final Energy|Residential|Space Conditioning,EJ/yr,1.37436,1.13009,0.89977,0.70731,0.54714,0.41433,0.30452,0.21408,0.14349,0.09078,0.06451,0.06178,0.05912,0.05655,0.05398,0.05145,0.04899,0.04657
MESSAGE-buildings,LED,min,PAS,Final Energy|Residential|Space Conditioning,EJ/yr,0.49862,0.42743,0.39388,0.34916,0.29688,0.24067,0.18398,0.12972,0.08561,0.0806,0.07753,0.07437,0.07117,0.06798,0.06484,0.06178,0.05881,0.05593
MESSAGE-buildings,LED,min,SAS,Final Energy|Residential|Space Conditioning,EJ/yr,2.22125,1.95706,1.85236,1.73043,1.59654,1.45508,1.31028,1.16509,0.96984,0.79845,0.64991,0.56846,0.55096,0.53202,0.51198,0.49134,0.4704,0.44972
MESSAGE-buildings,LED,min,WEU,Final Energy|Residential|Space Conditioning,EJ/yr,7.99299,6.5641,5.29298,4.19363,3.23739,2.40372,1.67876,1.05222,0.51998,0.4178,0.40915,0.4003,0.39134,0.38213,0.37267,0.36282,0.35251,0.34162
MESSAGE-buildings,LED,max,AFR,Final Energy|Residential|Space Conditioning,EJ/yr,0.50136,0.44765,0.44667,0.43953,0.42752,0.41195,0.39388,0.37445,0.33111,0.29324,0.26074,0.24186,0.24207,0.24129,0.23959,0.23702,0.23374,0.22986
MESSAGE-buildings,LED,max,EEU,Final Energy|Residential|Space Conditioning,EJ/yr,1.63723,1.33053,1.09418,0.87989,0.68619,0.51238,0.35796,0.2226,0.1263,0.10612,0.09146,0.08865,0.08563,0.08257,0.07958,0.07667,0.07383,0.07103
MESSAGE-buildings,LED,max,FSU,Final Energy|Residential|Space Conditioning,EJ/yr,4.23607,3.673,3.26869,2.88639,2.52745,2.19394,1.88699,1.60802,1.37038,1.19706,1.05137,0.92394,0.81369,0.71922,0.63906,0.57164,0.51508,0.46737
MESSAGE-buildings,LED,max,LAM,Final Energy|Residential|Space Conditioning,EJ/yr,1.40448,1.24821,1.11846,0.99257,0.87155,0.75662,0.64866,0.54839,0.44949,0.36204,0.28594,0.25537,0.2454,0.23541,0.22549,0.21575,0.20638,0.19737
MESSAGE-buildings,LED,max,MEA,Final Energy|Residential|Space Conditioning,EJ/yr,1.34713,1.20359,1.19936,1.16636,1.10874,1.03101,0.93757,0.83278,0.67262,0.53035,0.40594,0.34652,0.33871,0.32998,0.32062,0.31091,0.30103,0.291
MESSAGE-buildings,LED,max,NAM,Final Energy|Residential|Space Conditioning,EJ/yr,4.50682,3.75335,3.05858,2.46319,1.95038,1.50498,1.11619,0.776,0.4863,0.31838,0.31482,0.31081,0.30617,0.30086,0.29495,0.28858,0.28183,0.2747
MESSAGE-buildings,LED,max,PAO,Final Energy|Residential|Space Conditioning,EJ/yr,1.37436,1.13009,0.89977,0.70731,0.54714,0.41433,0.30452,0.21408,0.14349,0.09078,0.06451,0.06178,0.05912,0.05655,0.05398,0.05145,0.04899,0.04657
MESSAGE-buildings,LED,max,PAS,Final Energy|Residential|Space Conditioning,EJ/yr,0.49862,0.42743,0.39388,0.34916,0.29688,0.24067,0.18398,0.12972,0.08561,0.0806,0.07753,0.07437,0.07117,0.06798,0.06484,0.06178,0.05881,0.05593
MESSAGE-buildings,LED,max,SAS,Final Energy|Residential|Space Conditioning,EJ/yr,2.22125,1.95706,1.85236,1.73043,1.59654,1.45508,1.31028,1.16509,0.96984,0.79845,0.64991,0.56846,0.55096,0.53202,0.51198,0.49134,0.4704,0.44972
MESSAGE-buildings,LED,max,WEU,Final Energy|Residential|Space Conditioning,EJ/yr,7.99299,6.5641,5.29298,4.19363,3.23739,2.40372,1.67876,1.05222,0.51998,0.4178,0.40915,0.4003,0.39134,0.38213,0.37267,0.36282,0.35251,0.34162
MESSAGE-buildings,LED,ref,AFR,Final Energy|Residential|Space Conditioning|Solids|Biomass,EJ/yr,0.22586,0.19253,0.18138,0.16613,0.14765,0.1268,0.1044,0.08125,0.05426,0.03109,0.01151,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,AFR,Final Energy|Residential|Space Conditioning|Solids|Coal,EJ/yr,0.11396,0.09642,0.09018,0.08204,0.07245,0.06185,0.05065,0.03922,0.02607,0.01487,0.00548,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,AFR,Final Energy|Residential|Space Conditioning|Heat,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,AFR,Final Energy|Residential|Space Conditioning|Electricity,EJ/yr,0.06734,0.07902,0.10058,0.12356,0.14755,0.17218,0.19696,0.22158,0.22924,0.235,0.23922,0.24186,0.24207,0.24129,0.23959,0.23702,0.23374,0.22986
MESSAGE-buildings,LED,ref,AFR,Final Energy|Residential|Space Conditioning|Gases,EJ/yr,0.00005,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00001,0.00001,0,0,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,AFR,Final Energy|Residential|Space Conditioning|Liquids,EJ/yr,0.09415,0.07965,0.0745,0.06777,0.05985,0.0511,0.04185,0.03239,0.02153,0.01228,0.00453,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,EEU,Final Energy|Residential|Space Conditioning|Solids|Biomass,EJ/yr,0.33648,0.26157,0.20466,0.1549,0.1115,0.07389,0.04157,0.01428,0.00127,0,0,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,EEU,Final Energy|Residential|Space Conditioning|Solids|Coal,EJ/yr,0.40854,0.31747,0.2471,0.18552,0.13243,0.08758,0.05069,0.02149,0.00479,0.00149,0,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,EEU,Final Energy|Residential|Space Conditioning|Heat,EJ/yr,0.25557,0.24134,0.22937,0.2122,0.1896,0.16171,0.1289,0.09169,0.0506,0.04337,0.03583,0.03677,0.03724,0.03736,0.03721,0.03685,0.03632,0.03563
MESSAGE-buildings,LED,ref,EEU,Final Energy|Residential|Space Conditioning|Electricity,EJ/yr,0.1115,0.10207,0.09543,0.0888,0.08243,0.07662,0.07163,0.06752,0.06348,0.05936,0.05563,0.05188,0.04839,0.04521,0.04237,0.03982,0.03751,0.0354
MESSAGE-buildings,LED,ref,EEU,Final Energy|Residential|Space Conditioning|Gases,EJ/yr,0.46617,0.36226,0.28195,0.21169,0.15112,0.09994,0.05785,0.02452,0.00547,0.00169,0,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,EEU,Final Energy|Residential|Space Conditioning|Liquids,EJ/yr,0.05897,0.04582,0.03567,0.02678,0.01911,0.01264,0.00732,0.0031,0.00069,0.00021,0,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,FSU,Final Energy|Residential|Space Conditioning|Solids|Biomass,EJ/yr,0.36763,0.28753,0.22649,0.17217,0.12418,0.08223,0.0461,0.0156,0.00224,0,0,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,FSU,Final Energy|Residential|Space Conditioning|Solids|Coal,EJ/yr,0.15687,0.1225,0.09666,0.07406,0.05447,0.03771,0.02356,0.01184,0.0057,0.00344,0.00232,0.00154,0.00099,0.00064,0.00039,0.00024,0.00014,0.00008
MESSAGE-buildings,LED,ref,FSU,Final Energy|Residential|Space Conditioning|Heat,EJ/yr,2.12768,2.00609,1.93313,1.8425,1.73779,1.62312,1.50189,1.37773,1.22144,1.07728,0.94656,0.83033,0.7286,0.64073,0.56582,0.50265,0.44968,0.40508
MESSAGE-buildings,LED,ref,FSU,Final Energy|Residential|Space Conditioning|Electricity,EJ/yr,0.12677,0.11905,0.1146,0.10977,0.10501,0.10064,0.09661,0.09288,0.08809,0.08431,0.08094,0.07782,0.07485,0.07197,0.06918,0.06652,0.06395,0.06147
MESSAGE-buildings,LED,ref,FSU,Final Energy|Residential|Space Conditioning|Gases,EJ/yr,1.17226,0.91539,0.72229,0.55341,0.40708,0.28177,0.17605,0.08847,0.04257,0.02577,0.01734,0.01147,0.00744,0.00473,0.00295,0.0018,0.00106,0.0006
MESSAGE-buildings,LED,ref,FSU,Final Energy|Residential|Space Conditioning|Liquids,EJ/yr,0.28486,0.22244,0.17552,0.13448,0.09892,0.06847,0.04278,0.0215,0.01034,0.00626,0.00421,0.00278,0.00181,0.00115,0.00072,0.00043,0.00025,0.00014
MESSAGE-buildings,LED,ref,LAM,Final Energy|Residential|Space Conditioning|Solids|Biomass,EJ/yr,0.06487,0.05437,0.04563,0.03759,0.03023,0.02358,0.01761,0.01234,0.00761,0.00364,0.00036,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,LAM,Final Energy|Residential|Space Conditioning|Solids|Coal,EJ/yr,0.00703,0.00602,0.00516,0.00435,0.00357,0.00286,0.00219,0.00159,0.00103,0.00054,0.00013,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,LAM,Final Energy|Residential|Space Conditioning|Heat,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,LAM,Final Energy|Residential|Space Conditioning|Electricity,EJ/yr,0.24768,0.25886,0.27102,0.2801,0.28628,0.28987,0.29111,0.29015,0.28289,0.27433,0.26499,0.25537,0.2454,0.23541,0.22549,0.21575,0.20638,0.19737
MESSAGE-buildings,LED,ref,LAM,Final Energy|Residential|Space Conditioning|Gases,EJ/yr,0.22846,0.19562,0.16776,0.1412,0.11613,0.09272,0.07113,0.05145,0.03327,0.01759,0.00431,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,LAM,Final Energy|Residential|Space Conditioning|Liquids,EJ/yr,0.85644,0.73334,0.62889,0.52933,0.43534,0.34759,0.26662,0.19286,0.12469,0.06594,0.01615,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,MEA,Final Energy|Residential|Space Conditioning|Solids|Biomass,EJ/yr,0.00917,0.00795,0.00764,0.00712,0.00642,0.00557,0.00462,0.00362,0.0024,0.00136,0.00047,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,MEA,Final Energy|Residential|Space Conditioning|Solids|Coal,EJ/yr,0.00122,0.00106,0.00102,0.00095,0.00086,0.00074,0.00062,0.00048,0.00032,0.00018,0.00006,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,MEA,Final Energy|Residential|Space Conditioning|Heat,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,MEA,Final Energy|Residential|Space Conditioning|Electricity,EJ/yr,0.20569,0.21338,0.2463,0.27771,0.30738,0.33511,0.36037,0.38272,0.37504,0.36569,0.35512,0.34652,0.33871,0.32998,0.32062,0.31091,0.30103,0.291
MESSAGE-buildings,LED,ref,MEA,Final Energy|Residential|Space Conditioning|Gases,EJ/yr,0.46598,0.40424,0.38908,0.36279,0.32715,0.2841,0.23564,0.18373,0.12148,0.0672,0.02072,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,MEA,Final Energy|Residential|Space Conditioning|Liquids,EJ/yr,0.66507,0.57696,0.55532,0.51779,0.46693,0.40549,0.33632,0.26223,0.17338,0.09592,0.02957,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,NAM,Final Energy|Residential|Space Conditioning|Solids|Biomass,EJ/yr,0.34949,0.28067,0.21932,0.16771,0.12411,0.08646,0.05375,0.02535,0.00095,0,0,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,NAM,Final Energy|Residential|Space Conditioning|Solids|Coal,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,NAM,Final Energy|Residential|Space Conditioning|Heat,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,NAM,Final Energy|Residential|Space Conditioning|Electricity,EJ/yr,0.50998,0.49513,0.4718,0.44736,0.42234,0.39722,0.37232,0.34811,0.33011,0.31838,0.31482,0.31081,0.30617,0.30086,0.29495,0.28858,0.28183,0.2747
MESSAGE-buildings,LED,ref,NAM,Final Energy|Residential|Space Conditioning|Gases,EJ/yr,2.94291,2.40248,1.91022,1.49118,1.13278,0.82405,0.55683,0.32479,0.12526,0,0,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,NAM,Final Energy|Residential|Space Conditioning|Liquids,EJ/yr,0.70444,0.57507,0.45724,0.35694,0.27115,0.19725,0.13329,0.07775,0.02998,0,0,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,PAO,Final Energy|Residential|Space Conditioning|Solids|Biomass,EJ/yr,0.0774,0.06062,0.04561,0.03353,0.02389,0.01625,0.01023,0.00548,0.00183,0,0,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,PAO,Final Energy|Residential|Space Conditioning|Solids|Coal,EJ/yr,0.04286,0.03442,0.02662,0.0202,0.01493,0.01062,0.00714,0.00434,0.00218,0.00064,0,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,PAO,Final Energy|Residential|Space Conditioning|Heat,EJ/yr,0.04666,0.04559,0.04307,0.04009,0.03661,0.03261,0.02805,0.02289,0.01751,0.01097,0.00445,0.00471,0.00493,0.00512,0.00525,0.00535,0.00541,0.00544
MESSAGE-buildings,LED,ref,PAO,Final Energy|Residential|Space Conditioning|Electricity,EJ/yr,0.14179,0.13385,0.12248,0.11129,0.10063,0.09074,0.08167,0.07351,0.06791,0.06334,0.06006,0.05707,0.05419,0.05143,0.04873,0.0461,0.04358,0.04113
MESSAGE-buildings,LED,ref,PAO,Final Energy|Residential|Space Conditioning|Gases,EJ/yr,0.51723,0.41529,0.32131,0.24375,0.18011,0.12819,0.08612,0.05236,0.02624,0.00768,0,0,0,0,0,0,0,0
MESSAGE-buildings,LED,ref,PAO,Final Energy|Residential|Space Conditioning|Liquids,EJ/yr,0.54842,0.44032,0.34068,0.25845,0.19097,0.13592,0.09131,0.0555,0.02782,0.00815,0,0,0,0,0,0,0,0
