Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
MESSAGEix-buildings,SSP2_BL,NAM,Final Energy|Buildings|Residential|Heating|Water,EJ/yr,1.90234,1.91909,1.92577,1.93372,1.94508,1.95892,1.97561,1.99464,2.01944,2.06594,2.09859,2.11198,2.10617
MESSAGEix-buildings,SSP2_BL,NAM,Final Energy|Buildings|Residential|Other,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSAGEix-buildings,SSP2_BL,PAO,Final Energy|Buildings|Residential|Heating|Space,EJ/yr,0.71099,0.64952,0.57625,0.51145,0.45437,0.40497,0.36178,0.32458,0.2916,0.23627,0.19371,0.16056,0.13446
MESSAGEix-buildings,SSP2_BL,PAO,Final Energy|Buildings|Residential|Cooling,EJ/yr,0.06552,0.06481,0.06341,0.06182,0.06022,0.05869,0.05716,0.05559,0.05401,0.05052,0.04676,0.04281,0.03884
MESSAGEix-buildings,SSP2_BL,PAO,Final Energy|Buildings|Residential|Heating|Water,EJ/yr,0.67215,0.65744,0.63943,0.62187,0.60465,0.58879,0.57325,0.55907,0.54515,0.51669,0.48742,0.45758,0.42707
MESSAGEix-buildings,SSP2_BL,PAO,Final Energy|Buildings|Residential|Other,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSAGEix-buildings,SSP2_BL,PAS,Final Energy|Buildings|Residential|Heating|Space,EJ/yr,0.43832,0.43375,0.41106,0.38485,0.356,0.32971,0.30552,0.284,0.26451,0.23239,0.20592,0.18685,0.169
MESSAGEix-buildings,SSP2_BL,PAS,Final Energy|Buildings|Residential|Cooling,EJ/yr,0.06353,0.11208,0.16526,0.22104,0.28091,0.34257,0.39522,0.43831,0.47827,0.52793,0.57307,0.59329,0.58571
MESSAGEix-buildings,SSP2_BL,PAS,Final Energy|Buildings|Residential|Heating|Water,EJ/yr,0.1548,0.14251,0.13066,0.11943,0.10875,0.09978,0.09207,0.08523,0.0789,0.06832,0.05928,0.05207,0.0457
MESSAGEix-buildings,SSP2_BL,PAS,Final Energy|Buildings|Residential|Other,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSAGEix-buildings,SSP2_BL,RCPA,Final Energy|Buildings|Residential|Heating|Space,EJ/yr,0.0466,0.05232,0.05677,0.06011,0.06216,0.06328,0.06339,0.06215,0.05962,0.05556,0.05078,0.04569,0.04128
MESSAGEix-buildings,SSP2_BL,RCPA,Final Energy|Buildings|Residential|Cooling,EJ/yr,0.01056,0.01727,0.02471,0.03301,0.04309,0.05627,0.06949,0.08112,0.0919,0.10974,0.12406,0.13031,0.12856
MESSAGEix-buildings,SSP2_BL,RCPA,Final Energy|Buildings|Residential|Heating|Water,EJ/yr,0.06083,0.05899,0.05702,0.0551,0.05316,0.05175,0.04968,0.04764,0.04551,0.04096,0.03659,0.03193,0.02815
MESSAGEix-buildings,SSP2_BL,RCPA,Final Energy|Buildings|Residential|Other,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSAGEix-buildings,SSP2_BL,SAS,Final Energy|Buildings|Residential|Heating|Space,EJ/yr,0.3804,0.42342,0.45483,0.47658,0.48906,0.49434,0.49415,0.48691,0.47895,0.45392,0.42391,0.39174,0.35965
MESSAGEix-buildings,SSP2_BL,SAS,Final Energy|Buildings|Residential|Cooling,EJ/yr,0.12371,0.21916,0.30025,0.39421,0.52776,0.71008,0.91621,1.10667,1.28619,1.60055,1.84516,1.966,1.99403
