scenario,R12,year,material,floor_tot_Mm2,floor_new_Mm2,floor_dem_Mm2,mat_stock_Mt,mat_demand_Mt,mat_scrap_Mt
SH2,PAO,2045,concrete,2407.55147459726,3.5163271127339994,18.020162504846,2309.5194087561435,3.518419643835517,17.254295574241375
SH2,PAO,2045,copper,2407.55147459726,3.5163271127339994,18.020162504846,0.18202112215145447,2.3855866204602723e-4,0.0013684332867926329
SH2,PAO,2045,glass,2407.55147459726,3.5163271127339994,18.020162504846,14.399840471183193,0.02077920600260786,0.10783643111101451
SH2,PAO,2045,steel,2407.55147459726,3.5163271127339994,18.020162504846,238.0348824541414,0.3772489179924852,1.7751149437218767
SH2,PAO,2045,wood,2407.55147459726,3.5163271127339994,18.020162504846,130.1006651316325,0.20932405187537062,0.9695163731407899
SH2,PAO,2050,aluminum,2259.80466132228,2.4584994296260003,17.24057211733,4.480516475000418,0.00490502223256908,0.03418178495322889
SH2,PAO,2050,cement,2259.80466132228,2.4584994296260003,17.24057211733,325.48010883481464,0.3689943687077364,2.482621366003117
SH2,PAO,2050,concrete,2259.80466132228,2.4584994296260003,17.24057211733,2169.8673922320977,2.459962458051576,16.550809106687446
SH2,PAO,2050,copper,2259.80466132228,2.4584994296260003,17.24057211733,0.17046032359755806,1.6679231361853855e-4,0.0013011595285155868
SH2,PAO,2050,glass,2259.80466132228,2.4584994296260003,17.24057211733,13.512538952138033,0.014528132471092163,0.10309655530743145
SH2,PAO,2050,steel,2259.80466132228,2.4584994296260003,17.24057211733,223.8505425200988,0.26375994609626374,1.7070720805744506
SH2,PAO,2050,wood,2259.80466132228,2.4584994296260003,17.24057211733,122.39290421713442,0.14635244266068134,0.9332838820767035
SH2,PAO,2055,aluminum,2245.21268198568,13.409326108904,16.282449861542,4.4521822902248385,0.026715005076456716,0.032293926505636006
SH2,PAO,2055,cement,2245.21268198568,13.409326108904,16.282449861542,323.6696556072557,1.9939115013504358,2.350381375780958
SH2,PAO,2055,concrete,2245.21268198568,13.409326108904,16.282449861542,2157.7977040483715,13.292743342336237,15.669209171873053
SH2,PAO,2055,copper,2245.21268198568,13.409326108904,16.282449861542,0.1689948934946187,9.33130844432971e-4,0.0012216750496286193
SH2,PAO,2055,glass,2245.21268198568,13.409326108904,16.282449861542,13.421913365641709,0.07945676887682576,0.09730076094783936
SH2,PAO,2055,steel,2245.21268198568,13.409326108904,16.282449861542,222.80055523642565,1.4132475928547708,1.6199822980200367
SH2,PAO,2055,wood,2245.21268198568,13.409326108904,16.282449861542,121.8606227496069,0.7816917367250632,0.886493261419542
