,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100,2110,Model,Region,Scenario,Unit,Variable
70,6.665619163040533,1.547170560744256,2.936600224792618,1.942899387345765,2.680405892199269,2.235305204180339,2.448233102400048,3.012746219332942,3.305769747084588,3.181500772887377,2.705040088542547,3.0433345467881,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Primary Energy w carbon price|Biomass
71,1.802512716277682,1.903034542286161,2.046861625881096,2.03646644662169,2.205105355776883,2.151289839599924,2.294280558351329,2.447080746516678,2.585106304821287,2.720774468198753,2.853178031759516,3.006186240664837,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Primary Energy w carbon price|Coal
72,3.51623408471007,3.080019820295461,3.839539688744139,3.251846792014623,3.648784321711532,3.604530637329521,3.804148318039972,3.596344273076273,3.871107217173209,3.275123158964193,3.267396492800016,3.256759008679075,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Primary Energy w carbon price|Gas
73,13.15480432227876,5.177647982273563,5.902346439321277,4.994640738912389,5.545433747450906,4.527543732920154,5.727853550042771,4.958547938209366,5.337902547525678,5.630956115392492,5.825463389161131,6.536258627990421,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Primary Energy w carbon price|Oil
74,6.665619163040533,1.547170560744256,2.936600224792618,1.942899387345765,2.680405892199269,2.235305204180339,2.448233102400048,3.012746219332942,3.305769747084588,3.181500772887377,2.705040088542547,3.0433345467881,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Primary Energy|Biomass
75,1.802512716277682,1.903034542286161,2.046861625881096,2.03646644662169,2.205105355776883,2.151289839599924,2.294280558351329,2.447080746516678,2.585106304821287,2.720774468198753,2.853178031759516,3.006186240664837,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Primary Energy|Coal
76,3.51623408471007,3.080019820295461,3.839539688744139,3.251846792014623,3.648784321711532,3.604530637329521,3.804148318039972,3.596344273076273,3.871107217173209,3.275123158964193,3.267396492800016,3.256759008679075,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Primary Energy|Gas
77,13.15480432227876,5.177647982273563,5.902346439321277,4.994640738912389,5.545433747450906,4.527543732920154,5.727853550042771,4.958547938209366,5.337902547525678,5.630956115392492,5.825463389161131,6.536258627990421,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Primary Energy|Oil
78,4.431672001136619,4.573501231911965,6.30816357769891,6.611353175686965,7.120988109281184,8.509918153081138,8.386754963775351,6.509253590413362,7.856316754247951,6.297351892711882,6.675768959257467,6.710741135556259,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Secondary Energy w carbon price|Electricity
79,4.343177643168678,5.04848310869953,8.469351861879652,4.70475693855645,5.238579923228771,5.057101276536653,5.364387155114258,5.244833477007015,5.734883986422341,4.821974430329946,4.787456289301564,5.393729534806477,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Secondary Energy w carbon price|Hydrogen
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Secondary Energy w carbon price|Liquids
81,24.64042487550355,9.26504731379669,11.26465822881173,10.38392386722714,10.80529250664662,13.97513971792322,12.89167042866179,11.28586419159372,12.66897366382211,12.90457483564186,12.8298179166436,13.95589838196718,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Secondary Energy w carbon price|Liquids|Biomass
82,24.30932788143804,7.21294312044792,7.741941848499265,6.573621502947337,7.236122517672767,6.655514863430442,7.505795154401457,6.478023290570343,6.846876287726027,7.404733342434275,7.669402531094961,8.548475824442281,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Secondary Energy w carbon price|Liquids|Oil
83,4.431672001136619,4.573501231911965,6.30816357769891,6.611353175686965,7.120988109281184,8.509918153081138,8.386754963775351,6.509253590413362,7.856316754247951,6.297351892711882,6.675768959257467,6.710741135556259,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Secondary Energy|Electricity
84,4.343177643168678,5.04848310869953,8.469351861879652,4.70475693855645,5.238579923228771,5.057101276536653,5.364387155114258,5.244833477007015,5.734883986422341,4.821974430329946,4.787456289301564,5.393729534806477,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Secondary Energy|Hydrogen
