technology,parameter,region,mode,commodity,level,units,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100,2110
dri_gas_steel,initial_activity_up,R12_LAM,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_gas_steel,initial_activity_up,R12_MEA,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_gas_steel,initial_activity_up,R12_NAM,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_gas_steel,initial_activity_up,R12_PAO,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_gas_steel,initial_activity_up,R12_PAS,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_gas_steel,initial_activity_up,R12_SAS,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_gas_steel,initial_activity_up,R12_WEU,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_gas_steel,initial_activity_up,R12_RCPA,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_gas_steel,initial_activity_up,R12_CHN,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_steel,initial_activity_up,R12_AFR,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_steel,initial_activity_up,R12_EEU,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_steel,initial_activity_up,R12_FSU,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_steel,initial_activity_up,R12_LAM,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_steel,initial_activity_up,R12_MEA,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_steel,initial_activity_up,R12_NAM,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_steel,initial_activity_up,R12_PAO,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_steel,initial_activity_up,R12_PAS,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_steel,initial_activity_up,R12_SAS,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_steel,initial_activity_up,R12_WEU,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_steel,initial_activity_up,R12_RCPA,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_steel,initial_activity_up,R12_CHN,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
export_steel,historical_activity,R12_CHN,M1,,,Mt,,,,,,98.4,,,,,,,,,,,,,,
export_steel,historical_activity,R12_FSU,M1,,,Mt,,,,,,43.0,,,,,,,,,,,,,,
export_steel,historical_activity,R12_PAO,M1,,,Mt,,,,,,41.7,,,,,,,,,,,,,,
export_steel,historical_activity,R12_MEA,M1,,,Mt,,,,,,3.1,,,,,,,,,,,,,,
export_steel,historical_activity,R12_WEU,M1,,,Mt,,,,,,28.561,,,,,,,,,,,,,,
export_steel,historical_activity,R12_EEU,M1,,,Mt,,,,,,10.14,,,,,,,,,,,,,,
export_steel,historical_activity,R12_LAM,M1,,,Mt,,,,,,11.9,,,,,,,,,,,,,,
export_steel,historical_activity,R12_NAM,M1,,,Mt,,,,,,2.5,,,,,,,,,,,,,,
export_steel,historical_activity,R12_PAS,M1,,,Mt,,,,,,36.0,,,,,,,,,,,,,,
import_steel,historical_activity,R12_CHN,M1,,,Mt,,,,,,13.2,,,,,,,,,,,,,,
import_steel,historical_activity,R12_FSU,M1,,,Mt,,,,,,3.7,,,,,,,,,,,,,,
import_steel,historical_activity,R12_PAO,M1,,,Mt,,,,,,9.4,,,,,,,,,,,,,,
import_steel,historical_activity,R12_MEA,M1,,,Mt,,,,,,29.1,,,,,,,,,,,,,,
import_steel,historical_activity,R12_WEU,M1,,,Mt,,,,,,26.39,,,,,,,,,,,,,,
import_steel,historical_activity,R12_EEU,M1,,,Mt,,,,,,11.31,,,,,,,,,,,,,,
import_steel,historical_activity,R12_LAM,M1,,,Mt,,,,,,23.24,,,,,,,,,,,,,,
import_steel,historical_activity,R12_NAM,M1,,,Mt,,,,,,30.36,,,,,,,,,,,,,,
import_steel,historical_activity,R12_PAS,M1,,,Mt,,,,,,47.952,,,,,,,,,,,,,,
import_steel,historical_activity,R12_SAS,M1,,,Mt,,,,,,19.98,,,,,,,,,,,,,,
import_steel,historical_activity,R12_RCPA,M1,,,Mt,,,,,,30.969,,,,,,,,,,,,,,
import_steel,historical_activity,R12_AFR,M1,,,Mt,,,,,,29.7,,,,,,,,,,,,,,
export_steel,historical_new_capacity,R12_CHN,,,,Mt,,,,,,19.68,,,,,,,,,,,,,,
export_steel,historical_new_capacity,R12_FSU,,,,Mt,,,,,,8.6,,,,,,,,,,,,,,
export_steel,historical_new_capacity,R12_PAO,,,,Mt,,,,,,8.34,,,,,,,,,,,,,,
export_steel,historical_new_capacity,R12_MEA,,,,Mt,,,,,,0.62,,,,,,,,,,,,,,
export_steel,historical_new_capacity,R12_WEU,,,,Mt,,,,,,5.7122,,,,,,,,,,,,,,
export_steel,historical_new_capacity,R12_EEU,,,,Mt,,,,,,2.028,,,,,,,,,,,,,,
export_steel,historical_new_capacity,R12_LAM,,,,Mt,,,,,,2.38,,,,,,,,,,,,,,
export_steel,historical_new_capacity,R12_NAM,,,,Mt,,,,,,0.5,,,,,,,,,,,,,,
export_steel,historical_new_capacity,R12_PAS,,,,Mt,,,,,,7.2,,,,,,,,,,,,,,
