# Technical lifetime (maximum age) of vehicles
#
# Sources
# - scenario=*: see https://github.com/iiasa/message-ix-models/pull/213
# - scenario=LED: SharePoint ECE.prog > Documents > Transport > LED Scenario >
#   input files > lifetime-ldv-LED.xlsx as of 2025-03-18.
#
# Units: year
#
scenario, technology, node_loc, year_vtg, value
CircEUlar-S,        RAIL,     *,        2110,     50

CircEUlar-A,        2W,         *,        1990,     10
CircEUlar-A,        2W,         *,        2110,     15
CircEUlar-A,        AIR,        *,        1990,     25
CircEUlar-A,        AIR,        *,        2110,     30
CircEUlar-A,        BUS,        *,        1990,     15
CircEUlar-A,        BUS,        *,        2050,     22
CircEUlar-A,        BUS,        *,        2110,     30
CircEUlar-A,        F RAIL,     *,        1990,     25
CircEUlar-A,        F RAIL,     *,        2110,     40
CircEUlar-A,        F ROAD,     *,        1990,     15
CircEUlar-A,        F ROAD,     *,        2050,     20
CircEUlar-A,        F ROAD,     *,        2110,     20
CircEUlar-A,        RAIL,     *,        1990,     30
CircEUlar-A,        RAIL,     *,        2110,     50
