# Fixed operation & maintenance cost of LDVs
#
# Source: Duplicated from corresponding R11 file.
#
# Unit: USD_2010 / vehicle
#
scenario,    node,     technology, year, value
*,           R12_CHN,  ICH_chyb,   2030, 24365.67564
*,           R12_CHN,  ICH_chyb,   2035, 24714.90539
*,           R12_CHN,  ICH_chyb,   2040, 24714.90539
*,           R12_CHN,  ICH_chyb,   2045, 23954.06518
*,           R12_CHN,  ICH_chyb,   2050, 23954.06518
*,           R12_CHN,  IGH_ghyb,   2010, 31818.4306
*,           R12_CHN,  IGH_ghyb,   2015, 29932.8755
*,           R12_CHN,  IGH_ghyb,   2025, 27062.23907
*,           R12_CHN,  IGH_ghyb,   2035, 23722.93307
*,           R12_CHN,  IGH_ghyb,   2045, 24798.84702
*,           R12_CHN,  PHEV_ptrp,  2010, 34291.01963
*,           R12_CHN,  PHEV_ptrp,  2015, 34460.55372
*,           R12_CHN,  PHEV_ptrp,  2020, 31219.5
*,           R12_CHN,  PHEV_ptrp,  2025, 27979
*,           R12_CHN,  PHEV_ptrp,  2030, 27193
*,           R12_CHN,  PHEV_ptrp,  2035, 26414
*,           R12_CHN,  PHEV_ptrp,  2040, 26421
*,           R12_CHN,  PHEV_ptrp,  2045, 25911
*,           R12_CHN,  PHEV_ptrp,  2050, 25261
*,           R12_CHN,  PHEV_ptrp,  2055, 24151
*,           R12_CHN,  PHEV_ptrp,  2060, 23513
*,           R12_EEU,  ELC_100,    2010, 38279.72573
*,           R12_EEU,  ELC_100,    2015, 40810.61284
*,           R12_EEU,  ELC_100,    2020, 35701.4
*,           R12_EEU,  ELC_100,    2025, 30592
*,           R12_EEU,  ELC_100,    2030, 29860
*,           R12_EEU,  ELC_100,    2035, 29130
*,           R12_EEU,  ELC_100,    2040, 29128
*,           R12_EEU,  ELC_100,    2045, 29091
*,           R12_EEU,  ELC_100,    2050, 28351
*,           R12_EEU,  ELC_100,    2055, 27611
*,           R12_EEU,  ELC_100,    2060, 26871
*,           R12_EEU,  HFC_ptrp,   2010, 78083.29265
*,           R12_EEU,  HFC_ptrp,   2015, 36105.59915
*,           R12_EEU,  HFC_ptrp,   2025, 30124.69242
*,           R12_EEU,  HFC_ptrp,   2035, 28024.48738
*,           R12_EEU,  HFC_ptrp,   2045, 27505.0584
*,           R12_EEU,  IAHe_ptrp,  2010, 31079.40533
*,           R12_EEU,  IAHe_ptrp,  2015, 26197.9072
*,           R12_EEU,  IAHe_ptrp,  2025, 24365.67564
*,           R12_EEU,  IAHe_ptrp,  2035, 24714.90539
*,           R12_EEU,  IAHe_ptrp,  2045, 23954.06518
*,           R12_EEU,  IAHm_ptrp,  2010, 31079.40533
*,           R12_EEU,  IAHm_ptrp,  2015, 26197.9072
*,           R12_EEU,  IAHm_ptrp,  2020, 26197.9072
*,           R12_EEU,  IAHm_ptrp,  2025, 24365.67564
*,           R12_EEU,  IAHm_ptrp,  2030, 24365.67564
*,           R12_EEU,  IAHm_ptrp,  2035, 24714.90539
*,           R12_EEU,  IAHm_ptrp,  2040, 24714.90539
*,           R12_EEU,  IAHm_ptrp,  2045, 23954.06518
*,           R12_EEU,  IAHm_ptrp,  2050, 23954.06518
*,           R12_EEU,  ICAe_ffv,   2010, 24596.17641
*,           R12_EEU,  ICAe_ffv,   2015, 21014.75829
*,           R12_EEU,  ICAe_ffv,   2020, 21014.75829
*,           R12_EEU,  ICAe_ffv,   2025, 21373.9761
*,           R12_EEU,  ICAe_ffv,   2030, 21373.9761
*,           R12_EEU,  ICAe_ffv,   2035, 21337.3673
*,           R12_EEU,  ICAe_ffv,   2040, 21337.3673
*,           R12_EEU,  ICAe_ffv,   2045, 22392.89534
*,           R12_EEU,  ICAe_ffv,   2050, 22392.89534
*,           R12_EEU,  ICAm_ptrp,  2010, 24596.17641
*,           R12_EEU,  ICAm_ptrp,  2015, 21014.75829
*,           R12_EEU,  ICAm_ptrp,  2020, 21014.75829
*,           R12_EEU,  ICAm_ptrp,  2025, 21373.9761
*,           R12_EEU,  ICAm_ptrp,  2030, 21373.9761
*,           R12_EEU,  ICAm_ptrp,  2035, 21337.3673
*,           R12_EEU,  ICAm_ptrp,  2040, 21337.3673
*,           R12_EEU,  ICAm_ptrp,  2045, 22392.89534
*,           R12_EEU,  ICAm_ptrp,  2050, 22392.89534
