# “Elasticity” of PDT-capita with respect to GDP
#
# - The code that handles this file interpolates on the ‘year’
#   dimension.
#
# Units: dimensionless
#
scenario,    node,     year, value
SSP(2024).5, R12_LAM,  2020, 1.0
SSP(2024).5, R12_LAM,  2110, 1.0
SSP(2024).5, R12_MEA,  2020, 1.0
SSP(2024).5, R12_MEA,  2110, 1.0
SSP(2024).5, R12_NAM,  2020, 1.0
SSP(2024).5, R12_NAM,  2110, 1.0
SSP(2024).5, R12_PAO,  2020, 1.0
SSP(2024).5, R12_PAO,  2110, 1.0
SSP(2024).5, R12_PAS,  2020, 1.0
SSP(2024).5, R12_PAS,  2110, 1.0
SSP(2024).5, R12_RCPA, 2020, 1.0
SSP(2024).5, R12_RCPA, 2110, 1.0
SSP(2024).5, R12_SAS,  2020, 1.0
SSP(2024).5, R12_SAS,  2110, 1.0
SSP(2024).5, R12_WEU,  2020, 1.0
SSP(2024).5, R12_WEU,  2110, 1.0
