MODEL,SCENARIO,YEAR,EXPORTER,IMPORTER,MESSAGETEC,LEVEL,UNITS,COMMODITY
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,2080,R12_AFR,R12_EXP,foil_exp,102.3,GWa,Fuel Oil (GWa)
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,2090,R12_AFR,R12_EXP,foil_exp,140.4,GWa,Fuel Oil (GWa)
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,2100,R12_AFR,R12_EXP,foil_exp,201.9,GWa,Fuel Oil (GWa)
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,2110,R12_AFR,R12_EXP,foil_exp,196.8,GWa,Fuel Oil (GWa)
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,2030,R12_AFR,R12_MEA,foil_piped_exp_mea,0.0,GWa,Fuel Oil (GWa)
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,2035,R12_AFR,R12_MEA,foil_piped_exp_mea,0.0,GWa,Fuel Oil (GWa)
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,2040,R12_AFR,R12_MEA,foil_piped_exp_mea,0.0,GWa,Fuel Oil (GWa)
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,2045,R12_AFR,R12_MEA,foil_piped_exp_mea,0.0,GWa,Fuel Oil (GWa)
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,2050,R12_AFR,R12_MEA,foil_piped_exp_mea,0.0,GWa,Fuel Oil (GWa)
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,2055,R12_AFR,R12_MEA,foil_piped_exp_mea,0.0,GWa,Fuel Oil (GWa)
