relation,parameter,technology,Region,value,Units
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_MEA,1.0,
maximum_recycling_aluminum,relation_upper,,R12_MEA,0.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_NAM,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_NAM,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_NAM,1.0,
maximum_recycling_aluminum,relation_upper,,R12_NAM,0.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_PAS,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_PAS,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_PAS,1.0,
maximum_recycling_aluminum,relation_upper,,R12_PAS,0.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_LAM,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_LAM,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_LAM,1.0,
maximum_recycling_aluminum,relation_upper,,R12_LAM,0.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_FSU,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_FSU,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_FSU,1.0,
maximum_recycling_aluminum,relation_upper,,R12_FSU,0.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_AFR,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_AFR,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_AFR,1.0,
maximum_recycling_aluminum,relation_upper,,R12_AFR,0.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_SAS,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_SAS,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_SAS,1.0,
maximum_recycling_aluminum,relation_upper,,R12_SAS,0.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_CHN,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_CHN,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_CHN,1.0,
maximum_recycling_aluminum,relation_upper,,R12_CHN,0.0,
