region,technology,parameter,Unit,value,availability,Description,Source
R12_WEU,manuf_aluminum,output|aluminum|product,,0.868,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_WEU,manuf_aluminum,output|aluminum|new_scrap,,0.132,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_PAO,manuf_aluminum,input|aluminum|useful_material,,1.0,1985,,
R12_PAO,manuf_aluminum,output|aluminum|product,,0.894,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_PAO,manuf_aluminum,output|aluminum|new_scrap,,0.106,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_MEA,manuf_aluminum,input|aluminum|useful_material,,1.0,1985,,
R12_MEA,manuf_aluminum,output|aluminum|product,,0.866,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_MEA,manuf_aluminum,output|aluminum|new_scrap,,0.134,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_NAM,manuf_aluminum,input|aluminum|useful_material,,1.0,1985,,
R12_NAM,manuf_aluminum,output|aluminum|product,,0.83,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_NAM,manuf_aluminum,output|aluminum|new_scrap,,0.17,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_PAS,manuf_aluminum,input|aluminum|useful_material,,1.0,1985,,
R12_PAS,manuf_aluminum,output|aluminum|product,,0.85,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_PAS,manuf_aluminum,output|aluminum|new_scrap,,0.15,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_SAS,manuf_aluminum,input|aluminum|useful_material,,1.0,1985,,
R12_SAS,manuf_aluminum,output|aluminum|product,,0.85,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_SAS,manuf_aluminum,output|aluminum|new_scrap,,0.15,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_LAM,manuf_aluminum,input|aluminum|useful_material,,1.0,1985,,
R12_LAM,manuf_aluminum,output|aluminum|product,,0.87,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_LAM,manuf_aluminum,output|aluminum|new_scrap,,0.13,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_FSU,manuf_aluminum,input|aluminum|useful_material,,1.0,1985,,
R12_FSU,manuf_aluminum,output|aluminum|product,,0.87,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_FSU,manuf_aluminum,output|aluminum|new_scrap,,0.13,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_AFR,manuf_aluminum,input|aluminum|useful_material,,1.0,1985,,
R12_AFR,manuf_aluminum,output|aluminum|product,,0.87,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_AFR,manuf_aluminum,output|aluminum|new_scrap,,0.13,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_PAS,scrap_recovery_aluminum_1,input|aluminum|dummy_end_of_life_1,,1.0,1985,,
R12_PAS,scrap_recovery_aluminum_1,output|aluminum|old_scrap_1,,1.0,1985,,
R12_PAS,scrap_recovery_aluminum_2,input|aluminum|dummy_end_of_life_2,,1.0,1985,,
R12_PAS,scrap_recovery_aluminum_2,output|aluminum|old_scrap_2,,1.0,1985,,
