BCU,tec,urb_rur,year,scenario,unit,value
1,mg_wind_hybrid,urban,2030,baseline,GWh,0.0
1,mg_hydro,rural,2030,baseline,GWh,0.0
1,mg_hydro,urban,2030,baseline,GWh,0.0
1,unelectrified,rural,2030,baseline,GWh,25.29
1,unelectrified,urban,2030,baseline,GWh,0.0
2,grid_existing,rural,2030,baseline,GWh,0.0
2,grid_existing,urban,2030,baseline,GWh,892.71
2,grid_new,rural,2030,baseline,GWh,400.14
2,grid_new,urban,2030,baseline,GWh,0.0
2,sa_pv,rural,2030,baseline,GWh,0.98
2,sa_pv,urban,2030,baseline,GWh,0.0
2,mg_pv_hybrid,rural,2030,baseline,GWh,11.59
2,mg_pv_hybrid,urban,2030,baseline,GWh,0.0
2,mg_wind_hybrid,rural,2030,baseline,GWh,0.0
2,mg_wind_hybrid,urban,2030,baseline,GWh,0.0
2,mg_hydro,rural,2030,baseline,GWh,0.64
2,mg_hydro,urban,2030,baseline,GWh,0.0
2,unelectrified,rural,2030,baseline,GWh,375.82
2,unelectrified,urban,2030,baseline,GWh,0.0
3,grid_existing,rural,2030,baseline,GWh,0.0
3,grid_existing,urban,2030,baseline,GWh,54.15
3,grid_new,rural,2030,baseline,GWh,13.73
3,grid_new,urban,2030,baseline,GWh,0.0
3,sa_pv,rural,2030,baseline,GWh,0.2
3,sa_pv,urban,2030,baseline,GWh,0.0
3,mg_pv_hybrid,rural,2030,baseline,GWh,8.47
3,mg_pv_hybrid,urban,2030,baseline,GWh,0.0
3,mg_wind_hybrid,rural,2030,baseline,GWh,0.0
3,mg_wind_hybrid,urban,2030,baseline,GWh,0.0
3,mg_hydro,rural,2030,baseline,GWh,0.13
3,mg_hydro,urban,2030,baseline,GWh,0.0
3,unelectrified,rural,2030,baseline,GWh,100.85
3,unelectrified,urban,2030,baseline,GWh,0.0
4,grid_existing,rural,2030,baseline,GWh,5.52
4,grid_existing,urban,2030,baseline,GWh,285.73
4,grid_new,rural,2030,baseline,GWh,428.66
4,grid_new,urban,2030,baseline,GWh,0.0
4,sa_pv,rural,2030,baseline,GWh,1.16
4,sa_pv,urban,2030,baseline,GWh,0.0
4,mg_pv_hybrid,rural,2030,baseline,GWh,56.82
4,mg_pv_hybrid,urban,2030,baseline,GWh,0.0
4,mg_wind_hybrid,rural,2030,baseline,GWh,0.0
4,mg_wind_hybrid,urban,2030,baseline,GWh,0.0
4,mg_hydro,rural,2030,baseline,GWh,1.66
4,mg_hydro,urban,2030,baseline,GWh,0.0
4,unelectrified,rural,2030,baseline,GWh,635.46
4,unelectrified,urban,2030,baseline,GWh,11.16
5,grid_existing,rural,2030,baseline,GWh,6.1
5,grid_existing,urban,2030,baseline,GWh,3145.17
5,grid_new,rural,2030,baseline,GWh,375.23
5,grid_new,urban,2030,baseline,GWh,0.0
5,sa_pv,rural,2030,baseline,GWh,0.53
5,sa_pv,urban,2030,baseline,GWh,0.0
5,mg_pv_hybrid,rural,2030,baseline,GWh,34.27
5,mg_pv_hybrid,urban,2030,baseline,GWh,0.0
5,mg_wind_hybrid,rural,2030,baseline,GWh,0.0
5,mg_wind_hybrid,urban,2030,baseline,GWh,0.0
5,mg_hydro,rural,2030,baseline,GWh,0.89
5,mg_hydro,urban,2030,baseline,GWh,0.0
5,unelectrified,rural,2030,baseline,GWh,1769.19
5,unelectrified,urban,2030,baseline,GWh,0.0
6,grid_existing,rural,2030,baseline,GWh,0.0
6,grid_existing,urban,2030,baseline,GWh,42.25
6,grid_new,rural,2030,baseline,GWh,165.66
6,grid_new,urban,2030,baseline,GWh,65.54
6,sa_pv,rural,2030,baseline,GWh,1.92
6,sa_pv,urban,2030,baseline,GWh,0.0
6,mg_pv_hybrid,rural,2030,baseline,GWh,45.03
6,mg_pv_hybrid,urban,2030,baseline,GWh,0.0
6,mg_wind_hybrid,rural,2030,baseline,GWh,0.01
6,mg_wind_hybrid,urban,2030,baseline,GWh,0.0
6,mg_hydro,rural,2030,baseline,GWh,0.0
6,mg_hydro,urban,2030,baseline,GWh,0.0
6,unelectrified,rural,2030,baseline,GWh,87.97
6,unelectrified,urban,2030,baseline,GWh,7.76
7,grid_existing,rural,2030,baseline,GWh,3.94
7,grid_existing,urban,2030,baseline,GWh,640.67
7,grid_new,rural,2030,baseline,GWh,560.88
7,grid_new,urban,2030,baseline,GWh,10.95
7,sa_pv,rural,2030,baseline,GWh,5.06
7,sa_pv,urban,2030,baseline,GWh,0.0
7,mg_pv_hybrid,rural,2030,baseline,GWh,129.43
7,mg_pv_hybrid,urban,2030,baseline,GWh,0.0
7,mg_wind_hybrid,rural,2030,baseline,GWh,0.03
7,mg_wind_hybrid,urban,2030,baseline,GWh,0.0
7,mg_hydro,rural,2030,baseline,GWh,2.45
7,mg_hydro,urban,2030,baseline,GWh,0.0
7,unelectrified,rural,2030,baseline,GWh,446.21
7,unelectrified,urban,2030,baseline,GWh,6.7
8,grid_existing,rural,2030,baseline,GWh,17.36
8,grid_existing,urban,2030,baseline,GWh,1336.67
8,grid_new,rural,2030,baseline,GWh,333.0
8,grid_new,urban,2030,baseline,GWh,117.83
8,sa_pv,rural,2030,baseline,GWh,2.25
8,sa_pv,urban,2030,baseline,GWh,0.0
8,mg_pv_hybrid,rural,2030,baseline,GWh,68.68
8,mg_pv_hybrid,urban,2030,baseline,GWh,0.0
8,mg_wind_hybrid,rural,2030,baseline,GWh,0.0
8,mg_wind_hybrid,urban,2030,baseline,GWh,0.0
8,mg_hydro,rural,2030,baseline,GWh,7.31
8,mg_hydro,urban,2030,baseline,GWh,0.0
8,unelectrified,rural,2030,baseline,GWh,252.42
8,unelectrified,urban,2030,baseline,GWh,59.34
9,grid_existing,rural,2030,baseline,GWh,14.85
9,grid_existing,urban,2030,baseline,GWh,399.33
9,grid_new,rural,2030,baseline,GWh,259.92
9,grid_new,urban,2030,baseline,GWh,0.0
9,sa_pv,rural,2030,baseline,GWh,0.12
9,sa_pv,urban,2030,baseline,GWh,0.0
9,mg_pv_hybrid,rural,2030,baseline,GWh,4.96
9,mg_pv_hybrid,urban,2030,baseline,GWh,0.0
9,mg_wind_hybrid,rural,2030,baseline,GWh,0.0
9,mg_wind_hybrid,urban,2030,baseline,GWh,0.0
9,mg_hydro,rural,2030,baseline,GWh,0.0
9,mg_hydro,urban,2030,baseline,GWh,0.0
9,unelectrified,rural,2030,baseline,GWh,126.66
9,unelectrified,urban,2030,baseline,GWh,0.0
10,grid_existing,rural,2030,baseline,GWh,2.67
10,grid_existing,urban,2030,baseline,GWh,28.72
10,grid_new,rural,2030,baseline,GWh,0.0
10,grid_new,urban,2030,baseline,GWh,0.0
10,sa_pv,rural,2030,baseline,GWh,0.32
10,sa_pv,urban,2030,baseline,GWh,0.0
10,mg_pv_hybrid,rural,2030,baseline,GWh,13.96
10,mg_pv_hybrid,urban,2030,baseline,GWh,0.0
10,mg_wind_hybrid,rural,2030,baseline,GWh,0.0
10,mg_wind_hybrid,urban,2030,baseline,GWh,0.0
10,mg_hydro,rural,2030,baseline,GWh,3.88
10,mg_hydro,urban,2030,baseline,GWh,0.0
10,unelectrified,rural,2030,baseline,GWh,55.42
10,unelectrified,urban,2030,baseline,GWh,0.0
11,grid_existing,rural,2030,baseline,GWh,11.89
11,grid_existing,urban,2030,baseline,GWh,5358.35
11,grid_new,rural,2030,baseline,GWh,412.44
11,grid_new,urban,2030,baseline,GWh,0.0
11,sa_pv,rural,2030,baseline,GWh,0.07
11,sa_pv,urban,2030,baseline,GWh,0.0
11,mg_pv_hybrid,rural,2030,baseline,GWh,1.8
11,mg_pv_hybrid,urban,2030,baseline,GWh,0.0
11,mg_wind_hybrid,rural,2030,baseline,GWh,0.0
11,mg_wind_hybrid,urban,2030,baseline,GWh,0.0
11,mg_hydro,rural,2030,baseline,GWh,0.0
11,mg_hydro,urban,2030,baseline,GWh,0.0
11,unelectrified,rural,2030,baseline,GWh,133.58
11,unelectrified,urban,2030,baseline,GWh,0.0
12,grid_existing,rural,2030,baseline,GWh,0.0
12,grid_existing,urban,2030,baseline,GWh,80.95
12,grid_new,rural,2030,baseline,GWh,27.61
12,grid_new,urban,2030,baseline,GWh,0.0
12,sa_pv,rural,2030,baseline,GWh,0.02
12,sa_pv,urban,2030,baseline,GWh,0.0
12,mg_pv_hybrid,rural,2030,baseline,GWh,0.0
12,mg_pv_hybrid,urban,2030,baseline,GWh,0.0
12,mg_wind_hybrid,rural,2030,baseline,GWh,0.0
12,mg_wind_hybrid,urban,2030,baseline,GWh,0.0
12,mg_hydro,rural,2030,baseline,GWh,0.0
12,mg_hydro,urban,2030,baseline,GWh,0.0
12,unelectrified,rural,2030,baseline,GWh,6.31
12,unelectrified,urban,2030,baseline,GWh,0.0
13,grid_existing,rural,2030,baseline,GWh,0.0
13,grid_existing,urban,2030,baseline,GWh,425.69
13,grid_new,rural,2030,baseline,GWh,36.07
