node_loc,technology,year_vtg,year_act,value,unit,mode,time
R12_MEA,LNG_tanker_nam,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_MEA,LNG_tanker_pao,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_MEA,LNG_tanker_pas,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_MEA,LNG_tanker_sas,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_MEA,LNG_tanker_weu,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_NAM,LNG_tanker_afr,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_NAM,LNG_tanker_rcpa,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_NAM,LNG_tanker_chn,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_NAM,LNG_tanker_eeu,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_NAM,LNG_tanker_fsu,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_NAM,LNG_tanker_lam,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_NAM,LNG_tanker_mea,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_NAM,LNG_tanker_pao,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_NAM,LNG_tanker_pas,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_NAM,LNG_tanker_sas,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_NAM,LNG_tanker_weu,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAO,LNG_tanker_afr,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAO,LNG_tanker_rcpa,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAO,LNG_tanker_chn,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAO,LNG_tanker_eeu,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAO,LNG_tanker_fsu,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAO,LNG_tanker_lam,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAO,LNG_tanker_mea,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAO,LNG_tanker_nam,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAO,LNG_tanker_pas,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAO,LNG_tanker_sas,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAO,LNG_tanker_weu,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAS,LNG_tanker_afr,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAS,LNG_tanker_rcpa,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAS,LNG_tanker_chn,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAS,LNG_tanker_eeu,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAS,LNG_tanker_fsu,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAS,LNG_tanker_lam,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAS,LNG_tanker_mea,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAS,LNG_tanker_nam,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAS,LNG_tanker_pao,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAS,LNG_tanker_sas,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_PAS,LNG_tanker_weu,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_SAS,LNG_tanker_afr,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_SAS,LNG_tanker_rcpa,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_SAS,LNG_tanker_chn,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_SAS,LNG_tanker_eeu,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_SAS,LNG_tanker_fsu,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_SAS,LNG_tanker_lam,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_SAS,LNG_tanker_mea,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_SAS,LNG_tanker_nam,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_SAS,LNG_tanker_pao,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_SAS,LNG_tanker_pas,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_SAS,LNG_tanker_weu,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_WEU,LNG_tanker_afr,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_WEU,LNG_tanker_rcpa,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_WEU,LNG_tanker_chn,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_WEU,LNG_tanker_eeu,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_WEU,LNG_tanker_fsu,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_WEU,LNG_tanker_lam,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_WEU,LNG_tanker_mea,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_WEU,LNG_tanker_nam,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_WEU,LNG_tanker_pao,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_WEU,LNG_tanker_pas,broadcast,broadcast,0.002,USD/t-km,M1,year
R12_WEU,LNG_tanker_sas,broadcast,broadcast,0.002,USD/t-km,M1,year
