MESSAGE_region,MESSAGE_sector,MESSAGE_fuel,Value,unit
R12_FSU,industry_residual,loil,10.17757125,GWa
R12_FSU,industry_residual,nuclear,0,GWa
R12_FSU,industry_residual,other,0,GWa
R12_FSU,industry_residual,solar_pv,0,GWa
R12_FSU,industry_residual,solar_thermal,0,GWa
R12_FSU,industry_residual,tidal,0,GWa
R12_FSU,industry_residual,total,86.72608038,GWa
R12_FSU,industry_residual,wind,0,GWa
R12_LAM,cement,biogas,0,GWa
R12_LAM,cement,biomass,2.807609478,GWa
R12_LAM,cement,coal,1.835245709,GWa
R12_LAM,cement,crude,0.001083609,GWa
R12_LAM,cement,dheat,0,GWa
R12_LAM,cement,electr,3.074366488,GWa
R12_LAM,cement,ethanol,0.008768286,GWa
R12_LAM,cement,foil,8.416898834,GWa
R12_LAM,cement,gas,4.73865035,GWa
R12_LAM,cement,geothermal,0,GWa
R12_LAM,cement,hydro,0,GWa
R12_LAM,cement,loil,0.359172949,GWa
R12_LAM,cement,nuclear,0,GWa
R12_LAM,cement,other,0,GWa
R12_LAM,cement,solar_pv,0,GWa
R12_LAM,cement,solar_thermal,0,GWa
R12_LAM,cement,tidal,0,GWa
R12_LAM,cement,total,21.24179625,GWa
R12_LAM,cement,wind,0,GWa
R12_LAM,industry_residual,biogas,0.003446756,GWa
R12_LAM,industry_residual,biomass,50.5883077,GWa
R12_LAM,industry_residual,coal,5.36297039,GWa
R12_LAM,industry_residual,crude,0.280360014,GWa
R12_LAM,industry_residual,dheat,0,GWa
R12_LAM,industry_residual,electr,45.88044315,GWa
R12_LAM,industry_residual,ethanol,0.175781793,GWa
R12_LAM,industry_residual,foil,8.748410083,GWa
R12_LAM,industry_residual,gas,21.86282892,GWa
R12_LAM,industry_residual,geothermal,0,GWa
R12_LAM,industry_residual,hydro,0,GWa
R12_LAM,industry_residual,loil,16.14130097,GWa
R12_LAM,industry_residual,nuclear,0,GWa
R12_LAM,industry_residual,other,0,GWa
R12_LAM,industry_residual,solar_pv,0,GWa
R12_LAM,industry_residual,solar_thermal,0.02341451,GWa
R12_LAM,industry_residual,tidal,0,GWa
R12_LAM,industry_residual,total,149.0672661,GWa
R12_LAM,industry_residual,wind,0,GWa
R12_MEA,cement,biogas,0,GWa
R12_MEA,cement,biomass,0.032195789,GWa
R12_MEA,cement,coal,3.750413735,GWa
R12_MEA,cement,crude,0,GWa
R12_MEA,cement,dheat,0,GWa
R12_MEA,cement,electr,0.954649594,GWa
R12_MEA,cement,ethanol,0,GWa
R12_MEA,cement,foil,1.975315457,GWa
R12_MEA,cement,gas,6.483882892,GWa
R12_MEA,cement,geothermal,0,GWa
R12_MEA,cement,hydro,0,GWa
R12_MEA,cement,loil,0.123194101,GWa
R12_MEA,cement,nuclear,0,GWa
R12_MEA,cement,other,0,GWa
R12_MEA,cement,solar_pv,0,GWa
R12_MEA,cement,solar_thermal,0,GWa
R12_MEA,cement,tidal,0,GWa
R12_MEA,cement,total,13.31965157,GWa
R12_MEA,cement,wind,0,GWa
R12_MEA,industry_residual,biogas,0,GWa
R12_MEA,industry_residual,biomass,0.956222146,GWa
R12_MEA,industry_residual,coal,2.906257964,GWa
R12_MEA,industry_residual,crude,0.941807192,GWa
R12_MEA,industry_residual,dheat,0,GWa
R12_MEA,industry_residual,electr,31.31790137,GWa
R12_MEA,industry_residual,ethanol,0,GWa
R12_MEA,industry_residual,foil,23.64679521,GWa
R12_MEA,industry_residual,gas,116.661305,GWa
R12_MEA,industry_residual,geothermal,0,GWa
R12_MEA,industry_residual,hydro,0,GWa
R12_MEA,industry_residual,loil,18.06351967,GWa
R12_MEA,industry_residual,nuclear,0,GWa
R12_MEA,industry_residual,other,0,GWa
R12_MEA,industry_residual,solar_pv,0,GWa
R12_MEA,industry_residual,solar_thermal,0.003475079,GWa
R12_MEA,industry_residual,tidal,0,GWa
R12_MEA,industry_residual,total,194.4972839,GWa
R12_MEA,industry_residual,wind,0,GWa
R12_NAM,cement,biogas,0,GWa
R12_NAM,cement,biomass,0.582628031,GWa
R12_NAM,cement,coal,5.911219641,GWa
R12_NAM,cement,crude,0,GWa
R12_NAM,cement,dheat,0.004164485,GWa
R12_NAM,cement,electr,3.535106407,GWa
R12_NAM,cement,ethanol,0.014123922,GWa
R12_NAM,cement,foil,1.578383381,GWa
R12_NAM,cement,gas,12.14372092,GWa
R12_NAM,cement,geothermal,0,GWa
R12_NAM,cement,hydro,0,GWa
R12_NAM,cement,loil,0.399005327,GWa
R12_NAM,cement,nuclear,0,GWa
R12_NAM,cement,other,0,GWa
R12_NAM,cement,solar_pv,0,GWa
R12_NAM,cement,solar_thermal,0,GWa
R12_NAM,cement,tidal,0,GWa
R12_NAM,cement,total,24.16835212,GWa
R12_NAM,cement,wind,0,GWa
R12_NAM,industry_residual,biogas,0.087855188,GWa
R12_NAM,industry_residual,biomass,49.59893456,GWa
R12_NAM,industry_residual,coal,8.412788156,GWa
R12_NAM,industry_residual,crude,0,GWa
R12_NAM,industry_residual,dheat,2.452851329,GWa
R12_NAM,industry_residual,electr,67.65461489,GWa
R12_NAM,industry_residual,ethanol,1.070243468,GWa
R12_NAM,industry_residual,foil,2.26738978,GWa
R12_NAM,industry_residual,gas,88.40954255,GWa
R12_NAM,industry_residual,geothermal,0,GWa
R12_NAM,industry_residual,hydro,0,GWa
R12_NAM,industry_residual,loil,23.82581604,GWa
R12_NAM,industry_residual,nuclear,0,GWa
R12_NAM,industry_residual,other,0,GWa
R12_NAM,industry_residual,solar_pv,0,GWa
R12_NAM,industry_residual,solar_thermal,0,GWa
