node,year,value,unit
R12_LAM,2035,1.419,-
R12_LAM,2040,1.352,-
R12_LAM,2045,1.3035,-
R12_LAM,2050,1.255,-
R12_LAM,2055,1.2155,-
R12_LAM,2060,1.176,-
R12_LAM,2070,1.106,-
R12_LAM,2080,1.037,-
R12_LAM,2090,0.965,-
R12_LAM,2100,0.908,-
R12_LAM,2110,0.908,-
R12_MEA,2015,1.6725,-
R12_MEA,2020,1.584,-
R12_MEA,2025,1.511,-
R12_MEA,2030,1.438,-
R12_MEA,2035,1.3785,-
R12_MEA,2040,1.319,-
R12_MEA,2045,1.279,-
R12_MEA,2050,1.239,-
R12_MEA,2055,1.2065,-
R12_MEA,2060,1.174,-
R12_MEA,2070,1.113,-
R12_MEA,2080,1.055,-
R12_MEA,2090,0.998,-
R12_MEA,2100,0.939,-
R12_MEA,2110,0.939,-
R12_NAM,2015,1.067,-
R12_NAM,2020,1.034,-
R12_NAM,2025,1.0065,-
R12_NAM,2030,0.979,-
R12_NAM,2035,0.9585,-
R12_NAM,2040,0.938,-
R12_NAM,2045,0.9215,-
R12_NAM,2050,0.905,-
R12_NAM,2055,0.8895,-
R12_NAM,2060,0.874,-
R12_NAM,2070,0.855,-
R12_NAM,2080,0.85,-
R12_NAM,2090,0.85,-
R12_NAM,2100,0.85,-
R12_NAM,2110,0.85,-
R12_PAO,2015,1.1675,-
R12_PAO,2020,1.145,-
R12_PAO,2025,1.1225,-
R12_PAO,2030,1.1,-
R12_PAO,2035,1.0805,-
R12_PAO,2040,1.061,-
R12_PAO,2045,1.04,-
R12_PAO,2050,1.019,-
R12_PAO,2055,0.9955,-
R12_PAO,2060,0.972,-
R12_PAO,2070,0.914,-
R12_PAO,2080,0.867,-
R12_PAO,2090,0.85,-
R12_PAO,2100,0.85,-
R12_PAO,2110,0.85,-
R12_PAS,2015,1.5845,-
R12_PAS,2020,1.506,-
R12_PAS,2025,1.435,-
R12_PAS,2030,1.364,-
R12_PAS,2035,1.3005,-
R12_PAS,2040,1.237,-
R12_PAS,2045,1.1895,-
R12_PAS,2050,1.142,-
R12_PAS,2055,1.1195,-
R12_PAS,2060,1.097,-
R12_PAS,2070,1.052,-
R12_PAS,2080,1.003,-
R12_PAS,2090,0.954,-
R12_PAS,2100,0.917,-
R12_PAS,2110,0.917,-
R12_SAS,2015,3.5055,-
R12_SAS,2020,3.244,-
R12_SAS,2025,2.9195,-
R12_SAS,2030,2.595,-
R12_SAS,2035,2.3175,-
R12_SAS,2040,2.04,-
R12_SAS,2045,1.85,-
R12_SAS,2050,1.66,-
R12_SAS,2055,1.5445,-
R12_SAS,2060,1.429,-
R12_SAS,2070,1.285,-
R12_SAS,2080,1.19,-
R12_SAS,2090,1.114,-
R12_SAS,2100,1.043,-
R12_SAS,2110,1.043,-
R12_WEU,2015,1.199,-
R12_WEU,2020,1.176,-
R12_WEU,2025,1.1535,-
R12_WEU,2030,1.131,-
R12_WEU,2035,1.108,-
R12_WEU,2040,1.085,-
R12_WEU,2045,1.0595,-
R12_WEU,2050,1.034,-
R12_WEU,2055,1.006,-
R12_WEU,2060,0.978,-
R12_WEU,2070,0.92,-
R12_WEU,2080,0.886,-
R12_WEU,2090,0.861,-
R12_WEU,2100,0.85,-
R12_WEU,2110,0.85,-
R12_CHN,2015,2.1525,-
R12_CHN,2020,1.651,-
R12_CHN,2025,1.475,-
R12_CHN,2030,1.299,-
R12_CHN,2035,1.243,-
R12_CHN,2040,1.187,-
R12_CHN,2045,1.152,-
R12_CHN,2050,1.117,-
R12_CHN,2055,1.089,-
R12_CHN,2060,1.061,-
R12_CHN,2070,1.006,-
R12_CHN,2080,0.951,-
R12_CHN,2090,0.895,-
R12_CHN,2100,0.862,-
R12_CHN,2110,0.862,-
