iso3,name,lat,lon
TUR,Turkey,39.05942103,35.17066892
ISR,Israel,31.35645591,34.96654247
BGD,Bangladesh,23.83523272,90.27261991
MMR,Burma,21.13289317,96.50567128
IND,India,22.87069501,79.62994417
BEN,Benin,9.652513517,2.336652593
NER,Niger,17.41829666,9.406185705
NGA,Nigeria,9.592279692,8.102408552
111,Abyei,9.78891104,28.41262815
112,Aksai Chin,35.03050357,79.13242222
113,CH-IN,31.27173321,79.24243916
114,Demchok,32.8759447,79.33394102
115,Dragonja,45.4635896,13.62022616
116,Dramana-Shakatoe,27.56254794,89.08431641
117,Falkland Islands (UK),-51.74035795,-59.37468322
118,Gaza Strip,31.40651331,34.37678711
119,Kalapani,30.21267829,80.97704123
120,Isla Brasilera,-30.18265745,-57.62757623
121,Siachen-Saltoro,35.36858319,77.16301732
122,Koualou,11.00800105,0.944798331
123,Liancourt Rocks,37.24045629,131.8674948
124,No Man's Land,31.85655104,35.02658402
125,Paracel Is,16.83475503,112.3297567
126,Sanafir & Tiran Is.,27.94755062,34.59479216
127,Senkakus,25.74367062,123.4744119
128,Spratly Is,11.44130901,114.3363733
129,West Bank,31.94274745,35.25726257
ESH,Western Sahara,24.65919365,-13.1354355
