"utype","cooling","AFG","ALB","AND","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BEL","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BMU","BOL","BRA","BRB","BRN","BWA","CAN","CHE","CHL","CHN","CIV","COL","CRI","CUB","CYP","CZE","DEU","DNK","DOM","DZA","ECU","EGY","ESP","EST","ETH","FIN","FJI","FRA","GBR","GEO","GHA","GIN","GLP","GRC","GTM","GUM","GUY","HND","HRV","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KOR","KWT","LAO","LBN","LBY","LKA","LTU","LUX","LVA","MAR","MCO","MDA","MEX","MKD","MLT","MMR","MNE","MNG","MOZ","MTQ","MUS","MWI","MYS","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","PNG","POL","PRK","PRT","QAT","REU","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLV","SRB","SUR","SVK","SVN","SWE","SWZ","SYR","TGO","THA","TJK","TKM","TTO","TUN","TUR","TWN","TZA","UGA","UKR","URY","USA","UZB","VEN","VNM","WSM","YEM","ZAF","ZMB","ZWE"
"coal_ppl","ot_fresh",0,0,0,0,0.30750307503075,0,0,0,0.717583065039665,0,0,0,0.35959166925084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512372380860356,0,0,0,0,0,0.166107792409673,0.0786929694903597,0,0,0,0,0.274599542334096,0.0479098584884735,0,0,0,0,0.377673812569929,0,0,0,0,0,0,0,0,0,0,0.0595238095238095,0.00644953240890036,0,0.00046667817099067,0,0,0,0,0,0.0142983104163191,0,0,0.00261617270398829,0.652173913043478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19930180894954,0,0,0,0,0,0.567493311257484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245281510498049,0,0.173279563720015,0.0112994350282486,0,0.384615384615385,0,0,0,0,0
"coal_ppl","ot_saline",0,0,0,0,0,0,0,0.00535679296476738,0,0,0,0,0,0,0,0,0,0,0,0,0.0281271652864305,0,0,0,0.620253164556962,0,0.490328695819812,0.190723057724508,0,0,0,0,0,0,0.0259163047885604,0.995845940094083,0,0,0,0,0.427891226876839,0,0,0.902495818126521,0,0.205057996534843,0.148341964441718,0,0,0,0,0,0,0,0,0,0.0297619047619048,0,0.749779965368462,0.0346869156910883,1,0,0,0,1,0.976846666507797,0,0,0.791405049396268,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0181482375967266,0,0,0.864090852981113,0,0,1,0,0,0,0,0,0,0.650016613135452,0,0,0,1,0,0.015271950382408,0.892857142857143,0,0.423716713072035,0,0,0,0,0.75881710124571,0,0,0.671338480246599,0.665050114874222,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.862910674231429,0,0,0,0.374021909233177,0,0,0,0.347593582887701,0.325452870739945,0.909130205836353,0,0,0,0,0.0217775246479395,0,0,0.192307692307692,0,0,0.00704721634954193,0,0
"coal_ppl_u","air",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0963088881937555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0799729869022019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00296465852080813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501219298522767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275252242875698,0,0,0,0,0,0.000770001728011059,0,0,0,0,0,0.154934592702141,0,0
"coal_ppl_u","cl_fresh",1,1,1,1,0.406779661016949,1,1,0.696851373745564,1,1,1,1,1,1,1,0.969229274296727,1,1,1,1,0.614825392704141,1,1,1,0.446310029905991,1,0.384222641444123,0.735075185293803,1,0.783645655877342,1,1,1,0.812311447850218,0.822064755242889,0,0,1,1,1,0.782354488847312,1,1,0.0783557553892907,1,0.756245322689854,0.736483978720772,1,1,1,0,1,1,1,1,1,0,1,0.493072164477417,0.882982766086328,1,1,1,1,0,0.00167681033411999,1,1,0.315230099860081,0.836781111231452,1,0,1,0.830014025245442,1,1,1,1,1,1,1,1,0.0875331564986737,1,0,0.597701149425287,1,1,1,1,1,1,1,0.358974358974359,1,0,0,1,1,1,1,1,0,1,0.999423819309736,1,1,0,0,0.447726074080084,1,0.724343747396963,0.312902727939191,1,1,1,1,0.609506634726671,1,1,1,1,1,1,0.0796332708400018,1,0.994939801081836,0.136490250696379,0.028801071667783,1,1,1,0.49577159107918,1,1,1,1,0.804072012868042,0.39885828907662,1,1,0.529745833721255,1,0.54665422498704,1,1,0.771340774549234,1,1,0.842549442095113,1,1
"coal_ppl_u","ot_fresh",0,0,0,0,0.593220338983051,0,0,0,0,0,0,0,0,0,0,0.0275317019450338,0,0,0,0,0.304297027132286,0,0,0,0.378572290691593,0,0,0.0801302356714164,0,0,0,0,0,0.187688552149782,0.171934737716228,0,0,0,0,0,0.110796035899085,0,0,0,0,0.201703431809273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0882464744005908,0,0,0,0,0,0,0,0,0.0814597588791137,0.163218888768548,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000576180690264467,0,0,0,0,0,0,0.210397212703683,0,0,0,0,0,0.363481938051959,0,0,0,0,0,0,0.920366729159998,0,0.00506019891816437,0.863509749303621,0.207635632953784,0,0,0,0,0,0,0,0,0.00223642447336504,0,0,0,0.470254166278745,0,0.427847935026784,0,0,0.0596502327262868,0,0,0,0,0
"coal_ppl_u","ot_saline",0,0,0,0,0,0,0,0.303148626254436,0,0,0,0,0,0,0,0.00323902375823927,0,0,0,0,0.0808775801635726,0,0,0,0.175117679402417,0,0.615777358555877,0.0884856908410247,0,0.216354344122658,0,0,0,0,0.00600050704088272,1,1,0,0,0,0.106849475253603,0,0,0.841671257708507,0,0.0420512455008731,0.263516021279228,0,0,0,1,0,0,0,0,0,1,0,0.506927835522583,0.0258061009922734,0,0,0,0,1,0.99832318966588,0,0,0.603310141260805,0,0,0,0,0.169985974754558,0,0,0,0,0,0,0,0,0.912466843501326,0,0,0.402298850574713,0,0,0,0,0,0,0,0.641025641025641,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0.552273925919916,0,0.0151371100470773,0.68709727206081,0,0,0,0,0.0270114272213699,0,0,0,0,0,0,0,0,0,0,0.763563295378433,0,0,0,0.50422840892082,0,0,0,0,0.166166338371023,0.60114171092338,0,0,0,0,0.0247278382581649,0,0,0.169008992724479,0,0,0.00251596520274573,0,0
"foil_ppl","air",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240722166499498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581025873808443,0,0,0,0.0046057271765899,0,0.736059479553903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374251497005988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"foil_ppl","cl_fresh",0,0.674267100977199,0,0,0,1,0,0.976119402985075,0.390908233033363,0,0.967300167691448,0.263433813892529,1,0,0,0.81651376146789,0.430851063829787,0,0,0,0.244789618560755,0,0,0,0.0228076177443266,0.571428571428571,0.119718309859155,0.552277432712215,0,0,0,0.229308919440277,0.448275862068966,0,0.940616216148639,0,0.570966600980244,1,0.602306920762287,0.0505804886501473,0.0201828298502845,0.174042764793635,0,0.0169270833333333,0,0.0463842140877044,0.265921414866105,0.985714285714286,0,1,0,0.0565280604826985,1,0,0,0,0.36777843954735,0.629860031104199,0.0677090896071321,0.699089061206053,0,0.647299137539719,0.432340425531915,0,0.0308370044052863,0.191884528098097,0.354616895874263,0.100371747211896,0.0847315135301192,0.795918367346939,0,0,1,0.157894736842105,0,0,0.0923645320197044,0.0990931291339935,0.173553719008264,1,0,0.9,0,0,0,0.560415322152421,1,0,0,0,0,0,0,0,0,0.0927624872579001,0,0,0,1,0.298013245033113,0,0,0,0,0,0.334656834940442,0,0.0644523527085805,0.0145695364238411,0,0.992141453831041,0.105052318089976,0.11998811998812,0,0,0.374898125509372,0.977681968044636,0,0.220826741110426,1,0.0220125786163522,0,1,1,1,1,0.675276752767528,0.0441616766467066,0,0.184652278177458,0,0.0410633239680138,0,1,0,0,0.354379562043796,0.214771314628381,0,0,0.187539187539188,0,0.257472833782219,1,0.27683615819209,0.171339563862928,0,0,0,1,0
"foil_ppl","ot_fresh",0,0,0,0,0.123337830025053,0,0,0,0.609091766966637,1,0.0326998323085523,0.526867627785059,0,0,0,0.18348623853211,0.569148936170213,0,0,0,0.231222965001966,0,0,0,0,0.428571428571429,0,0.10351966873706,0,1,0,0,0,0,0.0479237553888179,0,0,0,0,0.824813723791371,0.0758004244437032,0.800596718050721,0,0,0,0.897496343832537,0,0.0142857142857143,0,0,0,0,0,0,0,0,0.63222156045265,0.370139968895801,0,0,0,0,0.567659574468085,0,0,0.0651665241299465,0,0,0.000514346546582347,0.204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0.401230440016049,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094535829079221,0,0,0.860927152317881,0,0.00785854616895874,0,0.297000297000297,0,0,0,0.0162312959675374,0,0,0,0,0,0,0,0,0,0.324723247232472,0.187125748502994,0,0,0,0,0,0,0,0,0.0380778588807786,0,0,0,0.792000792000792,0,0.0935667189761401,0,0,0.342679127725857,0,0,0,0,0
"foil_ppl","ot_saline",1,0.325732899022801,1,1,0.876662169974947,0,1,0.0238805970149254,0,0,0,0.209698558322411,0,1,1,0,0,1,1,1,0.523987416437279,1,1,1,0.977192382255673,0,0.880281690140845,0.344202898550725,1,0,1,0.770691080559723,0.551724137931034,1,0.0114600284625434,1,0.429033399019756,0,0.373620862587763,0.124605787558482,0.904016745706012,0.025360517155644,1,0.983072916666667,1,0.056119442079759,0.734078585133895,0,1,0,1,0.943471939517301,0,1,1,1,0,0,0.932290910392868,0.300910938793947,1,0.294598275079437,0,1,0.969162995594714,0.738343220595367,0.645383104125737,0.163568773234201,0.914754139923299,0,1,1,0,0.842105263157895,1,1,0.907635467980296,0.900906870866006,0.826446280991736,0,1,0.1,0.598769559983951,1,0,0.439584677847579,0,1,1,1,1,1,1,1,1,0.9072375127421,1,1,1,0,0.701986754966887,1,1,1,1,1,0.570807335980337,1,0.93554764729142,0.124503311258278,1,0,0.894947681910024,0.583011583011583,1,1,0.625101874490628,0.00608673598782653,1,0.779173258889574,0,0.977987421383648,1,0,0,0,0,0,0.731287425149701,1,0.815347721822542,1,0.958936676031986,1,0,1,1,0.607542579075426,0.785228685371619,1,1,0.0204600204600205,1,0.648960447241641,0,0.72316384180791,0.485981308411215,1,1,1,0,1
"gas_cc","air",0,0,0,0,0.0961928011219031,0,0,0.156408236750309,0,0,0.287191269385411,0.0314659066901013,0,0.49781189468398,0,0,0,0,0,0,0,0,0.657894736842105,0,0.13363195921695,0,0.14350642566085,0,0,0,0,0,0,0,0.0443555568907763,0,0,0.0193704600484262,0,0,0.0839872879925342,0,0,0.123920390536988,0,0.0877827783035229,0.170250587900644,0,0,0,0,0.199994473594528,0,0,0,0,0,0,0,0.0317495310671744,0.41906974972382,0.157100096355703,0,0,0.0960768614891914,0.329101984584354,0,0.805442176870748,0.00239740926365333,0,0,0,0,0,0,0,0,0,0,0,0,0.241379310344828,0.309352517985612,0,0,0.239174190683741,0,0,0,0,0,0,0,0,0,0.0781672183572208,0,0,0,0.344827586206897,0,0.0686371893129441,0,0,0,0,0.0304120540708966,0,0,0,0,0,0.0176317522024015,0,0,0,0,0.0278587237969902,0,0.0565722852374622,0,0,0,0,0,0,0.154875717017208,0,0,0,0.426078971533517,0,0,0,0,0,0,0.0118038229336712,0.180157310087581,0,0,0,0,0.126980132989309,0,0,0.0489245044285112,0,0,0,0,0
"gas_cc","cl_fresh",1,1,1,0.20012315270936,0.434062224068976,1,1,0.508833127039496,0.527101506470884,0.324074074074074,0.712808730614589,0.822743557355605,1,0,1,1,1,1,1,1,0.844018764659891,0,0,1,0.712213361321701,1,0.464684985894891,0.600635634111506,1,0.315637065637066,1,1,0.915032679738562,1,0.758801906409131,0.660834948405008,0.090613130765057,0.581113801452784,1,0.298167672347103,0.620054426278011,1,1,0.429027412692452,1,0.610330106067289,0.63030333567134,1,1,1,1,0.588746396323098,0,0,1,1,1,0.315400767504163,0.313928769815836,0.938917665680759,0.179040798445774,0.823256285408278,1,1,0.829730451027489,0.30739334209768,0.90293453724605,0.194557823129252,0.31479764564364,1,1,1,1,1,0.881081081081081,1,0.0248823133826496,0.395256916996047,1,1,1,0.758620689655172,0.690647482014389,1,1,0.643730644561383,1,0.703314470493129,0.770347330222913,1,1,1,1,1,1,0.403521209337251,1,1,1,0.655172413793103,1,0.329156247825856,0,1,0.991688870851053,0.54771550176914,0.905010259779887,1,1,0.157483302975106,1,1,0.497463711320814,0.731865218942754,0.726501221550726,1,1,0.704492432852785,1,0.750742511243742,1,0.318181818181818,0.453501245502353,1,1,1,0.845124282982792,0,0,1,0.573921028466483,1,0.916748627724633,1,1,1,0.347256347256347,0.834241082133156,0.0865983433716441,1,1,0.83739837398374,1,0.808782266326133,1,0.719298245614035,0.379586672290173,1,1,1,1,1
"gas_cc","ot_fresh",0,0,0,0,0.201085545109853,0,0,0,0.472898493529116,0,0,0.082858722574091,0,0,0,0,0,0,0,0,0,0,0,0,0.130726916625278,0,0,0.044164745283753,0,0.684362934362934,0,0,0,0,0.185404940269138,0,0,0,0,0.701832327652897,0,0,0,0.122230567029666,0,0,0.0140227066543075,0,0,0,0,0,0,0,0,0,0,0.684599232495837,0,0,0,0,0,0,0,0.177950763578735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128797042637492,0,0,0,0,0.0532765910731036,0,0,0,0,0,0,0.25615537543967,0,0,0,0.263376032951914,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216948566776652,0,0,0,0,0,0,0,0
"gas_cc","ot_saline",0,0,0,0.79987684729064,0.268659429699268,0,0,0.334758636210195,0,0.675925925925926,0,0.0629318133802026,0,0.50218810531602,0,0,0,0,0,0,0.155981235340109,1,0.342105263157895,0,0.0234277628360713,0,0.391808588444259,0.355199620604741,0,0,0,0,0.0849673202614379,0,0.0114375964309549,0.339165051594992,0.909386869234943,0.399515738498789,0,0,0.295958285729455,0,0,0.324821629740894,0,0.301887115629188,0.185423369773709,0,0,0,0,0.211259130082374,1,1,0,0,0,0,0.686071230184164,0.029332803252067,0.401889451830406,0.019643618236019,0,0,0.07419268748332,0.185553909739231,0.0970654627539503,0,0.682804945092707,0,0,0,0,0,0.118918918918919,0,0.97511768661735,0.604743083003953,0,0,0,0,0,0,0,0.117095164754876,0,0.296685529506871,0.229652669777087,0,0,0,0,0,0,0.518311572305529,0,0,0,0,0,0.473409520223708,1,0,0.00831112914894743,0.45228449823086,0.0113010950761129,0,0,0.842516697024894,0,0,0.484904536476785,0.0119794056175766,0.273498778449273,0,0,0.00427281039831139,0,0.192685203518796,0,0.681818181818182,0.546498754497647,0,0,0,0,0,1,0,0,0,0.0832513722753672,0,0,0,0.652743652743653,0.153955094933172,0.733244346540775,0,0,0.16260162601626,0,0.0425427440068927,0,0.280701754385965,0.571488823281316,0,0,0,0,0
"gas_ppl","air",0,0,0,0,0,0,0,0.0213581494689067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111396635315265,0,1,0,0,0,0,0,0,0,0.00787904391929158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733333333333333,0.0103871325863462,0,0.0550080220032088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240914713950195,0,0,0,0,0,0,0.671232876712329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000747842863105501,0,0,0,0,0,0.225872492882505,0,0
"gas_ppl","cl_fresh",1,1,1,0.0181064522741249,0.12890625,1,1,0.153435420202521,0.585810162991371,0.142314990512334,1,0.586865438955471,1,0.166666666666667,1,1,0.445142511769945,1,1,1,0.593431799701445,1,1,1,0.239512611590032,1,0,0.89434412900603,0,0.107496463932108,1,1,1,1,0.72282649069635,0,1,0.0343940962366848,1,0.291257510167086,0.0256990581879244,0.945273631840796,1,0.649742079261926,1,0.35476267887157,0.131125768983055,1,1,1,1,0.0516628995802389,1,1,1,1,1,0.200656275635767,0.713333333333333,0.624266668439404,0,0.760715104286042,0.875,1,0,0.174547398946039,1,0,0.0212603161337131,0.493780063028695,1,1,1,1,0,1,1,0.408229915088178,1,0.88003998667111,1,0.601139601139601,0,1,0.443207126948775,1,1,1,1,1,1,1,1,1,1,0.548532731376975,1,1,1,0.0313390313390313,1,0.108636476119772,1,1,0.788795855844221,0,0.5574236937403,1,0,1,1,1,0.0860651399131938,1,0.351351351351351,1,1,0.591168850960073,1,0,1,1,0,1,0.328767123287671,1,1,1,0.575500303214069,1,0.996023138105568,1,0.771654246169509,0.48,0.293994995829858,1,0,0.466867469879518,0.339986520973549,1,1,1,1,0.608423189927789,0.25580172243771,0,0.751872973275187,1,1,0,1,1
