utype,cooling,investment_million_USD_per_MW_low,investment_million_USD_per_MW_mid,investment_million_USD_per_MW_high,mix_R11_AFR,mix_R11_CPA,mix_R11_EEU,mix_R11_FSU,mix_R11_LAM,mix_R11_MEA,mix_R11_NAM,mix_R11_PAO,mix_R11_PAS,mix_R11_SAS,mix_R11_WEU,utype_pl
csp_sm3_res7,air,0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,0
csp_sm3_res7,cl_fresh,0.05,0.1,0.15,1,1,1,1,1,1,0.983695408,1,1,1,0.999377627,0
csp_sm3_res7,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm3_res7,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
foil_hpl,air,0.16,0.22,0.35,0,0,0,0,0.000528228,0.010499355,0,0,0,0,0.003365426,0
foil_hpl,cl_fresh,0.05,0.1,0.15,0.54697286,0.241820558,0.504962738,0.469868082,0.420414148,0.242090736,0.236764366,0.088740449,0.089093302,0.385709902,0.170787939,0
foil_hpl,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0.076788669,0.343352239,0.52362831,0.023206799,0.100576424,0.085376631,0.000512033,0.05945499,0.097494187,0.247173844,0
foil_hpl,ot_saline,2.00E-04,3.00E-04,5.00E-04,0.45302714,0.681390773,0.151685023,0.006503608,0.555850825,0.646833485,0.677859003,0.910747518,0.851451708,0.516795911,0.57867279,0
foil_ppl,air,0.16,0.22,0.35,0,0,0,0,0.000528228,0.010499355,0,0,0,0,0.003365426,foil_ppl
foil_ppl,cl_fresh,0.05,0.1,0.15,0.54697286,0.241820558,0.504962738,0.469868082,0.420414148,0.242090736,0.236764366,0.088740449,0.089093302,0.385709902,0.170787939,foil_ppl
foil_ppl,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0.076788669,0.343352239,0.52362831,0.023206799,0.100576424,0.085376631,0.000512033,0.05945499,0.097494187,0.247173844,foil_ppl
foil_ppl,ot_saline,2.00E-04,3.00E-04,5.00E-04,0.45302714,0.681390773,0.151685023,0.006503608,0.555850825,0.646833485,0.677859003,0.910747518,0.851451708,0.516795911,0.57867279,foil_ppl
gas_cc,air,0.1,0.14,0.2,0.15077271,0.006718394,0.048194551,0.019788398,0.135974612,0.077354155,0.127298962,0.008300574,0.038743863,0.03117285,0.148063034,gas_cc
gas_cc,cl_fresh,0.02,0.05,0.07,0.837919337,0.563939123,0.743267274,0.711914922,0.62116579,0.57151874,0.804063415,0.330585634,0.502048393,0.917737552,0.555181967,gas_cc
gas_cc,ot_fresh,1.00E-04,2.00E-04,3.00E-04,0,0.030479722,0.208538175,0.187079269,0.063618544,0.062826805,0.02699093,0,0,0.0201428,0.073337661,gas_cc
gas_cc,ot_saline,1.00E-04,0.00015,0.00025,0.011307953,0.398862761,0,0.081217411,0.179241054,0.288300301,0.041646693,0.661113792,0.459207744,0.030946798,0.223417337,gas_cc
gas_cc_ccs,cl_fresh,0.11,0.16,0.2,0.837919337,0.563939123,0.743267274,0.711914922,0.62116579,0.57151874,0.804063415,0.330585634,0.502048393,0.917737552,0.555181967,0
gas_cc_ccs,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0.030479722,0.208538175,0.187079269,0.063618544,0.062826805,0.02699093,0,0,0.0201428,0.073337661,0
gas_cc_ccs,ot_saline,2.00E-04,3.00E-04,5.00E-04,0.011307953,0.398862761,0,0.081217411,0.179241054,0.288300301,0.041646693,0.661113792,0.459207744,0.030946798,0.223417337,0
gas_hpl,air,0.16,0.22,0.35,0.15077271,0.006718394,0.048194551,0.019788398,0.135974612,0.077354155,0.127298962,0.008300574,0.038743863,0.03117285,0.148063034,0
gas_hpl,cl_fresh,0.05,0.1,0.15,0.837919337,0.563939123,0.743267274,0.711914922,0.62116579,0.57151874,0.804063415,0.330585634,0.502048393,0.917737552,0.555181967,0
