utype,cooling,investment_million_USD_per_MW_low,investment_million_USD_per_MW_mid,investment_million_USD_per_MW_high,mix_AFG,mix_ALB,mix_AND,mix_ARE,mix_ARG,mix_ARM,mix_ATG,mix_AUS,mix_AUT,mix_AZE,mix_BEL,mix_BGD,mix_BGR,mix_BHR,mix_BHS,mix_BIH,mix_BLR,mix_BLZ,mix_BMU,mix_BOL,mix_BRA,mix_BRB,mix_BRN,mix_BWA,mix_CAN,mix_CHE,mix_CHL,mix_CHN,mix_CIV,mix_COL,mix_CRI,mix_CUB,mix_CYP,mix_CZE,mix_DEU,mix_DNK,mix_DOM,mix_DZA,mix_ECU,mix_EGY,mix_ESP,mix_EST,mix_ETH,mix_FIN,mix_FJI,mix_FRA,mix_GBR,mix_GEO,mix_GHA,mix_GIN,mix_GLP,mix_GRC,mix_GTM,mix_GUM,mix_GUY,mix_HND,mix_HRV,mix_HUN,mix_IDN,mix_IND,mix_IRL,mix_IRN,mix_IRQ,mix_ISL,mix_ISR,mix_ITA,mix_JAM,mix_JOR,mix_JPN,mix_KAZ,mix_KEN,mix_KGZ,mix_KHM,mix_KOR,mix_KWT,mix_LAO,mix_LBN,mix_LBY,mix_LKA,mix_LTU,mix_LUX,mix_LVA,mix_MAR,mix_MCO,mix_MDA,mix_MEX,mix_MKD,mix_MLT,mix_MMR,mix_MNE,mix_MNG,mix_MOZ,mix_MTQ,mix_MUS,mix_MWI,mix_MYS,mix_NAM,mix_NCL,mix_NER,mix_NGA,mix_NIC,mix_NLD,mix_NOR,mix_NPL,mix_NZL,mix_OMN,mix_PAK,mix_PAN,mix_PER,mix_PHL,mix_PNG,mix_POL,mix_PRK,mix_PRT,mix_QAT,mix_REU,mix_ROU,mix_RUS,mix_RWA,mix_SAU,mix_SDN,mix_SEN,mix_SGP,mix_SLV,mix_SRB,mix_SUR,mix_SVK,mix_SVN,mix_SWE,mix_SWZ,mix_SYR,mix_TGO,mix_THA,mix_TJK,mix_TKM,mix_TTO,mix_TUN,mix_TUR,mix_TWN,mix_TZA,mix_UGA,mix_UKR,mix_URY,mix_USA,mix_UZB,mix_VEN,mix_VNM,mix_WSM,mix_YEM,mix_ZAF,mix_ZMB,mix_ZWE,utype_pl
bio_istig_ccs,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0.163483201,0.005368787,0,0,0,0,0,0,0,0,0,0,0,0.059700587,0,0,0,0.04445995,0,0.319562576,0,0,0,0.233609646,1,0,0,0.037579977,0.866911771,1,0,0.053571429,0,0.145994751,0.034782609,0,0.313938522,1,0,0.039706809,0,0.075941677,0,0,0,0,0,1,0,0,0,0.032555448,0.021384151,0,0,0,0,0,0.089161447,0.1171875,0,0.248220329,0,0.077030812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079170295,0,0,0,0,0,0,1,0.590567327,0,0.261278729,0,0,0,0,0,0,1,0,0.14333383,0,0.038804491,0,0,0.528234319,0,0,0,0.663826226,0,0,0,0.068322981,0,0,0,0,1,0,0,0,0,0,0.346805161,0,0,0,0.008531481,0,0,1,0,0,0,0,0,0,0,0.086052434,0,0,0,1,0,0.318985048,0,0,0
bio_ppl,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0.026055441,0,0,0.729442971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320366912,0,0,0,0,0,0.086661643,0,0,0,0.001171047,0,0,0,0,0,0.075345648,0,0,0.21334661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65824118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007802894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218523002,0,0,0,0,0,0.745341615,0,0,0.089651994,0,0,0,0,0,0,0,0.18983162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04722484,0,0,0,0,0,0.007702764,0,0,bio_ppl
bio_ppl,cl_fresh,0.05,0.1,0.15,1,1,1,1,1,1,1,0.771280243,0.928039817,1,0.249419761,1,1,1,1,1,1,1,1,1,0.940299413,1,1,1,0.61645316,1,0.680437424,1,1,1,0.679728711,0,1,1,0.732085636,0.050221663,0,1,0.946428571,1,0.630982131,0.556521739,1,0.464601427,0,0.924301492,0.862808673,1,0.924058323,1,1,1,1,1,0,1,0.266666667,1,0.967444552,0.920667483,0.34175882,1,1,1,1,0.865985995,0.8828125,1,0.6957638,1,0.922969188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.920829705,1,1,1,1,1,1,0,0.409432673,1,0.730918377,1,1,1,1,1,1,0,1,0.85666617,1,0.961195509,1,1,0.471765681,1,0.781476998,1,0.268015876,1,1,1,0.186335404,1,1,0.910348006,1,0,1,1,1,1,1,0.431261754,1,1,1,0.991468519,1,1,0,1,1,1,1,1,1,1,0.852224719,1,1,1,0,1,0.673312188,1,1,bio_ppl
bio_ppl,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0.163483201,0.005368787,0,0,0,0,0,0,0,0,0,0,0,0.059700587,0,0,0,0.04445995,0,0.319562576,0,0,0,0.233609646,1,0,0,0.037579977,0.866911771,1,0,0.053571429,0,0.145994751,0.034782609,0,0.313938522,1,0,0.039706809,0,0.075941677,0,0,0,0,0,1,0,0,0,0.032555448,0.021384151,0,0,0,0,0,0.089161447,0.1171875,0,0.248220329,0,0.077030812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079170295,0,0,0,0,0,0,1,0.590567327,0,0.261278729,0,0,0,0,0,0,1,0,0.14333383,0,0.038804491,0,0,0.528234319,0,0,0,0.663826226,0,0,0,0.068322981,0,0,0,0,1,0,0,0,0,0,0.346805161,0,0,0,0.008531481,0,0,1,0,0,0,0,0,0,0,0.086052434,0,0,0,1,0,0.318985048,0,0,bio_ppl
bio_ppl,air,0.16,0.22,0.35,0,0,0,0,0,0,0,0.039181115,0.066591396,0,0.021137268,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018719979,0,0,0,0,0,0,0,0,0,0.22916334,0.082866566,0,0,0,0,0.14767747,0.408695652,0,0.008113441,0,0.075698508,0.097484518,0,0,0,0,0,0,0,0,0,0.733333333,0,0,0.057948366,0,0,0,0,0,0.044852557,0,0,0.056015871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068157898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032101465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014498007,0,0,0,0,0,0,0,0,bio_ppl
coal_adv,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153315567,0,0,0,0,0,0,0.140027753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219274762,0,0,0,0,0,0,0,0,coal_adv
coal_adv,cl_fresh,0.05,0.1,0.15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.380623922,1,1,1,1,1,1,0.815314747,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.377358491,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.46875,1,1,1,1,1,1,1,1,1,1,0.130434783,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.745623874,1,1,1,1,1,1,1,1,coal_adv
coal_adv,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366671892,0,0,0,0,0,0,0.0446575,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622641509,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53125,0,0,0,0,0,0,0,0,0,0,0.869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.024755167,0,0,0,0,0,0,0,0,coal_adv
coal_adv,air,0.16,0.22,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099388619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010346196,0,0,0,0,0,0,0,0,coal_adv
coal_adv_ccs,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153315567,0,0,0,0,0,0,0.140027753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219274762,0,0,0,0,0,0,0,0,0
coal_adv_ccs,cl_fresh,0.11,0.16,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.380623922,1,1,1,1,1,1,0.815314747,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.377358491,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.46875,1,1,1,1,1,1,1,1,1,1,0.130434783,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.745623874,1,1,1,1,1,1,1,1,0
coal_adv_ccs,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366671892,0,0,0,0,0,0,0.0446575,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622641509,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53125,0,0,0,0,0,0,0,0,0,0,0.869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.024755167,0,0,0,0,0,0,0,0,0
coal_ppl,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0.307503075,0,0,0,0.717583065,0,0,0,0.359591669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051237238,0,0,0,0,0,0.166107792,0.078692969,0,0,0,0,0.274599542,0.047909858,0,0,0,0,0.377673813,0,0,0,0,0,0,0,0,0,0,0.05952381,0.006449532,0,0.000466678,0,0,0,0,0,0.01429831,0,0,0.002616173,0.652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199301809,0,0,0,0,0,0.567493311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24528151,0,0.173279564,0.011299435,0,0.384615385,0,0,0,0,0,coal_ppl
coal_ppl,cl_fresh,0.05,0.1,0.15,1,1,1,1,0.692496925,1,1,0.45331819,0.282416935,1,1,1,0.640408331,1,1,1,1,1,1,1,0.971872835,1,1,1,0.379746835,1,0.509671304,0.666079536,1,1,1,1,1,0.833892208,0.895390726,0.00415406,1,1,1,0.450800915,0.524198915,1,1,0.097504182,1,0.417268191,0.851658036,1,1,1,1,1,1,1,1,1,0.910714286,0.993550468,0.250220035,0.964846406,0,1,1,1,0,0.008855023,1,1,0.205978778,0.347826087,1,1,1,1,1,1,1,1,0,1,1,1,0.981851762,1,1,0.135909147,0.615384615,1,0,1,1,1,1,1,1,0.349983387,1,1,1,0,1,0.98472805,0.107142857,1,0.576283287,1,1,1,1,0.241182899,1,0.78705173,0.32866152,0.334949885,1,1,1,0.432506689,1,1,1,1,0,1,1,1,1,1,0.137089326,1,1,1,0.625978091,1,1,1,0.652406417,0.674547129,0.090869794,1,1,0.75471849,1,0.796259857,0.988700565,1,0.423076923,1,1,0.992952784,1,1,coal_ppl
coal_ppl,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0.005356793,0,0,0,0,0,0,0,0,0,0,0,0,0.028127165,0,0,0,0.620253165,0,0.490328696,0.190723058,0,0,0,0,0,0,0.025916305,0.99584594,0,0,0,0,0.427891227,0,0,0.902495818,0,0.205057997,0.148341964,0,0,0,0,0,0,0,0,0,0.029761905,0,0.749779965,0.034686916,1,0,0,0,1,0.976846667,0,0,0.791405049,0,0,0,0,0,0,0,0,0,1,0,0,0,0.018148238,0,0,0.864090853,0,0,1,0,0,0,0,0,0,0.650016613,0,0,0,1,0,0.01527195,0.892857143,0,0.423716713,0,0,0,0,0.758817101,0,0,0.67133848,0.665050115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.862910674,0,0,0,0.374021909,0,0,0,0.347593583,0.325452871,0.909130206,0,0,0,0,0.021777525,0,0,0.192307692,0,0,0.007047216,0,0,coal_ppl
coal_ppl,air,0.16,0.22,0.35,0,0,0,0,0,0,0,0.541325018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091960168,0,0,0,0,0,0,0,0,0,0,0,0.274599542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013646461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008683055,0,0,0,0,0,0,0,0,coal_ppl
coal_ppl_u,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0.593220339,0,0,0,0,0,0,0,0,0,0,0.027531702,0,0,0,0,0.304297027,0,0,0,0.378572291,0,0,0.080130236,0,0,0,0,0,0.187688552,0.171934738,0,0,0,0,0,0.110796036,0,0,0,0,0.201703432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088246474,0,0,0,0,0,0,0,0,0.081459759,0.163218889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000576181,0,0,0,0,0,0,0.210397213,0,0,0,0,0,0.363481938,0,0,0,0,0,0,0.920366729,0,0.005060199,0.863509749,0.207635633,0,0,0,0,0,0,0,0,0.002236424,0,0,0,0.470254166,0,0.427847935,0,0,0.059650233,0,0,0,0,0,coal_ppl_u
