technology_name,technology_group,output,water_supply_type,water_withdrawal_low_m3_per_output,water_withdrawal_mid_m3_per_output,water_withdrawal_high_m3_per_output,water_consumption_low_m3_per_output,water_consumption_mid_m3_per_output,water_consumption_high_m3_per_output,requires_cooling,emissions_heat_fraction,parasitic_electricity_demand_fraction
bio_istig,powerplant,GJ,freshwater_supply,0.056,0.069,0.083,0.056,0.069,0.083,Y,0.46,0
bio_istig_ccs,powerplant,GJ,freshwater_supply,0.056,0.069,0.083,0.056,0.069,0.083,Y,0.21,0
mw_ppl,powerplant,GJ,freshwater_supply,0.056,0.069,0.083,0.056,0.069,0.083,Y,0.54,0
igcc,powerplant,GJ,freshwater_supply,0.028,0.042,0.056,0.028,0.042,0.056,Y,0.47,0
igcc_ccs,powerplant,GJ,freshwater_supply,0.111,0.118,0.125,0.111,0.118,0.125,Y,0.72,0
nuc_lc,powerplant,GJ,freshwater_supply,0.006,0.007,0.008,0.006,0.007,0.008,Y,0.18,0
nuc_hc,powerplant,GJ,freshwater_supply,0.006,0.007,0.008,0.006,0.007,0.008,Y,0.18,0
nuc_fbr,powerplant,GJ,freshwater_supply,0.006,0.007,0.008,0.006,0.007,0.008,Y,0.18,0
nuc_htemp,powerplant,GJ,freshwater_supply,0.006,0.007,0.008,0.006,0.007,0.008,Y,0.18,0
hydro_lc,powerplant,GJ,freshwater_instream,0.8,5.1,9.5,0,0.25,0.5,N,0,0
hydro_hc,powerplant,GJ,freshwater_instream,1.6,10.2,19,0,0.5,1,N,0,0
hydro_1,powerplant,GJ,freshwater_instream,0.8,5.1,9.5,0,0.25,0.5,N,0,0
hydro_2,powerplant,GJ,freshwater_instream,1.6,10.2,19,0,0.5,1,N,0,0
hydro_3,powerplant,GJ,freshwater_instream,1.6,10.2,19,0,0.5,1,N,0,0
hydro_4,powerplant,GJ,freshwater_instream,1.6,10.2,19,0,0.5,1,N,0,0
hydro_5,powerplant,GJ,freshwater_instream,1.6,10.2,19,0,0.5,1,N,0,0
hydro_6,powerplant,GJ,freshwater_instream,1.6,10.2,19,0,0.5,1,N,0,0
hydro_7,powerplant,GJ,freshwater_instream,1.6,10.2,19,0,0.5,1,N,0,0
hydro_8,powerplant,GJ,freshwater_instream,1.6,10.2,19,0,0.5,1,N,0,0
geo_ppl,powerplant,GJ,freshwater_supply,0.014,0.049,0.083,0.014,0.049,0.083,Y,1.05,0
geo_hpl,powerplant,GJ,freshwater_supply,0.002,0.002,0.002,0.002,0.002,0.002,Y,0,0
solar_th_ppl,powerplant,GJ,freshwater_supply,0.014,0.049,0.083,0.014,0.049,0.083,Y,0.14,0
csp_sm1_res,powerplant,GJ,freshwater_supply,0.014,0.049,0.083,0.014,0.049,0.083,Y,0.14,0
csp_sm1_res1,powerplant,GJ,freshwater_supply,0.014,0.049,0.083,0.014,0.049,0.083,Y,0.14,0
csp_sm1_res2,powerplant,GJ,freshwater_supply,0.014,0.049,0.083,0.014,0.049,0.083,Y,0.14,0
csp_sm1_res3,powerplant,GJ,freshwater_supply,0.014,0.049,0.083,0.014,0.049,0.083,Y,0.14,0
csp_sm1_res4,powerplant,GJ,freshwater_supply,0.014,0.049,0.083,0.014,0.049,0.083,Y,0.14,0
csp_sm1_res5,powerplant,GJ,freshwater_supply,0.014,0.049,0.083,0.014,0.049,0.083,Y,0.14,0
csp_sm1_res6,powerplant,GJ,freshwater_supply,0.014,0.049,0.083,0.014,0.049,0.083,Y,0.14,0
csp_sm1_res7,powerplant,GJ,freshwater_supply,0.014,0.049,0.083,0.014,0.049,0.083,Y,0.14,0
csp_sm3_res,powerplant,GJ,freshwater_supply,0.014,0.049,0.083,0.014,0.049,0.083,Y,0.14,0
csp_sm3_res1,powerplant,GJ,freshwater_supply,0.014,0.049,0.083,0.014,0.049,0.083,Y,0.14,0
csp_sm3_res2,powerplant,GJ,freshwater_supply,0.014,0.049,0.083,0.014,0.049,0.083,Y,0.14,0
csp_sm3_res3,powerplant,GJ,freshwater_supply,0.014,0.049,0.083,0.014,0.049,0.083,Y,0.14,0
csp_sm3_res4,powerplant,GJ,freshwater_supply,0.014,0.049,0.083,0.014,0.049,0.083,Y,0.14,0
csp_sm3_res5,powerplant,GJ,freshwater_supply,0.014,0.049,0.083,0.014,0.049,0.083,Y,0.14,0
csp_sm3_res6,powerplant,GJ,freshwater_supply,0.014,0.049,0.083,0.014,0.049,0.083,Y,0.14,0
csp_sm3_res7,powerplant,GJ,freshwater_supply,0.014,0.049,0.083,0.014,0.049,0.083,Y,0.14,0
solar_pv_ppl,powerplant,GJ,freshwater_supply,0,0.001,0.002,0,0.001,0.002,N,0,0
wind_ppl,powerplant,GJ,freshwater_supply,0,0,0,0,0,0,N,0,0
foil_hpl,powerplant,GJ,freshwater_supply,0.002,0.002,0.002,0.002,0.002,0.002,Y,0,0
gas_hpl,powerplant,GJ,freshwater_supply,0.002,0.002,0.002,0.002,0.002,0.002,Y,0,0
bio_hpl,powerplant,GJ,freshwater_supply,0.002,0.002,0.002,0.002,0.002,0.002,Y,0,0
nuc_lc__ot_fresh,cooling,GJ,freshwater_supply,24.184,49.421,63.09,0.105,0.421,0.421,N,0,0
gas_cc__ot_fresh,cooling,GJ,freshwater_supply,7.571,9.464,22.082,0.021,0.105,0.242,N,0,0
gas_ppl__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
coal_ppl__ot_fresh,cooling,GJ,freshwater_supply,15.773,36.803,59.936,0.075,0.147,0.368,N,0,0
coal_adv_ccs__ot_fresh,cooling,GJ,freshwater_supply,43.532,43.532,43.532,0.121,0.189,0.227,N,0,0
gas_cc_ccs__ot_fresh,cooling,GJ,freshwater_supply,13.628,17.034,39.747,0.038,0.189,0.435,N,0,0
loil_ppl__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
loil_cc__ot_fresh,cooling,GJ,freshwater_supply,7.571,9.464,22.082,0.021,0.105,0.242,N,0,0
coal_adv__ot_fresh,cooling,GJ,freshwater_supply,24.184,24.184,24.184,0.067,0.105,0.126,N,0,0
geo_ppl__ot_fresh,cooling,GJ,freshwater_supply,12.559,35.117,63.095,0.035,0.153,0.329,N,0,0
bio_ppl__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
mw_ppl__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
solar_th_ppl__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
nuc_hc__ot_fresh,cooling,GJ,freshwater_supply,24.184,49.421,63.09,0.105,0.421,0.421,N,0,0
gas_hp__ot_fresh,cooling,GJ,freshwater_supply,7.571,9.464,22.082,0.021,0.105,0.242,N,0,0
coal_pp_u__ot_fresh,cooling,GJ,freshwater_supply,15.773,36.803,59.936,0.075,0.147,0.368,N,0,0
igcc_ccs__ot_fresh,cooling,GJ,freshwater_supply,28.296,28.296,28.296,0.079,0.123,0.148,N,0,0
foil_ppl__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
igcc__ot_fresh,cooling,GJ,freshwater_supply,15.72,15.72,15.72,0.044,0.068,0.082,N,0,0
geo_hpl__ot_fresh,cooling,GJ,freshwater_supply,12.559,35.117,63.095,0.035,0.153,0.329,N,0,0
bio_istig__ot_fresh,cooling,GJ,freshwater_supply,23.922,24.605,25.289,0.13,0.198,0.28,N,0,0
nuc_fbr__ot_fresh,cooling,GJ,freshwater_supply,24.184,49.421,63.09,0.105,0.421,0.421,N,0,0
bio_istig_ccs__ot_fresh,cooling,GJ,freshwater_supply,66.245,68.138,70.03,0.36,0.549,0.776,N,0,0
foil_hpl__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
bio_hpl__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
ot_fresh_nuc_htemp,cooling,GJ,freshwater_supply,24.184,49.421,63.09,0.105,0.421,0.421,N,0,0
nuc_lc__cl_fresh,cooling,GJ,freshwater_supply,0.684,1.157,7.886,0.515,0.699,0.846,N,0,0.019
gas_cc__cl_fresh,cooling,GJ,freshwater_supply,0.158,0.263,0.799,0.049,0.221,0.316,N,0,0.004
gas_ppl__cl_fresh,cooling,GJ,freshwater_supply,1.262,1.262,1.262,0.589,0.768,1.157,N,0,0.017
coal_ppl__cl_fresh,cooling,GJ,freshwater_supply,0.484,0.694,1.262,0.21,0.557,1.209,N,0,0.017
coal_adv_ccs__cl_fresh,cooling,GJ,freshwater_supply,1.157,1.157,1.157,0.894,0.925,0.957,N,0,0.017
gas_cc_ccs__cl_fresh,cooling,GJ,freshwater_supply,0.515,0.536,0.536,0.399,0.399,0.399,N,0,0.004
loil_ppl__cl_fresh,cooling,GJ,freshwater_supply,1.262,1.262,1.262,0.589,0.768,1.157,N,0,0.017
loil_cc__cl_fresh,cooling,GJ,freshwater_supply,0.158,0.263,0.799,0.049,0.221,0.316,N,0,0.017
coal_adv__cl_fresh,cooling,GJ,freshwater_supply,0.61,0.631,0.704,0.484,0.526,0.62,N,0,0.017
geo_ppl__cl_fresh,cooling,GJ,freshwater_supply,0.171,0.399,2.843,0.163,0.38,2.701,N,0,0.017
bio_ppl__cl_fresh,cooling,GJ,freshwater_supply,1.262,1.262,1.262,0.589,0.768,1.157,N,0,0.017
mw_ppl__cl_fresh,cooling,GJ,freshwater_supply,1.262,1.262,1.262,0.589,0.768,1.157,N,0,0.017
solar_th_ppl__cl_fresh,cooling,GJ,freshwater_supply,0.915,1.009,1.998,0.589,0.936,1.998,N,0,0.017
nuc_hc__cl_fresh,cooling,GJ,freshwater_supply,0.684,1.157,7.886,0.515,0.699,0.846,N,0,0.019
gas_hpl__cl_fresh,cooling,GJ,freshwater_supply,1.262,1.262,1.262,0.589,0.768,1.157,N,0,0.017
coal_ppl_u__cl_fresh,cooling,GJ,freshwater_supply,0.484,0.694,1.262,0.21,0.557,1.209,N,0,0.017
igcc_ccs__cl_fresh,cooling,GJ,freshwater_supply,0.505,0.673,0.778,0.547,0.578,0.631,N,0,0.017
foil_ppl__cl_fresh,cooling,GJ,freshwater_supply,1.262,1.262,1.262,0.589,0.768,1.157,N,0,0.017
igcc__cl_fresh,cooling,GJ,freshwater_supply,0.168,0.41,7.045,0.037,0.336,0.463,N,0,0.017
geo_hpl__cl_fresh,cooling,GJ,freshwater_supply,0.171,0.399,2.843,0.163,0.38,2.701,N,0,0.017
bio_istig__cl_fresh,cooling,GJ,freshwater_supply,0.168,0.41,7.045,0.037,0.336,0.463,N,0,0.017
nuc_fbr__cl_fresh,cooling,GJ,freshwater_supply,0.684,1.157,7.886,0.515,0.699,0.846,N,0,0.019
bio_istig_ccs__cl_fresh,cooling,GJ,freshwater_supply,0.505,0.673,0.778,0.547,0.578,0.631,N,0,0.017
foil_hpl__cl_fresh,cooling,GJ,freshwater_supply,1.262,1.262,1.262,0.589,0.768,1.157,N,0,0.017
bio_hpl__cl_fresh,cooling,GJ,freshwater_supply,1.262,1.262,1.262,0.589,0.768,1.157,N,0,0.017
nuc_htemp__cl_fresh,cooling,GJ,freshwater_supply,0.684,1.157,7.886,0.515,0.699,0.846,N,0,0.019
nuc_lc__ot_saline,cooling,GJ,saline_supply,24.184,49.421,63.09,0.105,0.421,0.421,N,0,0
gas_cc__ot_saline,cooling,GJ,saline_supply,7.571,9.464,22.082,0.021,0.105,0.242,N,0,0
gas_ppl__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
coal_ppl__ot_saline,cooling,GJ,saline_supply,15.773,36.803,59.936,0.075,0.147,0.368,N,0,0
coal_adv_ccs__ot_saline,cooling,GJ,saline_supply,43.532,43.532,43.532,0.121,0.189,0.227,N,0,0
gas_cc_ccs__ot_saline,cooling,GJ,saline_supply,13.628,17.034,39.747,0.038,0.189,0.435,N,0,0
loil_ppl__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
loil_cc__ot_saline,cooling,GJ,saline_supply,7.571,9.464,22.082,0.021,0.105,0.242,N,0,0
coal_adv__ot_saline,cooling,GJ,saline_supply,24.184,24.184,24.184,0.067,0.105,0.126,N,0,0
geo_ppl__ot_saline,cooling,GJ,saline_supply,12.559,35.117,63.095,0.035,0.153,0.329,N,0,0
bio_ppl__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
mw_ppl__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
solar_th_ppl__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
nuc_hc__ot_saline,cooling,GJ,saline_supply,24.184,49.421,63.09,0.105,0.421,0.421,N,0,0
gas_hpl__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
coal_ppl_u__ot_saline,cooling,GJ,saline_supply,15.773,36.803,59.936,0.075,0.147,0.368,N,0,0
igcc_ccs__ot_saline,cooling,GJ,saline_supply,28.296,28.296,28.296,0.079,0.123,0.148,N,0,0
foil_ppl__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
igcc__ot_saline,cooling,GJ,saline_supply,15.72,15.72,15.72,0.044,0.068,0.082,N,0,0
geo_hpl__ot_saline,cooling,GJ,saline_supply,12.559,35.117,63.095,0.035,0.153,0.329,N,0,0
bio_istig__ot_saline,cooling,GJ,saline_supply,15.72,15.72,15.72,0.044,0.068,0.082,N,0,0
nuc_fbr__ot_saline,cooling,GJ,saline_supply,24.184,49.421,63.09,0.105,0.421,0.421,N,0,0
bio_istig_ccs__ot_saline,cooling,GJ,saline_supply,28.296,28.296,28.296,0.079,0.123,0.148,N,0,0
foil_hpl__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
bio_hpl__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
nuc_htemp__ot_saline,cooling,GJ,saline_supply,24.184,49.421,63.09,0.105,0.421,0.421,N,0,0
gas_cc__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.029
gas_ppl__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
coal_ppl__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
loil_ppl__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
loil_cc__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.029
coal_adv__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
geo_ppl__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
bio_ppl__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
mw_ppl__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
solar_th_ppl__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
gas_hpl__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
coal_ppl_u__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
foil_ppl__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
igcc__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
geo_hpl__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
bio_istig__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
foil_hpl__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
bio_hpl__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
csp_sm1_res__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm1_res__cl_fresh,cooling,GJ,freshwater_supply,0.915,1.009,1.998,0.589,0.936,1.998,N,0,0.017
csp_sm1_res__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm1_res__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
csp_sm1_res1__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm1_res1__cl_fresh,cooling,GJ,freshwater_supply,0.915,1.009,1.998,0.589,0.936,1.998,N,0,0.017
csp_sm1_res1__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm1_res1__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
csp_sm1_res2__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm1_res2__cl_fresh,cooling,GJ,freshwater_supply,0.915,1.009,1.998,0.589,0.936,1.998,N,0,0.017
csp_sm1_res2__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm1_res2__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
csp_sm1_res3__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm1_res3__cl_fresh,cooling,GJ,freshwater_supply,0.915,1.009,1.998,0.589,0.936,1.998,N,0,0.017
csp_sm1_res3__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm1_res3__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
csp_sm1_res4__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm1_res4__cl_fresh,cooling,GJ,freshwater_supply,0.915,1.009,1.998,0.589,0.936,1.998,N,0,0.017
csp_sm1_res4__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm1_res4__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
csp_sm1_res5__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm1_res5__cl_fresh,cooling,GJ,freshwater_supply,0.915,1.009,1.998,0.589,0.936,1.998,N,0,0.017
csp_sm1_res5__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm1_res5__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
csp_sm1_res6__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm1_res6__cl_fresh,cooling,GJ,freshwater_supply,0.915,1.009,1.998,0.589,0.936,1.998,N,0,0.017
