"utype","cooling","R12_AFR","R12_CHN","R12_EEU","R12_FSU","R12_LAM","R12_MEA","R12_NAM","R12_PAO","R12_PAS","R12_RCPA","R12_SAS","R12_WEU"
"coal_ppl_u","cl_fresh",0.846931737597264,0.735075185293803,0.718825709754617,0.591049574213963,0.543629497117869,0.0942334739803094,0.537277145456687,0.62850919110247,0.487143690586578,0.745382538998128,0.883697268479116,0.667756307614329
"coal_ppl_u","ot_fresh",0,0.0801302356714164,0.241918866041101,0.391438133056198,0.0715563506261181,0,0.423243168049808,0.0158527694076216,0,0.0389833611926546,0.087707645076007,0.041062213340595
"coal_ppl_u","ot_saline",0.00538658066270971,0.0884856908410247,0.0172965477059738,0.0175122927298391,0.384814152256013,0.905766526019691,0.0387816407708831,0.355638039489908,0.512856309413422,0.215634099809218,0.0256485300064379,0.279995425351481
"foil_ppl","air",0,0,0,0,0.000528227602709456,0.0104993553534571,0,0,0,0,0,0.00336542627603592
"foil_ppl","cl_fresh",0.546972860125261,0.552277432712215,0.504962738244411,0.469868082226695,0.420414148048111,0.242090736169007,0.236764366223667,0.0887404490481201,0.089093302258192,0.121137370575003,0.385709901679591,0.170787939453351
"foil_ppl","ot_fresh",0,0.10351966873706,0.343352239002836,0.523628310028739,0.0232067993457021,0.100576423859438,0.0853766307387674,0.000512033320024584,0.0594549898286233,0.0663975887615039,0.0974941869386117,0.247173844281414
"foil_ppl","ot_saline",0.453027139874739,0.344202898550725,0.151685022752753,0.00650360774456641,0.555850825003477,0.646833484618098,0.677859003037566,0.910747517631855,0.851451707913185,0.812465040663493,0.516795911381797,0.578672789989199
"gas_cc","air",0.150772710139465,0,0.0481945512014339,0.0197883976860929,0.135974611598991,0.0773541551701179,0.127298962485385,0.00830057387957207,0.0387438634584077,0.0216818144600016,0.0311728499027436,0.148063034475772
"gas_cc","cl_fresh",0.837919336600075,0.600635634111506,0.743267273964917,0.711914922030071,0.621165790405184,0.571518739514603,0.804063415063326,0.330585633878201,0.502048392772244,0.482207483828707,0.917737552175761,0.555181967405225
"gas_cc","ot_fresh",0,0.044164745283753,0.20853817483365,0.187079268921897,0.0636185436753333,0.0628268045467667,0.0269909295489848,0,0,0,0.0201427997339085,0.0733376607295029
"gas_cc","ot_saline",0.0113079532604599,0.355199620604741,0,0.0812174113619395,0.179241054320492,0.288300300768512,0.0416466929023042,0.661113792242227,0.459207743769348,0.496110701711291,0.0309467981875874,0.2234173373895
"gas_ppl","air",0.0150208155615734,0,0.041112901060545,0.00190788212660528,0.00211601125765012,0.0124832882579132,0.00119589885771525,0.00158503469117311,0.000948813577625803,0,0.00298563646126125,0.00216607905755344
"gas_ppl","cl_fresh",0.0451411565240884,0.89434412900603,0.8836085380588,0.556884171145013,0.315411580059697,0.342349998571704,0.592517161391184,0.0340972096681342,0.631630891506963,0.177930635662218,0.586390943537554,0.351735601788851
"gas_ppl","ot_fresh",0.306330185648856,0,0.0710833668948852,0.42135709874133,0.0788214193474668,0.102258936312739,0.202144566851983,4.81171245534695e-05,0,0,0.170539554667242,0.149052025815124
"gas_ppl","ot_saline",0.633507842265482,0.10565587099397,0.0041951939857699,0.0198508479870513,0.603650989335186,0.542907776857644,0.204142372899117,0.964269638516139,0.367420294915412,0.822069364337782,0.240083865333942,0.497046293338471
"geo_ppl","air",0,0,0,0.126050420168067,0,0,0.0106231542269531,0.0486157500185556,0,0,0,0
"geo_ppl","cl_fresh",1,1,1,0.873949579831933,0.981707835852642,1,0.989376845773047,0.833518889631114,1,1,1,0.925989885284322
"geo_ppl","ot_fresh",0,0,0,0,0,0,0,0.116677800044534,0,0,0,0
"geo_ppl","ot_saline",0,0,0,0,0.0182921641473583,0,0,0.00118756030579678,0,0,0,0.0740101147156778
"loil_ppl","cl_fresh",1,1,1,1,0.592010199745006,1,0.735947699770364,0.969728242174063,0.769528428438758,1,1,0.48119619392841
"loil_ppl","ot_fresh",0,0,0,0,0,0,0.148976313956189,0.0233918128654971,0,0,0,0
"loil_ppl","ot_saline",0,0,0,0,0.407989800254994,0,0.115075986273447,0.00687994496044032,0.230471571561242,0,0,0.51880380607159
"msw_ppl","air",0,0.0200333889816361,0.0555761393108559,0,0,0,0.137364648768166,0.052567790546559,0.180803369639096,0,0.103125,0.196543639612689
"msw_ppl","cl_fresh",1,0.919866444073456,0.944423860689144,1,0.345454545454545,1,0.604391156017709,0.693062511864258,0.70825925417494,1,0.896875,0.642978653673015
"msw_ppl","ot_fresh",0,0,0,0,0,0,0.1093112586943,0,0,0,0,0.0474820415270598
"msw_ppl","ot_saline",0,0.0601001669449082,0,0,0.654545454545455,0,0.148932936519825,0.254369697589183,0.110937376185964,0,0,0.112995665187237
"nuc_hc","cl_fresh",1,0.000645619471883272,1,0.582750582750583,0,0,0,1,1,0,0.262541806020067,1
"nuc_hc","ot_fresh",0,0,0,0.0699300699300699,0,0,0,0,0,0,0.108695652173913,0
"nuc_hc","ot_saline",0,0.999354380528117,0,0.347319347319347,1,1,1,0,0,1,0.62876254180602,0
"nuc_lc","cl_fresh",0,0,0.437970506342168,0.461058764622878,0,0,0.579233538133775,0,0,0,0.651376146788991,0.47997877071489
"nuc_lc","ot_fresh",0,0,0.562029493657832,0.36414948336292,0.307088989441931,0,0.235882316314871,0,0,0,0,0.161568635762338
"nuc_lc","ot_saline",1,1,0,0.174791752014202,0.692911010558069,1,0.184884145551354,1,1,1,0.348623853211009,0.358452593522772
"solar_th_ppl","air",0,0,0,0,0,0,0.0163045922727477,0,0,0,0,0.000622372974787226
"solar_th_ppl","cl_fresh",1,1,1,1,1,1,0.983695407727252,1,1,1,1,0.999377627025213
