"cooling_utype","utype","cooling","LAM","SAS","AFR","EEU","MEA","PAO","WEU","PAS","NAM","CPA","SCS","UBM","CAS","RUS"
"coal_adv.air","coal_adv","air",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"coal_adv_ccs.ot_fresh","coal_adv_ccs","ot_fresh",0.049,0.016,0,0.161,0.102,0,0.138,0.008,0.127,0.001,0.547,0.31,0.088,0.257
"coal_adv_ccs.cl_fresh","coal_adv_ccs","cl_fresh",0.442,0.849,0.853,0.791,0.261,0.109,0.343,0.123,0.654,0.691,0.375,0.686,0.855,0.614
"coal_adv_ccs.ot_saline","coal_adv_ccs","ot_saline",0.509,0.134,0.146,0.048,0.638,0.891,0.519,0.869,0.218,0.309,0.078,0.004,0.057,0.128
"coal_ppl.ot_fresh","coal_ppl","ot_fresh",0,0,0,0,0,0,0,0,0,0,0.547,0,0,0
"coal_ppl.cl_fresh","coal_ppl","cl_fresh",0.464,0.92,0.999,0.987,0.024,0.332,0.654,0.078,0.953,0.716,0.375,1,1,0.948
"coal_ppl.ot_saline","coal_ppl","ot_saline",0.536,0.08,0.001,0.013,0.976,0.668,0.346,0.922,0.047,0.284,0.078,0,0,0.052
"coal_ppl.air","coal_ppl","air",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"coal_ppl_u.ot_fresh","coal_ppl_u","ot_fresh",0,0,0,0,0,0,0,0,0,0,0.547,0,0,0
"coal_ppl_u.cl_fresh","coal_ppl_u","cl_fresh",0.464,0.92,0.999,0.987,0.024,0.332,0.654,0.078,0.953,0.716,0.375,1,1,0.948
"coal_ppl_u.ot_saline","coal_ppl_u","ot_saline",0.536,0.08,0.001,0.013,0.976,0.668,0.346,0.922,0.047,0.284,0.078,0,0,0.052
"coal_ppl_u.air","coal_ppl_u","air",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"foil_hpl.ot_fresh","foil_hpl","ot_fresh",0.027,0.12,0,0.176,0.248,0,0.192,0.051,0.1,0.059,0.665,0.462,0,1
"foil_hpl.cl_fresh","foil_hpl","cl_fresh",0.401,0.333,0.517,0.381,0.194,0.028,0.091,0.028,0.292,0.135,0.335,0.538,1,0
"foil_hpl.ot_saline","foil_hpl","ot_saline",0.572,0.547,0.483,0.444,0.558,0.972,0.717,0.92,0.608,0.806,0,0,0,0
"foil_hpl.air","foil_hpl","air",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"foil_ppl.ot_fresh","foil_ppl","ot_fresh",0.027,0.12,0,0.176,0.248,0,0.192,0.051,0.1,0.059,0.665,0.462,0,1
"foil_ppl.cl_fresh","foil_ppl","cl_fresh",0.401,0.333,0.517,0.381,0.194,0.028,0.091,0.028,0.292,0.135,0.335,0.538,1,0
"foil_ppl.ot_saline","foil_ppl","ot_saline",0.572,0.547,0.483,0.444,0.558,0.972,0.717,0.92,0.608,0.806,0,0,0,0
"foil_ppl.air","foil_ppl","air",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gas_cc.ot_fresh","gas_cc","ot_fresh",0.1,0.036,0,0.089,0.099,0,0.128,0,0.039,0.007,0,0.128,0.614,0.161
"gas_cc.cl_fresh","gas_cc","cl_fresh",0.534,0.843,0.482,0.883,0.261,0.322,0.419,0.355,0.8,0.471,0.174,0.846,0.217,0.831
"gas_cc.ot_saline","gas_cc","ot_saline",0.188,0.064,0.241,0,0.518,0.574,0.292,0.613,0.064,0.443,0.826,0.025,0.169,0.005
"gas_cc.air","gas_cc","air",0.179,0.056,0.277,0.028,0.122,0.104,0.161,0.033,0.097,0.079,0,0,0,0.003
"gas_cc_ccs.ot_fresh","gas_cc_ccs","ot_fresh",0,0,0,0,0,0,0,0,0.127,0,0,0.31,0.088,0.257
"gas_cc_ccs.cl_fresh","gas_cc_ccs","cl_fresh",0,0,0.853,0,0,0,0,0,0.654,0,0,0.686,0.855,0.614
"gas_cc_ccs.ot_saline","gas_cc_ccs","ot_saline",1,1,0.146,1,1,1,1,1,0.218,1,1,0.004,0.057,0.128
"gas_hpl.ot_fresh","gas_hpl","ot_fresh",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gas_hpl.cl_fresh","gas_hpl","cl_fresh",0.168,0.675,0.008,1,0.383,0.082,0.432,0.631,0.617,0.75,1,1,0.856,1
"gas_hpl.ot_saline","gas_hpl","ot_saline",0.832,0.325,0.992,0,0.617,0.918,0.568,0.369,0.383,0.25,0,0,0.144,0
"gas_hpl.air","gas_hpl","air",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gas_ppl.ot_fresh","gas_ppl","ot_fresh",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gas_ppl.cl_fresh","gas_ppl","cl_fresh",0.168,0.675,0.008,1,0.383,0.082,0.432,0.631,0.617,0.75,1,1,0.856,1
"gas_ppl.ot_saline","gas_ppl","ot_saline",0.832,0.325,0.992,0,0.617,0.918,0.568,0.369,0.383,0.25,0,0,0.144,0
