node_loc,technology,year_vtg,value,unit,coc_base,non_coc_base,non_coc_base_2020,non_coc_base_growth
R12_AFR,csp_sm1_res7,2100,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res7,2110,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res7,2025,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res7,2035,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res7,2045,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res7,2055,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,foil_ppl,2030,517.0437703909528,USD/kWa,51.66153846153847,465.3822319294143,464.95384615384614,1.0009213511816535
R12_AFR,foil_ppl,2040,519.9373518037539,USD/kWa,51.66153846153847,468.27581334221543,464.95384615384614,1.0071447246126664
R12_AFR,foil_ppl,2050,524.0696928956461,USD/kWa,51.66153846153847,472.4081544341076,464.95384615384614,1.016032361796605
R12_AFR,foil_ppl,2060,529.6652824892932,USD/kWa,51.66153846153847,478.0037440277547,464.95384615384614,1.0280670823176512
R12_AFR,foil_ppl,2070,536.95288939667,USD/kWa,51.66153846153847,485.2913509351315,464.95384615384614,1.0437409109517422
R12_AFR,foil_ppl,2080,546.0230541488,USD/kWa,51.66153846153847,494.36151568726154,464.95384615384614,1.0632485778463372
R12_AFR,foil_ppl,2090,556.6691423470294,USD/kWa,51.66153846153847,505.0076038854909,464.95384615384614,1.0861456638394849
R12_AFR,foil_ppl,2100,569.021925809979,USD/kWa,51.66153846153847,517.3603873484406,464.95384615384614,1.11271342656504
R12_AFR,foil_ppl,2110,569.021925809979,USD/kWa,51.66153846153847,517.3603873484406,464.95384615384614,1.11271342656504
R12_AFR,foil_ppl,2025,516.6153846153846,USD/kWa,51.66153846153847,464.95384615384614,464.95384615384614,1.0
R12_AFR,foil_ppl,2035,518.364366752677,USD/kWa,51.66153846153847,466.70282829113853,464.95384615384614,1.0037616252704653
R12_AFR,foil_ppl,2045,521.8256308989507,USD/kWa,51.66153846153847,470.16409243741225,464.95384615384614,1.0112059429697504
R12_AFR,foil_ppl,2055,526.668690702024,USD/kWa,51.66153846153847,475.00715224048554,464.95384615384614,1.0216221592095678
R12_AFR,loil_cc,2030,677.1701631670959,USD/kWa,67.6923076923077,609.4778554747882,609.2307692307692,1.0004055708550816
R12_AFR,loil_cc,2040,678.8391358637368,USD/kWa,67.6923076923077,611.1468281714291,609.2307692307692,1.003145046240982
R12_AFR,loil_cc,2050,681.2226058518506,USD/kWa,67.6923076923077,613.5302981595429,609.2307692307692,1.0070573075851084
R12_AFR,loil_cc,2060,684.450054788345,USD/kWa,67.6923076923077,616.7577470960373,609.2307692307692,1.0123548879101623
R12_AFR,loil_cc,2070,688.6534329613092,USD/kWa,67.6923076923077,620.9611252690015,609.2307692307692,1.0192543722849774
R12_AFR,loil_cc,2080,693.8849627390338,USD/kWa,67.6923076923077,626.192655046726,609.2307692307692,1.0278414792433634
R12_AFR,loil_cc,2090,700.0254606183298,USD/kWa,67.6923076923077,632.3331529260221,609.2307692307692,1.0379205792977637
R12_AFR,loil_cc,2100,707.1503537476448,USD/kWa,67.6923076923077,639.458046055337,609.2307692307692,1.0496154796362855
R12_AFR,loil_cc,2110,707.1503537476448,USD/kWa,67.6923076923077,639.458046055337,609.2307692307692,1.0496154796362855
R12_AFR,loil_cc,2025,676.9230769230769,USD/kWa,67.6923076923077,609.2307692307692,609.2307692307692,1.0
R12_AFR,loil_cc,2035,677.9318625826544,USD/kWa,67.6923076923077,610.2395548903467,609.2307692307692,1.0016558350472862
R12_AFR,loil_cc,2045,679.9282658393371,USD/kWa,67.6923076923077,612.2359581470294,609.2307692307692,1.0049327595847706
R12_AFR,loil_cc,2055,682.72166731191,USD/kWa,67.6923076923077,615.0293596196022,609.2307692307692,1.0095178882644988
R12_AFR,loil_ppl,2020,507.6923076923077,USD/kWa,50.769230769230774,456.9230769230769,456.9230769230769,1.0
R12_AFR,loil_ppl,2030,507.877622375322,USD/kWa,50.769230769230774,457.10839160609123,456.9230769230769,1.0004055708550819
R12_AFR,loil_ppl,2040,509.1293518978026,USD/kWa,50.769230769230774,458.36012112857185,456.9230769230769,1.003145046240982
R12_AFR,loil_ppl,2050,510.916954388888,USD/kWa,50.769230769230774,460.1477236196572,456.9230769230769,1.0070573075851084
R12_AFR,loil_ppl,2060,513.3375410912587,USD/kWa,50.769230769230774,462.5683103220279,456.9230769230769,1.012354887910162
R12_AFR,loil_ppl,2070,516.490074720982,USD/kWa,50.769230769230774,465.7208439517512,456.9230769230769,1.0192543722849774
R12_AFR,loil_ppl,2080,520.4137220542754,USD/kWa,50.769230769230774,469.6444912850446,456.9230769230769,1.0278414792433637
R12_AFR,loil_ppl,2090,525.0190954637474,USD/kWa,50.769230769230774,474.2498646945166,456.9230769230769,1.0379205792977637
