relation,node_rel,year_rel,technology,value,unit
res_marg,R12_LAM,2050,h2_ct,1.0,-
res_marg,R12_MEA,2050,h2_ct,1.0,-
res_marg,R12_NAM,2050,h2_ct,1.0,-
res_marg,R12_SAS,2050,h2_ct,1.0,-
res_marg,R12_WEU,2050,h2_ct,1.0,-
res_marg,R12_FSU,2050,h2_ct,1.0,-
res_marg,R12_PAO,2050,h2_ct,1.0,-
res_marg,R12_PAS,2050,h2_ct,1.0,-
res_marg,R12_CHN,2050,h2_ct,1.0,-
res_marg,R12_RCPA,2050,h2_ct,1.0,-
res_marg,R12_AFR,2055,h2_ct,1.0,-
res_marg,R12_EEU,2055,h2_ct,1.0,-
res_marg,R12_LAM,2055,h2_ct,1.0,-
res_marg,R12_MEA,2055,h2_ct,1.0,-
res_marg,R12_NAM,2055,h2_ct,1.0,-
res_marg,R12_SAS,2055,h2_ct,1.0,-
res_marg,R12_WEU,2055,h2_ct,1.0,-
res_marg,R12_FSU,2055,h2_ct,1.0,-
res_marg,R12_PAO,2055,h2_ct,1.0,-
res_marg,R12_PAS,2055,h2_ct,1.0,-
res_marg,R12_CHN,2055,h2_ct,1.0,-
res_marg,R12_RCPA,2055,h2_ct,1.0,-
res_marg,R12_AFR,2060,h2_ct,1.0,-
res_marg,R12_EEU,2060,h2_ct,1.0,-
res_marg,R12_LAM,2060,h2_ct,1.0,-
res_marg,R12_MEA,2060,h2_ct,1.0,-
res_marg,R12_NAM,2060,h2_ct,1.0,-
res_marg,R12_SAS,2060,h2_ct,1.0,-
res_marg,R12_WEU,2060,h2_ct,1.0,-
res_marg,R12_FSU,2060,h2_ct,1.0,-
res_marg,R12_PAO,2060,h2_ct,1.0,-
res_marg,R12_PAS,2060,h2_ct,1.0,-
res_marg,R12_CHN,2060,h2_ct,1.0,-
res_marg,R12_RCPA,2060,h2_ct,1.0,-
res_marg,R12_AFR,2070,h2_ct,1.0,-
res_marg,R12_EEU,2070,h2_ct,1.0,-
res_marg,R12_LAM,2070,h2_ct,1.0,-
res_marg,R12_MEA,2070,h2_ct,1.0,-
res_marg,R12_NAM,2070,h2_ct,1.0,-
res_marg,R12_SAS,2070,h2_ct,1.0,-
res_marg,R12_WEU,2070,h2_ct,1.0,-
res_marg,R12_FSU,2070,h2_ct,1.0,-
res_marg,R12_PAO,2070,h2_ct,1.0,-
res_marg,R12_PAS,2070,h2_ct,1.0,-
res_marg,R12_CHN,2070,h2_ct,1.0,-
res_marg,R12_RCPA,2070,h2_ct,1.0,-
res_marg,R12_AFR,2080,h2_ct,1.0,-
res_marg,R12_EEU,2080,h2_ct,1.0,-
res_marg,R12_LAM,2080,h2_ct,1.0,-
res_marg,R12_MEA,2080,h2_ct,1.0,-
res_marg,R12_NAM,2080,h2_ct,1.0,-
res_marg,R12_SAS,2080,h2_ct,1.0,-
res_marg,R12_WEU,2080,h2_ct,1.0,-
res_marg,R12_FSU,2080,h2_ct,1.0,-
res_marg,R12_PAO,2080,h2_ct,1.0,-
res_marg,R12_PAS,2080,h2_ct,1.0,-
res_marg,R12_CHN,2080,h2_ct,1.0,-
res_marg,R12_RCPA,2080,h2_ct,1.0,-
res_marg,R12_AFR,2090,h2_ct,1.0,-
res_marg,R12_EEU,2090,h2_ct,1.0,-
res_marg,R12_LAM,2090,h2_ct,1.0,-
res_marg,R12_MEA,2090,h2_ct,1.0,-
res_marg,R12_NAM,2090,h2_ct,1.0,-
res_marg,R12_SAS,2090,h2_ct,1.0,-
res_marg,R12_WEU,2090,h2_ct,1.0,-
res_marg,R12_FSU,2090,h2_ct,1.0,-
res_marg,R12_PAO,2090,h2_ct,1.0,-
res_marg,R12_PAS,2090,h2_ct,1.0,-
res_marg,R12_CHN,2090,h2_ct,1.0,-
res_marg,R12_RCPA,2090,h2_ct,1.0,-
res_marg,R12_AFR,2100,h2_ct,1.0,-
res_marg,R12_EEU,2100,h2_ct,1.0,-
res_marg,R12_LAM,2100,h2_ct,1.0,-
res_marg,R12_MEA,2100,h2_ct,1.0,-
res_marg,R12_NAM,2100,h2_ct,1.0,-
res_marg,R12_SAS,2100,h2_ct,1.0,-
res_marg,R12_WEU,2100,h2_ct,1.0,-
res_marg,R12_FSU,2100,h2_ct,1.0,-
res_marg,R12_PAO,2100,h2_ct,1.0,-
res_marg,R12_PAS,2100,h2_ct,1.0,-
res_marg,R12_CHN,2100,h2_ct,1.0,-
res_marg,R12_RCPA,2100,h2_ct,1.0,-
res_marg,R12_AFR,2110,h2_ct,1.0,-
res_marg,R12_EEU,2110,h2_ct,1.0,-
res_marg,R12_LAM,2110,h2_ct,1.0,-
res_marg,R12_MEA,2110,h2_ct,1.0,-
res_marg,R12_NAM,2110,h2_ct,1.0,-
res_marg,R12_SAS,2110,h2_ct,1.0,-
res_marg,R12_WEU,2110,h2_ct,1.0,-
res_marg,R12_FSU,2110,h2_ct,1.0,-
res_marg,R12_PAO,2110,h2_ct,1.0,-
res_marg,R12_PAS,2110,h2_ct,1.0,-
res_marg,R12_CHN,2110,h2_ct,1.0,-
res_marg,R12_RCPA,2110,h2_ct,1.0,-
