Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IIASA-WiC POP,SSP2,COD,Population,million,65.966,75.413,85.771,96.614,107.350,117.678,127.427,136.789,145.719,153.864,160.929,167.188,172.540,177.040,180.711,183.406,185.387,186.604,187.015
IIASA-WiC POP,SSP2,COG,Population,million,4.043,4.561,5.077,5.580,6.080,6.571,7.032,7.446,7.823,8.161,8.454,8.700,8.902,9.063,9.172,9.231,9.242,9.216,9.153
IIASA-WiC POP,SSP2,COL,Population,million,46.295,49.332,52.233,54.915,57.328,59.422,61.225,62.735,63.900,64.733,65.297,65.565,65.588,65.372,64.912,64.230,63.408,62.472,61.436
IIASA-WiC POP,SSP2,COM,Population,million,0.735,0.822,0.901,0.975,1.048,1.120,1.187,1.243,1.287,1.323,1.353,1.379,1.400,1.415,1.424,1.427,1.425,1.420,1.412
IIASA-WiC POP,SSP2,CPV,Population,million,0.496,0.516,0.533,0.547,0.559,0.567,0.572,0.574,0.573,0.569,0.561,0.554,0.546,0.538,0.529,0.521,0.513,0.507,0.502
IIASA-WiC POP,SSP2,CRI,Population,million,4.659,5.001,5.326,5.630,5.911,6.162,6.387,6.577,6.736,6.865,6.965,7.023,7.038,7.010,6.949,6.856,6.739,6.604,6.455
IIASA-WiC POP,SSP2,CUB,Population,million,11.258,11.190,11.083,10.920,10.695,10.405,10.056,9.651,9.192,8.689,8.157,7.631,7.138,6.690,6.286,5.914,5.568,5.249,4.960
IIASA-WiC POP,SSP2,CYP,Population,million,1.104,1.177,1.248,1.316,1.377,1.433,1.484,1.533,1.579,1.618,1.650,1.668,1.674,1.668,1.653,1.630,1.601,1.569,1.533
IIASA-WiC POP,SSP2,CZE,Population,million,10.493,10.760,10.972,11.154,11.292,11.387,11.478,11.589,11.704,11.794,11.841,11.810,11.719,11.595,11.460,11.325,11.183,11.029,10.856
IIASA-WiC POP,SSP2,DEU,Population,million,82.302,82.124,81.910,81.683,81.357,80.914,80.367,79.715,78.932,78.020,77.069,76.013,74.934,73.816,72.604,71.267,69.827,68.303,66.528
IIASA-WiC POP,SSP2,DJI,Population,million,0.889,0.968,1.045,1.116,1.182,1.241,1.294,1.340,1.378,1.406,1.427,1.440,1.447,1.448,1.444,1.437,1.425,1.411,1.395
IIASA-WiC POP,SSP2,DNK,Population,million,5.550,5.679,5.806,5.946,6.087,6.218,6.338,6.454,6.574,6.699,6.825,6.941,7.047,7.141,7.225,7.296,7.354,7.398,7.426
IIASA-WiC POP,SSP2,DOM,Population,million,9.927,10.522,11.066,11.561,12.006,12.388,12.696,12.944,13.132,13.246,13.295,13.295,13.263,13.192,13.082,12.937,12.772,12.591,12.395
IIASA-WiC POP,SSP2,DZA,Population,million,35.468,38.053,40.528,42.713,44.519,46.063,47.437,48.640,49.525,50.017,50.132,49.977,49.609,49.103,48.487,47.791,47.080,46.356,45.601
IIASA-WiC POP,SSP2,ECU,Population,million,14.465,15.435,16.347,17.204,17.974,18.653,19.240,19.717,20.089,20.351,20.508,20.592,20.611,20.561,20.447,20.266,20.032,19.751,19.452
IIASA-WiC POP,SSP2,EGY,Population,million,81.121,88.084,94.750,100.949,106.685,112.000,116.868,121.202,124.861,127.969,130.529,132.497,133.778,134.387,134.519,134.220,133.577,132.540,131.239
IIASA-WiC POP,SSP2,ERI,Population,million,5.254,6.091,6.926,7.727,8.539,9.373,10.193,10.952,11.634,12.243,12.791,13.272,13.686,14.011,14.252,14.400,14.472,14.470,14.393
IIASA-WiC POP,SSP2,ESP,Population,million,46.077,47.812,48.769,49.533,50.208,50.924,51.675,52.327,52.760,52.921,52.845,52.529,52.081,51.556,50.965,50.331,49.602,48.743,47.759
IIASA-WiC POP,SSP2,EST,Population,million,1.341,1.335,1.325,1.312,1.297,1.283,1.273,1.266,1.259,1.251,1.241,1.228,1.216,1.203,1.190,1.176,1.162,1.148,1.133
IIASA-WiC POP,SSP2,ETH,Population,million,82.950,92.596,103.021,113.691,123.971,133.596,142.610,151.068,158.829,165.904,172.130,177.361,181.728,185.219,187.822,189.694,190.760,191.231,191.006
IIASA-WiC POP,SSP2,FIN,Population,million,5.365,5.493,5.617,5.738,5.845,5.934,6.012,6.090,6.176,6.269,6.366,6.457,6.541,6.617,6.684,6.740,6.786,6.816,6.824
IIASA-WiC POP,SSP2,FJI,Population,million,0.861,0.897,0.925,0.945,0.960,0.971,0.975,0.974,0.970,0.960,0.947,0.934,0.920,0.906,0.891,0.876,0.860,0.844,0.828
IIASA-WiC POP,SSP2,FRA,Population,million,62.787,64.696,66.609,68.499,70.324,72.071,73.707,75.185,76.504,77.715,78.866,79.910,80.865,81.722,82.440,82.991,83.226,83.206,82.970
IIASA-WiC POP,SSP2,FSM,Population,million,0.111,0.112,0.114,0.115,0.115,0.114,0.112,0.110,0.107,0.104,0.101,0.098,0.095,0.092,0.090,0.088,0.087,0.086,0.085
IIASA-WiC POP,SSP2,GAB,Population,million,1.505,1.634,1.759,1.877,1.982,2.075,2.158,2.229,2.288,2.336,2.375,2.402,2.415,2.417,2.410,2.393,2.370,2.339,2.304
IIASA-WiC POP,SSP2,GBR,Population,million,62.036,64.178,66.209,68.191,70.037,71.750,73.396,75.026,76.592,78.043,79.367,80.509,81.528,82.448,83.235,83.856,84.308,84.611,84.724
IIASA-WiC POP,SSP2,GEO,Population,million,4.352,4.258,4.134,3.992,3.842,3.693,3.543,3.387,3.226,3.065,2.912,2.772,2.645,2.528,2.419,2.322,2.238,2.169,2.110
IIASA-WiC POP,SSP2,GHA,Population,million,24.392,27.248,30.161,33.061,35.931,38.764,41.500,44.057,46.376,48.418,50.260,51.924,53.389,54.660,55.682,56.487,57.046,57.397,57.597
IIASA-WiC POP,SSP2,GIN,Population,million,9.982,10.897,11.778,12.604,13.356,14.030,14.613,15.099,15.480,15.750,15.937,16.108,16.255,16.382,16.470,16.528,16.556,16.571,16.576
IIASA-WiC POP,SSP2,GLP,Population,million,0.461,0.473,0.484,0.494,0.503,0.510,0.515,0.518,0.518,0.517,0.516,0.514,0.512,0.510,0.509,0.508,0.506,0.504,0.501
IIASA-WiC POP,SSP2,GMB,Population,million,1.728,1.959,2.185,2.400,2.601,2.794,2.976,3.137,3.273,3.386,3.482,3.566,3.640,3.700,3.749,3.785,3.814,3.831,3.838
IIASA-WiC POP,SSP2,GNB,Population,million,1.515,1.665,1.811,1.948,2.074,2.195,2.307,2.405,2.488,2.556,2.610,2.652,2.684,2.705,2.713,2.707,2.693,2.673,2.649
IIASA-WiC POP,SSP2,GNQ,Population,million,0.700,0.799,0.901,1.001,1.097,1.191,1.280,1.365,1.443,1.516,1.583,1.641,1.689,1.728,1.757,1.776,1.785,1.783,1.774
IIASA-WiC POP,SSP2,GRC,Population,million,11.359,11.449,11.430,11.402,11.379,11.366,11.351,11.317,11.248,11.146,11.022,10.864,10.686,10.494,10.296,10.093,9.891,9.680,9.442
IIASA-WiC POP,SSP2,GRD,Population,million,0.104,0.107,0.110,0.111,0.113,0.114,0.115,0.116,0.116,0.115,0.115,0.114,0.112,0.110,0.109,0.106,0.105,0.103,0.101
IIASA-WiC POP,SSP2,GTM,Population,million,14.389,15.988,17.505,18.980,20.401,21.724,22.911,23.999,24.965,25.812,26.512,27.143,27.699,28.142,28.486,28.718,28.866,28.921,28.893
IIASA-WiC POP,SSP2,GUF,Population,million,0.231,0.259,0.285,0.311,0.334,0.355,0.374,0.390,0.405,0.417,0.428,0.436,0.443,0.447,0.450,0.451,0.450,0.448,0.444
IIASA-WiC POP,SSP2,GUM,Population,million,0.180,0.191,0.201,0.211,0.219,0.227,0.233,0.237,0.241,0.244,0.245,0.246,0.247,0.246,0.244,0.242,0.238,0.234,0.230
IIASA-WiC POP,SSP2,GUY,Population,million,0.754,0.763,0.774,0.782,0.782,0.777,0.766,0.750,0.732,0.712,0.688,0.666,0.645,0.625,0.607,0.589,0.573,0.558,0.546
IIASA-WiC POP,SSP2,HKG,Population,million,7.053,7.361,7.647,7.943,8.253,8.551,8.818,9.058,9.267,9.438,9.577,9.647,9.655,9.606,9.502,9.346,9.117,8.829,8.496
IIASA-WiC POP,SSP2,HND,Population,million,7.601,8.280,8.924,9.522,10.061,10.551,10.987,11.356,11.659,11.906,12.096,12.238,12.331,12.377,12.389,12.364,12.306,12.220,12.122
IIASA-WiC POP,SSP2,HRV,Population,million,4.403,4.373,4.339,4.301,4.259,4.214,4.167,4.116,4.063,4.008,3.950,3.881,3.802,3.715,3.621,3.523,3.423,3.322,3.220
IIASA-WiC POP,SSP2,HTI,Population,million,9.993,10.558,11.067,11.517,11.901,12.211,12.462,12.644,12.747,12.780,12.731,12.637,12.493,12.315,12.109,11.883,11.643,11.413,11.193
IIASA-WiC POP,SSP2,HUN,Population,million,9.984,9.853,9.729,9.612,9.488,9.349,9.202,9.052,8.899,8.741,8.574,8.379,8.164,7.940,7.721,7.512,7.312,7.118,6.926
IIASA-WiC POP,SSP2,IDN,Population,million,239.871,251.396,261.705,270.395,277.364,282.723,286.314,287.958,287.522,285.512,282.010,277.241,271.456,264.911,257.844,250.451,242.867,235.195,227.518
IIASA-WiC POP,SSP2,IND,Population,million,1224.614,1307.933,1388.089,1461.771,1528.595,1590.438,1645.885,1694.572,1733.795,1762.641,1779.295,1784.823,1781.252,1768.805,1747.797,1718.939,1684.434,1644.924,1602.936
IIASA-WiC POP,SSP2,IRL,Population,million,4.470,4.767,5.037,5.284,5.513,5.736,5.956,6.167,6.358,6.524,6.665,6.778,6.870,6.944,7.003,7.047,7.075,7.086,7.076
IIASA-WiC POP,SSP2,IRN,Population,million,73.974,78.344,82.339,85.506,87.950,89.954,91.658,92.893,93.465,93.315,92.471,91.059,89.152,86.810,84.178,81.503,79.021,76.824,74.815
IIASA-WiC POP,SSP2,IRQ,Population,million,31.672,36.200,40.772,45.417,50.174,54.913,59.535,63.842,67.757,71.361,74.671,77.667,80.387,82.713,84.649,86.147,87.254,88.040,88.494
IIASA-WiC POP,SSP2,ISL,Population,million,0.320,0.345,0.369,0.392,0.413,0.433,0.454,0.473,0.492,0.510,0.526,0.540,0.552,0.563,0.573,0.580,0.585,0.588,0.589
IIASA-WiC POP,SSP2,ISR,Population,million,7.418,8.319,9.237,10.151,11.050,11.949,12.860,13.766,14.649,15.497,16.315,17.147,17.995,18.852,19.708,20.561,21.417,22.284,23.144
IIASA-WiC POP,SSP2,ITA,Population,million,60.551,61.480,61.702,61.840,61.954,62.028,62.022,61.851,61.476,60.897,60.171,59.276,58.305,57.324,56.361,55.413,54.378,53.195,51.885
IIASA-WiC POP,SSP2,JAM,Population,million,2.741,2.790,2.836,2.868,2.880,2.876,2.859,2.830,2.786,2.727,2.660,2.595,2.535,2.481,2.428,2.377,2.327,2.282,2.242
IIASA-WiC POP,SSP2,JOR,Population,million,6.187,7.068,7.993,8.932,9.855,10.758,11.633,12.465,13.253,13.978,14.629,15.172,15.591,15.887,16.080,16.171,16.173,16.087,15.935
IIASA-WiC POP,SSP2,JPN,Population,million,126.536,126.105,124.813,122.850,120.410,117.670,114.754,111.708,108.609,105.523,102.415,99.095,95.619,92.122,88.690,85.172,81.686,78.276,74.941
IIASA-WiC POP,SSP2,KAZ,Population,million,16.026,16.866,17.590,18.192,18.694,19.153,19.581,19.935,20.178,20.324,20.410,20.435,20.390,20.264,20.055,19.795,19.499,19.168,18.794
IIASA-WiC POP,SSP2,KEN,Population,million,40.513,45.566,50.658,55.667,60.593,65.439,70.035,74.279,78.056,81.308,84.165,86.760,89.022,90.979,92.594,93.827,94.732,95.269,95.541
IIASA-WiC POP,SSP2,KGZ,Population,million,5.334,5.610,5.839,6.018,6.161,6.281,6.367,6.408,6.410,6.378,6.320,6.255,6.182,6.093,5.993,5.887,5.779,5.679,5.584
IIASA-WiC POP,SSP2,KHM,Population,million,14.138,14.893,15.607,16.192,16.660,17.020,17.289,17.497,17.615,17.627,17.540,17.386,17.197,16.974,16.719,16.458,16.192,15.947,15.720
IIASA-WiC POP,SSP2,KOR,Population,million,48.184,48.906,49.378,49.641,49.661,49.342,48.630,47.560,46.183,44.598,42.906,41.155,39.392,37.655,35.975,34.371,32.855,31.436,30.044
IIASA-WiC POP,SSP2,KWT,Population,million,2.737,3.179,3.584,3.985,4.386,4.784,5.166,5.514,5.820,6.085,6.314,6.494,6.621,6.698,6.728,6.720,6.677,6.601,6.488
IIASA-WiC POP,SSP2,LAO,Population,million,6.201,6.637,7.066,7.460,7.802,8.079,8.304,8.486,8.631,8.729,8.765,8.751,8.698,8.624,8.540,8.449,8.352,8.246,8.134
IIASA-WiC POP,SSP2,LBN,Population,million,4.228,4.387,4.540,4.682,4.800,4.885,4.941,4.969,4.973,4.955,4.916,4.851,4.766,4.664,4.554,4.438,4.320,4.202,4.086
IIASA-WiC POP,SSP2,LBR,Population,million,3.994,4.857,5.752,6.670,7.585,8.496,9.393,10.268,11.094,11.851,12.548,13.166,13.692,14.135,14.480,14.715,14.854,14.894,14.860
IIASA-WiC POP,SSP2,LBY,Population,million,6.355,6.937,7.461,7.906,8.305,8.686,9.061,9.411,9.703,9.909,10.036,10.110,10.142,10.148,10.129,10.081,10.003,9.903,9.783
IIASA-WiC POP,SSP2,LCA,Population,million,0.174,0.183,0.190,0.197,0.202,0.207,0.210,0.212,0.213,0.213,0.212,0.210,0.207,0.203,0.199,0.195,0.190,0.185,0.180
IIASA-WiC POP,SSP2,LKA,Population,million,20.860,21.735,22.438,22.991,23.436,23.804,24.076,24.199,24.188,24.068,23.870,23.621,23.321,22.989,22.630,22.258,21.873,21.471,21.045
IIASA-WiC POP,SSP2,LSO,Population,million,2.171,2.273,2.369,2.453,2.521,2.572,2.612,2.644,2.666,2.677,2.679,2.671,2.658,2.634,2.605,2.571,2.532,2.489,2.445
IIASA-WiC POP,SSP2,LTU,Population,million,3.324,3.255,3.190,3.125,3.051,2.966,2.879,2.796,2.713,2.627,2.537,2.447,2.361,2.281,2.209,2.145,2.089,2.041,2.000
IIASA-WiC POP,SSP2,LUX,Population,million,0.507,0.553,0.593,0.634,0.676,0.717,0.757,0.795,0.831,0.864,0.895,0.920,0.940,0.955,0.964,0.968,0.968,0.963,0.952
IIASA-WiC POP,SSP2,LVA,Population,million,2.252,2.184,2.124,2.071,2.020,1.970,1.925,1.880,1.835,1.789,1.743,1.694,1.643,1.591,1.538,1.488,1.442,1.400,1.359
IIASA-WiC POP,SSP2,MAC,Population,million,0.544,0.588,0.615,0.646,0.678,0.708,0.735,0.759,0.779,0.795,0.807,0.814,0.815,0.812,0.804,0.791,0.775,0.755,0.730
IIASA-WiC POP,SSP2,MAR,Population,million,31.951,33.355,34.601,35.621,36.367,36.856,37.132,37.199,37.076,36.772,36.291,35.694,35.014,34.274,33.512,32.789,32.109,31.475,30.879
IIASA-WiC POP,SSP2,MDA,Population,million,3.573,3.375,3.197,3.022,2.850,2.679,2.511,2.344,2.181,2.025,1.877,1.741,1.616,1.500,1.394,1.302,1.223,1.159,1.106
IIASA-WiC POP,SSP2,MDG,Population,million,20.714,23.728,26.869,30.055,33.270,36.427,39.502,42.411,45.111,47.646,49.986,52.086,53.956,55.585,56.896,57.876,58.533,58.930,59.054
IIASA-WiC POP,SSP2,MDV,Population,million,0.316,0.339,0.362,0.384,0.403,0.419,0.433,0.446,0.457,0.466,0.471,0.473,0.472,0.468,0.461,0.451,0.439,0.426,0.412
IIASA-WiC POP,SSP2,MEX,Population,million,113.423,119.973,126.183,131.812,136.747,140.908,144.298,146.898,148.719,149.772,150.033,149.955,149.685,149.196,148.421,147.341,145.998,144.559,143.066
IIASA-WiC POP,SSP2,MKD,Population,million,2.060,2.093,2.127,2.162,2.196,2.229,2.259,2.287,2.311,2.329,2.342,2.336,2.315,2.280,2.233,2.179,2.118,2.051,1.980
IIASA-WiC POP,SSP2,MLI,Population,million,15.370,17.774,20.344,23.035,25.781,28.495,31.118,33.613,35.910,38.008,39.879,41.578,43.122,44.444,45.540,46.459,47.213,47.755,48.141
IIASA-WiC POP,SSP2,MLT,Population,million,0.417,0.425,0.433,0.440,0.444,0.446,0.446,0.445,0.443,0.441,0.439,0.435,0.429,0.421,0.412,0.402,0.392,0.382,0.372
IIASA-WiC POP,SSP2,MMR,Population,million,47.963,49.194,50.163,50.773,51.096,50.975,50.515,49.695,48.628,47.391,46.031,44.634,43.242,41.891,40.599,39.413,38.334,37.360,36.467
IIASA-WiC POP,SSP2,MNE,Population,million,0.631,0.641,0.652,0.661,0.669,0.676,0.682,0.686,0.688,0.690,0.690,0.686,0.678,0.666,0.651,0.634,0.615,0.596,0.575
IIASA-WiC POP,SSP2,MNG,Population,million,2.756,2.959,3.142,3.293,3.411,3.513,3.612,3.699,3.765,3.801,3.812,3.811,3.803,3.791,3.771,3.742,3.704,3.662,3.615
IIASA-WiC POP,SSP2,MOZ,Population,million,23.391,25.991,28.638,31.263,33.801,36.212,38.469,40.492,42.293,43.911,45.387,46.690,47.774,48.672,49.385,49.881,50.161,50.245,50.194
IIASA-WiC POP,SSP2,MRT,Population,million,3.460,3.870,4.269,4.652,5.026,5.388,5.722,6.014,6.271,6.498,6.701,6.873,7.015,7.131,7.219,7.280,7.319,7.332,7.322
IIASA-WiC POP,SSP2,MTQ,Population,million,0.406,0.414,0.420,0.427,0.432,0.436,0.438,0.439,0.438,0.437,0.435,0.432,0.430,0.428,0.426,0.423,0.420,0.416,0.412
IIASA-WiC POP,SSP2,MUS,Population,million,1.299,1.333,1.367,1.398,1.426,1.447,1.461,1.468,1.469,1.467,1.461,1.451,1.437,1.419,1.399,1.376,1.352,1.327,1.302
IIASA-WiC POP,SSP2,MWI,Population,million,14.901,17.309,20.020,22.991,26.228,29.670,33.269,36.916,40.541,44.027,47.383,50.586,53.577,56.369,58.948,61.289,63.344,65.162,66.731
IIASA-WiC POP,SSP2,MYS,Population,million,28.401,30.694,32.945,35.110,37.161,39.037,40.658,42.058,43.265,44.288,45.127,45.765,46.216,46.459,46.484,46.311,45.960,45.493,44.936
IIASA-WiC POP,SSP2,MYT,Population,million,0.204,0.234,0.262,0.291,0.323,0.356,0.387,0.416,0.444,0.469,0.492,0.514,0.533,0.550,0.564,0.576,0.586,0.593,0.598
IIASA-WiC POP,SSP2,NAM,Population,million,2.283,2.470,2.641,2.802,2.946,3.074,3.181,3.269,3.343,3.401,3.448,3.479,3.494,3.495,3.481,3.453,3.415,3.364,3.309
IIASA-WiC POP,SSP2,NCL,Population,million,0.251,0.271,0.290,0.309,0.327,0.343,0.358,0.373,0.386,0.398,0.409,0.417,0.423,0.427,0.430,0.430,0.429,0.426,0.422
IIASA-WiC POP,SSP2,NER,Population,million,15.512,18.451,21.816,25.593,29.816,34.527,39.681,45.194,50.943,56.568,62.027,67.453,72.789,77.923,82.672,87.046,91.055,94.682,97.906
IIASA-WiC POP,SSP2,NGA,Population,million,158.423,178.837,201.529,226.154,252.724,281.018,310.622,340.948,371.695,400.339,427.389,453.406,477.965,500.558,521.278,539.736,555.753,569.895,582.380
IIASA-WiC POP,SSP2,NIC,Population,million,5.788,6.102,6.366,6.581,6.754,6.885,6.969,7.011,7.014,6.976,6.903,6.827,6.750,6.671,6.588,6.500,6.411,6.322,6.244
IIASA-WiC POP,SSP2,NLD,Population,million,16.613,16.937,17.264,17.589,17.884,18.124,18.310,18.453,18.575,18.692,18.813,18.926,19.030,19.122,19.189,19.223,19.220,19.179,19.065
IIASA-WiC POP,SSP2,NOR,Population,million,4.883,5.152,5.426,5.715,6.004,6.279,6.543,6.803,7.063,7.323,7.577,7.805,8.008,8.187,8.344,8.475,8.578,8.646,8.670
IIASA-WiC POP,SSP2,NPL,Population,million,29.959,32.808,35.756,38.621,41.272,43.764,46.105,48.252,50.142,51.743,53.000,53.900,54.485,54.778,54.757,54.454,53.902,53.206,52.407
IIASA-WiC POP,SSP2,NZL,Population,million,4.368,4.611,4.852,5.078,5.280,5.462,5.633,5.793,5.940,6.070,6.186,6.284,6.369,6.441,6.497,6.531,6.543,6.537,6.509
IIASA-WiC POP,SSP2,OMN,Population,million,2.782,3.088,3.383,3.689,3.988,4.272,4.544,4.792,5.011,5.201,5.365,5.492,5.583,5.641,5.675,5.689,5.691,5.678,5.651
IIASA-WiC POP,SSP2,PAK,Population,million,173.593,190.015,207.341,224.144,239.684,254.203,267.979,280.898,292.577,302.301,310.048,316.184,320.897,324.545,326.985,328.462,328.660,327.939,326.374
IIASA-WiC POP,SSP2,PAN,Population,million,3.517,3.776,4.022,4.257,4.477,4.672,4.846,4.991,5.108,5.199,5.263,5.305,5.324,5.319,5.294,5.248,5.187,5.112,5.025
