"","iso","rcp","ssp","year","GDPcapNoCC","GDPcapCC","pct.diff"
"53","ARG","rcp60","ssp2",2045,12546.86,12291.79,NA
"54","ARG","rcp60","ssp2",2050,13694.85,13332.04,NA
"55","ARG","rcp60","ssp2",2055,14911.47,14412.9,NA
"56","ARG","rcp60","ssp2",2060,16187.08,15520.41,NA
"57","ARG","rcp60","ssp2",2070,18883.33,17769.27,NA
"58","ARG","rcp60","ssp2",2080,21779.23,20042.71,NA
"59","ARG","rcp60","ssp2",2090,24913.46,22340.8,NA
"60","ARG","rcp60","ssp2",2100,28284.1,24618.26,NA
"61","ARM","rcp60","ssp2",2025,2686.03,2704.93,NA
"62","ARM","rcp60","ssp2",2030,3142,3180.66,NA
"63","ARM","rcp60","ssp2",2035,3632.01,3701.24,NA
"64","ARM","rcp60","ssp2",2040,4140.85,4253.92,NA
"65","ARM","rcp60","ssp2",2045,4653.12,4825.66,NA
"66","ARM","rcp60","ssp2",2050,5172.78,5423.16,NA
"67","ARM","rcp60","ssp2",2055,5731.8,6083.11,NA
"68","ARM","rcp60","ssp2",2060,6367.49,6849.9,NA
"69","ARM","rcp60","ssp2",2070,7749.81,8599.88,NA
"70","ARM","rcp60","ssp2",2080,9293.53,10689.31,NA
"71","ARM","rcp60","ssp2",2090,11070.01,13256.86,NA
"72","ARM","rcp60","ssp2",2100,13008.08,16299.54,NA
"73","AUS","rcp60","ssp2",2025,42814.63,42638.57,NA
"74","AUS","rcp60","ssp2",2030,45209.72,44882.51,NA
"75","AUS","rcp60","ssp2",2035,47579.41,47043.88,NA
"76","AUS","rcp60","ssp2",2040,50040.61,49231.53,NA
"77","AUS","rcp60","ssp2",2045,52449.09,51298.84,NA
"78","AUS","rcp60","ssp2",2050,54802.17,53238.51,NA
"79","AUS","rcp60","ssp2",2055,57400.01,55335.15,NA
"80","AUS","rcp60","ssp2",2060,60408.06,57732.68,NA
"81","AUS","rcp60","ssp2",2070,67289.12,63011.08,NA
"82","AUS","rcp60","ssp2",2080,74745.89,68296.03,NA
"83","AUS","rcp60","ssp2",2090,83170.41,73821.81,NA
"84","AUS","rcp60","ssp2",2100,93232.56,80110.67,NA
"85","AUT","rcp60","ssp2",2025,45717.89,46035.61,NA
"86","AUT","rcp60","ssp2",2030,48596.67,49186.67,NA
"87","AUT","rcp60","ssp2",2035,51913.4,52887.32,NA
"88","AUT","rcp60","ssp2",2040,55601.7,57092.81,NA
"89","AUT","rcp60","ssp2",2045,59380.7,61538.28,NA
"90","AUT","rcp60","ssp2",2050,63247.75,66239.86,NA
"91","AUT","rcp60","ssp2",2055,67365.3,71392.44,NA
"92","AUT","rcp60","ssp2",2060,71898.4,77203.84,NA
"93","AUT","rcp60","ssp2",2070,81938.25,90667.99,NA
"94","AUT","rcp60","ssp2",2080,92744.2,106284.94,NA
"95","AUT","rcp60","ssp2",2090,104397.1,124531.36,NA
"96","AUT","rcp60","ssp2",2100,117816.43,146984.38,NA
"97","AZE","rcp60","ssp2",2025,2393.6,2392.22,NA
"98","AZE","rcp60","ssp2",2030,2488.3,2485.62,NA
"99","AZE","rcp60","ssp2",2035,2558.27,2553.77,NA
"100","AZE","rcp60","ssp2",2040,2677.2,2670.01,NA
"101","AZE","rcp60","ssp2",2045,2848.28,2837.45,NA
"102","AZE","rcp60","ssp2",2050,3072.82,3057.1,NA
"103","AZE","rcp60","ssp2",2055,3371.59,3349.13,NA
"104","AZE","rcp60","ssp2",2060,3768.2,3736.34,NA
"105","AZE","rcp60","ssp2",2070,4755.24,4694.46,NA
"106","AZE","rcp60","ssp2",2080,5898.39,5790.13,NA
"107","AZE","rcp60","ssp2",2090,7334.78,7149.28,NA
"108","AZE","rcp60","ssp2",2100,9054.07,8747.97,NA
"109","BDI","rcp60","ssp2",2025,288.36,285.77,NA
"110","BDI","rcp60","ssp2",2030,375.92,370.02,NA
"111","BDI","rcp60","ssp2",2035,493.8,481.86,NA
"112","BDI","rcp60","ssp2",2040,650.41,628,NA
"113","BDI","rcp60","ssp2",2045,852.76,813.14,NA
"114","BDI","rcp60","ssp2",2050,1111.68,1044.78,NA
"115","BDI","rcp60","ssp2",2055,1443.21,1334.22,NA
"116","BDI","rcp60","ssp2",2060,1864.07,1691.79,NA
"117","BDI","rcp60","ssp2",2070,3018.78,2624.43,NA
"118","BDI","rcp60","ssp2",2080,4639.57,3831.55,NA
"119","BDI","rcp60","ssp2",2090,6824.72,5308.9,NA
"120","BDI","rcp60","ssp2",2100,9722.03,7062.2,NA
"121","BEL","rcp60","ssp2",2025,43173.99,43301.63,NA
"122","BEL","rcp60","ssp2",2030,46690.54,46930.38,NA
"123","BEL","rcp60","ssp2",2035,50602.99,51002.71,NA
"124","BEL","rcp60","ssp2",2040,54675.09,55290.02,NA
"125","BEL","rcp60","ssp2",2045,58777.67,59668.95,NA
"126","BEL","rcp60","ssp2",2050,62993.4,64231.28,NA
"127","BEL","rcp60","ssp2",2055,67450.93,69117.05,NA
"128","BEL","rcp60","ssp2",2060,72177.59,74365.23,NA
"129","BEL","rcp60","ssp2",2070,81989.65,85531.03,NA
"130","BEL","rcp60","ssp2",2080,92233.84,97609.77,NA
"131","BEL","rcp60","ssp2",2090,103454.87,111271.61,NA
"132","BEL","rcp60","ssp2",2100,116299.41,127342.27,NA
"133","BEN","rcp60","ssp2",2025,806.29,794.64,NA
"134","BEN","rcp60","ssp2",2030,962.5,938.34,NA
"135","BEN","rcp60","ssp2",2035,1164.27,1119.4,NA
"136","BEN","rcp60","ssp2",2040,1428.21,1350.17,NA
"137","BEN","rcp60","ssp2",2045,1768.23,1638.67,NA
"138","BEN","rcp60","ssp2",2050,2200.98,1993.48,NA
"139","BEN","rcp60","ssp2",2055,2743.85,2421.4,NA
"140","BEN","rcp60","ssp2",2060,3413.22,2925.75,NA
"141","BEN","rcp60","ssp2",2070,5194.1,4161.35,NA
"142","BEN","rcp60","ssp2",2080,7669.68,5671.09,NA
"143","BEN","rcp60","ssp2",2090,11001.12,7411.78,NA
"144","BEN","rcp60","ssp2",2100,15366.78,9311.93,NA
"145","BFA","rcp60","ssp2",2025,729.07,716.48,NA
"146","BFA","rcp60","ssp2",2030,891.4,864.62,NA
"147","BFA","rcp60","ssp2",2035,1096.33,1045.74,NA
"148","BFA","rcp60","ssp2",2040,1362.21,1273.13,NA
"149","BFA","rcp60","ssp2",2045,1703.36,1554.16,NA
"150","BFA","rcp60","ssp2",2050,2134.57,1894.33,NA
"151","BFA","rcp60","ssp2",2055,2671.08,2297.04,NA
"152","BFA","rcp60","ssp2",2060,3329.25,2763.98,NA
"153","BFA","rcp60","ssp2",2070,5064.08,3873.84,NA
"154","BFA","rcp60","ssp2",2080,7418.47,5148.44,NA
"155","BFA","rcp60","ssp2",2090,10437.46,6468.84,NA
"156","BFA","rcp60","ssp2",2100,14215.85,7743.98,NA
"157","BGD","rcp60","ssp2",2025,950.19,936.38,NA
"158","BGD","rcp60","ssp2",2030,1173.38,1143.55,NA
"159","BGD","rcp60","ssp2",2035,1431.1,1374.96,NA
"160","BGD","rcp60","ssp2",2040,1735.11,1638.24,NA
"161","BGD","rcp60","ssp2",2045,2089.44,1932.52,NA
"162","BGD","rcp60","ssp2",2050,2502.91,2260.39,NA
"163","BGD","rcp60","ssp2",2055,2987.32,2625.8,NA
"164","BGD","rcp60","ssp2",2060,3549.03,3026.31,NA
"165","BGD","rcp60","ssp2",2070,4926.58,3914.78,NA
"166","BGD","rcp60","ssp2",2080,6660.65,4866.59,NA
"167","BGD","rcp60","ssp2",2090,8753.62,5802.33,NA
"168","BGD","rcp60","ssp2",2100,11262.12,6681.27,NA
"169","BGR","rcp60","ssp2",2025,6739.21,6767.22,NA
"170","BGR","rcp60","ssp2",2030,7895.8,7952.91,NA
"171","BGR","rcp60","ssp2",2035,9019.34,9120.06,NA
"172","BGR","rcp60","ssp2",2040,10085.61,10246.01,NA
"173","BGR","rcp60","ssp2",2045,11104.34,11342.47,NA
"174","BGR","rcp60","ssp2",2050,12128.44,12465.35,NA
"175","BGR","rcp60","ssp2",2055,13229.17,13690.99,NA
"176","BGR","rcp60","ssp2",2060,14420.86,15038.19,NA
"177","BGR","rcp60","ssp2",2070,16806.63,17830.87,NA
"178","BGR","rcp60","ssp2",2080,19104.95,20674.37,NA
"179","BGR","rcp60","ssp2",2090,21455.08,23737.25,NA
"180","BGR","rcp60","ssp2",2100,23905.64,27094.24,NA
"181","BHS","rcp60","ssp2",2025,27968.24,27622.72,NA
"182","BHS","rcp60","ssp2",2030,29343.71,28710.81,NA
"183","BHS","rcp60","ssp2",2035,30794.15,29770.57,NA
"184","BHS","rcp60","ssp2",2040,32381.31,30850.32,NA
"185","BHS","rcp60","ssp2",2045,34026,31861.65,NA
"186","BHS","rcp60","ssp2",2050,35670.05,32740.94,NA
"187","BHS","rcp60","ssp2",2055,37437.65,33594.33,NA
"188","BHS","rcp60","ssp2",2060,39414.78,34484.69,NA
"189","BHS","rcp60","ssp2",2070,44259.75,36518.2,NA
"190","BHS","rcp60","ssp2",2080,49578.1,38158.84,NA
"191","BHS","rcp60","ssp2",2090,55215.14,39209.02,NA
"192","BHS","rcp60","ssp2",2100,61324.81,39742.93,NA
"193","BIH","rcp60","ssp2",2025,4955.85,4980.43,NA
"194","BIH","rcp60","ssp2",2030,5862.13,5912.81,NA
"195","BIH","rcp60","ssp2",2035,6808.41,6899.19,NA
"196","BIH","rcp60","ssp2",2040,7758.99,7906.55,NA
"197","BIH","rcp60","ssp2",2045,8663.2,8885.88,NA
"198","BIH","rcp60","ssp2",2050,9528.16,9846.31,NA
"199","BIH","rcp60","ssp2",2055,10418.26,10856.43,NA
"200","BIH","rcp60","ssp2",2060,11306.25,11891.11,NA
"201","BIH","rcp60","ssp2",2070,13098.11,14068.72,NA
"202","BIH","rcp60","ssp2",2080,14850.79,16343.71,NA
"203","BIH","rcp60","ssp2",2090,16556.19,18722.39,NA
"204","BIH","rcp60","ssp2",2100,18333.28,21367.68,NA
"205","BLR","rcp60","ssp2",2025,5606.28,5664.24,NA
"206","BLR","rcp60","ssp2",2030,6445.18,6562.09,NA
"207","BLR","rcp60","ssp2",2035,7271.78,7476.61,NA
"208","BLR","rcp60","ssp2",2040,8046.65,8372.33,NA
"209","BLR","rcp60","ssp2",2045,8756.49,9239.15,NA
"210","BLR","rcp60","ssp2",2050,9461.71,10144.61,NA
"211","BLR","rcp60","ssp2",2055,10262.02,11202.13,NA
"212","BLR","rcp60","ssp2",2060,11178.84,12448.32,NA
"213","BLR","rcp60","ssp2",2070,13086.11,15252.85,NA
"214","BLR","rcp60","ssp2",2080,14908.72,18328.3,NA
"215","BLR","rcp60","ssp2",2090,16891.71,22063.24,NA
"216","BLR","rcp60","ssp2",2100,19043.79,26622.18,NA
"217","BLZ","rcp60","ssp2",2025,5196.17,5124.56,NA
"218","BLZ","rcp60","ssp2",2030,5913.94,5772.2,NA
"219","BLZ","rcp60","ssp2",2035,6745.37,6496.81,NA
"220","BLZ","rcp60","ssp2",2040,7723.26,7319.17,NA
"221","BLZ","rcp60","ssp2",2045,8836.99,8215.97,NA
"222","BLZ","rcp60","ssp2",2050,10100.69,9185.86,NA
"223","BLZ","rcp60","ssp2",2055,11543.64,10238.67,NA
"224","BLZ","rcp60","ssp2",2060,13192.08,11377.8,NA
"225","BLZ","rcp60","ssp2",2070,17100.37,13820.61,NA
"226","BLZ","rcp60","ssp2",2080,21870.47,16361.77,NA
"227","BLZ","rcp60","ssp2",2090,27520.89,18827.86,NA
"228","BLZ","rcp60","ssp2",2100,34056.42,21045.76,NA
"229","BOL","rcp60","ssp2",2025,1830.33,1820.71,NA
"230","BOL","rcp60","ssp2",2030,2204.92,2184.61,NA
"231","BOL","rcp60","ssp2",2035,2641.58,2603.83,NA
"232","BOL","rcp60","ssp2",2040,3156.51,3091.89,NA
"233","BOL","rcp60","ssp2",2045,3756.49,3652.2,NA
"234","BOL","rcp60","ssp2",2050,4448.87,4288.02,NA
"235","BOL","rcp60","ssp2",2055,5238.94,4999.71,NA
"236","BOL","rcp60","ssp2",2060,6129.76,5785.23,NA
"237","BOL","rcp60","ssp2",2070,8220.68,7559.12,NA
"238","BOL","rcp60","ssp2",2080,10746.59,9579.61,NA
"239","BOL","rcp60","ssp2",2090,13656.04,11737.15,NA
"240","BOL","rcp60","ssp2",2100,16973.6,13990.28,NA
"241","BRA","rcp60","ssp2",2025,7282.1,7203.91,NA
"242","BRA","rcp60","ssp2",2030,8044.58,7893.39,NA
"243","BRA","rcp60","ssp2",2035,8822.82,8566.67,NA
"244","BRA","rcp60","ssp2",2040,9643.32,9244.17,NA
"245","BRA","rcp60","ssp2",2045,10502.39,9916.28,NA
"246","BRA","rcp60","ssp2",2050,11428.78,10603.52,NA
"247","BRA","rcp60","ssp2",2055,12441.4,11315.64,NA
"248","BRA","rcp60","ssp2",2060,13523.12,12028.37,NA
"249","BRA","rcp60","ssp2",2070,15941.4,13463.94,NA
"250","BRA","rcp60","ssp2",2080,18774.03,14912.25,NA
"251","BRA","rcp60","ssp2",2090,22006.03,16277.06,NA
"252","BRA","rcp60","ssp2",2100,25735.33,17549.61,NA
"253","BRN","rcp60","ssp2",2025,32660.88,32250.55,NA
"254","BRN","rcp60","ssp2",2030,34873.81,34109.28,NA
"255","BRN","rcp60","ssp2",2035,37166.18,35910.84,NA
"256","BRN","rcp60","ssp2",2040,39500.62,37602.9,NA
"257","BRN","rcp60","ssp2",2045,41885.15,39178.53,NA
"258","BRN","rcp60","ssp2",2050,44434.27,40729.38,NA
"259","BRN","rcp60","ssp2",2055,47198.18,42281.08,NA
"260","BRN","rcp60","ssp2",2060,50118.66,43759.65,NA
"261","BRN","rcp60","ssp2",2070,56060.58,46118.3,NA
"262","BRN","rcp60","ssp2",2080,61973.55,47508.67,NA
"263","BRN","rcp60","ssp2",2090,67594.69,47753.24,NA
"264","BRN","rcp60","ssp2",2100,73196.78,47126.24,NA
"265","BTN","rcp60","ssp2",2025,4009.09,4009.34,NA
"266","BTN","rcp60","ssp2",2030,5045,5045.39,NA
"267","BTN","rcp60","ssp2",2035,6167.38,6167.81,NA
"268","BTN","rcp60","ssp2",2040,7378.97,7379.16,NA
"269","BTN","rcp60","ssp2",2045,8653.51,8652.81,NA
"270","BTN","rcp60","ssp2",2050,9981.72,9979.17,NA
"271","BTN","rcp60","ssp2",2055,11381.92,11376.09,NA
"272","BTN","rcp60","ssp2",2060,12878.72,12867.57,NA
"273","BTN","rcp60","ssp2",2070,16076.26,16045.81,NA
"274","BTN","rcp60","ssp2",2080,19346.72,19283.24,NA
"275","BTN","rcp60","ssp2",2090,22620.63,22503.02,NA
"276","BTN","rcp60","ssp2",2100,25939.84,25729.41,NA
"277","BWA","rcp60","ssp2",2025,8497.72,8401.69,NA
"278","BWA","rcp60","ssp2",2030,9453.73,9266.6,NA
"279","BWA","rcp60","ssp2",2035,10414.38,10095.67,NA
"280","BWA","rcp60","ssp2",2040,11416.25,10917.86,NA
"281","BWA","rcp60","ssp2",2045,12445.25,11712.4,NA
"282","BWA","rcp60","ssp2",2050,13508.81,12479.37,NA
"283","BWA","rcp60","ssp2",2055,14623.08,13226.37,NA
"284","BWA","rcp60","ssp2",2060,15801.07,13957.48,NA
"285","BWA","rcp60","ssp2",2070,18350.43,15339.29,NA
"286","BWA","rcp60","ssp2",2080,21118.53,16536.33,NA
"287","BWA","rcp60","ssp2",2090,24097.69,17485.56,NA
"288","BWA","rcp60","ssp2",2100,27258.71,18128.01,NA
"289","CAF","rcp60","ssp2",2025,649.36,639.36,NA
"290","CAF","rcp60","ssp2",2030,801.99,780.49,NA
"291","CAF","rcp60","ssp2",2035,998.69,957.53,NA
"292","CAF","rcp60","ssp2",2040,1256.78,1183.31,NA
"293","CAF","rcp60","ssp2",2045,1591.91,1467.1,NA
"294","CAF","rcp60","ssp2",2050,2020.14,1816.31,NA
"295","CAF","rcp60","ssp2",2055,2560.12,2238.13,NA
"296","CAF","rcp60","ssp2",2060,3232.64,2738.55,NA
"297","CAF","rcp60","ssp2",2070,5065.67,3988.41,NA
"298","CAF","rcp60","ssp2",2080,7711.16,5563.97,NA
"299","CAF","rcp60","ssp2",2090,11365.93,7409.61,NA
"300","CAF","rcp60","ssp2",2100,16281.38,9455.6,NA
"301","CAN","rcp60","ssp2",2025,42582.57,43123.11,NA
"302","CAN","rcp60","ssp2",2030,44967.8,45968.81,NA
"303","CAN","rcp60","ssp2",2035,47608.43,49253.18,NA
"304","CAN","rcp60","ssp2",2040,50275.18,52769.13,NA
"305","CAN","rcp60","ssp2",2045,52778,56343.25,NA
"306","CAN","rcp60","ssp2",2050,55154.58,60035.37,NA
"307","CAN","rcp60","ssp2",2055,57670.18,64156.79,NA
"308","CAN","rcp60","ssp2",2060,60613.11,69081.7,NA
"309","CAN","rcp60","ssp2",2070,67734.91,81598.34,NA
"310","CAN","rcp60","ssp2",2080,75887.6,97531.87,NA
"311","CAN","rcp60","ssp2",2090,85228.57,117939.98,NA
"312","CAN","rcp60","ssp2",2100,96536.13,144930.18,NA
"313","CHE","rcp60","ssp2",2025,63355.98,63864.31,NA
"314","CHE","rcp60","ssp2",2030,66811.57,67748.48,NA
"315","CHE","rcp60","ssp2",2035,70974.34,72512.8,NA
"316","CHE","rcp60","ssp2",2040,76004.09,78363.81,NA
"317","CHE","rcp60","ssp2",2045,81626.62,85066.35,NA
"318","CHE","rcp60","ssp2",2050,87690.15,92508.88,NA
"319","CHE","rcp60","ssp2",2055,94202.24,100753.7,NA
"320","CHE","rcp60","ssp2",2060,101287.74,109985.62,NA
"321","CHE","rcp60","ssp2",2070,116892.38,131407.8,NA
"322","CHE","rcp60","ssp2",2080,133716.93,156594.08,NA
"323","CHE","rcp60","ssp2",2090,152133.59,186674.55,NA
"324","CHE","rcp60","ssp2",2100,172999.64,223605.87,NA
"325","CHL","rcp60","ssp2",2025,12236.56,12271.11,NA
"326","CHL","rcp60","ssp2",2030,13723.79,13791.53,NA
"327","CHL","rcp60","ssp2",2035,15284.09,15400.37,NA
"328","CHL","rcp60","ssp2",2040,16985.18,17169.65,NA
"329","CHL","rcp60","ssp2",2045,18793.3,19069.39,NA
"330","CHL","rcp60","ssp2",2050,20662.6,21057.37,NA
"331","CHL","rcp60","ssp2",2055,22626.15,23171.19,NA
"332","CHL","rcp60","ssp2",2060,24747.11,25480.2,NA
"333","CHL","rcp60","ssp2",2070,29435.87,30685.17,NA
"334","CHL","rcp60","ssp2",2080,34652.69,36645.86,NA
"335","CHL","rcp60","ssp2",2090,40460.19,43486.94,NA
"336","CHL","rcp60","ssp2",2100,47034.41,51476.77,NA
"337","CHN","rcp60","ssp2",2025,4808.61,4798.32,NA
"338","CHN","rcp60","ssp2",2030,5757.04,5734.9,NA
"339","CHN","rcp60","ssp2",2035,6643.75,6603.22,NA
"340","CHN","rcp60","ssp2",2040,7514.95,7448.49,NA
"341","CHN","rcp60","ssp2",2045,8350.5,8248.37,NA
"342","CHN","rcp60","ssp2",2050,9124.82,8976.73,NA
"343","CHN","rcp60","ssp2",2055,9882.63,9676.53,NA
"344","CHN","rcp60","ssp2",2060,10654.58,10377.69,NA
"345","CHN","rcp60","ssp2",2070,12211.57,11745.94,NA
"346","CHN","rcp60","ssp2",2080,13809.74,13077.38,NA
"347","CHN","rcp60","ssp2",2090,15443.62,14358.3,NA
"348","CHN","rcp60","ssp2",2100,17116.87,15568.37,NA
"349","CIV","rcp60","ssp2",2025,2395.77,2364.13,NA
"350","CIV","rcp60","ssp2",2030,3291.78,3215.88,NA
"351","CIV","rcp60","ssp2",2035,4375.77,4219.95,NA
"352","CIV","rcp60","ssp2",2040,5675.43,5387.27,NA
"353","CIV","rcp60","ssp2",2045,7197.79,6705.03,NA
"354","CIV","rcp60","ssp2",2050,8955.07,8162.21,NA
"355","CIV","rcp60","ssp2",2055,10958.4,9743.61,NA
"356","CIV","rcp60","ssp2",2060,13197.85,11412.84,NA
"357","CIV","rcp60","ssp2",2070,18379.18,14897.69,NA
"358","CIV","rcp60","ssp2",2080,24533.56,18413.59,NA
"359","CIV","rcp60","ssp2",2090,31640.06,21717.87,NA
"360","CIV","rcp60","ssp2",2100,39664.21,24587.53,NA
"361","CMR","rcp60","ssp2",2025,1609.91,1589.31,NA
"362","CMR","rcp60","ssp2",2030,1983.79,1939.54,NA
"363","CMR","rcp60","ssp2",2035,2437.86,2354.12,NA
"364","CMR","rcp60","ssp2",2040,2992.53,2846.36,NA
"365","CMR","rcp60","ssp2",2045,3661.96,3421.35,NA
"366","CMR","rcp60","ssp2",2050,4462.28,4083.84,NA
"367","CMR","rcp60","ssp2",2055,5412.36,4838.53,NA
"368","CMR","rcp60","ssp2",2060,6525.85,5682.71,NA
"369","CMR","rcp60","ssp2",2070,9245.94,7573.99,NA
"370","CMR","rcp60","ssp2",2080,12684.49,9662.29,NA
"371","CMR","rcp60","ssp2",2090,16948.61,11867.1,NA
"372","CMR","rcp60","ssp2",2100,22100.32,14056.47,NA
"373","COD","rcp60","ssp2",2025,591.71,584.43,NA
"374","COD","rcp60","ssp2",2030,832.22,814.32,NA
"375","COD","rcp60","ssp2",2035,1147.27,1109.15,NA
"376","COD","rcp60","ssp2",2040,1564.15,1490.08,NA
"377","COD","rcp60","ssp2",2045,2103.97,1969.72,NA
"378","COD","rcp60","ssp2",2050,2789.09,2559.02,NA
"379","COD","rcp60","ssp2",2055,3648.48,3271.65,NA
"380","COD","rcp60","ssp2",2060,4709.35,4115.34,NA
"381","COD","rcp60","ssp2",2070,7548.96,6210.87,NA
"382","COD","rcp60","ssp2",2080,11470.98,8784.54,NA
"383","COD","rcp60","ssp2",2090,16566.98,11670.5,NA
"384","COD","rcp60","ssp2",2100,23095.77,14789.13,NA
"385","COG","rcp60","ssp2",2025,3139.71,3099.31,NA
"386","COG","rcp60","ssp2",2030,3736.13,3652.15,NA
"387","COG","rcp60","ssp2",2035,4404.99,4252.25,NA
"388","COG","rcp60","ssp2",2040,5170.61,4915.35,NA
"389","COG","rcp60","ssp2",2045,6046.01,5644.24,NA
"390","COG","rcp60","ssp2",2050,7044.85,6440.35,NA
"391","COG","rcp60","ssp2",2055,8180.48,7302.78,NA
"392","COG","rcp60","ssp2",2060,9453.44,8217.33,NA
"393","COG","rcp60","ssp2",2070,12390.77,10124.04,NA
"394","COG","rcp60","ssp2",2080,15903.67,12074.08,NA
"395","COG","rcp60","ssp2",2090,20060.47,13986.73,NA
"396","COG","rcp60","ssp2",2100,24858.39,15729.21,NA
"397","COL","rcp60","ssp2",2025,5134.7,5089.2,NA
"398","COL","rcp60","ssp2",2030,5774.22,5684.73,NA
"399","COL","rcp60","ssp2",2035,6503.04,6347.38,NA
"400","COL","rcp60","ssp2",2040,7321.13,7070.96,NA
"401","COL","rcp60","ssp2",2045,8230.46,7850.64,NA
"402","COL","rcp60","ssp2",2050,9242.36,8689.67,NA
"403","COL","rcp60","ssp2",2055,10359.72,9582.26,NA
"404","COL","rcp60","ssp2",2060,11592.31,10527.76,NA
"405","COL","rcp60","ssp2",2070,14406.39,12537.84,NA
"406","COL","rcp60","ssp2",2080,17689.3,14634.57,NA
"407","COL","rcp60","ssp2",2090,21398.17,16691.26,NA
"408","COL","rcp60","ssp2",2100,25530.09,18620.8,NA
"409","COM","rcp60","ssp2",2025,1049.9,1038.8,NA
"410","COM","rcp60","ssp2",2030,1339.17,1314.53,NA
"411","COM","rcp60","ssp2",2035,1706.36,1658.04,NA
"412","COM","rcp60","ssp2",2040,2177.03,2089.33,NA
"413","COM","rcp60","ssp2",2045,2782.26,2631.39,NA
"414","COM","rcp60","ssp2",2050,3556.36,3307.21,NA
"415","COM","rcp60","ssp2",2055,4525.96,4129.01,NA
"416","COM","rcp60","ssp2",2060,5703.92,5093.1,NA
"417","COM","rcp60","ssp2",2070,8724.66,7410.33,NA
"418","COM","rcp60","ssp2",2080,12848.92,10283.66,NA
"419","COM","rcp60","ssp2",2090,18339.7,13698.88,NA
"420","COM","rcp60","ssp2",2100,25291.44,17460.2,NA
"421","CPV","rcp60","ssp2",2025,3721.26,3692.62,NA
"422","CPV","rcp60","ssp2",2030,4366.65,4307.8,NA
"423","CPV","rcp60","ssp2",2035,5094.52,4988.37,NA
"424","CPV","rcp60","ssp2",2040,5917.02,5741.03,NA
