"","iso","rcp","ssp","year","GDPcapNoCC","GDPcapCC","pct.diff","growth.nocc","growth.cc"
"34","ARM","rcp26","ssp2",2040,4140.85,4309.48,4.07,14.0098733208334,15.3729593120693
"35","ARM","rcp26","ssp2",2045,4653.12,4910.45,5.53,12.3711315309659,13.9453019853904
"36","ARM","rcp26","ssp2",2050,5172.78,5546.32,7.22,11.1679905095936,12.9493223635308
"37","AUS","rcp26","ssp2",2025,42814.63,42540.93,-0.64,6.49745824201436,6.12466107083779
"38","AUS","rcp26","ssp2",2030,45209.72,44699.81,-1.13,5.59409248661031,5.07483028697303
"39","AUS","rcp26","ssp2",2035,47579.41,46747.32,-1.75,5.24154982601087,4.58057875413789
"40","AUS","rcp26","ssp2",2040,50040.61,48787.87,-2.5,5.17282580847471,4.36506306671699
"41","AUS","rcp26","ssp2",2045,52449.09,50664.24,-3.4,4.81305084010766,3.84597646915103
"42","AUS","rcp26","ssp2",2050,54802.17,52367.17,-4.44,4.48640767647256,3.36120703675808
"43","AUT","rcp26","ssp2",2025,45717.89,46282.61,1.24,6.16251695729572,6.86645194524996
"44","AUT","rcp26","ssp2",2030,48596.67,49643.53,2.15,6.2968347839325,7.26173394283511
"45","AUT","rcp26","ssp2",2035,51913.4,53637.95,3.32,6.82501496501716,8.04620461115476
"46","AUT","rcp26","ssp2",2040,55601.7,58240.01,4.75,7.10471670127558,8.57985810419676
"47","AUT","rcp26","ssp2",2045,59380.7,63196.89,6.43,6.7965547815984,8.51112491223816
"48","AUT","rcp26","ssp2",2050,63247.75,68546.47,8.38,6.51230113488053,8.46494186660135
"49","AZE","rcp26","ssp2",2025,2393.6,2391.35,-0.09,6.71755248714851,6.65956004353178
"50","AZE","rcp26","ssp2",2030,2488.3,2483.79,-0.18,3.95638368983958,3.86559892947499
"51","AZE","rcp26","ssp2",2035,2558.27,2550.61,-0.3,2.8119599726721,2.69024353910758
"52","AZE","rcp26","ssp2",2040,2677.2,2665.14,-0.45,4.64884472710073,4.49029839920645
"53","AZE","rcp26","ssp2",2045,2848.28,2830.07,-0.64,6.39025847900793,6.18841786923015
"54","AZE","rcp26","ssp2",2050,3072.82,3046.26,-0.86,7.88335416461865,7.63903366347829
"55","BDI","rcp26","ssp2",2025,288.36,283.91,-1.54,28.5084005526093,27.4281867145422
"56","BDI","rcp26","ssp2",2030,375.92,365.82,-2.69,30.3648217505895,28.8506921207425
"57","BDI","rcp26","ssp2",2035,493.8,473.39,-4.13,31.3577356884444,29.4051719424854
"58","BDI","rcp26","ssp2",2040,650.41,612.18,-5.88,31.7152693398137,29.3183210460719
"59","BDI","rcp26","ssp2",2045,852.76,785.35,-7.9,31.1111452775941,28.2874318011043
"60","BDI","rcp26","ssp2",2050,1111.68,998.29,-10.2,30.3625873633848,27.1140255936843
"61","BEL","rcp26","ssp2",2025,43173.99,43399.52,0.52,7.37958096236739,7.67949365267024
"62","BEL","rcp26","ssp2",2030,46690.54,47112.67,0.9,8.14506604555197,8.55573978698382
"63","BEL","rcp26","ssp2",2035,50602.99,51303.59,1.38,8.37953469803518,8.89552640510503
"64","BEL","rcp26","ssp2",2040,54675.09,55747.74,1.96,8.04715294491491,8.66245422591285
"65","BEL","rcp26","ssp2",2045,58777.67,60325.91,2.63,7.50356332289531,8.21229703661531
"66","BEL","rcp26","ssp2",2050,62993.4,65134.43,3.4,7.17233262223563,7.97090338131658
"67","BEN","rcp26","ssp2",2025,806.29,785.98,-2.52,18.0391467931544,16.4207844531343
"68","BEN","rcp26","ssp2",2030,962.5,920.49,-4.36,19.3739225340758,17.1136670144278
"69","BEN","rcp26","ssp2",2035,1164.27,1086.58,-6.67,20.9631168831169,18.0436506643201
"70","BEN","rcp26","ssp2",2040,1428.21,1293.81,-9.41,22.6699992269834,19.0717664599017
"71","BEN","rcp26","ssp2",2045,1768.23,1546.52,-12.54,23.8074232780894,19.5322342538704
"72","BEN","rcp26","ssp2",2050,2200.98,1848.6,-16.01,24.4736261685414,19.5328867392598
"73","BFA","rcp26","ssp2",2025,729.07,706.88,-3.04,22.4381150707016,20.4019758133197
"74","BFA","rcp26","ssp2",2030,891.4,844.38,-5.27,22.2653517494891,19.451674966048
"75","BFA","rcp26","ssp2",2035,1096.33,1007.97,-8.06,22.9896791563832,19.3739785404676
"76","BFA","rcp26","ssp2",2040,1362.21,1207.66,-11.35,24.2518219879051,19.8111054892507
"77","BFA","rcp26","ssp2",2045,1703.36,1446.59,-15.07,25.0438625468907,19.7845420068562
"78","BFA","rcp26","ssp2",2050,2134.57,1725,-19.19,25.3152592523014,19.2459508222786
"79","BGD","rcp26","ssp2",2025,950.19,928.43,-2.29,26.9136758872163,25.3212569515685
"80","BGD","rcp26","ssp2",2030,1173.38,1126.49,-4,23.4889864132437,21.3327876091897
"81","BGD","rcp26","ssp2",2035,1431.1,1343.12,-6.15,21.9638991631014,19.2305302310717
"82","BGD","rcp26","ssp2",2040,1735.11,1583.88,-8.72,21.2430997135071,17.9254273631545
"83","BGD","rcp26","ssp2",2045,2089.44,1845.62,-11.67,20.4211836713523,16.5252418112483
"84","BGD","rcp26","ssp2",2050,2502.91,2128.27,-14.97,19.7885557852822,15.3146368158126
"85","BGR","rcp26","ssp2",2025,6739.21,6782.55,0.64,20.443476970974,20.8584136080314
"86","BGR","rcp26","ssp2",2030,7895.8,7983.8,1.11,17.1621006022961,17.7108904468084
"87","BGR","rcp26","ssp2",2035,9019.34,9173.44,1.71,14.2295904151574,14.9006738645758
"88","BGR","rcp26","ssp2",2040,10085.61,10330.22,2.43,11.8220401936284,12.6101004639481
"89","BGR","rcp26","ssp2",2045,11104.34,11466.19,3.26,10.1008268215804,10.9965712250078
"90","BGR","rcp26","ssp2",2050,12128.44,12638.63,4.21,9.22252020381221,10.2251925007348
"91","BHS","rcp26","ssp2",2025,27968.24,27413.35,-1.98,5.48229411460767,4.33991090513803
"92","BHS","rcp26","ssp2",2030,29343.71,28329.39,-3.46,4.91797124166554,3.34158357150805
"93","BHS","rcp26","ssp2",2035,30794.15,29157.93,-5.31,4.94293325554268,2.9246658682026
"94","BHS","rcp26","ssp2",2040,32381.31,29942.2,-7.53,5.1540958266424,2.68973140411545
"95","BHS","rcp26","ssp2",2045,34026,30592.66,-10.09,5.0791336113332,2.17238546265805
"96","BHS","rcp26","ssp2",2050,35670.05,31047.4,-12.96,4.83174631164405,1.48643498146288
"97","BIH","rcp26","ssp2",2025,4955.85,4995.46,0.8,20.9156785243742,21.4329469876706
"98","BIH","rcp26","ssp2",2030,5862.13,5943.42,1.39,18.2870748711119,18.9764305989839
"99","BIH","rcp26","ssp2",2035,6808.41,6953.5,2.13,16.1422554600461,16.9949288456814
"100","BIH","rcp26","ssp2",2040,7758.99,7994.05,3.03,13.9618501235971,14.9644064140361
"101","BIH","rcp26","ssp2",2045,8663.2,9017.08,4.08,11.653707505745,12.7973930610892
"102","BIH","rcp26","ssp2",2050,9528.16,10032.87,5.3,9.98430141287283,11.2651767534501
"103","BLR","rcp26","ssp2",2025,5606.28,5694.42,1.57,17.3281655152785,18.3211848699685
"104","BLR","rcp26","ssp2",2030,6445.18,6622.9,2.76,14.9635765605714,16.3050846267047
"105","BLR","rcp26","ssp2",2035,7271.78,7583.36,4.28,12.8250878951402,14.5021063280436
"106","BLR","rcp26","ssp2",2040,8046.65,8542.17,6.16,10.6558504245178,12.6436038906237
"107","BLR","rcp26","ssp2",2045,8756.49,9491.5,8.39,8.82155928243431,11.1134524365589
"108","BLR","rcp26","ssp2",2050,9461.71,10502.88,11,8.05368361067048,10.6556392561766
"109","BLZ","rcp26","ssp2",2025,5196.17,5077.5,-2.28,12.7954379688802,11.3953432249034
"110","BLZ","rcp26","ssp2",2030,5913.94,5679.66,-3.96,13.8134433630924,11.8593796159527
"111","BLZ","rcp26","ssp2",2035,6745.37,6335.97,-6.07,14.0588169646632,11.5554452203125
"112","BLZ","rcp26","ssp2",2040,7723.26,7060.68,-8.58,14.4972032668334,11.4380276421763
"113","BLZ","rcp26","ssp2",2045,8836.99,7824.15,-11.46,14.4204649332018,10.8129811859481
"114","BLZ","rcp26","ssp2",2050,10100.69,8617.53,-14.68,14.3001180266131,10.1401430187305
"115","BOL","rcp26","ssp2",2025,1830.33,1813.64,-0.91,21.4189525357392,20.8150975572387
"116","BOL","rcp26","ssp2",2030,2204.92,2169.61,-1.6,20.465708369529,19.6273791932247
"117","BOL","rcp26","ssp2",2035,2641.58,2575.86,-2.49,19.8038931117682,18.7245634007955
"118","BOL","rcp26","ssp2",2040,3156.51,3043.89,-3.57,19.4932578229696,18.1698539516899
"119","BOL","rcp26","ssp2",2045,3756.49,3574.63,-4.84,19.0077015437936,17.4362411256649
"120","BOL","rcp26","ssp2",2050,4448.87,4168.76,-6.3,18.4315677667184,16.6207411676173
"121","BRA","rcp26","ssp2",2025,7282.1,7157.95,-1.7,12.3907477231231,11.3438352137061
"122","BRA","rcp26","ssp2",2030,8044.58,7804.88,-2.98,10.4706060065091,9.03792286897786
"123","BRA","rcp26","ssp2",2035,8822.82,8417.36,-4.6,9.67409112719371,7.8473980381505
"124","BRA","rcp26","ssp2",2040,9643.32,9012.77,-6.54,9.29974769971506,7.07359552163623
"125","BRA","rcp26","ssp2",2045,10502.39,9579.12,-8.79,8.90844646864358,6.28386167626601
"126","BRA","rcp26","ssp2",2050,11428.78,10134.33,-11.33,8.82075413310686,5.79604389547264
"127","BRN","rcp26","ssp2",2025,32660.88,31964.97,-2.13,7.25054576118909,6.00341705063165
"128","BRN","rcp26","ssp2",2030,34873.81,33580.54,-3.71,6.77547573733469,5.05418900752918
"129","BRN","rcp26","ssp2",2035,37166.18,35050.15,-5.69,6.57332823686314,4.37637393561867
"130","BRN","rcp26","ssp2",2040,39500.62,36315.95,-8.06,6.2810867299249,3.61139681285243
"131","BRN","rcp26","ssp2",2045,41885.15,37367.28,-10.79,6.03669005701682,2.89495387013145
"132","BRN","rcp26","ssp2",2050,44434.27,38288.6,-13.83,6.08597557845679,2.46557951234342
"133","BTN","rcp26","ssp2",2025,4009.09,4009.28,0,31.9057301537166,31.9063395503851
"134","BTN","rcp26","ssp2",2030,5045,5044.93,0,25.8390308025013,25.831321334504
"135","BTN","rcp26","ssp2",2035,6167.38,6166.3,-0.02,22.2473736372646,22.2276622272261
"136","BTN","rcp26","ssp2",2040,7378.97,7375.51,-0.05,19.6451329413787,19.6099768094319
"137","BTN","rcp26","ssp2",2045,8653.51,8645.59,-0.09,17.2726003764753,17.2202329059279
"138","BTN","rcp26","ssp2",2050,9981.72,9966.35,-0.15,15.348800660079,15.2766901969675
"139","BWA","rcp26","ssp2",2025,8497.72,8335.71,-1.91,13.4487527969283,12.2646985542185
"140","BWA","rcp26","ssp2",2030,9453.73,9138.48,-3.33,11.2501941697302,9.63049338328709
"141","BWA","rcp26","ssp2",2035,10414.38,9878.54,-5.15,10.1615975916384,8.09828330313139
"142","BWA","rcp26","ssp2",2040,11416.25,10580.63,-7.32,9.62006379640459,7.10722434691764
"143","BWA","rcp26","ssp2",2045,12445.25,11220.5,-9.84,9.01346764480455,6.04756049497999
"144","BWA","rcp26","ssp2",2050,13508.81,11797.92,-12.66,8.54591109057672,5.14611648322267
"145","CAF","rcp26","ssp2",2025,649.36,632.53,-2.59,23.0384447770809,21.299812066122
"146","CAF","rcp26","ssp2",2030,801.99,765.9,-4.5,23.5046815325859,21.085165920984
"147","CAF","rcp26","ssp2",2035,998.69,929.9,-6.89,24.5264903552413,21.412717064891
"148","CAF","rcp26","ssp2",2040,1256.78,1134.54,-9.73,25.842854138922,22.0066673835896
"149","CAF","rcp26","ssp2",2045,1591.91,1385.4,-12.97,26.66576489123,22.1111639959808
"150","CAF","rcp26","ssp2",2050,2020.14,1685.08,-16.59,26.9003900974301,21.6312978201241
"151","CAN","rcp26","ssp2",2025,42582.57,43490,2.13,5.30095759233927,6.50644414191292
"152","CAN","rcp26","ssp2",2030,44967.8,46647.38,3.74,5.60142330535711,7.260013796275
"153","CAN","rcp26","ssp2",2035,47608.43,50369.07,5.8,5.87226860108788,7.97834733697799
"154","CAN","rcp26","ssp2",2040,50275.18,54468.02,8.34,5.60142394949802,8.13783141122121
"155","CAN","rcp26","ssp2",2045,52778,58788.59,11.39,4.97824174871179,7.93230596595948
"156","CAN","rcp26","ssp2",2050,55154.58,63411.76,14.97,4.50297472431695,7.86406001572755
"157","CHE","rcp26","ssp2",2025,63355.98,64189.66,1.32,5.66931145804216,6.41597743485241
"158","CHE","rcp26","ssp2",2030,66811.57,68351.21,2.3,5.45424441386591,6.48320928947124
"159","CHE","rcp26","ssp2",2035,70974.34,73504.52,3.56,6.23061245230428,7.53945687281907
"160","CHE","rcp26","ssp2",2040,76004.09,79877.05,5.1,7.08671612867411,8.66957569412058
"161","CHE","rcp26","ssp2",2045,81626.62,87258.06,6.9,7.39766767814732,9.24046393801473
"162","CHE","rcp26","ssp2",2050,87690.15,95597.13,9.02,7.42837324392459,9.55679051310562
"163","CHL","rcp26","ssp2",2025,12236.56,12286.94,0.41,14.1717237312553,14.4250594618355
"164","CHL","rcp26","ssp2",2030,13723.79,13822.24,0.72,12.1539877220395,12.4953812747519
"165","CHL","rcp26","ssp2",2035,15284.09,15453.33,1.11,11.369308332465,11.8004751762377
"166","CHL","rcp26","ssp2",2040,16985.18,17253.64,1.58,11.1298088404347,11.6499809426188
"167","CHL","rcp26","ssp2",2045,18793.3,19194.3,2.13,10.6452801795448,11.2478294435261
"168","CHL","rcp26","ssp2",2050,20662.6,21234.98,2.77,9.94662991598069,10.6316979519962
"169","CHN","rcp26","ssp2",2025,4808.61,4790.25,-0.38,27.3783727940748,27.1058266621735
"170","CHN","rcp26","ssp2",2030,5757.04,5717.36,-0.69,19.7235791632093,19.3541046918219
"171","CHN","rcp26","ssp2",2035,6643.75,6570.32,-1.11,15.4021858455039,14.9187736997495
"172","CHN","rcp26","ssp2",2040,7514.95,7393.12,-1.62,13.1130761994356,12.5229821378563
"173","CHN","rcp26","ssp2",2045,8350.5,8162.84,-2.25,11.1185037824603,10.4113013179821
"174","CHN","rcp26","ssp2",2050,9124.82,8851.34,-3,9.27273815939165,8.43456444080737
"175","CIV","rcp26","ssp2",2025,2395.77,2342.65,-2.22,41.9118474597355,40.2003674600372
"176","CIV","rcp26","ssp2",2030,3291.78,3164.66,-3.86,37.399666912934,35.0888950547457
"177","CIV","rcp26","ssp2",2035,4375.77,4115.67,-5.94,32.9302079725863,30.0509375414737
"178","CIV","rcp26","ssp2",2040,5675.43,5196.49,-8.44,29.7012868592271,26.2610947913705
"179","CIV","rcp26","ssp2",2045,7197.79,6383.56,-11.31,26.8236944161059,22.8436887206557
"180","CIV","rcp26","ssp2",2050,8955.07,7653.83,-14.53,24.4141604575849,19.8990845233694
"181","CMR","rcp26","ssp2",2025,1609.91,1575.31,-2.15,23.4073052010272,21.963890308295
"182","CMR","rcp26","ssp2",2030,1983.79,1909.63,-3.74,23.22365846538,21.222489541741
"183","CMR","rcp26","ssp2",2035,2437.86,2297.96,-5.74,22.8890154703875,20.3353529217702
"184","CMR","rcp26","ssp2",2040,2992.53,2749.3,-8.13,22.7523319632793,19.6408988842278
"185","CMR","rcp26","ssp2",2045,3661.96,3263.59,-10.88,22.3700347197856,18.7062161277416
"186","CMR","rcp26","ssp2",2050,4462.28,3839.44,-13.96,21.854962916034,17.6446796319391
"187","COD","rcp26","ssp2",2025,591.71,579.45,-2.07,44.46044921875,42.8342535988957
"188","COD","rcp26","ssp2",2030,832.22,802.17,-3.61,40.6466005306654,38.4364483561998
"189","COD","rcp26","ssp2",2035,1147.27,1083.54,-5.55,37.8565763860518,35.076106062306
"190","COD","rcp26","ssp2",2040,1564.15,1440.77,-7.89,36.3366949366758,32.9687874928475
"191","COD","rcp26","ssp2",2045,2103.97,1881.16,-10.59,34.512035290733,30.5662944120158
"192","COD","rcp26","ssp2",2050,2789.09,2409.23,-13.62,32.5632019467958,28.0715090688724
"193","COG","rcp26","ssp2",2025,3139.71,3075.77,-2.04,20.8831444841009,19.5397608248705
"194","COG","rcp26","ssp2",2030,3736.13,3603.44,-3.55,18.9960219255919,17.1557041001115
"195","COG","rcp26","ssp2",2035,4404.99,4164.29,-5.46,17.9024819800167,15.564294118953
"196","COG","rcp26","ssp2",2040,5170.61,4769.77,-7.75,17.3807432025952,14.5398135096259
"197","COG","rcp26","ssp2",2045,6046.01,5417.83,-10.39,16.9303041614046,13.5868186516331
"198","COG","rcp26","ssp2",2050,7044.85,6104.91,-13.34,16.52064750141,12.6818301792415
"199","COL","rcp26","ssp2",2025,5134.7,5062.02,-1.42,11.8966001930792,11.0318551809909
"200","COL","rcp26","ssp2",2030,5774.22,5631.27,-2.48,12.4548659123221,11.2455106854576
"201","COL","rcp26","ssp2",2035,6503.04,6254.52,-3.82,12.6219645250787,11.0676632447032
"202","COL","rcp26","ssp2",2040,7321.13,6922.79,-5.44,12.5801163763409,10.684592902413
"203","COL","rcp26","ssp2",2045,8230.46,7627.63,-7.32,12.4206235922597,10.1814441865202
"204","COL","rcp26","ssp2",2050,9242.36,8368.21,-9.46,12.2945740578291,9.70917572037447
"205","COM","rcp26","ssp2",2025,1049.9,1032.57,-1.65,26.4589330667405,25.3286239667917
"206","COM","rcp26","ssp2",2030,1339.17,1300.78,-2.87,27.5521478236022,25.9749944313703
"207","COM","rcp26","ssp2",2035,1706.36,1631.21,-4.4,27.4192223541447,25.40245083719
"208","COM","rcp26","ssp2",2040,2177.03,2041,-6.25,27.5832766825289,25.121842068158
"209","COM","rcp26","ssp2",2045,2782.26,2549.05,-8.38,27.8007193286266,24.8922097011269
"210","COM","rcp26","ssp2",2050,3556.36,3172.78,-10.79,27.8227052827557,24.469115945156
"211","CPV","rcp26","ssp2",2025,3721.26,3675.39,-1.23,18.9334134477094,18.1341604525585
"212","CPV","rcp26","ssp2",2030,4366.65,4272.52,-2.16,17.343319198336,16.2467112333657
"213","CPV","rcp26","ssp2",2035,5094.52,4924.92,-3.33,16.6688422474895,15.2696769119864
"214","CPV","rcp26","ssp2",2040,5917.02,5636.22,-4.75,16.1447987249044,14.4428741989718
"215","CPV","rcp26","ssp2",2045,6826.41,6389.56,-6.4,15.3690540170559,13.3660502961205
"216","CPV","rcp26","ssp2",2050,7823.89,7176.18,-8.28,14.6120728171909,12.3110198511322
"217","CRI","rcp26","ssp2",2025,7198.9,7090.13,-1.51,12.985953072275,12.0542212374415
"218","CRI","rcp26","ssp2",2030,8033.62,7821.47,-2.64,11.595104807679,10.3149025476261
"219","CRI","rcp26","ssp2",2035,8919.53,8556.19,-4.07,11.0275317976205,9.39363060907988
"220","CRI","rcp26","ssp2",2040,9864.5,9292.36,-5.8,10.5943923054242,8.60394638267734
"221","CRI","rcp26","ssp2",2045,10853.03,10006.44,-7.8,10.0210857113893,7.68459250394948
"222","CRI","rcp26","ssp2",2050,11891.03,10695.11,-10.06,9.56414936658242,6.88226781952423
"223","CUB","rcp26","ssp2",2025,5692.26,5584.98,-1.88,12.4548087446808,11.2987020751254
"224","CUB","rcp26","ssp2",2030,6369.46,6160.33,-3.28,11.8968564331215,10.3017378755161
"225","CUB","rcp26","ssp2",2035,7167.02,6805.47,-5.04,12.521626637109,10.4724909217526
"226","CUB","rcp26","ssp2",2040,8162.99,7579.61,-7.15,13.8965706807013,11.3752613706327
"227","CUB","rcp26","ssp2",2045,9343.31,8449.25,-9.57,14.4594076435228,11.4734135397468
"228","CUB","rcp26","ssp2",2050,10658.43,9348.1,-12.29,14.075525696996,10.6382223274255
"229","CYP","rcp26","ssp2",2025,18082.86,17831.92,-1.39,4.99062026985521,4.19651110744932
"230","CYP","rcp26","ssp2",2030,19152.3,18687.68,-2.43,5.91410871952777,4.7990345403075
"231","CYP","rcp26","ssp2",2035,20396.73,19632.9,-3.74,6.49754859729641,5.05798472576586
"232","CYP","rcp26","ssp2",2040,21746.7,20585.77,-5.34,6.61856091638219,4.8534347956746
"233","CYP","rcp26","ssp2",2045,23121.99,21457.37,-7.2,6.32413193725945,4.23399270466929
"234","CYP","rcp26","ssp2",2050,24622.41,22330.06,-9.31,6.4891473441516,4.06708743895455
"235","CZE","rcp26","ssp2",2025,18912.54,19169.07,1.36,14.2289224301944,15.0596844798744
"236","CZE","rcp26","ssp2",2030,21492.95,22000.91,2.36,13.6439103367395,14.7729649899552
"237","CZE","rcp26","ssp2",2035,24148.34,25030.23,3.65,12.3547023558888,13.7690668249631
"238","CZE","rcp26","ssp2",2040,26646.74,28038.99,5.22,10.3460527721574,12.0205048055891
"239","CZE","rcp26","ssp2",2045,29075.37,31135.52,7.09,9.11417306582343,11.0436574213265
"240","CZE","rcp26","ssp2",2050,31557.34,34474.45,9.24,8.5363316098815,10.7238613647692
"241","DEU","rcp26","ssp2",2025,41112.91,41506.06,0.96,5.1124337085598,5.65096693429368
"242","DEU","rcp26","ssp2",2030,43340.27,44060.46,1.66,5.41766564322495,6.1542820494164
"243","DEU","rcp26","ssp2",2035,46219.2,47400.69,2.56,6.64262128500815,7.58101481464334
"244","DEU","rcp26","ssp2",2040,49550.32,51354.25,3.64,7.20722124138887,8.34072246627633
"245","DEU","rcp26","ssp2",2045,52986.49,55590.27,4.91,6.93470798977685,8.24862596571851
"246","DEU","rcp26","ssp2",2050,56536.4,60144.78,6.38,6.69965117523354,8.19299852294296
"247","DJI","rcp26","ssp2",2025,1835.63,1782.04,-2.92,28.1139858041192,26.0746526303874
"248","DJI","rcp26","ssp2",2030,2341.8,2223.27,-5.06,27.574729112076,24.7598258176023
"249","DJI","rcp26","ssp2",2035,2952.65,2723.96,-7.75,26.0846357502776,22.5204316164928
"250","DJI","rcp26","ssp2",2040,3668.87,3267.88,-10.93,24.2568540124972,19.9679877824931
"251","DJI","rcp26","ssp2",2045,4492.69,3838.36,-14.56,22.4543251736911,17.4571893704787
"252","DJI","rcp26","ssp2",2050,5429.77,4420.35,-18.59,20.8578824713034,15.1624652195208
"253","DNK","rcp26","ssp2",2025,54940.6,55554.1,1.12,4.66568784171001,5.2932337553344
"254","DNK","rcp26","ssp2",2030,57625.43,58747.82,1.95,4.88678682067542,5.74884661978144
"255","DNK","rcp26","ssp2",2035,60998.43,62831.63,3.01,5.85331857827352,6.95142389964427
"256","DNK","rcp26","ssp2",2040,65215.59,68013.91,4.29,6.91355498821854,8.24788406730815
"257","DNK","rcp26","ssp2",2045,70118.08,74195.01,5.81,7.5173589627879,9.08799391183361
"258","DNK","rcp26","ssp2",2050,75348.24,81058.52,7.58,7.45907474933712,9.25063558856588
"259","DOM","rcp26","ssp2",2025,6012.32,5881.85,-2.17,13.7880195844271,12.4378727634195
"260","DOM","rcp26","ssp2",2030,6771.91,6515.69,-3.78,12.6338917422892,10.7762013652167
"261","DOM","rcp26","ssp2",2035,7593.27,7151.55,-5.82,12.1289266986714,9.75890504305761
"262","DOM","rcp26","ssp2",2040,8489.81,7789.75,-8.25,11.8070343870296,8.92393956554873
"263","DOM","rcp26","ssp2",2045,9454.12,8410.69,-11.04,11.3584402948947,7.97124426329472
"264","DOM","rcp26","ssp2",2050,10497.19,9010.96,-14.16,11.0329676373898,7.13698876073186
"265","DZA","rcp26","ssp2",2025,4297.24,4250.16,-1.1,13.9748669881231,13.2925850795284
"266","DZA","rcp26","ssp2",2030,4734.87,4643.61,-1.93,10.1839785536763,9.25729854876051
"267","DZA","rcp26","ssp2",2035,5082.27,4929.93,-3,7.33705466042364,6.16589248451099
"268","DZA","rcp26","ssp2",2040,5457.69,5223.06,-4.3,7.38685666050798,5.94592620990562
"269","DZA","rcp26","ssp2",2045,5961.77,5614.68,-5.82,9.23614203078593,7.49790352781702
"270","DZA","rcp26","ssp2",2050,6621.01,6120.58,-7.56,11.0577898845477,9.01030869078914
"271","ECU","rcp26","ssp2",2025,4344.43,4295.92,-1.12,13.890126829166,13.1973850284711
"272","ECU","rcp26","ssp2",2030,4940.69,4844.08,-1.96,13.7247003634539,12.7600141529637
"273","ECU","rcp26","ssp2",2035,5626.25,5456.15,-3.02,13.8757946764521,12.6354230318244
"274","ECU","rcp26","ssp2",2040,6427.99,6150.89,-4.31,14.2499888913575,12.7331543304345
"275","ECU","rcp26","ssp2",2045,7349.42,6921.9,-5.82,14.3346520451961,12.5349339689053
"276","ECU","rcp26","ssp2",2050,8402.93,7769.82,-7.53,14.3346005535131,12.2498158020197
