,Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025
43,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_CHN>R12_MEA,Trade|Primary Energy|Oil [Volume]|Shipped,EJ/yr,6.114698987850772e-06,0.0262019323463053,,6.862441870771521e-09
44,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_CHN>R12_NAM,Trade|Primary Energy|Biomass [Volume]|Shipped,EJ/yr,1.2728216308990108e-07,1.938605253215416e-06,1.678685285250216e-06,6.360789027319092e-06
45,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_CHN>R12_NAM,Trade|Primary Energy|Coal [Volume]|Shipped,EJ/yr,0.0141056139974298,0.0014767025536739,0.0021697280411854,0.0033972961425709
46,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_CHN>R12_NAM,Trade|Primary Energy|Oil [Volume]|Shipped,EJ/yr,0.0135929281133078,0.0108206408084739,0.0115694806940246,
47,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_CHN>R12_PAO,Trade|Primary Energy|Biomass [Volume]|Shipped,EJ/yr,0.0001565374787293,0.0001106767362744,9.982233859769268e-05,8.617584022762267e-05
48,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_CHN>R12_PAO,Trade|Primary Energy|Coal [Volume]|Shipped,EJ/yr,0.1788615583280222,0.1044252506424357,0.0319490284767199,0.03937107474242
49,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_CHN>R12_PAO,Trade|Primary Energy|Oil [Volume]|Shipped,EJ/yr,0.0126318388410866,0.0167688621988522,0.0062180564411291,
50,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_CHN>R12_PAS,Trade|Primary Energy|Biomass [Volume]|Shipped,EJ/yr,2.7015306224020335e-05,3.0595009360631964e-06,1.920687841026607e-06,1.863655641026709e-05
51,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_CHN>R12_PAS,Trade|Primary Energy|Coal [Volume]|Shipped,EJ/yr,0.2107457056172119,0.0868991915354638,0.0987032395231457,0.1698843819993555
52,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_CHN>R12_PAS,Trade|Primary Energy|Oil [Volume]|Shipped,EJ/yr,0.0498992751009262,0.0290268498865202,0.046434220926977,0.059497823584262
53,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_CHN>R12_RCPA,Trade|Primary Energy|Biomass [Volume]|Shipped,EJ/yr,2.2282798745367868e-06,6.150665757928911e-08,,
