"Period from";"Period to";Row;"Row group";"Africa & Asia (ex China)";"North America";"South America";Oceania;Europe;China;"World Reported";"Estimated Unreported"
1989-01-01;1989-12-31;"Alumina Production (tonnes)";;0;0;0;0;0;0;37465000.0;0.0
1989-01-01;1989-12-31;"Reporting Production (tonnes)";;2238131.0;5334808.0;6673080.0;11054120.0;4163106.0;0.0;29463245.0;8001755.0
1989-01-01;1989-12-31;Coal;"FUEL MIX";12804.0;0.0;2941.0;34340.0;1341.0;0;51426.0;0
1989-01-01;1989-12-31;Oil;"FUEL MIX";17323.0;3402.0;56140.0;31461.0;32523.0;0;140849.0;0
1989-01-01;1989-12-31;Gas;"FUEL MIX";0.0;69258.0;12628.0;63656.0;7182.0;0;152724.0;0
1989-01-01;1989-12-31;Electricity;"FUEL MIX";2227.0;174.0;4779.0;6942.0;7870.0;0;21992.0;0
1989-01-01;1989-12-31;Other;"FUEL MIX";0.0;0.0;0.0;0.0;597.0;0;597.0;0
1989-01-01;1989-12-31;Total;"FUEL MIX";32354.0;72834.0;76488.0;136399.0;49513.0;0;367588.0;100000.0
1990-01-01;1990-12-31;"Alumina Production (tonnes)";;0;0;0;0;0;0;38293000.0;0.0
1990-01-01;1990-12-31;"Reporting Production (tonnes)";;2131719.0;5420732.0;7460285.0;11358233.0;3921838.0;0.0;30292807.0;8000193.0
1990-01-01;1990-12-31;Coal;"FUEL MIX";14956.0;0.0;3130.0;36526.0;0.0;0;54612.0;0
1990-01-01;1990-12-31;Oil;"FUEL MIX";13896.0;3354.0;65827.0;26742.0;34099.0;0;143918.0;0
1990-01-01;1990-12-31;Gas;"FUEL MIX";0.0;67629.0;14044.0;73029.0;5074.0;0;159776.0;0
1990-01-01;1990-12-31;Electricity;"FUEL MIX";2094.0;1053.0;6410.0;8017.0;7262.0;0;24836.0;0
1990-01-01;1990-12-31;Other;"FUEL MIX";2070.0;0.0;0.0;0.0;630.0;0;2700.0;0
1990-01-01;1990-12-31;Total;"FUEL MIX";33016.0;72036.0;89411.0;144314.0;47065.0;0;385842.0;102000.0
1991-01-01;1991-12-31;"Alumina Production (tonnes)";;0;0;0;0;0;0;38624000.0;0.0
1991-01-01;1991-12-31;"Reporting Production (tonnes)";;2177571.0;5429288.0;7782175.0;11826913.0;4407367.0;0.0;31623314.0;7000686.0
1991-01-01;1991-12-31;Coal;"FUEL MIX";15928.0;0.0;3318.0;36303.0;1776.0;0;57325.0;0
1991-01-01;1991-12-31;Oil;"FUEL MIX";15461.0;3027.0;70877.0;19133.0;36943.0;0;145441.0;0
1991-01-01;1991-12-31;Gas;"FUEL MIX";15.0;67816.0;14961.0;83355.0;6304.0;0;172451.0;0
1991-01-01;1991-12-31;Electricity;"FUEL MIX";2085.0;1293.0;6390.0;8276.0;7925.0;0;25969.0;0
1991-01-01;1991-12-31;Other;"FUEL MIX";0.0;0.0;0.0;0.0;312.0;0;312.0;0
1991-01-01;1991-12-31;Total;"FUEL MIX";33489.0;72136.0;95546.0;147067.0;53260.0;0;401498.0;89000.0
1992-01-01;1992-12-31;"Alumina Production (tonnes)";;0;0;0;0;0;0;38617000.0;0.0
1992-01-01;1992-12-31;"Reporting Production (tonnes)";;2221950.0;5281651.0;7720976.0;11851557.0;4540553.0;0.0;31616687.0;7000313.0
1992-01-01;1992-12-31;Coal;"FUEL MIX";15377.0;0.0;3319.0;38410.0;0.0;0;57106.0;0
1992-01-01;1992-12-31;Oil;"FUEL MIX";15981.0;3426.0;72385.0;18475.0;38701.0;0;148968.0;0
1992-01-01;1992-12-31;Gas;"FUEL MIX";0.0;64018.0;13125.0;82964.0;7024.0;0;167131.0;0
1992-01-01;1992-12-31;Electricity;"FUEL MIX";1980.0;1323.0;6697.0;7664.0;8060.0;0;25724.0;0
1992-01-01;1992-12-31;Other;"FUEL MIX";0.0;0.0;0.0;0.0;2757.0;0;2757.0;0
1992-01-01;1992-12-31;Total;"FUEL MIX";33338.0;68767.0;95526.0;147513.0;56542.0;0;401686.0;89000.0
1993-01-01;1993-12-31;"Alumina Production (tonnes)";;0;0;0;0;0;0;39010000.0;0.0
1993-01-01;1993-12-31;"Reporting Production (tonnes)";;2287718.0;5365240.0;7894775.0;12643357.0;4819524.0;0.0;33010614.0;5999386.0
1993-01-01;1993-12-31;Coal;"FUEL MIX";17206.0;0.0;3304.0;37323.0;0.0;0;57833.0;0
1993-01-01;1993-12-31;Oil;"FUEL MIX";16716.0;2819.0;73905.0;19108.0;40966.0;0;153514.0;0
1993-01-01;1993-12-31;Gas;"FUEL MIX";0.0;63408.0;14741.0;80311.0;6624.0;0;165084.0;0
1993-01-01;1993-12-31;Electricity;"FUEL MIX";1874.0;2836.0;7623.0;7373.0;9419.0;0;29125.0;0
1993-01-01;1993-12-31;Other;"FUEL MIX";116.0;0.0;0.0;0.0;2099.0;0;2215.0;0
1993-01-01;1993-12-31;Total;"FUEL MIX";35912.0;69063.0;99573.0;144115.0;59108.0;0;407771.0;74000.0
1994-01-01;1994-12-31;"Alumina Production (tonnes)";;0;0;0;0;0;0;38253000.0;0.0
1994-01-01;1994-12-31;"Reporting Production (tonnes)";;2279393.0;4991623.0;8177524.0;12853311.0;4699911.0;0.0;33001762.0;5251238.0
1994-01-01;1994-12-31;Coal;"FUEL MIX";16092.0;0.0;3616.0;39456.0;0.0;0;59164.0;0
1994-01-01;1994-12-31;Oil;"FUEL MIX";16402.0;2225.0;77098.0;19001.0;37924.0;0;152650.0;0
1994-01-01;1994-12-31;Gas;"FUEL MIX";176.0;56160.0;16212.0;82009.0;6187.0;0;160744.0;0
1994-01-01;1994-12-31;Electricity;"FUEL MIX";1717.0;3147.0;6468.0;7350.0;9225.0;0;27907.0;0
1994-01-01;1994-12-31;Other;"FUEL MIX";188.0;0.0;0.0;0.0;1763.0;0;1951.0;0
1994-01-01;1994-12-31;Total;"FUEL MIX";34575.0;61532.0;103394.0;147816.0;55099.0;0;402416.0;64000.0
1995-01-01;1995-12-31;"Alumina Production (tonnes)";;0;0;0;0;0;0;40006000.0;0.0
1995-01-01;1995-12-31;"Reporting Production (tonnes)";;2393262.0;5157184.0;8216356.0;13244083.0;4854367.0;0.0;33865252.0;6140748.0
1995-01-01;1995-12-31;Coal;"FUEL MIX";16717.0;0.0;4000.0;40799.0;0.0;0;61516.0;0
1995-01-01;1995-12-31;Oil;"FUEL MIX";17040.0;994.0;79106.0;19451.0;40825.0;0;157416.0;0
1995-01-01;1995-12-31;Gas;"FUEL MIX";0.0;58665.0;17334.0;95068.0;6017.0;0;177084.0;0
1995-01-01;1995-12-31;Electricity;"FUEL MIX";1951.0;4952.0;4681.0;7601.0;9572.0;0;28757.0;0
1995-01-01;1995-12-31;Other;"FUEL MIX";347.0;0.0;0.0;0.0;2297.0;0;2644.0;0
1995-01-01;1995-12-31;Total;"FUEL MIX";36055.0;64611.0;105121.0;162919.0;58711.0;0;427417.0;78000.0
1996-01-01;1996-12-31;"Alumina Production (tonnes)";;0;0;0;0;0;0;41265000.0;0.0
1996-01-01;1996-12-31;"Reporting Production (tonnes)";;2225531.0;5317105.0;9309374.0;13090269.0;3975131.0;0.0;33917410.0;7347590.0
1996-01-01;1996-12-31;Coal;"FUEL MIX";17364.0;0.0;4081.0;40098.0;0.0;0;61543.0;0
1996-01-01;1996-12-31;Oil;"FUEL MIX";16901.0;2948.0;86967.0;19838.0;38380.0;0;165034.0;0
1996-01-01;1996-12-31;Gas;"FUEL MIX";0.0;61924.0;19536.0;92564.0;354.0;0;174378.0;0
1996-01-01;1996-12-31;Electricity;"FUEL MIX";1972.0;2487.0;6526.0;7367.0;7736.0;0;26088.0;0
1996-01-01;1996-12-31;Other;"FUEL MIX";385.0;0.0;0.0;0.0;1181.0;0;1566.0;0
1996-01-01;1996-12-31;Total;"FUEL MIX";36622.0;67359.0;117110.0;159867.0;47651.0;0;428609.0;93000.0
1997-01-01;1997-12-31;"Alumina Production (tonnes)";;0;0;0;0;0;0;41463000.0;0.0
1997-01-01;1997-12-31;"Reporting Production (tonnes)";;2215097.0;4537275.0;9985287.0;13512239.0;4211964.0;0.0;34461862.0;7001138.0
1997-01-01;1997-12-31;Coal;"FUEL MIX";17736.0;0.0;4144.0;39569.0;0.0;0;61449.0;0
1997-01-01;1997-12-31;Oil;"FUEL MIX";15652.0;1935.0;89054.0;19998.0;42123.0;0;168762.0;0
1997-01-01;1997-12-31;Gas;"FUEL MIX";0.0;46306.0;19566.0;98841.0;305.0;0;165018.0;0
1997-01-01;1997-12-31;Electricity;"FUEL MIX";2007.0;3285.0;7578.0;7375.0;7986.0;0;28231.0;0
1997-01-01;1997-12-31;Other;"FUEL MIX";835.0;0.0;0.0;0.0;933.0;0;1768.0;0
1997-01-01;1997-12-31;Total;"FUEL MIX";36230.0;51526.0;120342.0;165783.0;51347.0;0;425228.0;86000.0
1998-01-01;1998-12-31;"Alumina Production (tonnes)";;0;0;0;0;0;0;44605000.0;0.0
1998-01-01;1998-12-31;"Reporting Production (tonnes)";;2224190.0;4409912.0;10559433.0;13886090.0;3195479.0;3330000.0;37605104.0;6999896.0
1998-01-01;1998-12-31;Coal;"FUEL MIX";18462.0;0.0;7756.0;40460.0;0.0;98055.0;164733.0;0
1998-01-01;1998-12-31;Oil;"FUEL MIX";16838.0;2141.0;96011.0;20524.0;34359.0;6170.0;176043.0;0
1998-01-01;1998-12-31;Gas;"FUEL MIX";0.0;43054.0;17643.0;99703.0;311.0;17048.0;177759.0;0
1998-01-01;1998-12-31;Electricity;"FUEL MIX";3215.0;3423.0;6820.0;7701.0;6508.0;12678.0;40345.0;0
1998-01-01;1998-12-31;Other;"FUEL MIX";338.0;0.0;0.0;0.0;463.0;1353.0;2154.0;0
1998-01-01;1998-12-31;Total;"FUEL MIX";38853.0;48618.0;128230.0;168388.0;41641.0;135305.0;561035.0;105000.0
1999-01-01;1999-12-31;"Alumina Production (tonnes)";;0;0;0;0;0;0;46227000.0;0.0
1999-01-01;1999-12-31;"Reporting Production (tonnes)";;2345056.0;4540434.0;10828260.0;14398522.0;3275755.0;3840000.0;39228027.0;6998973.0
1999-01-01;1999-12-31;Coal;"FUEL MIX";20199.0;0.0;8634.0;42781.0;0.0;106522.0;178136.0;0
1999-01-01;1999-12-31;Oil;"FUEL MIX";16541.0;2607.0;96080.0;19821.0;35048.0;6703.0;176800.0;0
1999-01-01;1999-12-31;Gas;"FUEL MIX";0.0;44706.0;17222.0;101736.0;304.0;18520.0;182488.0;0
1999-01-01;1999-12-31;Electricity;"FUEL MIX";2970.0;3872.0;4857.0;7921.0;6390.0;13773.0;39783.0;0
1999-01-01;1999-12-31;Other;"FUEL MIX";405.0;0.0;0.0;0.0;460.0;1470.0;2335.0;0
1999-01-01;1999-12-31;Total;"FUEL MIX";40115.0;51185.0;126793.0;172259.0;42202.0;146988.0;579542.0;104000.0
2000-01-01;2000-12-31;"Alumina Production (tonnes)";;0;0;0;0;0;0;48241000.0;0.0
2000-01-01;2000-12-31;"Reporting Production (tonnes)";;2139498.0;4425984.0;11499676.0;15388140.0;3458197.0;4330000.0;41241495.0;6999505.0
2000-01-01;2000-12-31;Coal;"FUEL MIX";19115.0;0.0;7636.0;42527.0;0.0;111849.0;181127.0;0
2000-01-01;2000-12-31;Oil;"FUEL MIX";13533.0;1840.0;105256.0;18915.0;36213.0;7038.0;182795.0;0
2000-01-01;2000-12-31;Gas;"FUEL MIX";0.0;44983.0;19862.0;105766.0;357.0;19447.0;190415.0;0
2000-01-01;2000-12-31;Electricity;"FUEL MIX";2734.0;4756.0;4123.0;7748.0;6601.0;14462.0;40424.0;0
2000-01-01;2000-12-31;Other;"FUEL MIX";320.0;0.0;0.0;0.0;497.0;1543.0;2360.0;0
2000-01-01;2000-12-31;Total;"FUEL MIX";35702.0;51579.0;136877.0;174956.0;43668.0;154339.0;597121.0;102000.0
2001-01-01;2001-12-31;"Alumina Production (tonnes)";;0;0;0;0;0;0;47991000.0;0.0
2001-01-01;2001-12-31;"Reporting Production (tonnes)";;2435355.0;3574285.0;10814070.0;16098291.0;3417048.0;4650000.0;40989049.0;7001951.0
2001-01-01;2001-12-31;Coal;"FUEL MIX";21541.0;0.0;4662.0;43730.0;0.0;116904.0;186837.0;0
2001-01-01;2001-12-31;Oil;"FUEL MIX";15294.0;3742.0;97733.0;20569.0;36688.0;7356.0;181382.0;0
2001-01-01;2001-12-31;Gas;"FUEL MIX";0.0;31967.0;21283.0;108019.0;329.0;20325.0;181923.0;0
2001-01-01;2001-12-31;Electricity;"FUEL MIX";720.0;3901.0;4008.0;6162.0;6725.0;15115.0;36631.0;0
2001-01-01;2001-12-31;Other;"FUEL MIX";0.0;0.0;0.0;0.0;454.0;1613.0;2067.0;0
2001-01-01;2001-12-31;Total;"FUEL MIX";37555.0;39610.0;127686.0;178480.0;44196.0;161313.0;588840.0;101000.0
2002-01-01;2002-12-31;"Alumina Production (tonnes)";;0;0;0;0;0;0;51092000.0;0.0
2002-01-01;2002-12-31;"Reporting Production (tonnes)";;2916244.0;3771323.0;11185144.0;16187271.0;4582304.0;5450000.0;44092286.0;6999714.0
2002-01-01;2002-12-31;Coal;"FUEL MIX";20391.0;0.0;3824.0;43786.0;0.0;134082.0;202083.0;0
2002-01-01;2002-12-31;Oil;"FUEL MIX";16591.0;2720.0;100649.0;21514.0;49279.0;8437.0;199190.0;0
2002-01-01;2002-12-31;Gas;"FUEL MIX";0.0;38587.0;19013.0;108882.0;328.0;23312.0;190122.0;0
2002-01-01;2002-12-31;Electricity;"FUEL MIX";748.0;3787.0;4429.0;9951.0;11694.0;17336.0;47945.0;0
2002-01-01;2002-12-31;Other;"FUEL MIX";0.0;0.0;0.0;0.0;514.0;1850.0;2364.0;0
2002-01-01;2002-12-31;Total;"FUEL MIX";37730.0;45094.0;127915.0;184133.0;61815.0;185017.0;641704.0;102000.0
2003-01-01;2003-12-31;"Alumina Production (tonnes)";;5064000.0;5204000.0;12262000.0;16550000.0;9431000.0;5549000.0;54060000.0;0.0
2003-01-01;2003-12-31;"Reporting Production (tonnes)";;1626397.0;4366599.0;12262000.0;16550000.0;5086587.0;5549000.0;45440583.0;8619417.0
2003-01-01;2003-12-31;Coal;"FUEL MIX";10366.0;0.0;3824.0;45374.0;0.0;131145.0;190709.0;0
2003-01-01;2003-12-31;Oil;"FUEL MIX";12521.0;4630.0;108150.0;22416.0;46642.0;8252.0;202611.0;0
2003-01-01;2003-12-31;Gas;"FUEL MIX";0.0;39963.0;19208.0;107979.0;3278.0;22801.0;193229.0;0
2003-01-01;2003-12-31;Electricity;"FUEL MIX";754.0;3120.0;7279.0;12959.0;12233.0;16956.0;53301.0;0
2003-01-01;2003-12-31;Other;"FUEL MIX";0.0;0.0;0.0;5740.0;475.0;1810.0;8025.0;0
2003-01-01;2003-12-31;Total;"FUEL MIX";23641.0;47713.0;138461.0;194468.0;62628.0;180964.0;647875.0;120000.0
2004-01-01;2004-12-31;"Alumina Production (tonnes)";;5239000.0;5895000.0;12824000.0;16746000.0;9753000.0;6362000.0;56819000.0;0.0
2004-01-01;2004-12-31;"Reporting Production (tonnes)";;3384409.0;4637553.0;11503914.0;16689464.0;7275221.0;6362000.0;49852561.0;6966439.0
2004-01-01;2004-12-31;Coal;"FUEL MIX";28802.0;0.0;4587.0;47462.0;9701.0;138722.0;229274.0;0
2004-01-01;2004-12-31;Oil;"FUEL MIX";13014.0;4989.0;80023.0;22603.0;48640.0;8729.0;177998.0;0
2004-01-01;2004-12-31;Gas;"FUEL MIX";0.0;39838.0;22889.0;107955.0;17921.0;24119.0;212722.0;0
2004-01-01;2004-12-31;Electricity;"FUEL MIX";762.0;3182.0;8035.0;14424.0;13516.0;17936.0;57855.0;0
2004-01-01;2004-12-31;Other;"FUEL MIX";0.0;0.0;0.0;5559.0;458.0;1914.0;7931.0;0
2004-01-01;2004-12-31;Total;"FUEL MIX";42578.0;48009.0;115534.0;198003.0;90236.0;191420.0;685780.0;96000.0
2005-01-01;2005-12-31;"Alumina Production (tonnes)";;5269000.0;5945000.0;12965000.0;17684000.0;9764000.0;7519000.0;59146000.0;0.0
2005-01-01;2005-12-31;"Reporting Production (tonnes)";;3483371.0;5466923.0;12965000.0;17684000.0;5253554.0;7519000.0;52371848.0;6774152.0
2005-01-01;2005-12-31;Coal;"FUEL MIX";26767.0;0.0;4568.0;45481.0;0.0;159918.0;236734.0;0
2005-01-01;2005-12-31;Oil;"FUEL MIX";14868.0;5827.0;106411.0;18164.0;48260.0;10062.0;203592.0;0
2005-01-01;2005-12-31;Gas;"FUEL MIX";0.0;52919.0;25817.0;113220.0;3749.0;27804.0;223509.0;0
2005-01-01;2005-12-31;Electricity;"FUEL MIX";2208.0;3494.0;8680.0;19818.0;13184.0;20677.0;68061.0;0
2005-01-01;2005-12-31;Other;"FUEL MIX";703.0;0.0;0.0;5851.0;476.0;2207.0;9237.0;0
2005-01-01;2005-12-31;Total;"FUEL MIX";44546.0;62240.0;145476.0;202534.0;65669.0;220668.0;741133.0;95000.0
2006-01-01;2006-12-31;"Alumina Production (tonnes)";;5019000.0;5929000.0;14667000.0;18341000.0;9851000.0;12918000.0;66725000.0;0.0
2006-01-01;2006-12-31;"Reporting Production (tonnes)";;3437938.0;5517803.0;14667000.0;18298942.0;8327174.0;12918000.0;63166857.0;3558143.0
2006-01-01;2006-12-31;Coal;"FUEL MIX";27188.0;0.0;4611.0;48128.0;273.0;220917.0;301117.0;0
2006-01-01;2006-12-31;Oil;"FUEL MIX";17817.0;3942.0;124974.0;20496.0;34769.0;13901.0;215899.0;0
2006-01-01;2006-12-31;Gas;"FUEL MIX";21.0;58125.0;26370.0;118034.0;63497.0;38410.0;304457.0;0
2006-01-01;2006-12-31;Electricity;"FUEL MIX";2298.0;3625.0;10935.0;18474.0;23685.0;28563.0;87580.0;0
2006-01-01;2006-12-31;Other;"FUEL MIX";2516.0;0.0;0.0;4513.0;11384.0;3048.0;21461.0;0
2006-01-01;2006-12-31;Total;"FUEL MIX";49840.0;65692.0;166890.0;209645.0;133608.0;304839.0;930514.0;60000.0
2007-01-01;2007-12-31;"Alumina Production (tonnes)";;5263000.0;5290000.0;14913000.0;18987000.0;10031000.0;20047000.0;74531000.0;0.0
2007-01-01;2007-12-31;"Reporting Production (tonnes)";;1688160.0;5169404.0;14913000.0;18831417.0;8559454.0;20047000.0;69208435.0;5322565.0
2007-01-01;2007-12-31;Coal;"FUEL MIX";7810.0;0.0;5416.0;51811.0;182.0;370791.0;436010.0;0
2007-01-01;2007-12-31;Oil;"FUEL MIX";11771.0;4299.0;118037.0;21050.0;42854.0;23331.0;221342.0;0
2007-01-01;2007-12-31;Gas;"FUEL MIX";840.0;37298.0;26496.0;123431.0;51294.0;64468.0;303827.0;0
2007-01-01;2007-12-31;Electricity;"FUEL MIX";599.0;3432.0;10619.0;9826.0;31051.0;47941.0;103468.0;0
2007-01-01;2007-12-31;Other;"FUEL MIX";2905.0;11632.0;2.0;5359.0;0.0;5116.0;25014.0;0
2007-01-01;2007-12-31;Total;"FUEL MIX";23925.0;56661.0;160570.0;211477.0;125381.0;511647.0;1089661.0;90000.0
2008-01-01;2008-12-31;"Alumina Production (tonnes)";;5816000.0;5277000.0;15589000.0;19416000.0;9860000.0;22741000.0;78699000.0;0.0
2008-01-01;2008-12-31;"Reporting Production (tonnes)";;3309551.0;5427439.0;15541235.0;19324142.0;7902378.0;22741000.0;74245745.0;4453255.0
2008-01-01;2008-12-31;Coal;"FUEL MIX";32820.0;65.0;14708.0;51414.0;46.0;384911.0;483964.0;0
2008-01-01;2008-12-31;Oil;"FUEL MIX";17598.0;3935.0;116719.0;26379.0;32106.0;24220.0;220957.0;0
2008-01-01;2008-12-31;Gas;"FUEL MIX";52.0;38978.0;24526.0;118054.0;49634.0;66922.0;298166.0;0
2008-01-01;2008-12-31;Electricity;"FUEL MIX";924.0;4185.0;7287.0;19012.0;27776.0;49767.0;108951.0;0
2008-01-01;2008-12-31;Other;"FUEL MIX";3080.0;11842.0;0.0;3416.0;12837.0;5311.0;36486.0;0
2008-01-01;2008-12-31;Total;"FUEL MIX";54474.0;59005.0;163240.0;218275.0;122399.0;531131.0;1148524.0;70000.0
2009-01-01;2009-12-31;"Alumina Production (tonnes)";;5685000.0;3540000.0;13161000.0;19958000.0;7690000.0;23855000.0;73889000.0;0.0
2009-01-01;2009-12-31;"Reporting Production (tonnes)";;3234698.0;2804849.0;12226990.0;16502741.0;7117522.0;23855000.0;65741800.0;8147200.0
2009-01-01;2009-12-31;Coal;"FUEL MIX";26274.0;95.0;19596.0;18.0;32822.0;335131.0;413936.0;0
2009-01-01;2009-12-31;Oil;"FUEL MIX";17844.0;1324.0;73842.0;26336.0;23517.0;21087.0;163950.0;0
2009-01-01;2009-12-31;Gas;"FUEL MIX";44.0;17369.0;15032.0;49091.0;97708.0;58268.0;237512.0;0
2009-01-01;2009-12-31;Electricity;"FUEL MIX";1251.0;2322.0;5474.0;13758.0;17096.0;43331.0;83232.0;0
2009-01-01;2009-12-31;Other;"FUEL MIX";1965.0;11002.0;0.0;30673.0;10768.0;4624.0;59032.0;0
2009-01-01;2009-12-31;Total;"FUEL MIX";47378.0;32112.0;113944.0;119876.0;181911.0;462441.0;957662.0;120000.0
2010-01-01;2010-12-31;"Alumina Production (tonnes)";;5711000.0;4446000.0;13609000.0;19647000.0;8204000.0;31071000.0;84513000.0;1825000.0
2010-01-01;2010-12-31;"Reporting Production (tonnes)";;1825478.0;3393259.0;13609000.0;15965021.0;7692941.0;31071000.0;73556699.0;10956301.0
2010-01-01;2010-12-31;Coal;"FUEL MIX";12251.0;0.0;26991.0;19901.0;23.0;418387.0;477553.0;0
2010-01-01;2010-12-31;Oil;"FUEL MIX";11570.0;0.0;76232.0;21835.0;21919.0;26326.0;157882.0;0
2010-01-01;2010-12-31;Gas;"FUEL MIX";589.0;30271.0;25484.0;97061.0;49963.0;72743.0;276111.0;0
2010-01-01;2010-12-31;Electricity;"FUEL MIX";404.0;2079.0;5378.0;3520.0;8288.0;54095.0;73764.0;0
2010-01-01;2010-12-31;Other;"FUEL MIX";4224.0;10998.0;0.0;17984.0;28132.0;5773.0;67111.0;0
2010-01-01;2010-12-31;Total;"FUEL MIX";29038.0;43348.0;134085.0;160301.0;108325.0;577324.0;1052421.0;160000.0
2011-01-01;2011-12-31;"Alumina Production (tonnes)";;5921000.0;4823000.0;14823000.0;19115000.0;8442000.0;38916000.0;94048000.0;2008000.0
2011-01-01;2011-12-31;"Reporting Production (tonnes)";;3381117.0;3678620.0;14719926.0;19059437.0;7642054.0;38916000.0;87397154.0;6650846.0
2011-01-01;2011-12-31;Coal;"FUEL MIX";29083.0;0.0;29111.0;36032.0;17.0;469300.0;563543.0;0
2011-01-01;2011-12-31;Oil;"FUEL MIX";9909.0;0.0;74634.0;44108.0;19024.0;29530.0;177205.0;0
2011-01-01;2011-12-31;Gas;"FUEL MIX";590.0;32296.0;22078.0;115447.0;50819.0;81595.0;302825.0;0
2011-01-01;2011-12-31;Electricity;"FUEL MIX";1175.0;1918.0;7284.0;5868.0;7532.0;60678.0;84455.0;0
2011-01-01;2011-12-31;Other;"FUEL MIX";3563.0;12322.0;0.0;16039.0;27143.0;6476.0;65543.0;0
2011-01-01;2011-12-31;Total;"FUEL MIX";44320.0;46536.0;133107.0;217494.0;104535.0;647579.0;1193571.0;100000.0
2012-01-01;2012-12-31;"Alumina Production (tonnes)";;5391000.0;5226000.0;13786000.0;20997000.0;8163000.0;41409000.0;96802000.0;1830000.0
2012-01-01;2012-12-31;"Reporting Production (tonnes)";;3026890.0;3856230.0;13786000.0;20962702.0;7219582.0;41409000.0;90260404.0;6541596.0
2012-01-01;2012-12-31;Coal;"FUEL MIX";29351.0;82.0;26975.0;43101.0;0.0;514362.0;613871.0;0
