Technology,Parameter,Region,Level,Commodity,Species,Mode,Units,Vintage,Value,Comment
clinker_wet_ccs_cement,fix_cost,R12_RCPA,,,,,MUSD/Mt,,30.0,Voldsund (2019): fix + raw material (solvent etc)
clinker_wet_ccs_cement,input,R12_RCPA,final,electr,,M1,GWa/Mt,,0.008237847222222223,https://www.sciencedirect.com/science/article/pii/S1876610209000150 
clinker_wet_ccs_cement,input,R12_RCPA,useful_cement,ht_heat,,M1,GWa/Mt,,0.000354,"previously: https://www.sciencedirect.com/science/article/abs/pii/S0263876217303003, now https://www.netl.doe.gov/energy-analysis/details?id=865aaad2-9252-44d9-a48a-95599b3072b4 (page 108, Fuel Cost)"
clinker_wet_ccs_cement,output,R12_RCPA,,,,M1,,,,
clinker_wet_ccs_cement,technical_lifetime,R12_RCPA,,,,,yr,,25.0,Gardarsdottir (2019)
clinker_wet_ccs_cement,capacity_factor,R12_RCPA,,,,,%,,0.91,Gardarsdottir (2019)
clinker_wet_cement,input,R12_RCPA,final,electr,,M1,GWa/Mt,,0.003,"25% of 0.012 Gwa/Mt, based on 110 kWh/t from ETSAP IEA"
clinker_wet_cement,input,R12_RCPA,useful_cement,ht_heat,,M1,GWa/Mt,,0.1745433789954338,"ADVANCE 2011 (5500MJ/t Wet clinker, Table 4)"
clinker_wet_cement,input,R12_RCPA,secondary_material,raw_meal_cement,,M1,Mt/Mt,,1.55,https://www.scribd.com/doc/294782074/Raw-Meal-to-Clinker-Ratio
clinker_wet_cement,output,R12_RCPA,tertiary_material,clinker_cement,,M1,Mt,,1.0,
clinker_wet_cement,technical_lifetime,R12_RCPA,,,,,yr,,25.0,IEA ETSAP
clinker_wet_cement,capacity_factor,R12_RCPA,,,,,%,,0.8,Arbitrary
clinker_wet_cement,inv_cost,R12_RCPA,,,,,MUSD/Mt,,131.5,
clinker_wet_cement,fix_cost,R12_RCPA,,,,,MUSD/Mt,,0.1,
DUMMY_limestone_supply_cement,emission_factor,R12_RCPA,,,NOx,M1,kt/Mt,,1.75,From China steel
DUMMY_limestone_supply_cement,emission_factor,R12_RCPA,,,SO2,M1,kt/Mt,,0.9790000000000001,From China steel
DUMMY_limestone_supply_cement,emission_factor,R12_RCPA,,,PM2p5,M1,Mt/Mt,,0.000332,From China steel
DUMMY_limestone_supply_cement,output,R12_RCPA,primary_material,limestone_cement,,M1,Mt,,1.0,From China steel
grinding_ballmill_cement,input,R12_RCPA,final,electr,,M1,GWa/Mt,,0.006,"50% of 0.012 Gwa/Mt (=110kwh/t), based on 110 kWh/t from ETSAP IEA"
# grinding_ballmill_cement,input,R12_RCPA,tertiary_material,clinker_cement,,M1,Mt/Mt,,0.72,IEA (0.72)
grinding_ballmill_cement,output,R12_RCPA,product,cement,,M1,Mt,,1.0,
other_EOL_cement,output,R12_RCPA,demand,cement,,M1,Mt,,1.0,
grinding_ballmill_cement,technical_lifetime,R12_RCPA,,,,,yr,,25.0,IEA ETSAP
grinding_ballmill_cement,capacity_factor,R12_RCPA,,,,,%,,0.8,Arbitrary
grinding_ballmill_cement,inv_cost,R12_RCPA,,,,,MUSD/Mt,,65.75,
grinding_ballmill_cement,fix_cost,R12_RCPA,,,,,MUSD/Mt,,0.072,
grinding_vertmill_cement,input,R12_RCPA,final,electr,,M1,GWa/Mt,,0.0054,"50% of 0.012 Gwa/Mt * 90%, based on 110 kWh/t from ETSAP IEA and ADVANCE EE estimate"
# grinding_vertmill_cement,input,R12_RCPA,tertiary_material,clinker_cement,,M1,Mt/Mt,,0.72,IEA (0.72)
grinding_vertmill_cement,output,R12_RCPA,product,cement,,M1,Mt,,1.0,
other_EOL_cement,input,R12_RCPA,product,cement,,M1,Mt,,1.0,
grinding_vertmill_cement,technical_lifetime,R12_RCPA,,,,,yr,,25.0,IEA ETSAP
grinding_vertmill_cement,capacity_factor,R12_RCPA,,,,,%,,0.8,Arbitrary
grinding_vertmill_cement,inv_cost,R12_RCPA,,,,,MUSD/Mt,,85.75,
grinding_vertmill_cement,fix_cost,R12_RCPA,,,,,MUSD/Mt,,0.072,
raw_meal_prep_cement,input,R12_RCPA,final,electr,,M1,GWa/Mt,,0.003,"25% of 0.012 Gwa/Mt, based on 110 kWh/t from ETSAP IEA"
raw_meal_prep_cement,input,R12_RCPA,primary_material,limestone_cement,,M1,Mt/Mt,,0.78,https://www.sciencedirect.com/science/article/pii/S0304389407010783
raw_meal_prep_cement,output,R12_RCPA,secondary_material,raw_meal_cement,,M1,Mt,,1.0,
raw_meal_prep_cement,technical_lifetime,R12_RCPA,,,,,yr,,25.0,IEA ETSAP
raw_meal_prep_cement,capacity_factor,R12_RCPA,,,,,%,,0.8,Arbitrary
raw_meal_prep_cement,inv_cost,R12_RCPA,,,,,MUSD/Mt,,65.75,
raw_meal_prep_cement,fix_cost,R12_RCPA,,,,,MUSD/Mt,,0.07800000000000001,All fix_cost assumed to be 10% of inv_cost
total_EOL_cement,output,R12_RCPA,dummy_end_of_life,cement,,M1,,,1.0,
total_EOL_cement,input,R12_RCPA,end_of_life,cement,,M1,,,1.0,
scrap_recovery_cement,output,R12_RCPA,old_scrap_1,cement,,M1,Mt,,0.25,availability
scrap_recovery_cement,output,R12_RCPA,old_scrap_2,cement,,M1,Mt,,0.5,availability
scrap_recovery_cement,output,R12_RCPA,old_scrap_3,cement,,M1,Mt,,0.25,availability
scrap_recovery_cement,input,R12_RCPA,dummy_end_of_life,cement,,M1,Mt,,1.0,
