,EXPORTER,IMPORTER,YEAR,CapacityBOEd,CostUSD,LengthMergedKm,Capacity (BOEa),Capacity (TJ),Capacity (GWa),InvCost (USD/km),Capacity (GWa/km),trade_technology,flow_technology
23,R12_FSU,R12_EEU,1985.0,161178.08,0.0,262.5,58829999.199999996,352979.9952,11.1937016077824,0.0,0.042642672791552,gas_piped,gas_pipe
24,R12_FSU,R12_EEU,2000.0,32235.62,0.0,20.6,11766001.299999999,70596.00779999999,2.2387405993535996,0.0,0.10867672812396113,gas_piped,gas_pipe
25,R12_FSU,R12_EEU,2005.0,,,,,,,,,gas_piped,gas_pipe
26,R12_FSU,R12_EEU,2010.0,,,,,,,,,gas_piped,gas_pipe
27,R12_FSU,R12_EEU,2015.0,,,,,,,,,gas_piped,gas_pipe
28,R12_FSU,R12_EEU,2020.0,241767.12,0.0,460.11,88244998.8,529469.9928,16.7905524116736,0.0,0.03649247443366499,gas_piped,gas_pipe
29,R12_FSU,R12_EEU,2025.0,561068.96,43600000.0,1268.0,204790170.39999998,1228741.0224,38.96583530234879,1118928.9196983252,0.030730154023934378,gas_piped,gas_pipe
30,R12_FSU,R12_MEA,1970.0,161178.08,0.0,1474.5,58829999.199999996,352979.9952,11.1937016077824,0.0,0.007591523640408545,gas_piped,gas_pipe
31,R12_FSU,R12_MEA,1995.0,128942.47,195000000.0,197.0,47064001.55,282384.0093,8.954961702921599,21775637.514606044,0.04545665839046497,gas_piped,gas_pipe
32,R12_FSU,R12_MEA,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_piped,gas_pipe
33,R12_FSU,R12_MEA,2005.0,,,,,,,,,gas_piped,gas_pipe
34,R12_FSU,R12_MEA,2010.0,201472.6,0.0,182.0,73537499.0,441224.994,13.992127009728,0.0,0.07687981873476923,gas_piped,gas_pipe
35,R12_FSU,R12_MEA,2015.0,,,,,,,,,gas_piped,gas_pipe
36,R12_FSU,R12_MEA,2020.0,,,,,,,,,gas_piped,gas_pipe
37,R12_FSU,R12_MEA,2025.0,,,,,,,,,gas_piped,gas_pipe
38,R12_FSU,R12_WEU,1985.0,64471.23,0.0,842.0,23531998.950000003,141191.99370000002,4.4774805042144,0.0,0.005317672807855582,gas_piped,gas_pipe
39,R12_FSU,R12_WEU,2000.0,531887.67,0.0,1660.0,194138999.55,1164833.9973000002,36.939215722377604,0.0,0.022252539591793737,gas_piped,gas_pipe
40,R12_FSU,R12_WEU,2005.0,377317.89,3200000000.0,1906.0,137721029.85,826326.1791,26.204455791619196,122116636.4013343,0.013748402828761382,gas_piped,gas_pipe
41,R12_FSU,R12_WEU,2010.0,,,,,,,,,gas_piped,gas_pipe
42,R12_FSU,R12_WEU,2015.0,,,,,,,,,gas_piped,gas_pipe
43,R12_FSU,R12_WEU,2020.0,1652075.3399999999,29155000000.0,4901.0,603007499.0999999,3618044.9945999994,114.73544286875517,254106309.88150835,0.02341061882651605,gas_piped,gas_pipe
44,R12_FSU,R12_WEU,2025.0,386827.4,0.0,0.0,141192001.0,847152.006,26.864884414271998,0.0,inf,gas_piped,gas_pipe
45,R12_MEA,R12_EEU,1985.0,539946.58,6250000000.0,3579.0,197080501.7,1182483.0102,37.4989012194624,166671550.2788165,0.010477480083672086,gas_piped,gas_pipe
46,R12_MEA,R12_EEU,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_piped,gas_pipe
47,R12_MEA,R12_EEU,2005.0,,,,,,,,,gas_piped,gas_pipe
48,R12_MEA,R12_EEU,2010.0,,,,,,,,,gas_piped,gas_pipe
49,R12_MEA,R12_EEU,2015.0,,,,,,,,,gas_piped,gas_pipe
50,R12_MEA,R12_EEU,2020.0,,,,,,,,,gas_piped,gas_pipe
51,R12_MEA,R12_EEU,2025.0,,,,,,,,,gas_piped,gas_pipe
52,R12_MEA,R12_FSU,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_piped,gas_pipe
53,R12_MEA,R12_FSU,2005.0,36651.09,370000000.0,141.0,13377647.85,80265.88709999999,2.5453918117151995,145360725.33001408,0.0180524241965617,gas_piped,gas_pipe
54,R12_MEA,R12_FSU,2010.0,,,,,,,,,gas_piped,gas_pipe
55,R12_MEA,R12_FSU,2015.0,,,,,,,,,gas_piped,gas_pipe
56,R12_MEA,R12_FSU,2020.0,,,,,,,,,gas_piped,gas_pipe
57,R12_MEA,R12_FSU,2025.0,88647.95,0.0,150.0,32356501.75,194139.0105,6.156536300976,0.0,0.041043575339839995,gas_piped,gas_pipe
58,R12_MEA,R12_SAS,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_piped,gas_pipe
59,R12_MEA,R12_SAS,2005.0,,,,,,,,,gas_piped,gas_pipe
60,R12_MEA,R12_SAS,2010.0,,,,,,,,,gas_piped,gas_pipe
61,R12_MEA,R12_SAS,2015.0,,,,,,,,,gas_piped,gas_pipe
62,R12_MEA,R12_SAS,2020.0,,,,,,,,,gas_piped,gas_pipe
63,R12_MEA,R12_SAS,2025.0,123543.0,7500000000.0,2775.0,45093195.0,270559.17,8.579972399039999,874128686.1061656,0.0030918819455999997,gas_piped,gas_pipe
64,R12_MEA,R12_WEU,1995.0,193413.7,0.0,1350.0,70596000.5,423576.003,13.432442207135999,0.0,0.00994995719047111,gas_piped,gas_pipe
65,R12_MEA,R12_WEU,2000.0,225649.32,0.0,2577.0,82362001.8,494172.0108,15.671182806489599,0.0,0.006081172994369266,gas_piped,gas_pipe
66,R12_MEA,R12_WEU,2005.0,3294.48,6600000000.0,520.0,1202485.2,7214.9112,0.22879926397439995,28846246641.503468,0.00043999858456615377,gas_piped,gas_pipe
67,R12_MEA,R12_WEU,2010.0,128942.47,981000000.0,210.0,47064001.55,282384.0093,8.954961702921599,109548207.18886426,0.04264267477581714,gas_piped,gas_pipe
68,R12_MEA,R12_WEU,2015.0,,,,,,,,,gas_piped,gas_pipe
69,R12_MEA,R12_WEU,2020.0,64471.23,350000000.0,215.0,23531998.950000003,141191.99370000002,4.4774805042144,78168961.24295008,0.02082549071727628,gas_piped,gas_pipe
70,R12_MEA,R12_WEU,2025.0,322356.16,13080000000.0,1100.0,117659998.39999999,705959.9904,22.3874032155648,584257132.1941508,0.020352184741422544,gas_piped,gas_pipe
71,R12_NAM,R12_LAM,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_piped,gas_pipe
72,R12_NAM,R12_LAM,2005.0,105423.36,0.0,144.84,38479526.4,230877.1584,7.3215764471807985,0.0,0.050549409328782095,gas_piped,gas_pipe
73,R12_NAM,R12_LAM,2010.0,,,,,,,,,gas_piped,gas_pipe
74,R12_NAM,R12_LAM,2015.0,93233.78,200000000.0,97.02,34030329.7,204181.9782,6.4750188926784,30887940.763562735,0.06673901146854669,gas_piped,gas_pipe
75,R12_NAM,R12_LAM,2020.0,650165.63,3656000000.0,1091.87,237310454.95,1423862.7297,45.1535348842464,80968190.18427593,0.041354314052264834,gas_piped,gas_pipe
76,R12_NAM,R12_LAM,2025.0,461227.2,0.0,249.45,168347928.0,1010087.568,32.031896956416,0.0,0.12841009002371617,gas_piped,gas_pipe
77,R12_PAS,R12_CHN,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_piped,gas_pipe
78,R12_PAS,R12_CHN,2005.0,,,,,,,,,gas_piped,gas_pipe
79,R12_PAS,R12_CHN,2010.0,,,,,,,,,gas_piped,gas_pipe
80,R12_PAS,R12_CHN,2015.0,419063.02,1040000000.0,2576.75,152958002.3,917748.0138000001,29.1036250136256,35734380.15068905,0.011294702634568972,gas_piped,gas_pipe
81,R12_PAS,R12_CHN,2020.0,,,,,,,,,gas_piped,gas_pipe
82,R12_PAS,R12_CHN,2025.0,,,,,,,,,gas_piped,gas_pipe
83,R12_WEU,R12_EEU,1980.0,0.0,0.0,28.0,0.0,0.0,0.0,,0.0,gas_piped,gas_pipe
84,R12_WEU,R12_EEU,1990.0,435180.82,0.0,637.83,158840999.3,953045.9958,30.222994618809597,0.0,0.04738409077467287,gas_piped,gas_pipe
85,R12_WEU,R12_EEU,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_piped,gas_pipe
86,R12_WEU,R12_EEU,2005.0,,,,,,,,,gas_piped,gas_pipe
87,R12_WEU,R12_EEU,2010.0,,,,,,,,,gas_piped,gas_pipe
88,R12_WEU,R12_EEU,2015.0,,,,,,,,,gas_piped,gas_pipe
89,R12_WEU,R12_EEU,2020.0,251437.8,2550600000.0,951.5,91774797.0,550648.782,17.462174174784,146064285.8369353,0.018352258722841828,gas_piped,gas_pipe
90,R12_WEU,R12_EEU,2025.0,104708.46,0.0,62.0,38218587.900000006,229311.52740000005,7.271927156908801,0.0,0.11728914769207745,gas_piped,gas_pipe
91,R12_WEU,R12_EEU,2030.0,0.0,115540000.0,0.0,0.0,0.0,0.0,inf,,gas_piped,gas_pipe
92,R12_WEU,R12_FSU,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_piped,gas_pipe
93,R12_WEU,R12_FSU,2005.0,,,,,,,,,gas_piped,gas_pipe
94,R12_WEU,R12_FSU,2010.0,,,,,,,,,gas_piped,gas_pipe
95,R12_WEU,R12_FSU,2015.0,,,,,,,,,gas_piped,gas_pipe
96,R12_WEU,R12_FSU,2020.0,80589.04,1141775000.0,93.0,29414999.599999998,176489.9976,5.5968508038912,204003115.32445768,0.06018119143969032,gas_piped,gas_pipe
97,R12_WEU,R12_FSU,2025.0,11766.0,13690000.0,160.0,4294590.0,25767.54,0.81714022848,16753550.397910768,0.005107126428,gas_piped,gas_pipe
98,R12_WEU,R12_MEA,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_piped,gas_pipe
99,R12_WEU,R12_MEA,2005.0,,,,,,,,,gas_piped,gas_pipe
100,R12_WEU,R12_MEA,2010.0,,,,,,,,,gas_piped,gas_pipe
101,R12_WEU,R12_MEA,2015.0,,,,,,,,,gas_piped,gas_pipe
102,R12_WEU,R12_MEA,2020.0,,,,,,,,,gas_piped,gas_pipe
103,R12_WEU,R12_MEA,2025.0,128942.47,1000000000.0,310.0,47064001.55,282384.0093,8.954961702921599,111669935.97233869,0.028886973235230966,gas_piped,gas_pipe
