Node1,Port1,Node2,Port2,Distance_km
R12_LAM,Point Fortin (Trinidad and Tobago),R12_MEA,Ras Laffan (Qatar),15796.02
R12_LAM,Point Fortin (Trinidad and Tobago),R12_NAM,Sabine Pass (USA),4138.08
R12_LAM,Point Fortin (Trinidad and Tobago),R12_PAO,Sodegaura LNG Termina- Chiba (Japan),16663.41
R12_LAM,Point Fortin (Trinidad and Tobago),R12_PAS,Bintulu LNG (Malaysia),20690.84
R12_LAM,Point Fortin (Trinidad and Tobago),R12_SAS,Dahej LNG Terminal (India),15936.78
R12_LAM,Point Fortin (Trinidad and Tobago),R12_WEU,Port of Rotterdam (Netherlands),7602.91
R12_MEA,Ras Laffan (Qatar),R12_NAM,Sabine Pass (USA),18036.1
R12_MEA,Ras Laffan (Qatar),R12_PAO,Sodegaura LNG Termina- Chiba (Japan),12498.48
R12_MEA,Ras Laffan (Qatar),R12_PAS,Bintulu LNG (Malaysia),8146.02
R12_MEA,Ras Laffan (Qatar),R12_SAS,Dahej LNG Terminal (India),2523.78
R12_MEA,Ras Laffan (Qatar),R12_WEU,Port of Rotterdam (Netherlands),11902.61
R12_NAM,Sabine Pass (USA),R12_PAO,Sodegaura LNG Termina- Chiba (Japan),17169.77
R12_NAM,Sabine Pass (USA),R12_PAS,Bintulu LNG (Malaysia),21653.18
R12_NAM,Sabine Pass (USA),R12_SAS,Dahej LNG Terminal (India),18176.85
R12_NAM,Sabine Pass (USA),R12_WEU,Port of Rotterdam (Netherlands),9155.51
R12_PAO,Sodegaura LNG Termina- Chiba (Japan),R12_PAS,Bintulu LNG (Malaysia),4966.43
R12_PAO,Sodegaura LNG Termina- Chiba (Japan),R12_SAS,Dahej LNG Terminal (India),10601.57
R12_PAO,Sodegaura LNG Termina- Chiba (Japan),R12_WEU,Port of Rotterdam (Netherlands),13903.31
R12_PAS,Bintulu LNG (Malaysia),R12_SAS,Dahej LNG Terminal (India),6249.11
R12_PAS,Bintulu LNG (Malaysia),R12_WEU,Port of Rotterdam (Netherlands),16797.42
R12_SAS,Dahej LNG Terminal (India),R12_WEU,Port of Rotterdam (Netherlands),12043.36
R12_RCPA,PV Gas Port (Vietnam),R12_AFR,Bonny Terminal (Nigeria),16313.22
R12_CHN,Guangdong Dapeng (China),R12_AFR,Bonny Terminal (Nigeria),17482.84
R12_EEU,Swinoujscie (Poland),R12_AFR,Bonny Terminal (Nigeria),9812.84
R12_FSU,Sabetta/Yamal LNG (Russia),R12_AFR,Bonny Terminal (Nigeria),13117.95
R12_LAM,Point Fortin (Trinidad and Tobago),R12_AFR,Bonny Terminal (Nigeria),8314.78
R12_MEA,Ras Laffan (Qatar),R12_AFR,Bonny Terminal (Nigeria),13917.3
R12_NAM,Sabine Pass (USA),R12_AFR,Bonny Terminal (Nigeria),11875.4
R12_PAO,Sodegaura LNG Termina- Chiba (Japan),R12_AFR,Bonny Terminal (Nigeria),20339.32
R12_PAS,Bintulu LNG (Malaysia),R12_AFR,Bonny Terminal (Nigeria),15829.69
R12_SAS,Dahej LNG Terminal (India),R12_AFR,Bonny Terminal (Nigeria),13556.59
R12_WEU,Port of Rotterdam (Netherlands),R12_AFR,Bonny Terminal (Nigeria),8521.72
R12_CHN,Guangdong Dapeng (China),R12_RCPA,PV Gas Port (Vietnam),1714.53
R12_EEU,Swinoujscie (Poland),R12_RCPA,PV Gas Port (Vietnam),18061.19
R12_FSU,Sabetta/Yamal LNG (Russia),R12_RCPA,PV Gas Port (Vietnam),14024.76
R12_LAM,Point Fortin (Trinidad and Tobago),R12_RCPA,PV Gas Port (Vietnam),20663.49
R12_MEA,Ras Laffan (Qatar),R12_RCPA,PV Gas Port (Vietnam),8118.68
R12_NAM,Sabine Pass (USA),R12_RCPA,PV Gas Port (Vietnam),21732.74
R12_PAO,Sodegaura LNG Termina- Chiba (Japan),R12_RCPA,PV Gas Port (Vietnam),4672.75
R12_PAS,Bintulu LNG (Malaysia),R12_RCPA,PV Gas Port (Vietnam),1646.9
R12_SAS,Dahej LNG Terminal (India),R12_RCPA,PV Gas Port (Vietnam),6221.76
R12_WEU,Port of Rotterdam (Netherlands),R12_RCPA,PV Gas Port (Vietnam),16770.08
R12_EEU,Swinoujscie (Poland),R12_CHN,Guangdong Dapeng (China),16893.83
R12_FSU,Sabetta/Yamal LNG (Russia),R12_CHN,Guangdong Dapeng (China),12548.81
R12_LAM,Point Fortin (Trinidad and Tobago),R12_CHN,Guangdong Dapeng (China),19750.42
R12_MEA,Ras Laffan (Qatar),R12_CHN,Guangdong Dapeng (China),9566.08
R12_NAM,Sabine Pass (USA),R12_CHN,Guangdong Dapeng (China),20256.79
R12_PAO,Sodegaura LNG Termina- Chiba (Japan),R12_CHN,Guangdong Dapeng (China),3196.8
R12_PAS,Bintulu LNG (Malaysia),R12_CHN,Guangdong Dapeng (China),2404.05
R12_SAS,Dahej LNG Terminal (India),R12_CHN,Guangdong Dapeng (China),7669.17
R12_WEU,Port of Rotterdam (Netherlands),R12_CHN,Guangdong Dapeng (China),16783.19
R12_FSU,Sabetta/Yamal LNG (Russia),R12_EEU,Swinoujscie (Poland),4953.53
R12_LAM,Point Fortin (Trinidad and Tobago),R12_EEU,Swinoujscie (Poland),8894.03
R12_MEA,Ras Laffan (Qatar),R12_EEU,Swinoujscie (Poland),13193.72
R12_NAM,Sabine Pass (USA),R12_EEU,Swinoujscie (Poland),9904.44
R12_PAO,Sodegaura LNG Termina- Chiba (Japan),R12_EEU,Swinoujscie (Poland),14013.95
R12_PAS,Bintulu LNG (Malaysia),R12_EEU,Swinoujscie (Poland),18088.54
R12_SAS,Dahej LNG Terminal (India),R12_EEU,Swinoujscie (Poland),13334.48
R12_WEU,Port of Rotterdam (Netherlands),R12_EEU,Swinoujscie (Poland),1349.17
R12_LAM,Point Fortin (Trinidad and Tobago),R12_FSU,Sabetta/Yamal LNG (Russia),11542.03
R12_MEA,Ras Laffan (Qatar),R12_FSU,Sabetta/Yamal LNG (Russia),16520.97
R12_NAM,Sabine Pass (USA),R12_FSU,Sabetta/Yamal LNG (Russia),12210.99
R12_PAO,Sodegaura LNG Termina- Chiba (Japan),R12_FSU,Sabetta/Yamal LNG (Russia),9668.92
R12_PAS,Bintulu LNG (Malaysia),R12_FSU,Sabetta/Yamal LNG (Russia),14398.99
R12_SAS,Dahej LNG Terminal (India),R12_FSU,Sabetta/Yamal LNG (Russia),16661.72
R12_WEU,Port of Rotterdam (Netherlands),R12_FSU,Sabetta/Yamal LNG (Russia),4842.89
R12_MEA,Ras Laffan (Qatar),R12_LAM,Point Fortin (Trinidad and Tobago),15796.02
R12_NAM,Sabine Pass (USA),R12_LAM,Point Fortin (Trinidad and Tobago),4138.08
R12_PAO,Sodegaura LNG Termina- Chiba (Japan),R12_LAM,Point Fortin (Trinidad and Tobago),16663.41
R12_PAS,Bintulu LNG (Malaysia),R12_LAM,Point Fortin (Trinidad and Tobago),20690.84
R12_SAS,Dahej LNG Terminal (India),R12_LAM,Point Fortin (Trinidad and Tobago),15936.78
R12_WEU,Port of Rotterdam (Netherlands),R12_LAM,Point Fortin (Trinidad and Tobago),7602.91
R12_NAM,Sabine Pass (USA),R12_MEA,Ras Laffan (Qatar),18036.1
R12_PAO,Sodegaura LNG Termina- Chiba (Japan),R12_MEA,Ras Laffan (Qatar),12498.48
R12_PAS,Bintulu LNG (Malaysia),R12_MEA,Ras Laffan (Qatar),8146.02
R12_SAS,Dahej LNG Terminal (India),R12_MEA,Ras Laffan (Qatar),2523.78
R12_WEU,Port of Rotterdam (Netherlands),R12_MEA,Ras Laffan (Qatar),11902.61
R12_PAO,Sodegaura LNG Termina- Chiba (Japan),R12_NAM,Sabine Pass (USA),17169.77
R12_PAS,Bintulu LNG (Malaysia),R12_NAM,Sabine Pass (USA),21653.18
R12_SAS,Dahej LNG Terminal (India),R12_NAM,Sabine Pass (USA),18176.85
R12_WEU,Port of Rotterdam (Netherlands),R12_NAM,Sabine Pass (USA),9155.51
R12_PAS,Bintulu LNG (Malaysia),R12_PAO,Sodegaura LNG Termina- Chiba (Japan),4966.43
R12_SAS,Dahej LNG Terminal (India),R12_PAO,Sodegaura LNG Termina- Chiba (Japan),10601.57
R12_WEU,Port of Rotterdam (Netherlands),R12_PAO,Sodegaura LNG Termina- Chiba (Japan),13903.31
R12_SAS,Dahej LNG Terminal (India),R12_PAS,Bintulu LNG (Malaysia),6249.11
R12_WEU,Port of Rotterdam (Netherlands),R12_PAS,Bintulu LNG (Malaysia),16797.42
R12_WEU,Port of Rotterdam (Netherlands),R12_SAS,Dahej LNG Terminal (India),12043.36
