# Disutility costs
#
# Source:
# - Duplicated manually from corresponding R12 data as of 2025-04-07.
#
# Units: kUSD / vehicle
#
node,     consumer_group, technology, year, value
Austria,  RUEAF,          IAHm_ptrp,  2040,  -0.475
Austria,  RUEAF,          IAHm_ptrp,  2050,  -0.268
Austria,  RUEAF,          IAHm_ptrp,  2060,  -0.369
Austria,  RUEAF,          IAHm_ptrp,  2070,  -0.381
Austria,  RUEAF,          IAHm_ptrp,  2080,  -0.388
Austria,  RUEAF,          IAHm_ptrp,  2090,  -0.402
Austria,  RUEAF,          IAHm_ptrp,  2100,  -0.41
Austria,  RUEAF,          ICAe_ffv,   2020,   0.0
Austria,  RUEAF,          ICAe_ffv,   2030,   0.0
Austria,  RUEAF,          ICAe_ffv,   2040,   0.0
Austria,  RUEAF,          ICAe_ffv,   2050,   0.0
Austria,  RUEAF,          ICAe_ffv,   2060,   0.0
Austria,  RUEAF,          ICAe_ffv,   2070,   0.0
Austria,  RUEAF,          ICAe_ffv,   2080,   0.0
Austria,  RUEAF,          ICAe_ffv,   2090,   0.0
Austria,  RUEAF,          ICAe_ffv,   2100,   0.0
Austria,  RUEAF,          ICAm_ptrp,  2020,   0.0
Austria,  RUEAF,          ICAm_ptrp,  2030,   0.0
Austria,  RUEAF,          ICAm_ptrp,  2040,   0.0
Austria,  RUEAF,          ICAm_ptrp,  2050,   0.0
Austria,  RUEAF,          ICAm_ptrp,  2060,   0.0
Austria,  RUEAF,          ICAm_ptrp,  2070,   0.0
Austria,  RUEAF,          ICAm_ptrp,  2080,   0.0
Austria,  RUEAF,          ICAm_ptrp,  2090,   0.0
Austria,  RUEAF,          ICAm_ptrp,  2100,   0.0
Austria,  RUEAF,          ICE_L_ptrp, 2020,  -0.0382
Austria,  RUEAF,          ICE_L_ptrp, 2030,   0.151
Austria,  RUEAF,          ICE_L_ptrp, 2040,   0.219
Austria,  RUEAF,          ICE_L_ptrp, 2050,   0.267
Austria,  RUEAF,          ICE_L_ptrp, 2060,   0.367
Austria,  RUEAF,          ICE_L_ptrp, 2070,   0.38
Austria,  RUEAF,          ICE_L_ptrp, 2080,   0.386
Austria,  RUEAF,          ICE_L_ptrp, 2090,   0.4
Austria,  RUEAF,          ICE_L_ptrp, 2100,   0.407
Austria,  RUEAF,          ICE_conv,   2020,   0.0
Austria,  RUEAF,          ICE_conv,   2030,   0.0
Austria,  RUEAF,          ICE_conv,   2040,   0.0
Austria,  RUEAF,          ICE_conv,   2050,   0.0
Austria,  RUEAF,          ICE_conv,   2060,   0.0
Austria,  RUEAF,          ICE_conv,   2070,   0.0
Austria,  RUEAF,          ICE_conv,   2080,   0.0
Austria,  RUEAF,          ICE_conv,   2090,   0.0
Austria,  RUEAF,          ICE_conv,   2100,   0.0
Austria,  RUEAF,          ICE_nga,    2020,  12.703
Austria,  RUEAF,          ICE_nga,    2030,  12.179
Austria,  RUEAF,          ICE_nga,    2040,  12.301
Austria,  RUEAF,          ICE_nga,    2050,  12.13
Austria,  RUEAF,          ICE_nga,    2060,  11.958
Austria,  RUEAF,          ICE_nga,    2070,  11.937
Austria,  RUEAF,          ICE_nga,    2080,  11.926
Austria,  RUEAF,          ICE_nga,    2090,  11.902
Austria,  RUEAF,          ICE_nga,    2100,  11.889
Austria,  RUEAF,          ICH_chyb,   2020,   0.128
Austria,  RUEAF,          ICH_chyb,   2030,  -0.291
Austria,  RUEAF,          ICH_chyb,   2040,  -0.475
Austria,  RUEAF,          ICH_chyb,   2050,  -0.268
Austria,  RUEAF,          ICH_chyb,   2060,  -0.369
Austria,  RUEAF,          ICH_chyb,   2070,  -0.381
Austria,  RUEAF,          ICH_chyb,   2080,  -0.388
Austria,  RUEAF,          ICH_chyb,   2090,  -0.402
Austria,  RUEAF,          ICH_chyb,   2100,  -0.41
Austria,  RUEAF,          IGH_ghyb,   2020,  12.676
Austria,  RUEAF,          IGH_ghyb,   2030,  11.902
Austria,  RUEAF,          IGH_ghyb,   2040,  12.121
Austria,  RUEAF,          IGH_ghyb,   2050,  12.043
Austria,  RUEAF,          IGH_ghyb,   2060,  11.888
Austria,  RUEAF,          IGH_ghyb,   2070,  11.869
Austria,  RUEAF,          IGH_ghyb,   2080,  11.858
Austria,  RUEAF,          IGH_ghyb,   2090,  11.836
Austria,  RUEAF,          IGH_ghyb,   2100,  11.825
Austria,  RUEAF,          PHEV_ptrp,  2020,   3.27
Austria,  RUEAF,          PHEV_ptrp,  2030,   5.238
Austria,  RUEAF,          PHEV_ptrp,  2040,   4.82
Austria,  RUEAF,          PHEV_ptrp,  2050,   4.895
Austria,  RUEAF,          PHEV_ptrp,  2060,   4.452
Austria,  RUEAF,          PHEV_ptrp,  2070,   4.398
Austria,  RUEAF,          PHEV_ptrp,  2080,   4.368
Austria,  RUEAF,          PHEV_ptrp,  2090,   4.306
Austria,  RUEAF,          PHEV_ptrp,  2100,   4.274
Austria,  RUEAM,          ELC_100,    2020,   3.456
Austria,  RUEAM,          ELC_100,    2030,   5.205
Austria,  RUEAM,          ELC_100,    2040,   4.982
Austria,  RUEAM,          ELC_100,    2050,   4.981
Austria,  RUEAM,          ELC_100,    2060,   4.559
Austria,  RUEAM,          ELC_100,    2070,   4.507
Austria,  RUEAM,          ELC_100,    2080,   4.478
Austria,  RUEAM,          ELC_100,    2090,   4.419
Austria,  RUEAM,          ELC_100,    2100,   4.389
Austria,  RUEAM,          HFC_ptrp,   2020,  21.955
Austria,  RUEAM,          HFC_ptrp,   2030,  20.731
Austria,  RUEAM,          HFC_ptrp,   2040,  20.643
Austria,  RUEAM,          HFC_ptrp,   2050,  20.705
Austria,  RUEAM,          HFC_ptrp,   2060,  20.375
Austria,  RUEAM,          HFC_ptrp,   2070,  20.334
Austria,  RUEAM,          HFC_ptrp,   2080,  20.312
Austria,  RUEAM,          HFC_ptrp,   2090,  20.266
Austria,  RUEAM,          HFC_ptrp,   2100,  20.242
Austria,  RUEAM,          IAHe_ptrp,  2020,   0.128
Austria,  RUEAM,          IAHe_ptrp,  2030,  -0.291
Austria,  RUEAM,          IAHe_ptrp,  2040,  -0.475
Austria,  RUEAM,          IAHe_ptrp,  2050,  -0.268
Austria,  RUEAM,          IAHe_ptrp,  2060,  -0.369
Austria,  RUEAM,          IAHe_ptrp,  2070,  -0.381
Austria,  RUEAM,          IAHe_ptrp,  2080,  -0.388
Austria,  RUEAM,          IAHe_ptrp,  2090,  -0.402
Austria,  RUEAM,          IAHe_ptrp,  2100,  -0.41
Austria,  RUEAM,          IAHm_ptrp,  2020,   0.128
Austria,  RUEAM,          IAHm_ptrp,  2030,  -0.291
Austria,  RUEAM,          IAHm_ptrp,  2040,  -0.475
Austria,  RUEAM,          IAHm_ptrp,  2050,  -0.268
Austria,  RUEAM,          IAHm_ptrp,  2060,  -0.369
Austria,  RUEAM,          IAHm_ptrp,  2070,  -0.381
Austria,  RUEAM,          IAHm_ptrp,  2080,  -0.388
Austria,  RUEAM,          IAHm_ptrp,  2090,  -0.402
Austria,  RUEAM,          IAHm_ptrp,  2100,  -0.41
Austria,  RUEAM,          ICAe_ffv,   2020,   0.0
Austria,  RUEAM,          ICAe_ffv,   2030,   0.0
Austria,  RUEAM,          ICAe_ffv,   2040,   0.0
Austria,  RUEAM,          ICAe_ffv,   2050,   0.0
Austria,  RUEAM,          ICAe_ffv,   2060,   0.0
Austria,  RUEAM,          ICAe_ffv,   2070,   0.0
Austria,  RUEAM,          ICAe_ffv,   2080,   0.0
Austria,  RUEAM,          ICAe_ffv,   2090,   0.0
Austria,  RUEAM,          ICAe_ffv,   2100,   0.0
Austria,  RUEAM,          ICAm_ptrp,  2020,   0.0
Austria,  RUEAM,          ICAm_ptrp,  2030,   0.0
Austria,  RUEAM,          ICAm_ptrp,  2040,   0.0
Austria,  RUEAM,          ICAm_ptrp,  2050,   0.0
Austria,  RUEAM,          ICAm_ptrp,  2060,   0.0
Austria,  RUEAM,          ICAm_ptrp,  2070,   0.0
Austria,  RUEAM,          ICAm_ptrp,  2080,   0.0
Austria,  RUEAM,          ICAm_ptrp,  2090,   0.0
Austria,  RUEAM,          ICAm_ptrp,  2100,   0.0
Austria,  RUEAM,          ICE_L_ptrp, 2020,  -0.0382
Austria,  RUEAM,          ICE_L_ptrp, 2030,   0.151
Austria,  RUEAM,          ICE_L_ptrp, 2040,   0.219
Austria,  RUEAM,          ICE_L_ptrp, 2050,   0.267
Austria,  RUEAM,          ICE_L_ptrp, 2060,   0.367
Austria,  RUEAM,          ICE_L_ptrp, 2070,   0.38
Austria,  RUEAM,          ICE_L_ptrp, 2080,   0.386
Austria,  RUEAM,          ICE_L_ptrp, 2090,   0.4
Austria,  RUEAM,          ICE_L_ptrp, 2100,   0.407
Austria,  RUEAM,          ICE_conv,   2020,   0.0
Austria,  RUEAM,          ICE_conv,   2030,   0.0
Austria,  RUEAM,          ICE_conv,   2040,   0.0
Austria,  RUEAM,          ICE_conv,   2050,   0.0
Austria,  RUEAM,          ICE_conv,   2060,   0.0
Austria,  RUEAM,          ICE_conv,   2070,   0.0
Austria,  RUEAM,          ICE_conv,   2080,   0.0
Austria,  RUEAM,          ICE_conv,   2090,   0.0
Austria,  RUEAM,          ICE_conv,   2100,   0.0
Austria,  RUEAM,          ICE_nga,    2020,   7.489
Austria,  RUEAM,          ICE_nga,    2030,   6.964
Austria,  RUEAM,          ICE_nga,    2040,   7.086
Austria,  RUEAM,          ICE_nga,    2050,   6.915
Austria,  RUEAM,          ICE_nga,    2060,   6.743
Austria,  RUEAM,          ICE_nga,    2070,   6.722
Austria,  RUEAM,          ICE_nga,    2080,   6.711
Austria,  RUEAM,          ICE_nga,    2090,   6.687
Austria,  RUEAM,          ICE_nga,    2100,   6.675
Austria,  RUEAM,          ICH_chyb,   2020,   0.128
Austria,  RUEAM,          ICH_chyb,   2030,  -0.291
Austria,  RUEAM,          ICH_chyb,   2040,  -0.475
Austria,  RUEAM,          ICH_chyb,   2050,  -0.268
Austria,  RUEAM,          ICH_chyb,   2060,  -0.369
Austria,  RUEAM,          ICH_chyb,   2070,  -0.381
Austria,  RUEAM,          ICH_chyb,   2080,  -0.388
Austria,  RUEAM,          ICH_chyb,   2090,  -0.402
Austria,  RUEAM,          ICH_chyb,   2100,  -0.41
Austria,  RUEAM,          IGH_ghyb,   2020,   7.551
Austria,  RUEAM,          IGH_ghyb,   2030,   6.777
Austria,  RUEAM,          IGH_ghyb,   2040,   6.995
Austria,  RUEAM,          IGH_ghyb,   2050,   6.918
Austria,  RUEAM,          IGH_ghyb,   2060,   6.762
Austria,  RUEAM,          IGH_ghyb,   2070,   6.743
Austria,  RUEAM,          IGH_ghyb,   2080,   6.733
Austria,  RUEAM,          IGH_ghyb,   2090,   6.711
Austria,  RUEAM,          IGH_ghyb,   2100,   6.7
Austria,  RUEAM,          PHEV_ptrp,  2020,   3.27
Austria,  RUEAM,          PHEV_ptrp,  2030,   5.238
Austria,  RUEAM,          PHEV_ptrp,  2040,   4.82
Austria,  RUEAM,          PHEV_ptrp,  2050,   4.895
Austria,  RUEAM,          PHEV_ptrp,  2060,   4.452
Austria,  RUEAM,          PHEV_ptrp,  2070,   4.398
Austria,  RUEAM,          PHEV_ptrp,  2080,   4.368
Austria,  RUEAM,          PHEV_ptrp,  2090,   4.306
Austria,  RUEAM,          PHEV_ptrp,  2100,   4.274
Austria,  RUEMA,          ELC_100,    2020,   7.184
Austria,  RUEMA,          ELC_100,    2030,   9.373
Austria,  RUEMA,          ELC_100,    2040,   9.149
Austria,  RUEMA,          ELC_100,    2050,   9.148
Austria,  RUEMA,          ELC_100,    2060,   8.726
Austria,  RUEMA,          ELC_100,    2070,   8.674
Austria,  RUEMA,          ELC_100,    2080,   8.646
Austria,  RUEMA,          ELC_100,    2090,   8.586
Austria,  RUEMA,          ELC_100,    2100,   8.557
Austria,  RUEMA,          HFC_ptrp,   2020,  39.253
Austria,  RUEMA,          HFC_ptrp,   2030,  38.029
Austria,  RUEMA,          HFC_ptrp,   2040,  37.94
Austria,  RUEMA,          HFC_ptrp,   2050,  38.003
Austria,  RUEMA,          HFC_ptrp,   2060,  37.673
Austria,  RUEMA,          HFC_ptrp,   2070,  37.632
Austria,  RUEMA,          HFC_ptrp,   2080,  37.61
Austria,  RUEMA,          HFC_ptrp,   2090,  37.564
Austria,  RUEMA,          HFC_ptrp,   2100,  37.54
Austria,  RUEMA,          IAHe_ptrp,  2020,   0.128
Austria,  RUEMA,          IAHe_ptrp,  2030,  -0.291
Austria,  RUEMA,          IAHe_ptrp,  2040,  -0.475
Austria,  RUEMA,          IAHe_ptrp,  2050,  -0.268
Austria,  RUEMA,          IAHe_ptrp,  2060,  -0.369
Austria,  RUEMA,          IAHe_ptrp,  2070,  -0.381
Austria,  RUEMA,          IAHe_ptrp,  2080,  -0.388
Austria,  RUEMA,          IAHe_ptrp,  2090,  -0.402
Austria,  RUEMA,          IAHe_ptrp,  2100,  -0.41
Austria,  RUEMA,          IAHm_ptrp,  2020,   0.128
Austria,  RUEMA,          IAHm_ptrp,  2030,  -0.291
Austria,  RUEMA,          IAHm_ptrp,  2040,  -0.475
Austria,  RUEMA,          IAHm_ptrp,  2050,  -0.268
Austria,  RUEMA,          IAHm_ptrp,  2060,  -0.369
Austria,  RUEMA,          IAHm_ptrp,  2070,  -0.381
Austria,  RUEMA,          IAHm_ptrp,  2080,  -0.388
Austria,  RUEMA,          IAHm_ptrp,  2090,  -0.402
Austria,  RUEMA,          IAHm_ptrp,  2100,  -0.41
Austria,  RUEMA,          ICAe_ffv,   2020,   0.0
Austria,  RUEMA,          ICAe_ffv,   2030,   0.0
Austria,  RUEMA,          ICAe_ffv,   2040,   0.0
Austria,  RUEMA,          ICAe_ffv,   2050,   0.0
Austria,  RUEMA,          ICAe_ffv,   2060,   0.0
Austria,  RUEMA,          ICAe_ffv,   2070,   0.0
Austria,  RUEMA,          ICAe_ffv,   2080,   0.0
Austria,  RUEMA,          ICAe_ffv,   2090,   0.0
Austria,  RUEMA,          ICAe_ffv,   2100,   0.0
Austria,  RUEMA,          ICAm_ptrp,  2020,   0.0
Austria,  RUEMA,          ICAm_ptrp,  2030,   0.0
Austria,  RUEMA,          ICAm_ptrp,  2040,   0.0
Austria,  RUEMA,          ICAm_ptrp,  2050,   0.0
Austria,  RUEMA,          ICAm_ptrp,  2060,   0.0
Austria,  RUEMA,          ICAm_ptrp,  2070,   0.0
Austria,  RUEMA,          ICAm_ptrp,  2080,   0.0
Austria,  RUEMA,          ICAm_ptrp,  2090,   0.0
Austria,  RUEMA,          ICAm_ptrp,  2100,   0.0
Austria,  RUEMA,          ICE_L_ptrp, 2020,  -0.0382
Austria,  RUEMA,          ICE_L_ptrp, 2030,   0.151
Austria,  RUEMA,          ICE_L_ptrp, 2040,   0.219
Austria,  RUEMA,          ICE_L_ptrp, 2050,   0.267
Austria,  RUEMA,          ICE_L_ptrp, 2060,   0.367
Austria,  RUEMA,          ICE_L_ptrp, 2070,   0.38
Austria,  RUEMA,          ICE_L_ptrp, 2080,   0.386
Austria,  RUEMA,          ICE_L_ptrp, 2090,   0.4
Austria,  RUEMA,          ICE_L_ptrp, 2100,   0.407
Austria,  RUEMA,          ICE_conv,   2020,   0.0
Austria,  RUEMA,          ICE_conv,   2030,   0.0
Austria,  RUEMA,          ICE_conv,   2040,   0.0
Austria,  RUEMA,          ICE_conv,   2050,   0.0
Austria,  RUEMA,          ICE_conv,   2060,   0.0
Austria,  RUEMA,          ICE_conv,   2070,   0.0
Austria,  RUEMA,          ICE_conv,   2080,   0.0
Austria,  RUEMA,          ICE_conv,   2090,   0.0
Austria,  RUEMA,          ICE_conv,   2100,   0.0
Austria,  RUEMA,          ICE_nga,    2020,  12.614
Austria,  RUEMA,          ICE_nga,    2030,  12.089
Austria,  RUEMA,          ICE_nga,    2040,  12.212
Austria,  RUEMA,          ICE_nga,    2050,  12.04
Austria,  RUEMA,          ICE_nga,    2060,  11.869
Austria,  RUEMA,          ICE_nga,    2070,  11.848
Austria,  RUEMA,          ICE_nga,    2080,  11.836
Austria,  RUEMA,          ICE_nga,    2090,  11.812
Austria,  RUEMA,          ICE_nga,    2100,  11.8
Austria,  RUEMA,          ICH_chyb,   2020,   0.128
Austria,  RUEMA,          ICH_chyb,   2030,  -0.291
Austria,  RUEMA,          ICH_chyb,   2040,  -0.475
Austria,  RUEMA,          ICH_chyb,   2050,  -0.268
Austria,  RUEMA,          ICH_chyb,   2060,  -0.369
Austria,  RUEMA,          ICH_chyb,   2070,  -0.381
Austria,  RUEMA,          ICH_chyb,   2080,  -0.388
Austria,  RUEMA,          ICH_chyb,   2090,  -0.402
Austria,  RUEMA,          ICH_chyb,   2100,  -0.41
Austria,  RUEMA,          IGH_ghyb,   2020,  12.642
Austria,  RUEMA,          IGH_ghyb,   2030,  11.869
Austria,  RUEMA,          IGH_ghyb,   2040,  12.087
Austria,  RUEMA,          IGH_ghyb,   2050,  12.01
Austria,  RUEMA,          IGH_ghyb,   2060,  11.854
Austria,  RUEMA,          IGH_ghyb,   2070,  11.835
Austria,  RUEMA,          IGH_ghyb,   2080,  11.824
Austria,  RUEMA,          IGH_ghyb,   2090,  11.803
Austria,  RUEMA,          IGH_ghyb,   2100,  11.792
Austria,  RUEMA,          PHEV_ptrp,  2020,   5.988
Austria,  RUEMA,          PHEV_ptrp,  2030,   8.396
Austria,  RUEMA,          PHEV_ptrp,  2040,   7.978
Austria,  RUEMA,          PHEV_ptrp,  2050,   8.053
Austria,  RUEMA,          PHEV_ptrp,  2060,   7.61
Austria,  RUEMA,          PHEV_ptrp,  2070,   7.556
Austria,  RUEMA,          PHEV_ptrp,  2080,   7.526
Austria,  RUEMA,          PHEV_ptrp,  2090,   7.464
Austria,  RUEMA,          PHEV_ptrp,  2100,   7.432
Austria,  RUEMF,          ELC_100,    2020,  11.289
Austria,  RUEMF,          ELC_100,    2030,  13.478
Austria,  RUEMF,          ELC_100,    2040,  13.254
Austria,  RUEMF,          ELC_100,    2050,  13.253
Austria,  RUEMF,          ELC_100,    2060,  12.831
Austria,  RUEMF,          ELC_100,    2070,  12.779
Austria,  RUEMF,          ELC_100,    2080,  12.751
Austria,  RUEMF,          ELC_100,    2090,  12.692
Austria,  RUEMF,          ELC_100,    2100,  12.662
Austria,  RUEMF,          HFC_ptrp,   2020,  62.59
Austria,  RUEMF,          HFC_ptrp,   2030,  61.366
Austria,  RUEMF,          HFC_ptrp,   2040,  61.278
Austria,  RUEMF,          HFC_ptrp,   2050,  61.34
Austria,  RUEMF,          HFC_ptrp,   2060,  61.01
Austria,  RUEMF,          HFC_ptrp,   2070,  60.97
Austria,  RUEMF,          HFC_ptrp,   2080,  60.947
Austria,  RUEMF,          HFC_ptrp,   2090,  60.901
Austria,  RUEMF,          HFC_ptrp,   2100,  60.878
Austria,  RUEMF,          IAHe_ptrp,  2020,   0.128
Austria,  RUEMF,          IAHe_ptrp,  2030,  -0.291
Austria,  RUEMF,          IAHe_ptrp,  2040,  -0.475
Austria,  RUEMF,          IAHe_ptrp,  2050,  -0.268
Austria,  RUEMF,          IAHe_ptrp,  2060,  -0.369
Austria,  RUEMF,          IAHe_ptrp,  2070,  -0.381
Austria,  RUEMF,          IAHe_ptrp,  2080,  -0.388
Austria,  RUEMF,          IAHe_ptrp,  2090,  -0.402
Austria,  RUEMF,          IAHe_ptrp,  2100,  -0.41
Austria,  RUEMF,          IAHm_ptrp,  2020,   0.128
