,exporter,model,region,supply_type,unit,year,fuel_type,scenario,value,ref_value,delta
28,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2030,Total,FSU2100,9.760077948702401,9.731193184867088,0.02888476383531291
29,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2035,Total,FSU2100,10.034502978386602,9.98965755918156,0.044845419205040926
30,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2040,Total,FSU2100,11.015469141708184,11.02865030471905,-0.01318116301086647
31,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2045,Total,FSU2100,11.89102445254813,11.524014521302337,0.36700993124579284
32,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2050,Total,FSU2100,14.412680646271744,13.584278623823536,0.8284020224482074
33,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2055,Total,FSU2100,18.118671702773714,17.133812966942905,0.9848587358308087
34,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2060,Total,FSU2100,22.757530682640393,22.61660129772272,0.1409293849176727
35,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2070,Total,FSU2100,34.6065110466344,34.26160289946472,0.3449081471696829
36,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2025,Total,FSU2040,4.213712275582324,4.213712275582324,0.0
37,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2030,Total,FSU2040,1.952494965827031,3.0326063778351413,-1.0801114120081103
38,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2035,Total,FSU2040,0.9578894692760572,2.5818849736618166,-1.6239955043857592
39,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2040,Total,FSU2040,0.49833199999999994,2.7067091179565117,-2.2083771179565117
40,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2045,Total,FSU2040,1.0214376980917528,2.8551975664288087,-1.833759868337056
41,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2050,Total,FSU2040,2.517620107802893,3.7778109317388,-1.2601908239359072
42,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2055,Total,FSU2040,4.433067352679556,4.89247697725783,-0.4594096245782735
43,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2060,Total,FSU2040,4.770944789618745,5.159348635539736,-0.3884038459209913
44,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2070,Total,FSU2040,4.957030994815482,4.859960073401078,0.09707092141440388
45,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2025,Total,FSU2100,4.213712275582324,4.213712275582324,0.0
46,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2030,Total,FSU2100,2.003426899618471,3.0326063778351413,-1.0291794782166703
47,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2035,Total,FSU2100,0.9572374910602796,2.5818849736618166,-1.624647482601537
48,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2040,Total,FSU2100,0.49833199999999994,2.7067091179565117,-2.2083771179565117
49,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2045,Total,FSU2100,0.0,2.8551975664288087,-2.8551975664288087
50,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2050,Total,FSU2100,0.0,3.7778109317388,-3.7778109317388
51,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2055,Total,FSU2100,0.0,4.89247697725783,-4.89247697725783
52,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2060,Total,FSU2100,0.0052265273424176,5.159348635539736,-5.154122108197319
53,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2070,Total,FSU2100,0.0,4.859960073401078,-4.859960073401078
54,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2025,Total,FSU2040,0.38812729518954475,0.38812729518954475,0.0
55,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2030,Total,FSU2040,0.0130614962400372,0.0,0.0130614962400372
56,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2035,Total,FSU2040,0.3688356166696082,0.3485568192500001,0.020278797419608086
57,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2040,Total,FSU2040,0.0,0.0,0.0
58,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2045,Total,FSU2040,0.0,0.0,0.0
59,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2050,Total,FSU2040,0.0,0.0,0.0
60,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2055,Total,FSU2040,0.0,0.0,0.0
61,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2060,Total,FSU2040,0.0,0.0,0.0
62,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2070,Total,FSU2040,0.0,0.0,0.0
63,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2025,Total,FSU2100,0.38812729518954475,0.38812729518954475,0.0
64,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2030,Total,FSU2100,0.0,0.0,0.0
65,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2035,Total,FSU2100,0.3485568192500001,0.3485568192500001,0.0
66,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2040,Total,FSU2100,0.0,0.0,0.0
67,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2045,Total,FSU2100,0.0,0.0,0.0
68,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2050,Total,FSU2100,0.0,0.0,0.0
69,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2055,Total,FSU2100,0.0,0.0,0.0
70,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2060,Total,FSU2100,0.0,0.0,0.0
71,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2070,Total,FSU2100,0.0,0.0,0.0
72,R12_FSU,weu_security,R12_MEA,Imports,EJ/yr,2025,Total,FSU2040,0.5263319099371506,0.5263319099371506,0.0
73,R12_FSU,weu_security,R12_MEA,Imports,EJ/yr,2030,Total,FSU2040,0.3530012975148023,0.0,0.3530012975148023
74,R12_FSU,weu_security,R12_MEA,Imports,EJ/yr,2035,Total,FSU2040,0.7547534679595679,0.3282708532928,0.4264826146667679
75,R12_FSU,weu_security,R12_MEA,Imports,EJ/yr,2040,Total,FSU2040,0.8085306609505519,0.724875094741328,0.08365556620922387
76,R12_FSU,weu_security,R12_MEA,Imports,EJ/yr,2045,Total,FSU2040,1.3051065554504726,1.204037112194835,0.1010694432556376
77,R12_FSU,weu_security,R12_MEA,Imports,EJ/yr,2050,Total,FSU2040,1.9050504858490136,1.7829422649273292,0.12210822092168439
78,R12_FSU,weu_security,R12_MEA,Imports,EJ/yr,2055,Total,FSU2040,2.629879708549245,2.482353244205856,0.14752646434338912
79,R12_FSU,weu_security,R12_MEA,Imports,EJ/yr,2060,Total,FSU2040,3.5055905466124195,3.327354736464799,0.17823581014762047
80,R12_FSU,weu_security,R12_MEA,Imports,EJ/yr,2070,Total,FSU2040,5.731708484264864,5.475407378386096,0.25630110587876764
81,R12_FSU,weu_security,R12_MEA,Imports,EJ/yr,2025,Total,FSU2100,0.5263319099371506,0.5263319099371506,0.0
82,R12_FSU,weu_security,R12_MEA,Imports,EJ/yr,2030,Total,FSU2100,0.3530012975148023,0.0,0.3530012975148023
83,R12_FSU,weu_security,R12_MEA,Imports,EJ/yr,2035,Total,FSU2100,0.7547534679595679,0.3282708532928,0.4264826146667679
84,R12_FSU,weu_security,R12_MEA,Imports,EJ/yr,2040,Total,FSU2100,1.2401350155788025,0.724875094741328,0.5152599208374744
85,R12_FSU,weu_security,R12_MEA,Imports,EJ/yr,2045,Total,FSU2100,1.8265543658673755,1.204037112194835,0.6225172536725405
86,R12_FSU,weu_security,R12_MEA,Imports,EJ/yr,2050,Total,FSU2100,2.535043710136061,1.7829422649273292,0.7521014452087318
87,R12_FSU,weu_security,R12_MEA,Imports,EJ/yr,2055,Total,FSU2100,3.391013334425,2.482353244205856,0.9086600902191444
88,R12_FSU,weu_security,R12_MEA,Imports,EJ/yr,2060,Total,FSU2100,4.425162970735529,3.327354736464799,1.0978082342707296
89,R12_FSU,weu_security,R12_MEA,Imports,EJ/yr,2070,Total,FSU2100,7.054043367715999,5.475407378386096,1.5786359893299027
90,R12_FSU,weu_security,R12_NAM,Imports,EJ/yr,2025,Total,FSU2040,0.07971634652011095,0.07971634652011095,0.0
91,R12_FSU,weu_security,R12_NAM,Imports,EJ/yr,2030,Total,FSU2040,0.0,0.0,0.0
92,R12_FSU,weu_security,R12_NAM,Imports,EJ/yr,2035,Total,FSU2040,0.2458603018154255,0.2458603018154255,0.0
93,R12_FSU,weu_security,R12_NAM,Imports,EJ/yr,2040,Total,FSU2040,0.0,0.0,0.0
94,R12_FSU,weu_security,R12_NAM,Imports,EJ/yr,2045,Total,FSU2040,0.0,0.0,0.0
95,R12_FSU,weu_security,R12_NAM,Imports,EJ/yr,2050,Total,FSU2040,0.3269112151028507,0.3381733396458149,-0.011262124542964214
96,R12_FSU,weu_security,R12_NAM,Imports,EJ/yr,2055,Total,FSU2040,0.8561071169676294,0.873592276242193,-0.017485159274563622
97,R12_FSU,weu_security,R12_NAM,Imports,EJ/yr,2060,Total,FSU2040,1.6777171601040035,1.7048639736284432,-0.027146813524439706
98,R12_FSU,weu_security,R12_NAM,Imports,EJ/yr,2070,Total,FSU2040,2.8386,2.8386,0.0
99,R12_FSU,weu_security,R12_NAM,Imports,EJ/yr,2025,Total,FSU2100,0.07971634652011095,0.07971634652011095,0.0
100,R12_FSU,weu_security,R12_NAM,Imports,EJ/yr,2030,Total,FSU2100,0.0,0.0,0.0
101,R12_FSU,weu_security,R12_NAM,Imports,EJ/yr,2035,Total,FSU2100,0.2458603018154255,0.2458603018154255,0.0
102,R12_FSU,weu_security,R12_NAM,Imports,EJ/yr,2040,Total,FSU2100,0.0,0.0,0.0
103,R12_FSU,weu_security,R12_NAM,Imports,EJ/yr,2045,Total,FSU2100,0.2629594084163961,0.0,0.2629594084163961
104,R12_FSU,weu_security,R12_NAM,Imports,EJ/yr,2050,Total,FSU2100,0.7568179001291115,0.3381733396458149,0.4186445604832966
105,R12_FSU,weu_security,R12_NAM,Imports,EJ/yr,2055,Total,FSU2100,1.5235643833303918,0.873592276242193,0.6499721070881987
106,R12_FSU,weu_security,R12_NAM,Imports,EJ/yr,2060,Total,FSU2100,2.2078,1.7048639736284432,0.502936026371557
107,R12_FSU,weu_security,R12_NAM,Imports,EJ/yr,2070,Total,FSU2100,2.8386,2.8386,0.0
108,R12_FSU,weu_security,R12_PAO,Imports,EJ/yr,2025,Total,FSU2040,0.4352669754746575,0.4352669754746575,0.0
109,R12_FSU,weu_security,R12_PAO,Imports,EJ/yr,2030,Total,FSU2040,0.3851441223914162,0.3851441223914162,0.0
110,R12_FSU,weu_security,R12_PAO,Imports,EJ/yr,2035,Total,FSU2040,1.0391751461207992,1.0391751461207992,0.0
111,R12_FSU,weu_security,R12_PAO,Imports,EJ/yr,2040,Total,FSU2040,0.8897132837848406,0.8897132837848406,0.0
112,R12_FSU,weu_security,R12_PAO,Imports,EJ/yr,2045,Total,FSU2040,1.2616,1.2616,0.0
113,R12_FSU,weu_security,R12_PAO,Imports,EJ/yr,2050,Total,FSU2040,1.577,1.577,0.0
114,R12_FSU,weu_security,R12_PAO,Imports,EJ/yr,2055,Total,FSU2040,1.8924,1.8924,0.0
115,R12_FSU,weu_security,R12_PAO,Imports,EJ/yr,2060,Total,FSU2040,2.2078,2.2078,0.0
116,R12_FSU,weu_security,R12_PAO,Imports,EJ/yr,2070,Total,FSU2040,2.8386,2.8386,0.0
117,R12_FSU,weu_security,R12_PAO,Imports,EJ/yr,2025,Total,FSU2100,0.4352669754746575,0.4352669754746575,0.0
118,R12_FSU,weu_security,R12_PAO,Imports,EJ/yr,2030,Total,FSU2100,0.3851441223914162,0.3851441223914162,0.0
119,R12_FSU,weu_security,R12_PAO,Imports,EJ/yr,2035,Total,FSU2100,0.9529761356740007,1.0391751461207992,-0.08619901044679845
120,R12_FSU,weu_security,R12_PAO,Imports,EJ/yr,2040,Total,FSU2100,0.8897132837848406,0.8897132837848406,0.0
121,R12_FSU,weu_security,R12_PAO,Imports,EJ/yr,2045,Total,FSU2100,1.2616,1.2616,0.0
122,R12_FSU,weu_security,R12_PAO,Imports,EJ/yr,2050,Total,FSU2100,1.577,1.577,0.0
123,R12_FSU,weu_security,R12_PAO,Imports,EJ/yr,2055,Total,FSU2100,1.8924,1.8924,0.0
124,R12_FSU,weu_security,R12_PAO,Imports,EJ/yr,2060,Total,FSU2100,2.2078,2.2078,0.0
125,R12_FSU,weu_security,R12_PAO,Imports,EJ/yr,2070,Total,FSU2100,2.8386,2.8386,0.0
126,R12_FSU,weu_security,R12_PAS,Imports,EJ/yr,2025,Total,FSU2040,1.129306333012364,1.129306333012364,0.0
127,R12_FSU,weu_security,R12_PAS,Imports,EJ/yr,2030,Total,FSU2040,2.4242968966094818,2.4242968966094818,0.0
128,R12_FSU,weu_security,R12_PAS,Imports,EJ/yr,2035,Total,FSU2040,2.104255024936218,2.104255024936218,0.0
129,R12_FSU,weu_security,R12_PAS,Imports,EJ/yr,2040,Total,FSU2040,1.9605875987140111,1.9605875987140111,0.0
130,R12_FSU,weu_security,R12_PAS,Imports,EJ/yr,2045,Total,FSU2040,2.4800559034273295,2.4800559034273295,0.0
131,R12_FSU,weu_security,R12_PAS,Imports,EJ/yr,2050,Total,FSU2040,2.482353244205856,2.482353244205856,0.0
132,R12_FSU,weu_security,R12_PAS,Imports,EJ/yr,2055,Total,FSU2040,3.327354736464799,3.327354736464799,0.0
133,R12_FSU,weu_security,R12_PAS,Imports,EJ/yr,2060,Total,FSU2040,4.34825309676276,4.34825309676276,0.0
134,R12_FSU,weu_security,R12_PAS,Imports,EJ/yr,2070,Total,FSU2040,6.943447827258159,6.943447827258159,0.0
135,R12_FSU,weu_security,R12_PAS,Imports,EJ/yr,2025,Total,FSU2100,1.129306333012364,1.129306333012364,0.0
136,R12_FSU,weu_security,R12_PAS,Imports,EJ/yr,2030,Total,FSU2100,2.4242968966094818,2.4242968966094818,0.0
137,R12_FSU,weu_security,R12_PAS,Imports,EJ/yr,2035,Total,FSU2100,2.104255024936218,2.104255024936218,0.0
138,R12_FSU,weu_security,R12_PAS,Imports,EJ/yr,2040,Total,FSU2100,1.960587598714011,1.9605875987140111,-2.220446049250313e-16
139,R12_FSU,weu_security,R12_PAS,Imports,EJ/yr,2045,Total,FSU2100,2.4800559034273295,2.4800559034273295,0.0
140,R12_FSU,weu_security,R12_PAS,Imports,EJ/yr,2050,Total,FSU2100,2.482353244205856,2.482353244205856,0.0
141,R12_FSU,weu_security,R12_PAS,Imports,EJ/yr,2055,Total,FSU2100,3.327354736464799,3.327354736464799,0.0
142,R12_FSU,weu_security,R12_PAS,Imports,EJ/yr,2060,Total,FSU2100,4.34825309676276,4.34825309676276,0.0
143,R12_FSU,weu_security,R12_PAS,Imports,EJ/yr,2070,Total,FSU2100,6.943447827258159,6.943447827258159,0.0
144,R12_FSU,weu_security,R12_RCPA,Imports,EJ/yr,2025,Total,FSU2040,0.02365074845906226,0.02365074845906226,0.0
145,R12_FSU,weu_security,R12_RCPA,Imports,EJ/yr,2030,Total,FSU2040,1.4236213718421982,1.1993498740033923,0.22427149783880584
146,R12_FSU,weu_security,R12_RCPA,Imports,EJ/yr,2035,Total,FSU2040,1.3942201084624084,1.1805987418288724,0.21362136663353604
147,R12_FSU,weu_security,R12_RCPA,Imports,EJ/yr,2040,Total,FSU2040,1.3075855601815878,1.188399664234326,0.11918589594726181
148,R12_FSU,weu_security,R12_RCPA,Imports,EJ/yr,2045,Total,FSU2040,1.7629332293537219,1.618937405845855,0.14399582350786688
149,R12_FSU,weu_security,R12_RCPA,Imports,EJ/yr,2050,Total,FSU2040,1.615953162311223,1.4419829368670678,0.1739702254441553
150,R12_FSU,weu_security,R12_RCPA,Imports,EJ/yr,2055,Total,FSU2040,2.2806034217378874,2.0704192746995065,0.21018414703838095
151,R12_FSU,weu_security,R12_RCPA,Imports,EJ/yr,2060,Total,FSU2040,3.083608346860983,2.829671930135279,0.2539364167257041
152,R12_FSU,weu_security,R12_RCPA,Imports,EJ/yr,2070,Total,FSU2040,5.124902790348073,4.759745057029583,0.36515773331848944
153,R12_FSU,weu_security,R12_RCPA,Imports,EJ/yr,2025,Total,FSU2100,0.02365074845906226,0.02365074845906226,0.0
154,R12_FSU,weu_security,R12_RCPA,Imports,EJ/yr,2030,Total,FSU2100,1.4105598756021611,1.1993498740033923,0.2112100015987688
155,R12_FSU,weu_security,R12_RCPA,Imports,EJ/yr,2035,Total,FSU2100,1.3739413110428003,1.1805987418288724,0.1933425692139279
156,R12_FSU,weu_security,R12_RCPA,Imports,EJ/yr,2040,Total,FSU2100,1.4219887332413284,1.188399664234326,0.23358906900700238
157,R12_FSU,weu_security,R12_RCPA,Imports,EJ/yr,2045,Total,FSU2100,1.901150750694835,1.618937405845855,0.2822133448489801
158,R12_FSU,weu_security,R12_RCPA,Imports,EJ/yr,2050,Total,FSU2100,1.7829422649273292,1.4419829368670678,0.3409593280602614
159,R12_FSU,weu_security,R12_RCPA,Imports,EJ/yr,2055,Total,FSU2100,2.482353244205856,2.0704192746995065,0.4119339695063493
160,R12_FSU,weu_security,R12_RCPA,Imports,EJ/yr,2060,Total,FSU2100,3.327354736464799,2.829671930135279,0.4976828063295202
161,R12_FSU,weu_security,R12_RCPA,Imports,EJ/yr,2070,Total,FSU2100,5.475407378386096,4.759745057029583,0.715662321356513
162,R12_FSU,weu_security,R12_SAS,Imports,EJ/yr,2025,Total,FSU2040,4.890185559668165,4.890185559668165,0.0
163,R12_FSU,weu_security,R12_SAS,Imports,EJ/yr,2030,Total,FSU2040,4.519523690212658,4.519523690212658,0.0
164,R12_FSU,weu_security,R12_SAS,Imports,EJ/yr,2035,Total,FSU2040,3.1922325483537684,3.1922325483537684,0.0
165,R12_FSU,weu_security,R12_SAS,Imports,EJ/yr,2040,Total,FSU2040,2.366979353786023,2.366979353786023,0.0
166,R12_FSU,weu_security,R12_SAS,Imports,EJ/yr,2045,Total,FSU2040,2.3558005130546538,2.3558005130546538,0.0
167,R12_FSU,weu_security,R12_SAS,Imports,EJ/yr,2050,Total,FSU2040,2.6402220672464245,2.6402220672464245,0.0
168,R12_FSU,weu_security,R12_SAS,Imports,EJ/yr,2055,Total,FSU2040,3.327354736464799,3.327354736464799,0.0
169,R12_FSU,weu_security,R12_SAS,Imports,EJ/yr,2060,Total,FSU2040,4.34825309676276,4.34825309676276,0.0
170,R12_FSU,weu_security,R12_SAS,Imports,EJ/yr,2070,Total,FSU2040,6.943447827258159,6.943447827258159,0.0
171,R12_FSU,weu_security,R12_SAS,Imports,EJ/yr,2025,Total,FSU2100,4.890185559668165,4.890185559668165,0.0
172,R12_FSU,weu_security,R12_SAS,Imports,EJ/yr,2030,Total,FSU2100,4.519523690212658,4.519523690212658,0.0
173,R12_FSU,weu_security,R12_SAS,Imports,EJ/yr,2035,Total,FSU2100,3.1922325483537684,3.1922325483537684,0.0
174,R12_FSU,weu_security,R12_SAS,Imports,EJ/yr,2040,Total,FSU2100,2.366979353786023,2.366979353786023,0.0
175,R12_FSU,weu_security,R12_SAS,Imports,EJ/yr,2045,Total,FSU2100,2.3558005130546538,2.3558005130546538,0.0
176,R12_FSU,weu_security,R12_SAS,Imports,EJ/yr,2050,Total,FSU2100,2.6402220672464245,2.6402220672464245,0.0
177,R12_FSU,weu_security,R12_SAS,Imports,EJ/yr,2055,Total,FSU2100,3.327354736464799,3.327354736464799,0.0
178,R12_FSU,weu_security,R12_SAS,Imports,EJ/yr,2060,Total,FSU2100,4.34825309676276,4.34825309676276,0.0
179,R12_FSU,weu_security,R12_SAS,Imports,EJ/yr,2070,Total,FSU2100,6.943447827258159,6.943447827258159,0.0
180,R12_FSU,weu_security,R12_WEU,Imports,EJ/yr,2025,Total,FSU2040,9.6466675480038,9.6466675480038,0.0
181,R12_FSU,weu_security,R12_WEU,Imports,EJ/yr,2030,Total,FSU2040,6.207202656725078,8.747337015578063,-2.5401343588529848
182,R12_FSU,weu_security,R12_WEU,Imports,EJ/yr,2035,Total,FSU2040,3.2794979151507704,6.539436201365538,-3.2599382862147674
183,R12_FSU,weu_security,R12_WEU,Imports,EJ/yr,2040,Total,FSU2040,1.4280426699582862,5.726106103910052,-4.298063433951766
184,R12_FSU,weu_security,R12_WEU,Imports,EJ/yr,2045,Total,FSU2040,5.332043929256459,5.964851589614834,-0.6328076603583748
185,R12_FSU,weu_security,R12_WEU,Imports,EJ/yr,2050,Total,FSU2040,8.184356692101842,7.341808298448496,0.8425483936533462
186,R12_FSU,weu_security,R12_WEU,Imports,EJ/yr,2055,Total,FSU2040,9.947707197595465,8.526656700325166,1.4210504972702989
187,R12_FSU,weu_security,R12_WEU,Imports,EJ/yr,2060,Total,FSU2040,9.947707197595465,8.082901377780273,1.8648058198151922
188,R12_FSU,weu_security,R12_WEU,Imports,EJ/yr,2070,Total,FSU2040,9.830235691209026,7.930115184763864,1.9001205064451625
189,R12_FSU,weu_security,R12_WEU,Imports,EJ/yr,2025,Total,FSU2100,9.6466675480038,9.6466675480038,0.0
190,R12_FSU,weu_security,R12_WEU,Imports,EJ/yr,2030,Total,FSU2100,6.146594804579719,8.747337015578063,-2.6007422109983445
191,R12_FSU,weu_security,R12_WEU,Imports,EJ/yr,2035,Total,FSU2100,3.2792421891925976,6.539436201365538,-3.2601940121729402
192,R12_FSU,weu_security,R12_WEU,Imports,EJ/yr,2040,Total,FSU2100,1.4278447940866283,5.726106103910052,-4.298261309823424
193,R12_FSU,weu_security,R12_WEU,Imports,EJ/yr,2045,Total,FSU2100,0.508825550225623,5.964851589614834,-5.456026039389211
194,R12_FSU,weu_security,R12_WEU,Imports,EJ/yr,2050,Total,FSU2100,0.0,7.341808298448496,-7.341808298448496
195,R12_FSU,weu_security,R12_WEU,Imports,EJ/yr,2055,Total,FSU2100,0.0,8.526656700325166,-8.526656700325166
196,R12_FSU,weu_security,R12_WEU,Imports,EJ/yr,2060,Total,FSU2100,0.0,8.082901377780273,-8.082901377780273
197,R12_FSU,weu_security,R12_WEU,Imports,EJ/yr,2070,Total,FSU2100,0.0,7.930115184763864,-7.930115184763864
